dates,satname,nzd0211-0000,nzd0211-0001,nzd0211-0002,nzd0211-0003,nzd0211-0004,nzd0211-0005,nzd0211-0006,nzd0211-0007,nzd0211-0008,nzd0211-0009,nzd0211-0010,nzd0211-0011,nzd0211-0012,nzd0211-0013,nzd0211-0014,nzd0211-0015,nzd0211-0016,nzd0211-0017,nzd0211-0018,nzd0211-0019,nzd0211-0020,nzd0211-0021,nzd0211-0022,nzd0211-0023,nzd0211-0024,nzd0211-0025,nzd0211-0026,nzd0211-0027,nzd0211-0028,nzd0211-0029,nzd0211-0030,nzd0211-0031,nzd0211-0037,nzd0211-0038,nzd0211-0039,nzd0211-0040,nzd0211-0041,nzd0211-0042,nzd0211-0043,nzd0211-0044,nzd0211-0045,nzd0211-0046,nzd0211-0052,nzd0211-0053,nzd0211-0054,nzd0211-0055,nzd0211-0056,nzd0211-0057,nzd0211-0058,nzd0211-0059,nzd0211-0068,nzd0211-0069,nzd0211-0070,nzd0211-0071,nzd0211-0072,nzd0211-0073,nzd0211-0074,nzd0211-0075,nzd0211-0076,nzd0211-0077,nzd0211-0078,nzd0211-0047,nzd0211-0048,nzd0211-0060,nzd0211-0062,nzd0211-0063,nzd0211-0064,nzd0211-0065,nzd0211-0066,nzd0211-0067,nzd0211-0032,nzd0211-0061,nzd0211-0049,nzd0211-0050,nzd0211-0051,nzd0211-0033,nzd0211-0034,nzd0211-0035,nzd0211-0036
1999-08-05 21:46:35.104000,L7,308.23,319.19,318.08,306.77,305.33,310.38,314.74,317.96,322.86,329.27,331.20,329.05,326.27,333.47,334.97,337.90,335.69,344.30,348.23,335.44,324.95,315.37,317.29,275.59,240.08,231.79,235.08,242.95,248.44,254.61,255.20,249.60,388.98,378.09,392.42,379.54,348.21,372.77,371.44,379.00,378.98,378.97,389.88,384.83,389.08,392.54,394.61,390.11,390.46,403.42,394.09,390.78,381.40,384.81,376.52,379.64,384.24,370.40,385.46,355.78,315.63,,,,,,,,,,,,,,,,,,
1999-08-21 21:46:33.053000,L7,315.96,305.95,306.04,310.17,304.22,308.76,319.96,318.58,320.58,311.77,317.01,317.23,323.43,323.46,327.63,332.75,328.57,331.08,339.18,319.53,322.15,310.51,279.73,250.05,230.28,,,,,,,,,339.14,334.88,376.52,383.68,381.11,382.94,377.71,379.32,348.70,390.99,386.66,391.80,395.34,398.65,391.46,401.20,401.67,,,,,,365.17,377.73,383.42,384.45,347.91,314.88,349.69,348.68,412.42,,,,,,,,,,,,,,,
1999-09-22 21:46:36.849000,L7,,,,,,,,,,,,,,,,,,,,,,,,265.28,277.03,274.64,230.70,243.92,246.38,254.12,259.28,256.52,,385.61,387.15,390.76,372.34,364.10,367.94,369.92,372.12,,,,,,,397.14,396.67,394.13,,,,,390.30,371.92,371.43,373.11,382.96,343.95,321.89,,,396.94,407.35,401.17,388.52,395.11,411.25,,,395.63,,,,,,,
1999-10-24 21:46:32.266000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,267.32,270.55,293.56,248.25,255.05,258.26,256.33,387.92,391.02,377.23,372.67,369.90,373.39,376.26,381.12,379.93,383.33,384.36,385.47,390.49,406.66,401.80,399.14,408.45,405.20,,,,,,,,385.32,372.21,346.44,324.22,385.21,373.56,406.84,405.56,,,,,,232.03,413.01,380.24,389.35,392.49,,,,
2000-03-16 21:46:15.139000,L7,362.26,352.92,342.51,345.86,334.56,330.41,332.67,340.06,339.94,345.61,344.39,341.90,346.08,345.64,348.21,357.75,352.49,354.89,354.27,348.77,349.60,348.51,345.36,347.60,339.69,337.67,233.18,247.71,265.78,254.49,258.29,255.97,343.62,357.47,358.14,361.26,359.46,358.28,364.90,357.19,361.59,360.44,,,,,,,,,,,,,,,,401.68,390.31,352.23,328.72,,,,,,,,,,,,,,,,,,
2000-04-01 21:46:10.627000,L7,359.70,355.68,346.04,350.79,350.42,347.74,348.60,344.52,347.28,342.35,351.44,357.39,367.98,,,,,,,,,,,353.91,325.05,341.37,314.05,,,,,,,365.98,370.33,371.55,363.69,362.17,360.42,370.13,,,,,,,,,,,388.22,370.94,376.57,377.89,398.84,373.28,369.06,367.29,368.78,337.42,308.46,,,,397.48,389.70,387.85,379.42,389.57,381.18,,,,,,,,,
2000-05-19 21:45:43.918000,L7,,,,,,,,,,353.84,349.26,347.58,347.53,353.55,356.73,366.47,,,,,,,,290.63,304.60,291.56,231.32,247.62,260.73,259.24,261.81,264.01,349.62,384.35,362.88,366.06,368.64,368.73,367.09,367.34,368.66,373.20,389.82,385.09,401.11,391.22,395.00,394.44,398.86,405.23,,,386.25,375.46,368.73,381.18,370.20,367.98,375.57,348.37,317.12,370.72,375.09,412.77,405.72,411.71,,,,,238.68,403.61,377.14,379.15,381.44,,,,
2000-06-04 21:45:32.324000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,277.01,289.78,344.57,250.37,258.00,266.39,273.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-07 21:44:45.034000,L7,343.41,341.39,339.07,328.22,329.01,340.11,334.15,339.39,340.34,341.82,,,,,,,,,,,,,,,282.87,331.42,228.84,236.52,233.98,242.98,253.77,249.51,388.70,389.85,359.80,383.19,,,,,,,,,,,,,,,,,,384.90,385.13,364.81,364.51,367.40,379.66,341.05,316.20,,,,,,,,,,,,,,,,,,
2000-09-24 21:44:07.338000,L7,374.17,364.64,358.61,349.90,346.84,349.23,352.14,350.81,357.23,355.50,355.39,354.73,352.61,352.96,357.71,360.78,364.59,367.72,365.15,355.04,349.80,353.61,,,264.38,273.76,337.96,241.49,247.53,253.56,256.84,257.15,,,,,,,,,,,,,,,,,,,,,,385.64,378.09,373.39,366.25,376.57,370.38,332.31,319.77,,,,,,,,,,235.55,,,,,,,,
