dates,nzd0211-0000,nzd0211-0001,nzd0211-0002,nzd0211-0004,nzd0211-0005,nzd0211-0006,nzd0211-0007,nzd0211-0008,nzd0211-0009,nzd0211-0010,nzd0211-0011,nzd0211-0065,nzd0211-0066,nzd0211-0067,nzd0211-0068,nzd0211-0069,nzd0211-0072,nzd0211-0073,nzd0211-0074,nzd0211-0075,nzd0211-0076,nzd0211-0077,nzd0211-0003,nzd0211-0012,nzd0211-0013,nzd0211-0014,nzd0211-0015,nzd0211-0016,nzd0211-0017,nzd0211-0018,nzd0211-0019,nzd0211-0020,nzd0211-0021,nzd0211-0022,nzd0211-0023,nzd0211-0024,nzd0211-0025,nzd0211-0026,nzd0211-0027,nzd0211-0028,nzd0211-0029,nzd0211-0030,nzd0211-0031,nzd0211-0032,nzd0211-0036,nzd0211-0037,nzd0211-0038,nzd0211-0039,nzd0211-0040,nzd0211-0041,nzd0211-0042,nzd0211-0043,nzd0211-0044,nzd0211-0045,nzd0211-0046,nzd0211-0047,nzd0211-0048,nzd0211-0049,nzd0211-0050,nzd0211-0051,nzd0211-0052,nzd0211-0053,nzd0211-0054,nzd0211-0055,nzd0211-0056,nzd0211-0057,nzd0211-0058,nzd0211-0059,nzd0211-0060,nzd0211-0061,nzd0211-0062,nzd0211-0063,nzd0211-0064,nzd0211-0070,nzd0211-0071,nzd0211-0078,nzd0211-0033,nzd0211-0034,nzd0211-0035,satname
1999-08-05 21:46:35+00:00,,,,,,229.56,,240.63,,,,,,,300.51,,174.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-08-21 21:46:33+00:00,,,,,,229.56,,240.63,,,,,,,300.51,,174.92,,,,,347.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.74,,,,L7
1999-09-22 21:46:36+00:00,,,,,,229.56,,240.63,,,,,,,300.51,,174.92,,,,,349.8,,,,,,,,,,,,,,,,,,251.54,258.87,262.7,,,214.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.925,,210.59,,L7
2000-03-16 21:46:15+00:00,,,,,,,,,,,,,,,,,,,,,,352.35,,,,,,,,,,,,,,,,,250.1,260.21999999999997,258.66499999999996,262.19,259.98,235.82,212.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.11,216.79,206.405,,L7
2000-04-01 21:46:10+00:00,,,232.64,,,,,,,,,347.16,,,266.17,,172.79,,323.0,,333.56,,,,,,,,,,197.22,213.49,,,,,,,250.1,268.9,258.46,261.68,259.98,235.82,210.14,,,285.81,297.72,284.89,251.16,210.23,217.38,216.74,221.22,278.22,314.37,305.66,307.13,,294.94,290.11,301.2,,,313.68,,,,,,300.55,330.23,293.06,,,216.79,202.22,,L7
2000-06-04 21:45:32+00:00,,,232.64,,,,,,,,,347.16,,,266.17,,172.79,367.48,339.505,361.04,349.845,309.76,,,,,,,,,197.22,213.49,,,,,,,250.1,268.9,258.46,261.68,259.98,235.82,210.14,,,285.81,297.72,284.89,251.16,210.23,217.38,216.74,221.22,278.22,314.37,305.66,307.13,,294.94,290.11,301.2,,,313.68,,,,,,300.55,330.23,293.06,374.04,,216.79,202.22,,L7
2000-09-24 21:44:07+00:00,,,232.64,,,,,,,,,347.16,,,266.17,,172.79,367.48,339.505,361.04,358.97,324.53999999999996,,,,,,,,,197.22,213.49,,,,,,339.44,240.67,249.42,255.08,258.09,259.55,237.25,216.5,,,285.81,297.72,284.89,251.16,210.23,217.38,216.74,221.22,278.22,314.37,305.66,307.13,,294.94,290.11,301.2,,,313.68,,,,,,300.55,330.23,293.06,374.04,324.08,196.06,219.67,,L7
2001-01-14 21:44:09+00:00,,,,,,,,,,,,,,,,,,,,363.27,372.13,335.65,,,,,,,,,,,,,,,,339.44,240.67,249.42,255.08,256.59499999999997,255.38,233.945,205.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.95,217.225,240.32,258.16,L7
2001-04-04 21:43:43+00:00,240.1,245.63,255.49,251.97,,257.98,,259.81,,262.61,253.9,346.47,,,,,189.43,329.56,308.24,339.6,348.46500000000003,320.635,249.64,263.22,261.73,,226.29,,,,212.01,202.48,,,,,,,,,,255.1,251.21,230.64,193.81,,,,,268.62,263.68,217.63,226.99,224.92,228.31,301.82,307.87,305.51,313.47,310.69,319.86,300.13,306.56,,,318.14,,,,,,309.64,326.24,291.43,,303.78999999999996,238.39,260.97,258.16,L7
2001-04-20 21:43:46+00:00,237.445,248.95,251.07999999999998,243.66500000000002,,257.98,,259.81,,262.61,253.9,346.47,,,268.2,,189.43,319.04499999999996,292.595,339.6,348.46500000000003,320.635,240.04,263.22,261.73,,226.29,,,,212.01,202.48,,,,,,,,,,255.1,251.21,230.64,193.81,,,,,268.62,263.68,217.63,226.99,224.92,228.31,301.82,307.87,305.51,313.47,307.45,319.86,300.13,306.56,,,318.14,,,,,,309.64,326.24,277.775,,303.78999999999996,238.39,260.97,258.16,L7
