dates,nzd0212-0000,nzd0212-0001,nzd0212-0002,nzd0212-0003,nzd0212-0004,nzd0212-0005,nzd0212-0006,nzd0212-0007,nzd0212-0008,nzd0212-0014,nzd0212-0015,nzd0212-0016,nzd0212-0017,nzd0212-0018,nzd0212-0019,nzd0212-0020,nzd0212-0021,nzd0212-0022,nzd0212-0023,nzd0212-0024,nzd0212-0025,nzd0212-0026,nzd0212-0027,nzd0212-0028,nzd0212-0029,nzd0212-0030,nzd0212-0031,nzd0212-0032,nzd0212-0033,nzd0212-0034,nzd0212-0035,nzd0212-0036,nzd0212-0037,nzd0212-0042,nzd0212-0043,nzd0212-0044,nzd0212-0045,nzd0212-0046,nzd0212-0047,nzd0212-0048,nzd0212-0049,nzd0212-0050,nzd0212-0051,nzd0212-0052,nzd0212-0053,nzd0212-0054,nzd0212-0055,nzd0212-0056,nzd0212-0057,nzd0212-0058,nzd0212-0059,nzd0212-0060,nzd0212-0061,nzd0212-0062,nzd0212-0009,nzd0212-0010,nzd0212-0011,nzd0212-0012,nzd0212-0013,nzd0212-0038,nzd0212-0039,nzd0212-0040,nzd0212-0041
1999-12-25 21:58:52+00:00,335.85,333.11,309.88,307.24,313.05,305.23,,,,284.19,329.55,,,,357.37,,,,,,,,,,,334.31,333.69,,,,,,,226.41,316.11,,,,,,,,,,,,295.59,306.11,,,279.68,,,,,,,,,,,,
2000-03-30 21:58:33+00:00,347.08000000000004,343.095,324.365,322.1,329.09000000000003,320.65999999999997,320.54,,,284.19,329.55,,,,357.37,,,,,,,,,,,334.31,333.69,,,300.32,216.19,,,226.41,316.11,,,,,,,,,,,,295.59,306.11,,,279.68,,,,,,,,,,,,
2000-08-05 21:57:08+00:00,352.005,347.82,338.85,336.96,345.13,336.09,320.54,,,,,,,,,194.83,,,,,247.05,,,266.85,,301.34,316.1,324.64,290.69,294.89,207.75,,,,,,,280.29,,,269.9,,,,,,,,,,,,,,,,,,,,,,
2001-03-17 21:56:16+00:00,338.26,337.93,314.86,321.18,329.84,322.58,290.66,,,265.97,300.9,271.91,,,,194.23,225.13,270.73,,,249.54,,239.44,,,310.82,327.57,318.72,302.16,,,,,199.97,300.72,,,250.84,271.46,261.26,246.23,,,,,,274.67,269.76,254.78,214.12,,,,,,,,,,,,,
2001-06-05 21:55:40+00:00,331.41499999999996,337.93,323.07500000000005,324.74,331.2,324.39,290.66,,,265.97,300.9,271.91,,,,194.23,225.13,270.73,,,249.54,,239.44,,,310.82,327.57,318.72,302.16,,180.81,,,199.97,300.72,,,250.84,271.46,249.195,232.45,,,,,,274.67,269.76,254.78,214.82,,,,,,,,,,,,,
2001-06-21 21:55:29+00:00,331.41499999999996,337.93,323.07500000000005,324.74,331.2,324.39,290.66,,,265.97,300.9,271.91,,,,194.23,225.13,270.73,,,249.54,,239.44,,,310.82,327.57,318.72,302.16,,191.16,,,199.97,300.72,,,250.84,271.46,257.4633333333333,237.7833333333333,,,,,,274.67,269.76,254.78,214.82,,,,,,,,,,,,,
2001-08-08 21:55:01+00:00,324.53,327.905,309.3233333333333,309.99,317.77,324.39,290.66,,,265.97,300.9,271.91,,,,194.23,225.13,270.73,,,249.54,,239.44,,206.63,310.82,327.57,304.41,302.16,,191.16,,,199.97,300.72,,,250.84,271.46,257.6375,234.7925,,,,,,266.685,260.335,262.135,206.14000000000001,,,,,,,,,,,,,
2001-08-24 21:54:48+00:00,324.53,327.905,311.7375,311.825,319.765,324.39,282.635,,,266.23,302.59,272.305,,,,197.28,227.885,275.545,,,249.54,,235.73000000000002,230.64,226.09,310.82,311.63,302.7633333333334,284.57500000000005,,191.16,,,201.57999999999998,300.72,,,258.145,272.065,258.61,234.93400000000003,,,,,,266.685,260.335,262.135,206.14000000000001,,,,,,,,,,,,,
2001-09-25 21:54:28+00:00,334.5466666666667,339.82,316.89,315.22749999999996,320.8275,326.605,288.44,,,285.495,326.04999999999995,315.66999999999996,355.39,370.38,372.81,200.33,230.64,280.36,359.06,354.97,,336.6,232.02,230.64,226.09,359.36,325.425,315.44666666666666,304.76,284.05,184.66,,,203.19,332.09,335.37,336.08,265.45,272.67,257.9475,232.11,,,,,,258.7,250.91,269.49,202.15000000000003,,,,,,,,,,,,,213.38
2002-02-16 21:54:54+00:00,364.475,361.79999999999995,335.3833333333334,334.2133333333333,329.91999999999996,327.01,288.44,,,292.09999999999997,333.22666666666663,328.6466666666667,353.96500000000003,367.34000000000003,372.81,200.33,230.64,280.36,359.06,354.97,,336.6,232.02,230.64,245.55,358.82,340.31,339.09,311.5566666666667,286.375,171.66,,,203.19,341.86,344.095,343.16499999999996,265.45,272.67,262.5,235.5,,,,,,,,,,,,,,,,,,,,,,218.055
2002-03-20 21:54:48+00:00,361.51,361.79999999999995,343.58500000000004,342.655,334.09,327.01,302.27,,,298.7366666666667,334.9166666666667,344.47666666666663,353.96500000000003,367.3633333333334,372.81,,,,355.55,348.89,,321.49,,,,357.58,366.83666666666664,360.7833333333333,330.6066666666666,285.7366666666667,181.26999999999998,,,,341.86,344.095,343.16499999999996,283.09,,,,,,,,,,,,,,,,,,,,,,,,,218.055
2002-08-27 21:54:00+00:00,342.91499999999996,,286.15,297.14,315.52,303.03,,,,277.485,312.71500000000003,303.82,,367.41,,212.27,229.39,301.64,351.62,327.65,274.64,286.455,267.37,267.75,245.11,336.21500000000003,375.27,347.365,324.14,271.31,190.88,,,197.86,,,,283.47,277.77,272.63,,,,,,,291.12,269.49,273.54,,,,,,,,,,,,,,
2002-10-14 21:53:43+00:00,330.25,,286.15,297.14,315.52,314.085,294.31,,,286.64,331.745,287.45,355.61,368.64,,212.27,229.39,332.15,354.935,333.8,274.64,304.42999999999995,306.03,308.03,300.505,340.0,380.21,345.56,333.78,271.055,195.63,,,223.18,336.97,342.62,349.59,310.96500000000003,302.26,305.73,315.29,,,,,324.27,291.12,269.49,273.54,,,,,,,,,,,,,,198.92
2003-01-18 21:54:30+00:00,336.525,332.9,296.78,300.88,317.99,310.6333333333333,294.31,,,288.81,328.8866666666667,301.855,338.755,355.385,346.88,212.27,229.39,335.45666666666665,354.935,333.8,274.64,308.51,308.06333333333333,309.2033333333333,309.29,334.5366666666667,350.155,335.0833333333333,305.41499999999996,262.65333333333336,195.63,,,223.18,336.97,332.32,330.83,307.43,302.7966666666667,305.73,300.88,,287.51,,288.34,324.27,291.12,285.475,283.8,285.16,,,296.42,,,,,,,,,,198.92
2003-03-23 21:54:40+00:00,342.8,332.9,307.41,304.62,320.46,314.435,294.31,,,298.6633333333333,327.47333333333336,316.26,338.755,355.385,346.88,,,352.365,355.17,350.15,,329.5,328.41,329.93,341.38,343.14,350.155,337.53499999999997,305.41499999999996,264.9,195.63,,,263.1,338.155,332.32,330.83,319.22,315.31,338.83,300.88,,278.235,,287.715,324.27,,301.46,294.06,285.16,,,299.475,,,185.08,,,,,,,213.77999999999997
2003-04-08 21:54:47+00:00,335.685,334.265,307.15,306.315,319.985,310.7733333333333,294.31,,,298.6633333333333,327.47333333333336,316.26,338.755,355.385,346.88,195.5,229.24,352.365,355.17,350.15,,329.5,328.41,329.93,341.38,343.14,350.155,337.53499999999997,305.41499999999996,264.9,195.63,,,263.1,338.155,332.32,330.83,319.22,315.31,338.83,300.88,,278.235,,287.715,324.27,299.44,301.46,294.06,285.16,,,299.475,,,185.08,,,,,,,208.29999999999998
2003-04-24 21:54:46+00:00,338.02666666666664,338.64,307.15,306.315,319.985,303.59,289.94,,,295.64,317.505,316.26,321.9,342.13,346.88,192.83499999999998,227.28500000000003,342.07,341.19500000000005,325.51,251.84,316.67,312.13,311.55,326.86,313.25,324.925,315.145,281.69,259.02,205.56,,,277.7,339.34,322.02,312.07,300.36,303.87,,286.47,,278.235,,287.715,,299.44,301.46,294.06,285.16,,,299.475,,,185.08,,,,,,,212.99
2003-07-21 21:42:33+00:00,326.55333333333334,341.51,306.89,308.01,319.51,303.45,289.94,,,298.13,311.84,,,,,192.83499999999998,227.28500000000003,,341.19500000000005,325.51,251.84,,,,,302.89,313.66999999999996,307.44500000000005,267.90999999999997,272.19,205.56,,,277.7,339.34,,,,,,,,268.96,,287.09,,299.44,,,,,,302.53,,,185.08,,,,,,,212.99
2003-08-06 21:42:51+00:00,322.12,330.75666666666666,303.71500000000003,299.345,319.51,303.45,289.94,,,298.13,311.84,,,,,192.83499999999998,227.28500000000003,,341.19500000000005,325.51,251.84,,,,,302.89,311.59999999999997,305.33,266.8633333333333,272.19,205.56,,,259.02,324.53,,,,,,,,268.96,,287.09,,299.44,270.46,292.47,,,,302.53,,,185.08,,,,,,,206.79
2003-10-25 21:44:04+00:00,311.8433333333333,311.91999999999996,301.365,296.0,303.79,298.68,284.28,,,306.45,327.74,335.25,345.91,347.0,354.44,,,359.05,350.17,,,,,321.16,328.61,342.44,316.71666666666664,315.0333333333333,277.25333333333333,,194.59,,,240.34,314.935,326.71,,,328.07,334.01,329.9,333.8,329.97,,332.18,332.81,328.64,301.225,305.02,304.95,,,,,,,,,,,,,204.005
2004-03-01 21:45:02+00:00,312.36,313.975,302.575,302.21500000000003,303.845,290.52,269.65999999999997,,,306.45,327.74,335.25,345.91,347.0,354.44,,,359.05,347.82000000000005,344.97,,326.02,327.71,326.495,328.49,339.28,343.625,340.12,307.66999999999996,257.45,194.59,,,245.76,322.435,324.7,324.91,310.15,320.64,327.31,316.655,324.37,321.185,318.96,328.85,323.89,323.565,328.75,318.755,302.685,,298.74,309.85,,,,,,,,,,202.65
2004-03-17 21:45:08+00:00,316.8533333333333,317.7833333333333,309.0466666666667,308.35999999999996,309.9866666666667,298.04,271.0466666666667,,,307.61,329.01,338.32,344.33000000000004,349.08500000000004,356.265,,,361.975,347.2,342.18,,325.49,324.935,327.02666666666664,332.41333333333336,341.89000000000004,348.76666666666665,343.84,318.01,257.45,198.995,,,273.145,325.07,327.13,324.91,310.15,322.0933333333333,329.6466666666667,316.2733333333333,327.8333333333333,317.82666666666665,320.62,327.5,322.95666666666665,326.06333333333333,328.14000000000004,318.32,303.63,,305.65,309.85,,,,,,,,,198.79,213.82333333333335
2004-04-18 21:45:49+00:00,318.085,318.78499999999997,311.045,308.09749999999997,307.95,297.9425,267.46,,,298.6466666666667,318.57666666666665,338.32,344.33000000000004,346.1033333333333,354.49333333333334,,238.33,352.6933333333333,344.3125,335.0266666666667,288.64,325.49,297.5566666666667,324.3725,318.8725,338.3575,346.08,341.63,313.765,262.115,198.995,,,276.0733333333333,325.99,324.8775,305.425,296.93500000000006,318.365,321.32,316.2733333333333,322.4525,305.9075,315.32,311.4175,318.62,319.1175,320.775,318.655,293.31,,307.1033333333333,294.46000000000004,,,,,,,,,198.79,215.5625
2004-05-04 21:46:16+00:00,316.505,319.49,309.40999999999997,306.645,307.95,296.1725,259.1925,,,287.3566666666666,305.99666666666667,341.39,342.75,335.8866666666667,354.52,233.76,238.33,349.515,342.35999999999996,335.0266666666667,288.64,325.49,288.8275,325.4433333333333,309.07,326.11,335.29499999999996,331.4125,301.40999999999997,260.24666666666667,203.4,,,270.17,322.5375,324.26666666666665,301.08,292.9266666666667,311.055,313.5425,309.46,312.46500000000003,290.7675,315.32,302.635,313.89000000000004,311.2625,309.395,314.15000000000003,286.19,,307.1033333333333,281.51,,,,,,,,,198.79,214.495
