dates,nzd0217-0000,nzd0217-0016,nzd0217-0017,nzd0217-0018,nzd0217-0019,nzd0217-0020,nzd0217-0021,nzd0217-0022,nzd0217-0023,nzd0217-0001,nzd0217-0002,nzd0217-0003,nzd0217-0006,nzd0217-0007,nzd0217-0008,nzd0217-0009,nzd0217-0010,nzd0217-0013,nzd0217-0014,nzd0217-0015,nzd0217-0024,nzd0217-0025,nzd0217-0026,nzd0217-0027,nzd0217-0028,nzd0217-0030,nzd0217-0031,nzd0217-0032,nzd0217-0033,nzd0217-0034,nzd0217-0035,nzd0217-0036,nzd0217-0037,nzd0217-0038,nzd0217-0039,nzd0217-0040,nzd0217-0041,nzd0217-0042,nzd0217-0043,nzd0217-0044,nzd0217-0045,nzd0217-0046,nzd0217-0047,nzd0217-0048,nzd0217-0049,nzd0217-0050,nzd0217-0051,nzd0217-0052,nzd0217-0053,nzd0217-0054,nzd0217-0055,nzd0217-0056,nzd0217-0057,nzd0217-0058,nzd0217-0059,nzd0217-0060,nzd0217-0061,nzd0217-0062,nzd0217-0063,nzd0217-0064,nzd0217-0065,nzd0217-0066,nzd0217-0067,nzd0217-0068,nzd0217-0069,nzd0217-0070,nzd0217-0071,nzd0217-0072,nzd0217-0073,nzd0217-0074,nzd0217-0075,nzd0217-0076,nzd0217-0077,nzd0217-0078,nzd0217-0079,nzd0217-0080,nzd0217-0081,nzd0217-0082,nzd0217-0083,nzd0217-0084,nzd0217-0085,nzd0217-0086,nzd0217-0087,nzd0217-0088,nzd0217-0089,nzd0217-0090,nzd0217-0091,nzd0217-0092,nzd0217-0093,nzd0217-0094,nzd0217-0095,nzd0217-0096,nzd0217-0097,nzd0217-0098,nzd0217-0099,nzd0217-0100,nzd0217-0107,nzd0217-0108,nzd0217-0109,nzd0217-0110,nzd0217-0111,nzd0217-0112,nzd0217-0113,nzd0217-0114,nzd0217-0115,nzd0217-0116,nzd0217-0117,nzd0217-0129,nzd0217-0130,nzd0217-0131,nzd0217-0132,nzd0217-0133,nzd0217-0134,nzd0217-0135,nzd0217-0136,nzd0217-0143,nzd0217-0144,nzd0217-0145,nzd0217-0146,nzd0217-0147,nzd0217-0148,nzd0217-0149,nzd0217-0150,nzd0217-0151,nzd0217-0152,nzd0217-0153,nzd0217-0154,nzd0217-0155,nzd0217-0171,nzd0217-0172,nzd0217-0173,nzd0217-0174,nzd0217-0175,nzd0217-0176,nzd0217-0177,nzd0217-0184,nzd0217-0185,nzd0217-0186,nzd0217-0187,nzd0217-0239,nzd0217-0240,nzd0217-0241,nzd0217-0242,nzd0217-0243,nzd0217-0244,nzd0217-0245,nzd0217-0246,nzd0217-0029,nzd0217-0012,nzd0217-0101,nzd0217-0102,nzd0217-0103,nzd0217-0104,nzd0217-0105,nzd0217-0106,nzd0217-0121,nzd0217-0122,nzd0217-0123,nzd0217-0124,nzd0217-0125,nzd0217-0126,nzd0217-0127,nzd0217-0137,nzd0217-0138,nzd0217-0139,nzd0217-0140,nzd0217-0141,nzd0217-0142,nzd0217-0156,nzd0217-0157,nzd0217-0158,nzd0217-0189,nzd0217-0190,nzd0217-0191,nzd0217-0192,nzd0217-0193,nzd0217-0227,nzd0217-0228,nzd0217-0229,nzd0217-0230,nzd0217-0231,nzd0217-0232,nzd0217-0004,nzd0217-0128,nzd0217-0005,nzd0217-0118,nzd0217-0119,nzd0217-0120,nzd0217-0159,nzd0217-0160,nzd0217-0161,nzd0217-0162,nzd0217-0163,nzd0217-0164,nzd0217-0165,nzd0217-0166,nzd0217-0167,nzd0217-0168,nzd0217-0169,nzd0217-0170,nzd0217-0188,nzd0217-0194,nzd0217-0195,nzd0217-0196,nzd0217-0197,nzd0217-0198,nzd0217-0199,nzd0217-0212,nzd0217-0213,nzd0217-0214,nzd0217-0215,nzd0217-0216,nzd0217-0217,nzd0217-0218,nzd0217-0219,nzd0217-0220,nzd0217-0221,nzd0217-0222,nzd0217-0233,nzd0217-0234,nzd0217-0235,nzd0217-0236,nzd0217-0237,nzd0217-0238,nzd0217-0249,nzd0217-0250,nzd0217-0251,nzd0217-0252,nzd0217-0253,nzd0217-0254,nzd0217-0255,nzd0217-0256,nzd0217-0257,nzd0217-0258,nzd0217-0259,nzd0217-0260,nzd0217-0261,nzd0217-0262,nzd0217-0263,nzd0217-0264,nzd0217-0270,nzd0217-0271,nzd0217-0272,nzd0217-0273,nzd0217-0274,nzd0217-0275,nzd0217-0276,nzd0217-0277,nzd0217-0278,nzd0217-0279,nzd0217-0280,nzd0217-0181,nzd0217-0182,nzd0217-0183,nzd0217-0281,nzd0217-0282,nzd0217-0283,nzd0217-0284,nzd0217-0285,nzd0217-0295,nzd0217-0296,nzd0217-0297,nzd0217-0298,nzd0217-0299,nzd0217-0300,nzd0217-0301,nzd0217-0302,nzd0217-0303,nzd0217-0011,nzd0217-0247,nzd0217-0268,nzd0217-0269,nzd0217-0178,nzd0217-0179,nzd0217-0180,nzd0217-0200,nzd0217-0203,nzd0217-0204,nzd0217-0205,nzd0217-0206,nzd0217-0207,nzd0217-0223,nzd0217-0224,nzd0217-0225,nzd0217-0226,nzd0217-0248,nzd0217-0292,nzd0217-0293,nzd0217-0294,nzd0217-0309,nzd0217-0310,nzd0217-0311,nzd0217-0312,nzd0217-0313,nzd0217-0314,nzd0217-0288,nzd0217-0289,nzd0217-0304,nzd0217-0305,nzd0217-0306,nzd0217-0201,nzd0217-0202,nzd0217-0210,nzd0217-0211,nzd0217-0290,nzd0217-0291,nzd0217-0208,nzd0217-0267,satname
1999-10-15 21:52:49+00:00,,210.49,208.08,203.86,223.26,232.39,225.33,215.77,197.56,,,,,,,510.83,627.44,,,,212.8,219.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-20 21:52:29+00:00,,210.845,212.85000000000002,212.27,221.755,224.88,217.07,217.53,204.78,,,,,,,510.83,627.44,,,,212.8,219.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-04-24 21:52:10+00:00,,239.31,217.62,220.68,228.265,223.43,211.75,206.70499999999998,200.13,,314.24,272.65,257.91,286.49,,,,216.67,248.34,277.22,245.41,254.26,,237.18,292.46,,,270.57,282.37,,,278.63,252.18,260.86,273.97,,259.23,240.25,249.16,250.37,,,260.15,229.99,,282.29,257.89,270.97,271.61,267.41,293.04,300.99,314.68,274.03,287.49,329.24,290.89,,300.4,269.19,309.39,314.32,304.7,291.46,266.13,,,279.72,280.83,282.39,,289.01,,,,,303.67,300.87,298.48,291.61,294.3,273.15,258.65,268.34,269.36,260.63,254.76,246.07,263.49,252.54,274.89,262.67,254.59,,,261.37,312.57,295.95,291.17,303.21,280.84,304.51,264.64,275.5,279.94,258.2,257.88,278.15,276.0,276.4,308.23,281.79,274.03,292.3,273.91,260.97,277.54,,262.99,265.17,256.92,256.68,249.09,233.84,247.9,259.99,277.24,289.86,289.3,299.71,288.8,289.23,266.81,272.19,263.97,287.58,,,249.06,296.52,296.92,287.31,288.28,293.27,301.34,295.94,289.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-26 21:51:48+00:00,,239.31,217.62,220.68,228.265,223.43,211.75,206.70499999999998,200.13,315.49,314.24,272.65,257.91,286.49,,,,216.67,248.34,277.22,232.34,250.635,,249.475,292.46,,,270.57,282.37,,,262.94,256.245,262.57,273.995,,259.23,240.25,249.16,250.37,,,260.15,229.99,,282.29,257.89,270.97,271.61,267.41,293.04,300.99,314.68,274.03,287.49,329.24,290.89,,300.4,269.19,309.39,314.32,304.7,291.46,266.13,,,279.72,280.83,282.39,,289.01,,,,,303.67,300.87,298.48,291.61,294.3,273.15,258.65,268.34,256.375,250.2,251.235,261.815,254.68,243.89499999999998,261.01,254.135,254.59,,,261.37,312.57,295.95,291.17,303.21,280.84,304.51,264.64,275.5,279.94,258.2,257.88,278.15,276.0,276.4,308.23,281.79,274.03,292.3,273.91,260.97,277.54,,262.99,265.17,256.92,256.68,249.09,233.84,247.9,259.99,277.24,289.86,289.3,299.71,288.8,289.23,266.81,272.19,263.97,287.58,,,249.06,296.52,296.92,287.31,288.28,293.27,301.34,295.94,289.11,294.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-05 21:57:08+00:00,,239.31,217.62,220.68,228.265,223.43,211.75,206.70499999999998,200.13,315.49,314.24,272.65,257.91,286.49,,,,216.67,248.34,277.22,232.34,250.635,,249.475,292.46,,,270.57,282.37,,,262.94,256.245,270.83666666666664,263.88666666666666,,259.23,240.25,249.16,250.37,,,260.15,229.99,,282.29,257.89,270.97,271.61,267.41,293.04,300.99,314.68,274.03,287.49,329.24,290.89,,300.4,269.19,309.39,314.32,304.7,291.46,266.13,,,279.72,280.83,282.39,,289.01,,,,,298.90999999999997,283.45500000000004,298.48,291.61,294.3,273.15,258.65,268.34,256.375,250.2,251.235,261.815,254.68,243.89499999999998,261.01,254.135,254.59,,,261.37,312.57,295.95,291.17,303.21,280.84,304.51,264.64,275.5,279.94,258.2,257.88,278.15,276.0,276.4,308.23,281.79,274.03,292.3,273.91,260.97,277.54,,262.99,265.17,256.92,256.68,249.09,233.84,247.9,259.99,277.24,289.86,289.3,299.71,288.8,289.23,266.81,272.19,263.97,287.58,,,249.06,296.52,296.92,287.31,288.28,293.27,301.34,295.94,289.11,294.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-14 21:50:56+00:00,,239.29999999999998,216.435,213.29500000000002,220.31333333333336,223.43,203.32666666666668,199.14666666666668,194.18666666666664,315.49,314.24,272.65,257.91,286.49,,,,229.85,249.97,264.61,232.34,250.635,,249.475,292.46,243.79,,255.64999999999998,269.025,238.65,249.01,251.32000000000002,250.46,259.9575,263.88666666666666,,259.23,240.25,249.16,250.37,,,260.15,229.99,,282.29,257.89,270.97,271.61,267.41,293.04,300.99,314.68,274.03,287.49,329.24,290.89,,300.4,269.19,309.39,314.32,304.7,291.46,266.13,,,279.72,280.83,282.39,,289.01,,,,,298.90999999999997,283.45500000000004,298.48,291.61,294.3,273.15,258.65,268.34,256.375,250.2,251.235,261.815,254.68,243.89499999999998,261.01,254.135,254.59,,,261.37,312.57,295.95,291.17,303.21,280.84,304.51,264.64,275.5,279.94,258.2,257.88,278.15,276.0,276.4,308.23,281.79,274.03,292.3,273.91,260.97,277.54,,262.99,265.17,256.92,256.68,249.09,233.84,247.9,259.99,277.24,289.86,289.3,299.71,288.8,289.23,266.81,272.19,263.97,287.58,,,249.06,296.52,296.92,287.31,288.28,293.27,301.34,295.94,289.11,294.11,209.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-12-04 21:50:10+00:00,,255.32,215.25,205.91,204.41,,186.48,184.03,182.3,313.7,292.2,257.87,,,,,,243.03,251.6,252.0,,,,257.0,,243.79,282.42,257.52,259.32,244.39,252.54,252.37,235.175,257.34499999999997,243.67,,,,,,,,,268.88,285.34,272.82,270.85,266.64,274.87,265.86,268.2,,337.84,,,326.91,,332.5,,280.65,314.49,311.39,,,,,317.56,316.73,317.83,314.75,,328.41,,320.07,,,301.31,275.28,298.89,299.93,316.52,292.92,252.35,248.22,266.91,273.46,249.93,261.36,,,,297.58,258.52,310.45,303.5,291.32,,,274.17,282.08,306.36,285.44,276.4,258.97,260.24,286.55,,,,295.88,294.73,275.9,292.78,267.74,296.71,266.18,261.08,,283.0,280.04,276.52,273.14,272.22,258.39,,275.42,258.28,263.62,,,,,,,,,,,,,,,,,,,,,209.41,295.41,313.03,,342.52,328.2,341.84,295.58,300.96,277.9,302.05,277.41,280.25,282.99,303.47,303.18,310.42,306.53,273.08,289.89,284.25,292.57,282.7,274.73,304.52,283.06,252.22,263.41,299.63,319.04,322.24,313.55,302.94,301.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-01-05 21:50:16+00:00,,261.88,215.25,205.91,204.41,,186.48,184.03,182.3,305.53999999999996,289.06,261.21500000000003,,,,,,243.03,251.6,248.99,232.66,,,257.0,285.13,243.79,282.42,264.41,264.49,244.39,258.61999999999995,255.88333333333335,242.13,250.55666666666664,258.505,,272.47,241.75,278.89,270.57,,,,268.88,285.34,263.88,284.69,266.64,281.385,287.245,277.92499999999995,291.15,337.84,298.24,320.87,323.55,321.92,332.5,294.16,282.245,298.605,309.03999999999996,301.61,278.3,303.61,333.62,317.53999999999996,316.73,317.83,314.75,,326.685,,304.54499999999996,275.62,279.01,301.31,279.0933333333333,301.855,291.64,306.84000000000003,279.44500000000005,252.35,248.22,266.91,273.46,249.93,261.36,,,,297.58,258.52,310.45,303.5,291.32,,,274.17,282.08,306.36,285.44,276.4,258.97,260.24,286.55,,270.38,280.46,285.505,290.055,275.9,292.78,267.74,296.71,266.18,261.08,,283.0,280.04,276.52,273.14,272.22,258.39,,275.42,258.28,263.62,,,,,,,,,,,,,,,,,,,,,209.41,295.41,313.03,,342.52,328.2,341.84,295.58,300.96,277.9,285.07,289.255,273.86,278.045,303.47,303.18,310.42,306.53,273.08,289.89,284.25,292.57,282.7,274.73,304.52,283.06,252.22,263.41,299.63,319.04,322.24,313.55,302.94,301.76,258.84,279.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-03-10 21:50:10+00:00,336.72,267.66333333333336,253.21,234.81,,229.95,229.27,219.38,192.64,293.08666666666664,275.56,261.21500000000003,,,337.73,518.47,,,,242.935,218.89,214.41,221.77,242.615,285.13,257.19,268.49,265.76,268.895,246.82,262.15333333333336,261.31666666666666,241.32666666666668,234.555,252.805,,256.29,244.095,267.54499999999996,272.38,242.6,232.13,230.82,268.88,285.34,263.88,284.69,266.64,281.385,287.245,277.92499999999995,291.15,337.84,298.24,320.87,323.55,321.92,332.5,294.16,282.245,298.605,309.03999999999996,301.61,278.3,303.61,333.62,317.53999999999996,316.73,317.83,314.75,,326.685,,304.54499999999996,275.62,279.01,308.47,285.62,301.855,291.64,306.84000000000003,279.44500000000005,252.35,248.22,266.91,273.46,249.93,261.36,,,,297.58,258.52,310.45,303.5,291.32,,,274.17,282.08,306.36,285.44,276.4,258.97,260.24,286.55,,270.38,280.46,285.505,290.055,275.9,292.78,267.74,296.71,266.18,261.08,,283.0,280.04,276.52,273.14,272.22,258.39,,275.42,258.28,263.62,,,,,,,,,,,,,,,,,,,,254.47,,295.41,313.03,,342.52,328.2,341.84,295.58,300.96,277.9,285.07,289.255,273.86,278.045,303.47,303.18,310.42,306.53,273.08,289.89,284.25,292.57,282.7,274.73,304.52,283.06,252.22,263.41,299.63,319.04,322.24,313.55,302.94,301.76,258.84,279.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-06-30 21:49:12+00:00,336.72,265.815,253.21,234.81,,229.95,229.27,219.38,192.64,282.78,277.71,278.065,324.07,280.89,337.73,518.47,,,,242.935,218.89,214.41,221.77,228.23,285.13,257.19,254.56,270.8333333333333,292.91999999999996,243.51,265.19500000000005,253.64500000000004,246.26,234.555,252.805,,256.29,244.095,267.54499999999996,272.38,242.6,232.13,230.82,,,277.275,298.53,,287.9,308.63,287.65,291.15,,314.045,320.87,320.19,321.92,,294.16,283.84,282.72,311.135,308.96000000000004,278.3,299.095,335.28499999999997,317.52,,293.6,319.96,342.79,324.96,331.41,293.41999999999996,275.62,279.01,,304.595,304.82,294.76,309.265,265.97,,,,,275.23,,,,,311.15,,325.65,323.4,,333.44,306.03,,334.8,,302.99,306.71,307.48,276.46,282.19,260.17,284.76,309.28499999999997,295.615,305.315,282.46,336.78,,315.19,318.29,308.72,,299.57,302.13,301.8,266.88,261.68,266.78,247.86,262.2,307.42,273.32,299.77,284.25,307.46,272.1,248.03,,,,,,265.62,303.93,306.46,308.65,294.35,294.7,,,,254.47,,324.21,325.9,327.87,340.02,330.36,334.87,315.97,318.38,298.02,274.44,316.19500000000005,267.47,273.1,312.6,311.61,314.64,314.5,283.78,286.97,273.16,282.37,282.8,290.8,273.06,277.02,280.58,,,,,,,302.52,267.48,291.96,296.35,315.65,295.54,315.13,283.64,268.14,265.72,262.75,311.15,310.7,273.72,284.29,294.45,320.71,294.97,285.45,265.62,250.26,243.99,261.94,271.68,280.33,270.82,271.93,270.59,291.49,326.31,270.58,283.05,294.87,291.0,283.55,274.79,272.92,296.69,296.68,305.67,305.07,310.42,304.18,268.32,272.08,294.62,303.11,302.44,275.89,,,,271.11,262.57,272.61,277.53,291.9,288.77,279.14,290.33,291.11,292.46,291.98,318.11,300.44,291.9,293.77,285.67,306.14,282.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
