dates,satname,nzd0223-0000,nzd0223-0001,nzd0223-0002,nzd0223-0003,nzd0223-0004,nzd0223-0005,nzd0223-0006,nzd0223-0007,nzd0223-0008,nzd0223-0009,nzd0223-0010,nzd0223-0011,nzd0223-0012,nzd0223-0013,nzd0223-0014,nzd0223-0015
1999-12-25 21:58:52.197000,L7,359.18,356.38,356.96,341.86,340.43,327.18,335.42,340.20,312.04,,,,,,,
2000-01-10 21:58:52.465000,L7,362.60,361.95,359.62,342.00,343.38,326.00,330.84,338.73,317.26,321.06,,,,,,
2000-03-30 21:58:33.541000,L7,359.96,348.22,354.83,338.34,,,,,,,,,,,,
2000-09-22 21:56:29.431000,L7,381.62,380.17,375.77,368.85,371.63,359.30,374.62,371.25,333.87,331.75,346.38,367.83,355.30,351.45,355.15,369.09
2000-11-09 21:56:21.390000,L7,360.65,361.12,356.69,338.87,338.08,322.15,334.23,337.66,313.76,,,,,,,
2001-03-01 21:56:21.596000,L7,388.52,382.83,377.24,358.36,355.42,296.22,,,,,328.40,370.06,361.16,369.55,345.73,361.68
2001-09-09 21:54:36.880000,L7,397.04,390.73,384.82,367.82,373.27,357.66,370.36,378.88,345.17,377.85,369.66,377.15,370.97,372.27,357.91,366.99
2001-12-30 21:54:37.254000,L7,365.17,360.67,353.32,332.97,335.26,320.87,334.13,331.13,311.41,,,,,,,
2002-02-16 21:54:54.191000,L7,357.90,354.82,355.29,,,,,,,,,,,,,
2002-03-20 21:54:48.224000,L7,358.13,353.61,356.04,340.25,343.07,321.12,338.50,341.30,318.40,,,,,,,
2002-08-27 21:54:00.253000,L7,423.46,421.65,423.82,376.76,431.18,364.59,413.64,404.34,412.08,403.65,404.31,379.42,400.87,404.08,415.74,407.66
2002-10-14 21:53:43.769000,L7,373.43,371.20,365.42,343.83,353.56,340.58,350.35,354.24,325.47,343.29,350.36,367.60,370.62,370.04,359.88,370.19
2003-01-18 21:54:30.278000,L7,353.62,350.64,347.40,335.36,334.41,320.11,,,,,,,,,,
2003-04-08 21:54:47.577000,L7,393.54,382.53,371.48,353.32,364.75,351.42,365.51,376.59,340.33,361.50,367.09,378.92,365.47,372.36,340.19,341.61
2003-04-24 21:54:46.433000,L7,393.12,373.52,380.48,351.88,367.78,363.01,360.06,373.38,337.90,343.82,349.43,370.57,365.18,369.09,330.91,344.64
2005-03-04 21:52:52.217000,L5,,,330.29,313.93,317.37,303.42,317.08,324.95,301.81,,,,,,,
2005-11-15 21:54:26.309000,L5,387.43,373.13,385.08,376.55,363.45,367.68,347.80,348.87,344.32,354.93,352.11,373.97,400.52,,,
2006-02-03 21:56:19.035000,L5,358.65,363.28,355.55,343.43,347.40,336.08,354.28,353.01,330.15,355.66,363.97,365.32,364.28,357.35,341.45,353.20
2009-12-12 21:56:37.955000,L5,332.97,335.11,336.10,318.79,318.34,302.90,318.97,321.23,289.99,,,,,,,
2013-11-21 22:07:37.752000,L8,360.31,359.56,360.69,346.20,341.43,331.33,350.28,346.28,321.05,345.69,348.84,360.59,356.31,358.15,325.44,351.28
2014-01-24 22:07:09.509000,L8,363.81,378.42,372.53,355.46,365.38,353.06,363.16,368.16,346.94,362.77,354.86,374.16,365.45,368.33,345.22,363.99
2015-02-12 22:05:51.250000,L8,346.10,343.89,349.09,334.49,332.04,319.03,335.87,331.33,311.04,332.32,,,,,,
2015-12-29 22:06:09.164000,L8,356.86,356.51,360.38,344.82,342.78,350.39,348.87,352.26,324.78,344.35,350.62,357.03,354.77,353.12,328.26,357.46
2017-01-16 22:06:11.085000,L8,379.97,431.66,378.29,389.71,395.87,361.25,364.17,367.46,,417.13,419.54,414.63,375.22,,,
2017-08-28 22:06:08.010000,L8,,453.56,460.48,426.29,,,,,,,,,,,,
2017-12-02 22:06:10.894000,L8,,,331.71,330.83,323.19,311.56,331.32,322.81,303.38,324.72,,,,,,
2018-03-08 22:05:39.901000,L8,369.91,431.21,406.92,402.28,414.65,,,,,435.43,401.22,368.29,359.88,389.61,408.34,
2018-09-16 22:05:39.825000,L8,,,346.78,336.10,332.15,313.89,337.70,332.27,308.67,332.69,341.37,346.67,341.57,333.88,313.32,323.97
2018-12-05 22:05:56.093000,L8,440.73,368.86,396.75,362.04,354.26,363.68,356.88,365.06,351.22,361.46,391.05,396.01,396.46,386.59,377.38,389.54
2019-02-07 22:05:47.667000,L8,355.19,353.46,353.34,341.96,338.77,333.56,346.84,341.19,321.89,342.53,349.92,353.54,350.65,353.52,324.97,346.28
2020-02-10 22:06:04.888000,L8,,,,,,,,320.36,302.37,352.00,360.47,363.98,339.14,340.43,367.38,377.05
2021-02-12 22:06:07.348000,L8,,,,,,,,,,,340.86,343.25,351.43,339.41,315.84,335.87
2022-01-22 22:06:18.213000,L9,,,328.96,320.51,317.89,312.89,326.35,316.84,297.92,315.68,,,,,,
2022-01-30 22:06:10.369000,L8,345.52,344.80,344.35,331.10,328.75,323.57,337.69,331.94,312.00,327.44,,,,,,
2022-06-15 22:05:39.951000,L9,397.03,350.70,378.45,341.71,341.13,329.88,350.08,345.24,395.99,398.90,398.88,356.80,358.11,366.50,395.63,412.86
2022-09-03 22:06:16.060000,L9,338.92,337.98,331.57,331.50,323.22,,,,,,,,,,,
2022-10-21 22:06:29.540000,L9,,,322.90,323.62,318.75,305.52,331.59,323.08,289.17,319.72,,,,,,
2022-11-30 22:06:35.920000,L8,406.86,401.03,373.91,353.88,360.35,344.04,365.58,363.04,328.32,350.30,360.45,371.67,369.50,363.97,347.02,364.61
2023-08-29 22:06:02.142000,L8,,,328.99,333.63,325.91,305.03,330.08,327.95,294.83,325.07,339.98,336.92,345.60,347.01,321.85,331.05
2024-02-13 22:06:17.947000,L9,,,325.71,330.89,325.25,314.74,332.41,325.49,304.43,320.04,342.78,338.96,349.22,343.56,312.89,342.53
2024-03-16 22:06:11.528000,L9,346.81,343.31,345.63,333.05,331.39,318.83,338.82,333.79,307.90,327.71,341.50,343.35,345.84,345.67,323.21,339.68
2024-04-09 22:05:37.411000,L8,,,,,,307.48,340.19,338.45,311.34,333.47,352.09,348.66,359.09,349.37,325.10,340.31
2024-09-08 22:05:48.031000,L9,,,,,,,,,,,295.22,329.48,339.81,334.85,314.55,336.14
2024-09-24 22:05:49.470000,L9,,,,,,,,,,,,328.69,338.96,332.37,310.33,337.99
2024-10-26 22:06:12.211000,L9,,,,,,,,,,,314.94,332.97,346.29,334.32,310.04,334.28
2025-01-22 22:06:01.605000,L8,,,321.29,320.76,319.50,317.54,327.19,320.07,299.95,315.81,320.47,335.69,338.31,338.29,307.05,336.03
2025-01-30 22:06:08.189000,L9,,,321.28,345.62,319.75,312.28,327.29,319.37,303.38,317.04,317.18,334.87,337.23,339.54,308.48,336.95
2025-02-23 22:05:55.493000,L8,362.11,359.27,363.66,348.91,355.90,340.86,358.26,359.60,328.30,352.81,359.88,366.38,361.38,359.46,342.70,354.17
2025-03-19 22:05:54.855000,L9,,,320.15,329.74,320.98,313.70,331.20,318.77,303.31,319.69,,,,,,
2025-03-27 22:05:40.953000,L8,,,321.97,329.35,322.89,312.58,329.63,322.21,285.58,,,,,,,
2025-04-12 22:05:36.436000,L8,,,333.03,332.64,331.20,318.74,348.50,335.48,305.76,326.92,343.33,341.23,350.27,341.21,324.19,
2025-08-10 22:06:04.262000,L9,341.10,343.18,341.10,333.47,332.15,311.25,343.40,328.69,306.36,324.90,340.97,338.90,347.67,341.02,324.15,313.66
2025-11-06 22:06:19.899000,L8,,,,,,,,,,,317.27,339.08,345.50,338.82,311.45,336.62
