dates,nzd0224-0000,nzd0224-0001,nzd0224-0002,nzd0224-0003,nzd0224-0004,nzd0224-0005,nzd0224-0006,nzd0224-0007,nzd0224-0008,nzd0224-0009,nzd0224-0010,nzd0224-0011,nzd0224-0012,nzd0224-0013,nzd0224-0014,nzd0224-0015,nzd0224-0016,nzd0224-0017,nzd0224-0018,nzd0224-0019,nzd0224-0020,nzd0224-0021,nzd0224-0022,nzd0224-0023,nzd0224-0024,nzd0224-0025,nzd0224-0026,nzd0224-0027,nzd0224-0028,nzd0224-0029,nzd0224-0030,nzd0224-0031,nzd0224-0032,nzd0224-0033,nzd0224-0034,nzd0224-0035,nzd0224-0036,nzd0224-0037,nzd0224-0038,nzd0224-0039,nzd0224-0040,nzd0224-0041,nzd0224-0042,nzd0224-0043,nzd0224-0044,nzd0224-0045,nzd0224-0054,nzd0224-0055,nzd0224-0056,nzd0224-0057,nzd0224-0058,nzd0224-0059,nzd0224-0060,nzd0224-0061,nzd0224-0062,nzd0224-0063,nzd0224-0064,nzd0224-0065,nzd0224-0066,nzd0224-0067,nzd0224-0068,nzd0224-0069,nzd0224-0070,nzd0224-0071,nzd0224-0072,nzd0224-0073,nzd0224-0074,nzd0224-0075,nzd0224-0076,nzd0224-0077,nzd0224-0078,nzd0224-0079,nzd0224-0080,nzd0224-0081,nzd0224-0082,nzd0224-0083,nzd0224-0084,nzd0224-0085,nzd0224-0086,nzd0224-0087,nzd0224-0088,nzd0224-0089,nzd0224-0090,nzd0224-0091,nzd0224-0092,nzd0224-0093,nzd0224-0094,nzd0224-0095,nzd0224-0096,nzd0224-0097,nzd0224-0098,nzd0224-0099,nzd0224-0100,nzd0224-0101,nzd0224-0102,nzd0224-0103,nzd0224-0104,nzd0224-0105,nzd0224-0106,nzd0224-0107,nzd0224-0108,nzd0224-0109,nzd0224-0110,nzd0224-0111,nzd0224-0112,nzd0224-0113,nzd0224-0114,nzd0224-0115,nzd0224-0116,nzd0224-0117,nzd0224-0118,nzd0224-0119,nzd0224-0120,nzd0224-0121,nzd0224-0122,nzd0224-0123,nzd0224-0124,nzd0224-0125,nzd0224-0126,nzd0224-0127,nzd0224-0128,nzd0224-0129,nzd0224-0130,nzd0224-0131,nzd0224-0132,nzd0224-0046,nzd0224-0053,nzd0224-0048,nzd0224-0049,nzd0224-0050,nzd0224-0051,nzd0224-0052,nzd0224-0047
1999-08-21 21:46:33+00:00,,,,,,,,,,,,,,,,,,,351.22,,,,,,,,,,,,,,,,,,,,,,400.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-22 21:46:36+00:00,,,,,,,,,,,,,,,,,,,351.22,,,,,,,,,,,,,,,,,,,,,,400.21,385.83,351.51,325.28,270.36,204.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-24 21:46:32+00:00,309.63,,,279.41,,,,,,,,,,,,,,,346.38,,,297.65,,250.63,219.6,,,,,,,,,,,,,,,,399.985,381.335,343.725,324.43499999999995,270.525,195.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.86,253.22,235.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01 21:46:10+00:00,309.63,,,279.41,,,,296.68,329.8,325.03,,,,340.6,330.79,342.51,276.65,,323.70500000000004,315.51,302.46,316.39,347.27,295.46500000000003,281.675,340.45,,270.36,286.2,,309.73,319.23,252.03,266.6,,,,,,292.03,399.76,360.78999999999996,335.94,323.59,270.69,186.58,,185.54,175.08,172.59,,,,,,,,,,,,,,,,,,,,,,,,281.35,,,272.77,277.56,,,,,225.86,253.22,235.34,,,,,,,,,,,,,,,,,284.19,301.85,,,,,,,,,,,,,,,,,225.01,226.25,,,,,,,,,,,,
2000-05-19 21:45:43+00:00,303.28,243.55,,,,,,296.68,333.555,326.42499999999995,337.0,337.58,342.18,340.01,337.025,335.4,271.685,,287.32,331.48,302.46,335.13,347.27,340.3,343.75,340.45,,270.36,286.2,,309.73,319.23,252.03,266.6,,388.39,364.75,358.63,,292.03,,344.74,,,,,,185.54,175.08,172.59,,312.97,,,,,,,,,,,,,,,,,,,,,,281.35,,,272.77,280.83500000000004,,,,,,,,,,,,,,,,,,238.4,,311.25,,,,284.19,301.85,,,,,276.23,,,,,,,,,,,,225.01,226.25,,,,209.78,,,,,,,,
2000-06-04 21:45:32+00:00,296.855,251.8,209.65,298.8,,,,296.68,333.555,328.75333333333333,334.7,336.5,342.28999999999996,338.4266666666667,338.6166666666667,336.20666666666665,269.62,,287.32,331.48,302.46,335.13,347.27,340.3,343.75,340.45,,270.36,286.2,,309.73,319.23,252.03,266.6,,389.25,375.77,355.9,,292.03,,344.74,,,,,,185.54,175.08,172.59,,313.27,,,,,,,,,,,,,,,,,,,,,,281.35,297.06,288.54,276.56,281.53000000000003,,274.78,,,,,,,,282.34,,,,,,,,238.4,,311.25,303.23,,,284.19,301.85,,,,,276.23,,,,,,,,,,254.12,,225.01,226.25,,,,209.78,,,,,,,,
2000-08-07 21:44:45+00:00,296.855,251.8,209.65,298.8,,,,296.68,333.555,328.75333333333333,334.7,336.5,342.28999999999996,338.4266666666667,338.6166666666667,337.565,270.4475,267.97,290.06,323.9433333333333,302.46,335.13,347.27,340.3,343.75,340.45,,270.36,286.2,,309.73,319.23,252.03,266.6,,389.25,375.77,355.9,,292.03,,344.74,,,,,,185.54,175.08,172.59,,313.27,,,,,,,,,,,,,,,,,,,,,,281.35,297.06,288.54,276.56,281.53000000000003,,274.78,,,,,,,,282.34,,,,,,,,280.295,,311.25,303.23,,,261.1,301.85,,,,,276.23,,,279.24,,,,,,,254.12,,225.01,221.935,,,,212.555,,,,,,,,
2001-01-14 21:44:09+00:00,,,,,,,,,,,,,,313.64,319.82,344.22,273.655,270.46500000000003,303.1,318.03499999999997,,,324.88,,,,,175.58,272.79,332.64,318.7,283.11,285.16,288.64,214.13,,,,265.78,264.2,,325.02,336.94,315.96,262.38,165.58,,,,,,315.07,,,,,,,,,307.01,,,,,,,,,,,,,,,,,,,,,,,,,,293.29,299.11,313.38,316.68,293.6,320.55,321.65,315.96,,322.19,,,,213.53,263.43,273.12,,,,,,,,,279.24,,,,,,,,,,217.62,,,,215.33,,,,,,,,
2001-04-04 21:43:43+00:00,,,,,,,,,,,,,,313.64,319.82,346.8,274.38,272.96,310.66,327.2,,,324.88,,,,,175.58,272.79,332.64,318.7,283.11,285.16,288.64,214.13,,,,265.78,264.2,398.99,352.03,345.905,322.78,271.175,190.305,,,,,,315.07,,,,,,,,,307.01,,,,,,,,,,,,,,,,,,,,,,,,,,293.29,299.11,313.38,316.68,293.6,320.55,321.65,315.96,,,,,,213.53,263.43,308.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-20 21:43:46+00:00,,,,,,,,,,,,,,313.64,319.82,346.8,274.38,272.96,333.27,327.2,,,324.88,,,,,175.58,272.79,332.64,318.7,283.11,285.16,288.64,214.13,,,,265.78,264.2,399.37,361.2733333333333,346.26,322.31333333333333,272.2633333333333,190.39000000000001,,,,,,315.07,,,,,,,,,307.01,,,,,,,,,,,,,,,,,,,,,,,,,,293.29,299.11,313.38,316.68,293.6,320.55,321.65,315.96,,,,,,213.53,263.43,308.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
