dates,satname,nzd0227-0000,nzd0227-0001,nzd0227-0002,nzd0227-0003,nzd0227-0004,nzd0227-0005,nzd0227-0006,nzd0227-0007,nzd0227-0008,nzd0227-0009,nzd0227-0010,nzd0227-0011,nzd0227-0012,nzd0227-0013,nzd0227-0014,nzd0227-0015,nzd0227-0016,nzd0227-0017,nzd0227-0018,nzd0227-0019,nzd0227-0020,nzd0227-0021,nzd0227-0022,nzd0227-0023,nzd0227-0024,nzd0227-0025,nzd0227-0026,nzd0227-0027,nzd0227-0028,nzd0227-0029,nzd0227-0030,nzd0227-0031,nzd0227-0039,nzd0227-0040,nzd0227-0041,nzd0227-0042,nzd0227-0036,nzd0227-0037,nzd0227-0038,nzd0227-0032,nzd0227-0033,nzd0227-0035,nzd0227-0034
1999-09-22 21:46:36.849000,L7,378.80,360.60,354.21,355.40,365.84,379.39,390.70,398.42,376.12,370.50,377.25,355.32,336.24,330.76,326.63,346.68,326.58,316.78,320.58,313.60,310.50,308.53,311.53,330.66,309.54,312.74,307.47,293.62,279.65,276.40,289.47,291.66,,,,,,,,,,,
1999-09-29 21:52:52.243000,L7,362.66,368.14,345.70,352.35,359.23,370.53,381.42,374.34,371.15,372.69,374.71,352.87,337.79,327.71,334.01,341.38,324.51,324.68,310.21,306.69,314.61,305.84,343.35,343.26,314.92,311.55,305.07,302.49,287.98,308.83,282.01,291.50,308.65,307.52,296.49,266.15,,,,,,,
1999-10-15 21:52:49.322000,L7,385.08,367.99,401.84,372.16,368.28,371.24,372.70,374.96,392.84,368.18,377.19,366.21,360.27,359.40,373.54,381.43,363.58,343.61,320.59,322.25,319.49,311.66,319.66,307.19,310.26,316.74,310.03,302.49,289.80,277.63,289.26,287.35,316.41,309.22,304.50,301.13,275.32,290.75,308.17,,,,
1999-10-24 21:46:32.266000,L7,368.58,360.88,374.20,368.26,366.46,378.57,366.78,371.32,380.64,374.18,368.65,363.13,351.23,330.78,329.00,338.03,326.77,320.05,314.53,313.38,311.91,304.76,310.25,304.83,310.47,313.41,305.35,298.52,280.11,271.74,287.34,280.30,307.81,308.57,295.11,299.72,279.40,282.25,287.49,,,,
2000-03-16 21:46:15.139000,L7,365.45,360.87,361.03,373.56,374.73,402.12,395.35,408.96,413.52,388.00,393.16,353.27,350.48,323.54,324.62,334.70,325.69,315.65,308.53,336.98,335.46,303.57,305.88,301.11,313.66,318.73,306.47,296.31,278.81,274.27,295.99,298.66,313.18,310.58,303.25,300.28,,274.87,287.18,,,,
2000-05-26 21:51:48.668000,L7,389.71,370.10,370.61,376.61,366.54,381.34,388.72,378.16,377.60,384.95,381.31,371.92,361.68,350.63,334.88,343.89,344.59,325.40,324.41,330.63,315.19,328.96,332.81,313.46,310.11,319.27,309.80,295.75,284.31,276.91,294.39,272.80,,,,,,,,,,,
2000-07-06 21:45:15.097000,L7,324.81,317.03,300.67,290.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.95,,,,,395.62,346.07,,,,
2000-08-07 21:44:45.034000,L7,390.68,391.13,379.91,376.40,386.08,391.31,377.38,397.08,380.29,364.08,356.98,362.16,367.76,327.13,335.26,342.91,326.21,334.79,317.75,331.08,326.95,330.20,310.90,304.80,311.50,319.46,311.76,299.53,284.53,291.96,294.85,303.38,294.99,301.90,284.60,,280.73,282.71,294.09,302.03,310.27,,
2000-08-14 21:50:56.232000,L7,368.25,368.14,362.84,374.37,376.87,390.44,389.32,376.47,380.28,390.49,390.37,386.74,356.01,343.94,352.09,340.16,334.48,333.72,340.31,315.95,310.72,307.86,312.91,314.82,314.36,316.83,315.67,302.28,287.06,281.95,291.66,,,,,,,,,,,,
2000-12-20 21:50:16.996000,L7,385.37,368.57,349.87,357.55,379.83,394.89,394.04,389.47,392.33,391.29,400.10,397.05,379.92,361.13,355.36,348.76,347.21,352.96,357.89,339.19,333.42,331.32,370.18,352.96,344.20,340.22,330.12,312.66,300.74,303.80,288.49,,327.96,316.51,319.11,313.30,297.57,305.23,313.40,,,303.45,
2001-01-05 21:50:16.585000,L7,,,,,,,,,,,,,,,,,,,,,,385.74,358.81,361.98,359.69,355.20,342.45,344.89,335.84,320.15,324.04,340.44,338.07,325.14,323.79,330.56,315.31,322.06,331.07,359.34,343.98,327.31,330.08
2001-01-14 21:44:09.210000,L7,,,,,,,,,,408.83,412.93,409.44,379.88,365.97,357.98,366.88,370.29,371.25,362.12,365.42,371.68,338.01,340.86,339.76,341.71,341.14,338.84,321.99,342.33,322.43,333.36,323.75,343.58,332.64,342.01,368.19,321.46,322.09,321.59,338.98,336.45,327.11,333.99
2001-03-03 21:44:00.567000,L7,,,347.26,319.86,319.13,334.98,342.08,337.31,344.58,382.52,386.28,381.87,370.83,326.77,325.09,326.82,324.15,311.50,301.73,299.68,297.70,311.10,303.59,301.77,308.40,310.45,302.77,293.71,278.12,268.97,276.66,,307.09,307.00,297.36,286.03,,282.30,289.34,,,,
2001-03-10 21:50:10.732000,L7,,,,,,,,,,,,,390.69,327.10,326.47,344.72,325.76,315.43,305.86,300.18,302.95,303.39,304.02,310.47,310.00,316.85,,,,,,,318.93,308.20,303.76,271.12,280.13,282.17,289.41,,,,
2001-03-26 21:50:01.268000,L7,334.62,322.32,294.57,,,,,,,315.36,317.52,317.75,317.42,303.98,309.91,290.44,309.66,304.61,292.58,296.04,289.35,308.74,309.70,356.77,330.29,316.82,303.49,286.76,285.60,255.28,313.43,342.96,306.56,294.15,292.97,272.08,,271.89,281.44,,,,
2001-04-04 21:43:43.008000,L7,371.83,355.65,345.30,332.83,379.54,398.68,406.40,400.50,379.76,361.89,382.40,372.50,345.64,357.20,334.63,338.61,329.61,324.00,316.99,307.08,319.62,313.48,311.54,313.79,315.00,313.90,328.86,303.32,305.70,300.31,286.03,,312.82,306.35,301.22,263.86,285.09,288.20,297.26,,,,
2001-04-20 21:43:46.702000,L7,387.16,386.97,378.90,374.92,396.43,,,,415.07,376.96,398.79,395.02,376.11,369.87,356.42,356.45,342.47,352.73,346.12,298.95,305.02,299.77,332.39,312.40,319.53,313.99,307.56,297.45,275.96,267.69,269.26,,,,,,,,,,,,
2001-05-22 21:43:30.869000,L7,317.66,312.49,284.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30 21:49:12.248000,L7,368.14,318.09,348.34,347.98,351.11,363.40,376.16,370.09,358.22,373.60,358.81,345.54,350.11,341.57,329.36,337.68,330.55,322.04,308.54,313.86,310.31,282.39,313.78,299.81,310.18,310.63,304.44,292.19,276.99,265.89,278.70,,,,,,,,,,,,
2001-07-25 21:42:54.824000,L7,386.52,353.77,347.09,350.24,369.30,373.20,378.01,372.40,388.31,382.38,381.17,358.04,333.35,336.46,347.37,341.92,327.91,322.01,315.45,303.88,308.87,310.25,306.93,300.31,311.65,323.79,313.86,298.92,281.14,267.52,292.49,,,,,,,,,,,,
2001-08-26 21:42:25.671000,L7,,,,,,,,,,,,,,402.70,393.77,390.84,376.38,369.47,398.09,369.27,371.66,372.99,359.49,368.67,347.67,351.99,343.14,325.26,323.49,313.39,313.95,347.73,336.64,330.95,326.42,310.76,317.09,316.81,322.18,357.41,342.95,322.19,325.69
2001-09-11 21:42:14.303000,L7,392.29,374.88,375.58,370.66,377.04,393.48,370.74,381.77,389.36,380.24,365.09,358.32,355.00,332.70,338.61,348.86,326.68,322.13,309.41,312.28,315.59,307.49,315.30,303.51,312.94,316.87,307.67,295.29,282.04,277.81,281.00,295.46,325.36,314.46,309.34,302.54,286.62,285.76,307.92,329.26,303.68,,
2001-09-18 21:48:17.356000,L7,381.61,372.91,380.34,365.76,377.34,390.09,390.15,389.54,391.67,382.39,382.22,377.81,385.32,366.90,371.51,377.32,360.73,336.49,342.35,323.44,339.04,323.53,356.86,353.26,328.74,319.93,319.90,308.32,297.75,280.26,280.39,,311.62,310.90,301.96,293.83,291.92,298.91,308.91,,,288.48,
2001-09-27 21:42:05.338000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.49,354.07,349.01,353.03,344.48,353.82,347.70,373.66,353.26,347.47,350.48
2001-10-13 21:41:51.963000,L7,,,,,,,,,,,,,,,,,,,270.33,281.09,274.15,272.35,273.45,283.19,294.80,296.14,,,,,,,,,,,,,,,,,
2002-02-02 21:42:30.783000,L7,362.65,344.11,335.49,323.95,332.65,350.34,350.38,370.48,359.88,351.56,357.35,354.06,339.24,330.11,322.50,334.67,322.40,315.98,306.82,298.81,297.13,295.47,300.73,298.64,312.42,312.00,309.00,293.26,278.43,272.35,262.20,,311.40,308.84,301.79,295.19,,286.50,291.68,,,,
2002-02-09 21:48:45.674000,L7,,,,,,,,,,,,,,,,,399.21,354.48,356.33,335.02,331.70,298.17,276.54,265.36,,292.51,335.69,323.43,298.50,264.29,243.08,,,,,,,,,,,,
2002-02-18 21:42:30.251000,L7,,,,,,,,,,,,,,,,,,,367.81,354.63,359.86,345.44,352.20,349.51,356.24,351.37,344.81,345.10,332.59,317.11,320.59,,348.18,339.47,328.30,332.29,330.36,334.17,337.97,374.93,352.88,332.58,338.81
2002-02-25 21:48:47.943000,L7,,,,,,,,,,,,,,,,,,,,,,,,362.21,352.46,355.38,343.35,335.08,318.64,321.33,346.09,,344.71,342.40,338.90,343.40,322.98,325.89,331.80,372.50,350.82,328.14,335.07
2002-03-13 21:48:44.624000,L7,,,,,,,,,,,,,,,,,,,,324.22,336.44,327.28,321.99,329.66,323.41,329.83,318.81,307.15,292.10,286.17,275.72,,346.97,405.52,,,291.93,306.28,378.65,,,289.46,
