dates,nzd0227-0000,nzd0227-0001,nzd0227-0002,nzd0227-0003,nzd0227-0004,nzd0227-0005,nzd0227-0006,nzd0227-0007,nzd0227-0008,nzd0227-0009,nzd0227-0010,nzd0227-0011,nzd0227-0012,nzd0227-0013,nzd0227-0014,nzd0227-0015,nzd0227-0016,nzd0227-0022,nzd0227-0023,nzd0227-0024,nzd0227-0025,nzd0227-0026,nzd0227-0027,nzd0227-0028,nzd0227-0017,nzd0227-0018,nzd0227-0019,nzd0227-0020,nzd0227-0021,nzd0227-0029,nzd0227-0030,nzd0227-0031,nzd0227-0033,nzd0227-0034,nzd0227-0035,nzd0227-0036,nzd0227-0037,nzd0227-0038,nzd0227-0039,nzd0227-0040,nzd0227-0041,nzd0227-0042,nzd0227-0032
1999-09-22 21:46:36+00:00,,,,342.23,,,,,,337.66,,,329.13,,,,,308.19,,307.51,306.15,308.14,293.11,283.76,,,309.31,307.37,303.42,,,,,,294.05,275.37,276.65,,321.14,312.72,303.97,260.85,
1999-10-15 21:52:49+00:00,,,,342.23,,,,,,323.28,,,311.705,,,,,288.6,282.32,298.605,301.49,298.395,285.56,271.855,,,293.32,288.9,287.84000000000003,,,,,,277.31,257.55,262.495,,312.37,305.305,299.33000000000004,259.755,
1999-10-24 21:46:32+00:00,,,,350.38,,,,,,323.28,,,311.705,,,,,288.6,294.95,302.86999999999995,306.4166666666667,302.66333333333336,290.74666666666667,275.76,,,301.6466666666667,297.61333333333334,294.22,303.91,291.36,230.92,276.75,294.0,277.31,257.55,262.495,,316.33,309.57,302.17333333333335,259.755,
2000-02-04 21:52:37+00:00,,,,350.38,,,,,,323.28,,,311.705,,,,,288.6,294.95,302.86999999999995,306.4166666666667,302.66333333333336,290.74666666666667,275.76,,,301.6466666666667,297.61333333333334,294.22,303.91,291.36,230.92,276.75,294.0,277.31,257.55,252.14333333333332,,316.33,309.57,302.17333333333335,246.73333333333335,
2000-05-03 21:45:55+00:00,310.68,301.39,,259.19,,,,,269.5,269.64,,,286.08,243.11,270.09,259.65,,,244.02,258.53,,,,,,,,,,,,,,,,,231.44,,,288.97,,221.865,
2000-05-26 21:51:48+00:00,313.92,300.765,329.62,270.02,274.0,311.55,316.51,299.57,275.645,269.64,338.97,330.2,299.41999999999996,246.445,270.17499999999995,260.63,284.68,264.05,263.96500000000003,274.91999999999996,,,,,301.93,,296.57,281.72,271.2,,,,,,,,231.44,,,289.9,,221.865,
2000-07-06 21:45:15+00:00,316.06,305.5233333333333,314.06,277.18666666666667,281.575,314.93,320.345,312.83500000000004,275.645,269.64,335.78,329.875,309.76666666666665,246.445,266.43333333333334,263.68666666666667,290.595,264.05,263.96500000000003,274.91999999999996,,,,,300.12,305.53,294.205,281.72,271.2,,,,,,,,231.44,,,289.9,,221.865,
2000-08-14 21:50:56+00:00,327.0675,317.3025,314.06,277.18666666666667,281.575,314.93,320.345,328.6466666666667,275.645,269.64,335.78,341.97333333333336,318.48749999999995,246.445,266.43333333333334,263.68666666666667,304.51666666666665,264.05,275.48333333333335,286.7966666666667,310.87,311.31,299.3,288.45,310.12,322.09,300.11999999999995,295.58000000000004,288.83,301.44,291.21,223.26,299.49,297.06,,,,,318.43,297.53000000000003,296.56,234.445,
2000-12-20 21:50:16+00:00,340.215,333.84000000000003,298.5,291.52,289.15,318.31,324.18,343.18500000000006,,,332.59,347.86,337.55499999999995,,258.95,269.8,314.43499999999995,,298.52,310.55,310.87,311.31,299.3,288.45,314.21500000000003,322.09,301.895,309.44,306.46,301.44,291.21,223.26,299.49,297.06,,,220.17,244.07,291.35,312.79,296.56,245.85,
2001-01-14 21:44:09+00:00,360.09,352.64,,,,,,360.27,,,,366.17,344.65,,,,332.36,,298.52,310.55,310.87,311.31,318.595,288.45,330.12,338.65,311.95,309.44,326.24,316.3,291.21,223.26,299.49,297.06,,,220.17,244.07,291.35,328.83000000000004,296.56,245.85,356.43
2001-03-03 21:44:00+00:00,,287.33,263.09,240.34,,,281.36,,254.92,255.63,,,,269.91,280.0,283.07,,235.35,250.72,257.39,265.54,266.56,296.95,237.92,256.87,,227.43,,285.89,331.16,,,,,235.72,219.62,235.795,255.69,275.34000000000003,306.18,,237.89,356.43
2001-03-10 21:50:10+00:00,329.87,300.28499999999997,282.615,255.27499999999998,277.06,310.05,296.97,,271.87,255.63,313.23,,,281.82000000000005,290.755,294.325,304.17,251.64999999999998,263.12499999999994,273.455,280.54,277.46000000000004,290.72666666666663,248.71999999999997,265.65,,243.58,,276.63666666666666,331.16,,,,,244.19,229.42000000000002,242.20666666666668,262.19,282.31,306.4766666666667,296.41,245.14,356.43
2001-04-20 21:43:46+00:00,317.15,299.05333333333334,279.7,253.68666666666664,265.425,310.05,292.22,,268.18333333333334,260.195,293.51,,,281.82000000000005,284.42,287.61999999999995,290.925,254.01999999999998,265.4833333333333,272.3833333333333,284.59666666666664,275.8966666666667,283.67499999999995,250.61333333333332,268.1766666666667,,249.67666666666665,,271.7725,331.16,,,,,233.9333333333333,229.84666666666666,239.3525,260.42,283.325,302.63,296.41,238.99333333333334,356.43
