dates,satname,nzd0229-0000,nzd0229-0001,nzd0229-0002,nzd0229-0003,nzd0229-0004,nzd0229-0005,nzd0229-0006,nzd0229-0007,nzd0229-0008,nzd0229-0009,nzd0229-0010,nzd0229-0011,nzd0229-0012,nzd0229-0013,nzd0229-0014,nzd0229-0015,nzd0229-0016,nzd0229-0017,nzd0229-0018,nzd0229-0019,nzd0229-0020,nzd0229-0021,nzd0229-0022,nzd0229-0023,nzd0229-0024,nzd0229-0025,nzd0229-0026,nzd0229-0027,nzd0229-0028,nzd0229-0029,nzd0229-0030,nzd0229-0031,nzd0229-0032,nzd0229-0033,nzd0229-0034,nzd0229-0035,nzd0229-0036,nzd0229-0037,nzd0229-0038,nzd0229-0039,nzd0229-0040,nzd0229-0041,nzd0229-0042,nzd0229-0043,nzd0229-0044,nzd0229-0045,nzd0229-0046,nzd0229-0047,nzd0229-0048,nzd0229-0049,nzd0229-0050,nzd0229-0051,nzd0229-0052,nzd0229-0053,nzd0229-0054,nzd0229-0055,nzd0229-0056,nzd0229-0057,nzd0229-0058,nzd0229-0059,nzd0229-0060,nzd0229-0061,nzd0229-0062,nzd0229-0063,nzd0229-0064,nzd0229-0065,nzd0229-0066,nzd0229-0067,nzd0229-0068,nzd0229-0069,nzd0229-0070,nzd0229-0071,nzd0229-0072,nzd0229-0073,nzd0229-0074,nzd0229-0075,nzd0229-0076,nzd0229-0077,nzd0229-0078,nzd0229-0079,nzd0229-0080,nzd0229-0081,nzd0229-0082,nzd0229-0083,nzd0229-0084,nzd0229-0085,nzd0229-0086,nzd0229-0087,nzd0229-0088,nzd0229-0089,nzd0229-0090,nzd0229-0091,nzd0229-0092,nzd0229-0093,nzd0229-0094,nzd0229-0095,nzd0229-0096,nzd0229-0097,nzd0229-0098,nzd0229-0099,nzd0229-0100,nzd0229-0101,nzd0229-0102,nzd0229-0103,nzd0229-0104,nzd0229-0105,nzd0229-0106,nzd0229-0107,nzd0229-0108,nzd0229-0109,nzd0229-0110,nzd0229-0111,nzd0229-0112,nzd0229-0113,nzd0229-0114,nzd0229-0115,nzd0229-0116,nzd0229-0117,nzd0229-0118,nzd0229-0119,nzd0229-0120,nzd0229-0121,nzd0229-0122,nzd0229-0123,nzd0229-0124,nzd0229-0125,nzd0229-0126,nzd0229-0127,nzd0229-0128,nzd0229-0129,nzd0229-0130,nzd0229-0131,nzd0229-0132,nzd0229-0133,nzd0229-0134,nzd0229-0135,nzd0229-0136,nzd0229-0137,nzd0229-0138,nzd0229-0139,nzd0229-0140,nzd0229-0141,nzd0229-0142,nzd0229-0143,nzd0229-0144,nzd0229-0145,nzd0229-0146,nzd0229-0147,nzd0229-0148,nzd0229-0149,nzd0229-0150,nzd0229-0151,nzd0229-0152,nzd0229-0153,nzd0229-0154,nzd0229-0155,nzd0229-0156,nzd0229-0157,nzd0229-0158,nzd0229-0159,nzd0229-0160,nzd0229-0161,nzd0229-0162,nzd0229-0163,nzd0229-0164,nzd0229-0165,nzd0229-0166,nzd0229-0167,nzd0229-0168,nzd0229-0169,nzd0229-0170,nzd0229-0171,nzd0229-0172,nzd0229-0173,nzd0229-0174,nzd0229-0175,nzd0229-0176,nzd0229-0177,nzd0229-0178,nzd0229-0179,nzd0229-0180,nzd0229-0181,nzd0229-0182,nzd0229-0183,nzd0229-0184,nzd0229-0185,nzd0229-0186,nzd0229-0187,nzd0229-0188,nzd0229-0189,nzd0229-0190,nzd0229-0191,nzd0229-0192,nzd0229-0193,nzd0229-0194,nzd0229-0195,nzd0229-0196
1999-08-12 21:52:44.265000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,404.49,411.19,387.14,386.72,388.70,392.93,418.53,402.31,426.15,397.32,406.40,392.11,404.75,396.97,406.29,398.96,404.48,401.34,397.63,399.70,390.73,395.58,382.25,393.35,386.66,396.46,392.57,398.99,408.74,391.89,406.01,402.64,387.14,401.67,409.76,412.49,411.47,394.55,387.06,388.38,372.99,382.20,368.82,381.04,376.00,383.54,377.73,382.47,375.63,359.79,365.01,352.56,353.06,350.92,356.68,365.30,370.93,373.89,376.43,385.93,394.80,398.29,366.07,376.25,372.62,367.84,373.90,386.92,,383.48,386.53,383.05,384.16,384.18,392.99,396.63,414.25,395.11,393.28,392.28,386.01,385.49,393.83,392.57,386.89,392.36,389.48,398.68,393.29,390.93,392.42,389.75,396.17,390.81,391.40,384.81,394.74,392.46,395.50,,,,,,,,,,395.25,389.20,383.86,380.24,380.97,403.53,,,,,,,,,,,,,,,393.59,389.53,364.49,356.25,372.56,381.08,372.43,364.62,375.30,386.02,376.91,377.04,374.56,374.92,380.61,387.11,392.46,385.79,403.48,413.28,400.80,411.79,376.39,415.35,386.10,405.69,405.57,379.02,366.02,382.68,361.22,372.95,362.91,359.84,364.02,376.56,358.78,370.20,361.63,368.34,369.47,382.60,423.94,
1999-09-29 21:52:52.243000,L7,393.08,396.70,395.56,392.99,387.13,388.39,383.09,388.13,396.10,394.78,393.96,388.82,387.94,382.28,388.68,384.05,388.34,392.42,392.77,385.71,382.04,389.28,383.45,395.58,378.64,386.08,373.19,372.14,377.81,375.78,376.11,367.62,373.66,375.42,372.41,369.36,370.20,368.00,370.83,388.21,378.32,385.19,388.57,381.65,371.20,374.26,373.31,374.31,366.66,355.68,378.22,383.41,386.86,382.85,393.05,385.24,389.88,379.67,375.39,376.78,365.76,368.26,362.80,366.50,368.75,368.24,369.37,363.25,369.45,364.32,366.26,358.54,355.25,354.38,353.36,341.22,338.55,334.53,333.50,341.84,342.55,359.72,361.70,365.08,365.35,369.60,362.66,370.15,358.77,357.05,364.21,362.86,361.12,358.20,363.23,369.35,373.70,363.83,375.60,368.15,380.00,378.47,367.58,384.06,366.64,365.60,368.28,367.75,364.82,363.97,361.68,361.89,363.87,364.18,364.36,360.74,362.73,361.60,363.21,356.01,364.65,362.76,369.42,365.87,365.97,373.13,370.19,373.48,367.84,374.65,367.96,378.66,370.90,367.39,366.88,360.45,359.25,358.74,367.47,360.57,361.97,357.90,350.72,351.15,349.60,351.29,354.86,364.00,364.61,362.71,357.13,369.99,361.73,363.27,355.26,354.80,350.62,363.25,364.91,357.22,360.47,358.36,357.41,353.68,360.68,356.98,357.55,352.20,373.47,362.17,374.13,371.41,373.04,373.92,398.61,377.53,367.46,375.49,369.28,362.68,348.61,359.44,361.70,355.66,359.79,350.42,358.01,362.52,361.31,362.27,351.71,351.11,353.44,348.14,359.60,362.21,364.78
1999-10-15 21:52:49.322000,L7,362.81,371.57,449.55,,,,439.09,403.92,393.50,373.52,352.33,384.34,437.61,,,,363.04,333.44,322.96,346.57,339.79,348.00,348.95,347.60,340.72,342.66,334.94,336.86,339.04,339.02,342.60,344.62,346.47,339.09,344.85,341.52,338.20,340.60,319.35,325.52,326.23,327.88,323.66,328.15,346.66,349.76,,,,,,,,,,,,,,,,,,,,305.74,307.24,305.14,309.08,319.71,312.23,306.86,397.87,320.84,291.67,331.43,326.66,,,,,,,,,284.32,293.38,349.72,293.59,300.37,294.34,319.20,306.18,310.99,306.73,310.64,316.36,319.63,325.23,330.92,334.03,338.75,338.95,320.30,316.72,307.89,313.67,306.15,329.26,316.12,320.82,310.31,308.56,296.67,309.83,288.43,303.26,307.47,314.51,306.01,287.10,309.81,288.12,310.46,311.36,290.32,316.71,319.09,313.54,331.04,307.64,329.25,303.54,298.30,300.09,332.12,304.84,328.07,317.44,314.15,320.96,307.19,289.88,294.44,291.06,287.58,,,,,,,,,,,281.47,282.08,282.64,280.23,298.34,,,290.00,291.13,290.25,299.21,285.32,274.19,307.04,313.06,309.65,305.25,308.83,315.13,307.97,311.00,311.64,324.23,312.26,304.91,309.10,308.13,303.94,306.83,302.52,305.17,305.35,305.92,301.44,298.79,296.69,294.64,299.89,306.47,307.25,298.38
2000-02-04 21:52:37.377000,L7,389.76,393.71,404.99,384.63,396.87,396.23,397.27,395.58,411.68,415.07,416.88,418.91,,,,,416.72,425.54,400.09,395.27,404.38,412.88,395.89,392.83,386.54,376.26,376.38,374.22,369.95,381.36,385.64,400.98,398.60,421.13,414.61,,,,423.98,382.92,388.86,388.43,391.30,391.33,400.06,404.63,391.19,375.09,376.59,376.73,374.12,379.35,382.25,386.24,410.23,401.24,395.09,389.29,392.82,394.97,402.98,395.42,406.00,400.56,396.02,386.73,388.29,385.12,388.02,378.14,401.89,379.65,378.63,364.76,354.81,348.53,352.73,361.25,354.56,356.97,372.29,367.90,379.14,374.45,,,,,,,,,377.46,386.33,372.02,375.32,380.97,378.92,374.32,383.78,384.02,391.29,390.77,385.16,370.67,371.38,374.79,379.01,388.50,394.14,408.32,,,,,,,,,,364.27,374.34,372.38,376.04,382.96,392.40,386.37,369.99,374.34,366.55,370.06,368.19,371.36,364.21,371.46,360.90,378.62,375.63,375.83,365.42,356.52,358.74,359.17,368.54,369.12,360.42,348.03,359.59,359.57,352.95,353.97,352.86,352.94,365.03,368.42,376.91,366.51,355.88,356.41,358.71,354.11,349.55,359.22,373.34,370.80,361.45,353.05,360.82,367.95,374.74,364.61,368.35,355.26,362.59,358.72,364.81,364.18,360.08,362.33,366.59,376.73,376.08,367.73,373.84,378.90,366.13,368.83,361.44,362.43,355.73,356.29,355.81,361.80,364.37,360.87,368.59,367.50
2000-02-20 21:52:29.720000,L7,351.01,,,336.97,349.29,359.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.93,290.84,290.58,284.26,288.17,289.41,268.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.76,294.22,299.53,297.64,297.51,299.81,,,,,,,,,,,,,,,,,,,,
2000-04-24 21:52:10.308000,L7,,,338.03,330.95,377.82,330.10,370.87,,,,,,,,,,,,304.56,333.84,351.39,329.01,334.19,324.14,331.87,370.71,365.66,313.30,333.40,354.30,,,,,,,,,,,365.32,422.56,419.41,415.98,424.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.20,308.06,311.84,292.49,280.70,293.78,302.57,298.33,310.74,310.94,321.14,306.21,304.08,310.91,300.11,304.76,311.39,317.70,330.71,310.55,314.34,309.07,301.15,308.14,308.07,310.84,309.17,310.25,326.35,307.98,320.18,311.95,343.34,311.53,321.59,323.53,316.65,316.50,297.62,292.47,307.31,301.20,352.45,384.70,347.75,367.17,410.79,,,,370.51,308.53,310.85,314.36,310.46,309.35,303.39,296.29,294.08,289.59,296.77,297.22,302.02,303.78,300.35,333.48,302.94,293.50,,,,,,286.46,305.45,289.80,295.36,304.94,321.43,281.33,296.03,323.53,326.39,309.32,333.81,314.42,303.70,308.61,313.00,314.41,316.40,311.95,322.58,320.19,,,,298.05,320.69,313.44,305.83,308.88,311.48,316.10,313.50,323.07,308.09,306.21,287.31,341.57,329.64,317.72,312.67,
2000-05-26 21:51:48.668000,L7,414.73,404.42,410.44,395.75,390.27,390.38,374.48,417.17,369.76,364.58,401.16,404.07,375.96,366.62,355.06,,417.19,421.34,413.52,410.50,398.62,396.49,386.60,386.68,354.93,381.03,357.53,366.50,353.81,416.43,380.78,347.83,358.14,354.55,394.68,401.23,376.64,360.90,368.50,392.09,364.69,374.35,429.02,410.68,420.13,411.02,432.87,408.43,402.52,361.24,379.52,345.91,338.62,332.03,,334.93,346.02,336.62,344.79,429.05,385.20,341.67,375.14,376.13,350.83,366.51,406.91,396.75,382.77,401.08,393.67,411.48,409.60,390.53,370.40,359.65,347.46,376.44,334.89,339.06,331.50,319.33,335.85,329.92,340.92,325.94,320.01,322.58,355.50,334.60,370.56,354.62,353.54,357.18,372.52,356.91,328.29,346.26,330.88,328.57,349.98,360.02,344.68,345.80,358.07,352.74,333.50,343.19,331.83,335.81,406.20,,372.29,388.22,346.53,347.54,342.56,354.99,347.54,351.14,330.01,320.35,316.14,352.06,346.77,376.00,378.39,372.02,347.32,341.57,343.63,341.96,324.25,329.56,336.68,333.94,338.71,318.31,343.81,334.52,335.51,314.00,332.84,318.50,381.87,306.02,337.46,374.72,342.43,340.75,344.43,304.78,313.95,320.65,315.46,303.52,324.78,349.06,371.12,345.92,335.81,342.52,345.31,347.03,343.71,336.32,330.76,336.02,324.94,325.01,322.60,322.02,327.15,331.50,338.49,333.08,337.55,329.61,341.43,330.15,330.33,324.19,329.67,329.16,322.36,326.00,312.32,316.24,316.16,315.37,324.23,316.34,314.04,342.11,325.17,312.37,315.03
2000-08-14 21:50:56.232000,L7,425.43,407.43,412.85,405.62,398.91,403.03,411.30,404.71,401.86,405.36,410.05,419.34,416.16,409.24,404.94,405.56,394.70,401.04,381.36,387.17,384.05,381.14,394.93,390.28,388.01,380.19,382.02,375.26,382.08,383.32,390.29,395.59,392.13,393.55,398.44,393.19,387.60,393.67,397.83,406.53,406.59,410.48,393.33,390.93,397.73,388.63,387.20,379.57,383.03,385.78,390.45,394.34,386.41,383.64,383.88,390.14,392.12,391.52,390.52,389.91,390.75,393.77,388.27,397.29,397.01,,,,,,,,,,377.00,364.65,357.96,363.58,360.44,370.74,376.43,371.36,369.38,371.26,371.98,378.39,374.33,369.73,379.92,371.04,372.84,368.31,376.14,362.49,367.54,367.95,376.02,374.08,383.72,381.65,380.84,381.06,370.37,394.22,375.25,379.45,373.24,364.99,364.44,368.65,380.03,371.19,394.20,387.49,390.34,397.20,394.87,389.33,392.40,384.32,388.66,387.47,387.97,389.88,385.31,381.04,367.36,368.04,368.23,371.19,369.94,384.24,372.76,368.00,378.56,372.65,378.15,373.44,370.84,363.65,379.18,365.83,358.64,360.18,356.85,364.62,366.86,377.65,369.71,379.19,382.44,391.96,379.02,396.67,366.98,367.76,368.97,365.49,363.52,359.92,361.95,371.01,363.84,367.25,375.19,368.52,368.82,358.73,370.40,382.36,373.62,381.44,385.49,393.93,388.80,384.95,389.36,386.90,374.15,387.62,376.74,380.44,371.46,379.13,371.59,372.66,365.17,372.71,367.93,361.95,360.90,365.91,375.12,374.37,381.62,392.13,399.56
2000-09-15 21:50:25.712000,L7,366.50,356.57,360.39,355.29,357.84,355.17,360.68,357.38,362.63,364.09,366.36,363.93,362.68,367.49,367.54,332.30,341.88,351.85,354.25,354.81,355.70,356.63,349.58,344.90,342.74,348.02,336.04,333.07,334.96,337.21,342.56,345.72,347.36,343.27,346.36,349.18,342.78,342.65,346.46,358.75,358.15,346.87,348.02,,,,,328.34,342.70,337.60,334.89,331.44,338.76,339.00,343.16,338.02,340.39,349.82,342.36,345.20,335.01,324.54,309.16,329.85,335.27,345.23,344.07,311.69,304.81,312.45,303.59,336.12,339.40,326.03,,312.96,312.23,285.46,315.13,320.48,322.69,316.95,324.20,320.47,317.34,334.96,323.09,314.68,294.45,314.18,316.28,316.06,317.59,322.24,318.35,327.10,326.12,330.81,336.48,332.97,334.25,335.58,330.34,328.89,330.10,324.58,320.45,327.51,338.73,336.60,329.16,326.29,332.91,339.43,328.81,322.66,313.44,315.06,311.51,312.15,309.69,312.93,336.35,326.27,331.04,326.45,321.53,319.38,319.28,324.75,314.11,324.09,322.66,323.64,331.50,317.81,318.85,328.16,334.97,315.32,308.28,309.31,297.96,294.13,293.73,297.54,296.16,300.39,315.78,312.62,307.82,307.11,303.67,303.28,295.17,290.15,301.64,305.14,302.21,302.20,300.34,304.68,296.71,306.19,309.42,321.00,309.80,313.36,315.71,310.23,311.65,309.07,309.46,314.47,317.97,322.50,317.36,310.77,322.48,316.29,324.63,317.44,319.42,317.57,314.01,311.87,313.80,324.32,316.07,308.40,300.36,306.20,309.14,303.60,308.11,317.95,322.14
2000-10-17 21:50:01.277000,L7,390.69,381.80,383.18,378.63,389.23,375.46,381.23,386.15,385.80,402.82,385.70,388.27,390.79,394.40,393.58,380.28,382.87,374.34,383.87,379.92,381.58,382.24,388.88,395.91,389.44,382.07,361.64,368.98,356.65,369.88,367.70,370.13,375.52,372.94,382.99,376.93,377.76,370.97,373.57,373.74,387.22,385.56,381.05,363.04,366.48,370.17,373.67,372.20,375.46,384.41,376.93,380.71,384.21,383.45,388.33,384.14,388.02,384.01,379.73,374.30,390.62,385.91,380.35,367.39,377.81,374.06,369.70,354.11,355.10,358.06,367.34,366.64,361.47,356.12,342.77,334.53,329.57,335.14,342.41,345.72,365.65,371.32,376.45,375.02,375.10,370.41,368.66,356.66,354.33,357.90,367.27,372.58,359.82,362.79,347.82,358.26,358.92,370.70,371.98,377.08,360.64,361.37,380.10,380.34,375.53,375.82,395.50,,,,,,,,,,,,406.82,397.17,373.71,371.96,358.84,367.26,362.57,357.07,351.73,347.09,358.00,352.60,350.71,357.88,367.08,368.14,375.39,377.43,384.58,393.67,374.64,366.98,354.77,351.74,355.75,358.91,352.78,349.84,345.63,352.93,363.27,354.71,352.86,350.55,352.28,353.34,358.18,336.76,343.93,337.70,351.39,347.79,352.27,351.23,360.24,356.74,369.79,358.14,348.81,345.50,341.56,350.20,341.97,346.31,350.70,362.98,355.50,353.56,355.99,352.66,354.18,357.81,354.34,353.15,366.39,355.47,356.35,342.95,346.18,342.60,349.35,350.11,348.69,348.41,355.43,349.77,356.03,362.06,363.24
