dates,nzd0229-0000,nzd0229-0001,nzd0229-0002,nzd0229-0003,nzd0229-0004,nzd0229-0005,nzd0229-0006,nzd0229-0007,nzd0229-0008,nzd0229-0009,nzd0229-0010,nzd0229-0011,nzd0229-0012,nzd0229-0013,nzd0229-0014,nzd0229-0015,nzd0229-0016,nzd0229-0017,nzd0229-0018,nzd0229-0019,nzd0229-0020,nzd0229-0021,nzd0229-0022,nzd0229-0023,nzd0229-0024,nzd0229-0025,nzd0229-0026,nzd0229-0027,nzd0229-0028,nzd0229-0029,nzd0229-0030,nzd0229-0031,nzd0229-0032,nzd0229-0033,nzd0229-0034,nzd0229-0035,nzd0229-0036,nzd0229-0037,nzd0229-0038,nzd0229-0039,nzd0229-0040,nzd0229-0041,nzd0229-0042,nzd0229-0043,nzd0229-0044,nzd0229-0045,nzd0229-0046,nzd0229-0047,nzd0229-0048,nzd0229-0049,nzd0229-0050,nzd0229-0051,nzd0229-0052,nzd0229-0053,nzd0229-0054,nzd0229-0055,nzd0229-0056,nzd0229-0057,nzd0229-0058,nzd0229-0059,nzd0229-0060,nzd0229-0061,nzd0229-0062,nzd0229-0063,nzd0229-0064,nzd0229-0065,nzd0229-0066,nzd0229-0067,nzd0229-0068,nzd0229-0069,nzd0229-0070,nzd0229-0071,nzd0229-0072,nzd0229-0073,nzd0229-0074,nzd0229-0075,nzd0229-0076,nzd0229-0077,nzd0229-0078,nzd0229-0079,nzd0229-0080,nzd0229-0081,nzd0229-0082,nzd0229-0083,nzd0229-0084,nzd0229-0085,nzd0229-0086,nzd0229-0087,nzd0229-0088,nzd0229-0089,nzd0229-0090,nzd0229-0091,nzd0229-0092,nzd0229-0093,nzd0229-0094,nzd0229-0095,nzd0229-0096,nzd0229-0097,nzd0229-0098,nzd0229-0099,nzd0229-0100,nzd0229-0101,nzd0229-0102,nzd0229-0103,nzd0229-0104,nzd0229-0105,nzd0229-0106,nzd0229-0107,nzd0229-0108,nzd0229-0109,nzd0229-0110,nzd0229-0111,nzd0229-0112,nzd0229-0113,nzd0229-0114,nzd0229-0115,nzd0229-0116,nzd0229-0117,nzd0229-0118,nzd0229-0119,nzd0229-0120,nzd0229-0121,nzd0229-0122,nzd0229-0123,nzd0229-0124,nzd0229-0125,nzd0229-0126,nzd0229-0127,nzd0229-0128,nzd0229-0129,nzd0229-0130,nzd0229-0131,nzd0229-0132,nzd0229-0133,nzd0229-0134,nzd0229-0135,nzd0229-0136,nzd0229-0137,nzd0229-0138,nzd0229-0139,nzd0229-0140,nzd0229-0141,nzd0229-0142,nzd0229-0143,nzd0229-0144,nzd0229-0145,nzd0229-0146,nzd0229-0147,nzd0229-0148,nzd0229-0149,nzd0229-0150,nzd0229-0151,nzd0229-0152,nzd0229-0153,nzd0229-0154,nzd0229-0155,nzd0229-0156,nzd0229-0157,nzd0229-0158,nzd0229-0159,nzd0229-0160,nzd0229-0161,nzd0229-0162,nzd0229-0163,nzd0229-0164,nzd0229-0165,nzd0229-0166,nzd0229-0167,nzd0229-0168,nzd0229-0169,nzd0229-0170,nzd0229-0171,nzd0229-0172,nzd0229-0173,nzd0229-0174,nzd0229-0175,nzd0229-0176,nzd0229-0177,nzd0229-0178,nzd0229-0179,nzd0229-0180,nzd0229-0181,nzd0229-0182,nzd0229-0183,nzd0229-0184,nzd0229-0185,nzd0229-0186,nzd0229-0187,nzd0229-0188,nzd0229-0189,nzd0229-0190,nzd0229-0191,nzd0229-0192,nzd0229-0193,nzd0229-0194,nzd0229-0195,nzd0229-0196,satname
1999-08-12 21:52:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.84,364.02,,358.78,,,,,,,,L7
1999-09-29 21:52:52+00:00,393.08,396.7,,,387.13,388.39,383.09,388.13,396.1,394.78,,388.82,387.94,382.28,388.68,384.05,388.34,,,385.71,,,383.45,,378.64,,373.19,372.14,377.81,375.78,376.11,367.62,373.66,375.42,372.41,369.36,370.2,368.0,,,,,,,371.2,374.26,373.31,374.31,366.66,355.68,378.22,383.41,,,393.05,,,,375.39,376.78,365.76,368.26,362.8,366.5,368.75,,,,,,,,355.25,354.38,,341.22,338.55,334.53,333.5,341.84,342.55,,361.7,,,,,370.15,,,,,,,,,,,,368.15,,378.47,367.58,,,,,,364.82,,,,,,,,,,,,,,,,,,,,,,,,,,,360.45,,358.74,,,,,,,,,354.86,364.0,364.61,362.71,357.13,369.99,361.73,363.27,355.26,,,,,,,358.36,357.41,,,,,,,,,,,,,,,,,,,,,,,,358.92499999999995,363.27,,360.525,,,,,,,,L7
1999-10-15 21:52:49+00:00,377.945,384.135,,,387.13,388.39,383.09,396.025,394.8,384.15,,386.58,387.94,382.28,388.68,384.05,375.69,333.44,322.96,366.14,339.79,348.0,366.2,347.6,359.68,342.66,354.065,354.5,358.425,357.4,359.355,356.12,360.06500000000005,357.255,358.63,355.44,354.2,354.3,,,326.23,,,,358.93,362.01,373.31,374.31,366.66,355.68,378.22,383.41,,,393.05,,,,375.39,376.78,365.76,368.26,362.8,366.5,368.75,,307.24,305.14,309.08,319.71,312.23,306.86,355.25,337.61,,336.32500000000005,332.605,334.53,333.5,341.84,342.55,,361.7,,,,293.38,359.935,293.59,300.37,294.34,319.2,306.18,310.99,306.73,310.64,316.36,319.63,325.23,349.53499999999997,334.03,358.61,353.265,320.3,316.72,,,306.15,347.03999999999996,316.12,320.82,310.31,308.56,296.67,309.83,288.43,303.26,,314.51,,,309.81,288.12,,311.36,,,,313.54,331.04,307.64,329.25,303.54,,,346.28499999999997,,343.405,,314.15,320.96,,,294.44,291.06,287.58,354.86,364.0,364.61,362.71,357.13,369.99,361.73,363.27,355.26,,,,,,,358.36,357.41,290.0,291.13,,,,,307.04,,,,,,,,,324.23,,,,,,306.83,,358.92499999999995,363.27,,360.525,,,,,,,,L7
2000-02-04 21:52:37+00:00,377.945,384.135,,,387.13,388.39,383.09,396.025,394.8,384.15,,386.58,387.94,382.28,388.68,384.05,375.69,333.44,322.96,366.14,339.79,348.0,366.2,347.6,359.68,342.66,354.065,354.5,358.425,357.4,359.355,356.12,360.06500000000005,357.255,358.63,355.44,354.2,354.3,,,326.23,,,,358.93,362.01,373.31,374.31,366.66,355.68,378.22,383.41,,,393.05,,,,375.39,376.78,365.76,368.26,362.8,366.5,368.75,,307.24,305.14,309.08,319.71,312.23,306.86,355.25,337.61,,336.32500000000005,332.605,334.53,333.5,341.84,342.55,,361.7,,,,293.38,359.935,293.59,300.37,294.34,319.2,306.18,310.99,306.73,310.64,316.36,319.63,325.23,349.53499999999997,334.03,358.61,353.265,320.3,316.72,,,306.15,347.03999999999996,316.12,320.82,310.31,308.56,296.67,309.83,288.43,303.26,,314.51,,,309.81,288.12,,311.36,,,,313.54,331.04,307.64,329.25,303.54,364.21,371.46,351.1566666666667,378.62,343.405,375.83,314.15,338.74,,359.17,294.44,291.06,287.58,351.445,361.79499999999996,364.61,357.83,355.55,361.425,357.33500000000004,364.15,361.84000000000003,,,355.88,356.41,358.71,354.11,353.95500000000004,358.31500000000005,290.0,291.13,361.45,,360.82,,307.04,,,,,,,,360.08,343.28,366.59,,,367.73,,306.83,,362.22666666666663,362.66,,358.9266666666667,356.29,355.81,361.8,364.37,,,,L7
2000-02-20 21:52:29+00:00,368.9666666666667,384.135,,336.97,368.21000000000004,373.745,383.09,396.025,394.8,384.15,,386.58,387.94,382.28,388.68,384.05,375.69,333.44,322.96,366.14,339.79,348.0,366.2,347.6,359.68,342.66,354.065,354.5,358.425,357.4,359.355,356.12,360.06500000000005,357.255,358.63,355.44,354.2,354.3,,,326.23,,,,358.93,362.01,373.31,374.31,366.66,355.68,378.22,383.41,,,393.05,,,,375.39,376.78,365.76,368.26,362.8,366.5,368.75,,307.24,305.14,309.08,319.71,312.23,306.86,355.25,337.61,,336.32500000000005,332.605,334.53,333.5,341.84,342.55,,361.7,,,,293.38,359.935,293.59,300.37,294.34,319.2,306.18,310.99,306.73,310.64,316.36,319.63,325.23,349.53499999999997,334.03,358.61,353.265,320.3,316.72,,,306.15,347.03999999999996,302.025,305.83,300.445,296.40999999999997,292.42,299.62,278.365,303.26,,314.51,,,309.81,288.12,,311.36,,,,313.54,331.04,307.64,329.25,303.54,364.21,371.46,351.1566666666667,378.62,343.405,375.83,314.15,338.74,,359.17,294.44,291.06,287.58,351.445,361.79499999999996,364.61,357.83,355.55,361.425,357.33500000000004,364.15,361.84000000000003,,,355.88,356.41,358.71,354.11,353.95500000000004,358.31500000000005,290.0,291.13,361.45,,360.82,,307.04,,292.76,294.22,299.53,,297.51,299.81,360.08,343.28,366.59,,,367.73,,306.83,,363.41999999999996,361.98,,359.0,356.29,355.81,361.8,364.37,,,,L7
2000-04-24 21:52:10+00:00,351.01,,338.03,333.96000000000004,349.29,344.6,,,,,,,,,,,,,304.56,333.84,351.39,329.01,334.19,324.14,331.87,,,313.3,333.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.2,308.06,,292.49,,293.78,302.57,298.33,310.74,310.94,321.14,306.21,304.08,310.91,300.11,304.76,311.39,317.7,330.71,310.55,314.34,309.07,,308.14,,,287.93,290.84,290.58,284.26,288.17,289.41,268.3,,,,,,,,,,,,,,,,,,364.21,371.46,360.9,378.62,,375.83,,356.52,,359.17,,297.22,302.02,325.905,359.59,,352.95,353.97,352.86,352.94,365.03,368.42,,,355.88,356.41,358.71,354.11,349.55,359.22,296.03,323.53,343.91999999999996,309.32,347.315,,303.7,308.61,302.88,294.22,299.53,,297.51,299.81,360.08,362.33,366.59,,,367.73,,,,368.83,361.44,,355.73,356.29,355.81,351.685,347.005,317.72,312.67,,L7
2000-05-26 21:51:48+00:00,351.01,,338.03,333.96000000000004,349.29,344.6,374.48,,369.76,364.58,,,375.96,366.62,,,,,304.56,333.84,351.39,329.01,334.19,324.14,343.4,,357.53,313.3,343.605,,,347.83,358.14,354.55,,,376.64,360.9,368.5,,364.69,374.35,,,,,,,,361.24,379.52,345.91,,,,,,,344.79,,,341.67,375.14,376.13,350.83,366.51,,,,,,,,,370.4,359.65,347.46,,334.89,339.06,331.5,,335.85,313.56,324.49,,306.25,322.58,293.78,318.58500000000004,298.33,310.74,310.94,339.15999999999997,306.21,304.08,319.6,300.11,317.82,319.98,333.84000000000003,345.365,327.615,330.07,309.07,352.74,320.82,343.19,331.83,311.87,290.84,290.58,284.26,288.17,289.41,268.3,342.56,354.99,347.54,351.14,,320.35,316.14,352.06,346.77,,,372.02,347.32,341.57,343.63,341.96,324.25,346.885,354.07,347.41999999999996,358.66499999999996,318.31,359.82,334.52,346.015,,346.005,318.5,297.22,304.02,329.75666666666666,367.155,342.43,346.85,349.20000000000005,352.86,333.445,365.03,368.42,,,352.47,363.765,352.315,344.96000000000004,346.03499999999997,352.265,296.03,333.62,341.3866666666666,320.03999999999996,343.55,,314.355,315.605,309.26,310.685,315.515,,315.29499999999996,318.68,344.845,351.88,348.37,,,348.70000000000005,,322.36,,368.83,361.44,,355.73,340.26,336.075,339.1366666666667,345.3733333333333,321.44500000000005,312.52,,L7
2000-08-14 21:50:56+00:00,351.01,,338.03,333.96000000000004,349.29,344.6,374.48,,385.81,364.58,,,375.96,366.62,,405.56,394.7,,342.96000000000004,360.505,367.72,355.075,334.19,324.14,358.27,380.19,369.775,313.3,356.43,,,347.83,375.135,374.05,,,382.12,377.28499999999997,383.16499999999996,,364.69,374.35,,390.93,397.73,388.63,387.2,379.57,383.03,373.51,384.985,345.91,,,383.88,,,,344.79,389.91,390.75,341.67,381.705,386.71000000000004,350.83,366.51,,,,,,,,,373.7,362.15,352.71,363.58,347.66499999999996,354.9,331.5,,352.615,313.56,340.32,,306.25,322.58,293.78,336.07,298.33,310.74,310.94,346.93666666666667,306.21,304.08,319.6,300.11,317.82,319.98,349.50666666666666,357.2633333333333,341.8666666666666,330.07,309.07,352.74,338.29333333333335,354.09000000000003,348.135,330.7966666666667,290.84,290.58,284.26,288.17,289.41,268.3,342.56,372.15999999999997,347.54,367.73,,320.35,316.14,370.97,366.03999999999996,,,370.03,357.775,356.38,356.78499999999997,341.96,324.25,348.78,336.68,353.29499999999996,358.42999999999995,318.31,357.325,349.085,335.51,,345.74,318.5,297.22,304.02,336.0333333333333,376.185,356.07,359.97,363.435,391.96,313.95,,366.98,,,357.275,367.32,352.92,348.88,356.765,354.575,296.03,347.47666666666663,343.74333333333334,336.3,342.8533333333333,,314.355,315.605,309.26,310.685,315.515,,315.29499999999996,318.68,329.61,357.78999999999996,330.15,,,329.67,,322.36,,365.17,372.71,,361.95,342.565,316.34,327.80500000000006,348.70666666666665,321.44500000000005,312.52,,L7
2000-09-15 21:50:25+00:00,366.5,356.57,349.21,343.12,357.84,342.635,367.58000000000004,357.38,378.0833333333333,364.335,366.36,363.93,369.32,367.055,367.54,405.56,368.28999999999996,351.85,346.72333333333336,358.6066666666666,363.7133333333333,355.5933333333333,341.885,334.52,354.3875,364.105,358.53,323.185,351.0625,337.21,342.56,346.775,365.8766666666667,363.78999999999996,346.36,349.18,369.00666666666666,365.74,370.93,358.75,361.41999999999996,360.61,348.02,390.93,397.73,388.63,387.2,379.57,362.865,373.51,384.985,338.675,,,383.88,,,349.82,343.57500000000005,367.555,390.75,333.105,381.705,367.75666666666666,343.04999999999995,355.87,344.07,311.69,304.81,312.45,303.59,336.12,339.4,326.03,373.7,345.75333333333333,339.21666666666664,363.58,336.82,343.4266666666667,327.095,,352.615,315.86333333333334,340.32,334.96,311.8633333333333,318.63,294.115,336.07,307.30499999999995,313.4,314.265,346.93666666666667,312.28,315.59000000000003,321.77333333333337,315.46000000000004,324.04,324.31,345.6925,351.8425,338.985,329.6766666666667,319.58500000000004,338.65999999999997,333.8325,345.23,345.0,347.02,329.16,326.29,,,328.81,,328.0,353.1266666666667,329.525,349.2033333333333,309.69,316.64,326.245,370.97,354.3733333333333,326.45,321.53,353.1466666666667,344.9433333333333,345.83666666666664,342.56,333.025,323.45500000000004,348.78,334.09000000000003,353.29499999999996,358.42999999999995,323.235,349.8733333333333,349.085,321.895,,345.74,306.315,295.475,301.85999999999996,336.0333333333333,376.185,356.07,359.97,363.435,391.96,308.81,,366.98,,,339.8966666666667,367.32,352.92,348.88,356.765,354.575,301.11,347.47666666666663,338.0575,329.675,335.48,315.71,312.98,314.2866666666667,314.69666666666666,318.30499999999995,322.985,317.97,327.78999999999996,327.45500000000004,320.19,346.02,323.22,324.63,317.44,324.545,317.57,318.185,311.87,339.485,348.515,316.07,361.95,342.565,311.27,321.5833333333333,348.70666666666665,317.0,314.33,,L7
2000-10-17 21:50:01+00:00,366.5,369.185,360.5333333333333,354.95666666666665,357.84,353.57666666666665,372.13000000000005,371.765,380.0125,364.335,376.03,376.1,376.4766666666667,367.055,367.54,392.91999999999996,368.28999999999996,363.095,356.01,363.935,368.18,362.255,357.55,334.52,354.3875,364.105,359.3075,338.45,352.17999999999995,353.54499999999996,355.13,354.56,368.2875,366.0775,364.675,363.055,371.195,367.0475,371.59,366.245,370.02,368.9266666666667,364.53499999999997,376.985,382.105,379.4,380.435,375.885,367.06333333333333,377.1433333333334,382.3,352.68666666666667,,383.45,386.105,384.14,388.02,366.91499999999996,355.6266666666667,369.80333333333334,390.685,333.105,381.25333333333333,367.665,354.6366666666666,361.93333333333334,356.885,311.69,304.81,312.45,335.465,351.38,339.4,326.03,363.39000000000004,342.9475,336.805,349.36,338.2175,344.0,339.94666666666666,,360.56,315.86333333333334,349.015,352.685,311.8633333333333,318.63,314.18666666666667,341.52750000000003,307.30499999999995,313.4,329.45,350.9,324.12666666666667,329.81333333333333,331.06,333.87333333333333,336.025,324.31,348.68199999999996,353.748,338.985,329.6766666666667,319.58500000000004,338.65999999999997,333.8325,345.23,345.0,347.02,329.16,326.29,,,328.81,,328.0,353.1266666666667,329.525,349.2033333333333,309.69,316.64,337.10999999999996,369.73333333333335,356.4225,341.76,336.63,351.6325,348.2075,347.52750000000003,344.59749999999997,341.31,337.99666666666667,355.23333333333335,334.09000000000003,361.34,367.1466666666667,323.235,356.065,355.05,321.895,351.74,349.07666666666665,306.315,295.475,301.85999999999996,338.4325,368.43333333333334,358.46999999999997,358.2166666666667,359.91,371.255,323.3,353.34,362.58000000000004,336.76,,339.34749999999997,362.01,351.21000000000004,350.01,354.92,356.4633333333333,301.11,353.055,342.07399999999996,333.502,337.48400000000004,328.635,322.28499999999997,321.2075,322.6,329.1033333333333,336.31666666666666,336.735,336.38,336.9666666666667,331.0133333333333,348.06,334.75,339.485,335.29499999999996,324.545,336.52,330.9066666666667,327.40999999999997,341.7166666666667,346.54333333333335,332.71000000000004,356.03,344.6066666666666,323.65000000000003,330.045,348.97249999999997,317.0,314.33,,L7
2000-12-04 21:50:10+00:00,366.5,371.09999999999997,369.7966666666666,366.8033333333333,354.715,363.77,366.33666666666664,367.69,375.39,371.145,375.44,376.1,376.735,373.275,364.49,374.51,362.28999999999996,350.40000000000003,370.975,368.8225,368.7725,367.9625,363.5,349.385,360.96000000000004,367.42,359.90000000000003,352.7033333333333,357.8966666666666,353.54499999999996,356.8566666666666,357.29333333333335,364.3475,366.52750000000003,362.00666666666666,361.99666666666667,365.93249999999995,362.40999999999997,365.615,364.93333333333334,363.82,365.1366666666667,357.14000000000004,376.985,382.105,379.4,373.06,370.81666666666666,360.355,379.25333333333333,378.94,352.2833333333333,,373.375,374.8333333333333,373.46500000000003,368.78999999999996,363.74333333333334,361.54333333333335,361.41,371.18,326.975,373.64000000000004,360.9275,357.7833333333333,353.66,356.885,311.69,304.81,312.45,335.465,351.38,339.4,326.03,359.88500000000005,335.215,329.265,349.36,333.0,337.675,343.1233333333333,,372.915,322.72,358.00666666666666,345.3233333333333,322.065,312.425,327.40333333333336,350.3866666666666,320.945,320.09000000000003,333.62999999999994,351.0133333333333,332.7366666666667,336.42,338.84,345.6466666666667,347.3966666666667,329.88,351.98749999999995,354.8075,346.1233333333333,332.46500000000003,335.19500000000005,323.135,338.0466666666667,337.26666666666665,346.9766666666667,345.8933333333334,330.81500000000005,331.62,,,336.13,,323.305,345.8933333333334,319.485,343.46999999999997,310.53499999999997,309.675,338.3633333333333,362.4666666666667,351.635,339.4533333333333,333.05,340.0725,342.4575,343.37750000000005,342.90749999999997,340.985,340.58,368.07000000000005,329.82,375.03999999999996,381.365,326.525,354.17,355.57,310.91499999999996,334.975,357.19500000000005,302.66999999999996,301.975,303.58500000000004,342.8666666666666,354.4666666666667,353.93666666666667,359.7966666666666,357.33666666666664,355.69,328.18333333333334,353.34,346.74333333333334,319.34000000000003,290.17,326.5525,341.21,342.33666666666664,340.5733333333333,350.31,345.3233333333333,307.735,372.49,342.61249999999995,339.58500000000004,335.2825,324.0933333333333,326.34666666666664,322.01,322.7733333333333,323.98333333333335,337.0933333333333,337.56333333333333,340.4033333333333,335.8733333333334,334.8833333333334,343.8925,335.5466666666667,336.9066666666667,334.57666666666665,322.67,333.9866666666667,330.87333333333333,324.04333333333335,333.5975,340.2625,330.90333333333336,345.23,345.22666666666663,324.29333333333335,329.3666666666666,344.7966666666666,308.24,314.75,311.67,L7
