dates,satname,nzd0234-0000,nzd0234-0001,nzd0234-0002,nzd0234-0003,nzd0234-0004,nzd0234-0005,nzd0234-0006,nzd0234-0007,nzd0234-0008,nzd0234-0009,nzd0234-0010,nzd0234-0011,nzd0234-0012,nzd0234-0013,nzd0234-0014,nzd0234-0015,nzd0234-0016,nzd0234-0017,nzd0234-0018,nzd0234-0019,nzd0234-0020,nzd0234-0021,nzd0234-0022,nzd0234-0023,nzd0234-0024,nzd0234-0025,nzd0234-0026,nzd0234-0027,nzd0234-0028,nzd0234-0029,nzd0234-0030,nzd0234-0031,nzd0234-0032,nzd0234-0033,nzd0234-0034,nzd0234-0035,nzd0234-0036,nzd0234-0037,nzd0234-0038,nzd0234-0039,nzd0234-0040,nzd0234-0041,nzd0234-0042,nzd0234-0043,nzd0234-0044,nzd0234-0045,nzd0234-0046,nzd0234-0047,nzd0234-0048,nzd0234-0049,nzd0234-0050,nzd0234-0051,nzd0234-0052,nzd0234-0053,nzd0234-0054,nzd0234-0055,nzd0234-0056,nzd0234-0057,nzd0234-0058,nzd0234-0059,nzd0234-0060,nzd0234-0061,nzd0234-0062,nzd0234-0069,nzd0234-0070,nzd0234-0071,nzd0234-0072,nzd0234-0073,nzd0234-0074,nzd0234-0075,nzd0234-0076,nzd0234-0077,nzd0234-0078,nzd0234-0079,nzd0234-0080,nzd0234-0081,nzd0234-0082,nzd0234-0083,nzd0234-0084,nzd0234-0085,nzd0234-0086,nzd0234-0087,nzd0234-0088,nzd0234-0089,nzd0234-0090,nzd0234-0091,nzd0234-0092,nzd0234-0093,nzd0234-0105,nzd0234-0106,nzd0234-0107,nzd0234-0108,nzd0234-0109,nzd0234-0110,nzd0234-0111,nzd0234-0112,nzd0234-0113,nzd0234-0114,nzd0234-0115,nzd0234-0118,nzd0234-0119,nzd0234-0120,nzd0234-0121,nzd0234-0122,nzd0234-0123,nzd0234-0124,nzd0234-0125,nzd0234-0126,nzd0234-0127,nzd0234-0128,nzd0234-0129,nzd0234-0130,nzd0234-0131,nzd0234-0132,nzd0234-0133,nzd0234-0134,nzd0234-0135,nzd0234-0136,nzd0234-0137,nzd0234-0138,nzd0234-0141,nzd0234-0142,nzd0234-0143,nzd0234-0144,nzd0234-0145,nzd0234-0146,nzd0234-0147,nzd0234-0148,nzd0234-0149,nzd0234-0065,nzd0234-0066,nzd0234-0067,nzd0234-0068,nzd0234-0097,nzd0234-0098,nzd0234-0099,nzd0234-0100,nzd0234-0101,nzd0234-0102,nzd0234-0103,nzd0234-0104,nzd0234-0116,nzd0234-0063,nzd0234-0064,nzd0234-0094,nzd0234-0095,nzd0234-0096,nzd0234-0117,nzd0234-0139,nzd0234-0140
1999-08-12 21:52:44.265000,L7,,,,,324.31,335.81,337.42,311.77,339.28,344.15,291.89,321.88,315.04,322.36,312.65,337.66,340.81,350.22,340.53,290.59,294.40,323.95,340.84,354.01,341.76,336.61,337.13,309.48,299.67,303.89,350.18,298.15,311.77,299.98,318.61,289.38,336.65,329.62,325.67,347.26,318.04,320.17,326.01,315.80,325.64,302.64,305.62,300.16,309.12,328.87,341.37,329.60,353.29,297.68,310.03,353.37,371.77,311.39,352.19,326.58,392.10,363.20,326.36,288.48,301.67,294.49,317.03,357.71,349.67,283.94,375.98,379.08,360.04,332.54,333.39,362.86,331.66,336.08,321.01,338.13,304.65,345.07,332.45,334.27,297.22,320.51,350.45,324.27,330.42,332.27,350.18,329.52,309.81,326.60,326.47,367.18,324.56,369.22,315.14,335.68,337.56,348.75,330.49,382.06,353.18,353.66,347.02,392.85,349.32,346.17,,,344.37,342.07,347.99,360.97,323.66,346.71,347.26,334.89,324.88,319.38,311.40,314.21,325.55,312.49,292.88,,,314.26,319.49,328.03,291.72,,,348.12,380.17,373.58,355.72,350.53,334.66,324.45,356.86,326.15,345.20,354.89,,335.37,333.46,332.45
1999-09-29 21:52:52.243000,L7,350.83,356.11,351.83,346.48,351.56,348.70,348.89,345.43,348.23,341.58,350.01,353.70,358.61,356.02,354.29,347.14,334.06,344.73,338.11,343.78,338.65,344.41,348.24,338.00,336.68,336.17,343.03,335.60,345.21,333.91,344.87,338.03,342.28,334.88,336.03,331.49,331.22,341.60,334.80,354.09,350.52,339.25,335.37,331.50,318.40,332.23,342.52,358.94,362.99,367.97,360.64,345.78,342.79,336.12,341.14,333.94,352.57,350.99,358.00,366.30,374.54,366.48,372.09,368.01,359.42,353.57,344.77,343.70,343.11,340.65,343.90,338.18,343.33,346.48,350.23,347.64,350.62,357.22,355.42,352.01,348.62,348.24,340.71,348.45,344.99,356.28,351.38,358.69,391.98,369.60,371.34,361.92,369.92,367.37,371.41,378.86,382.67,384.38,375.04,373.81,364.93,369.08,369.85,372.51,371.00,377.46,381.07,386.06,398.95,391.46,390.83,393.33,389.72,381.20,379.78,389.14,389.97,388.74,388.32,395.05,192.95,389.08,380.83,376.36,384.03,376.56,381.58,31.10,109.25,,,,,,,,,,,,,,,,,,,,,
1999-10-15 21:52:49.322000,L7,346.51,343.84,353.68,347.20,349.68,349.05,341.31,348.55,343.49,343.66,343.75,345.29,360.08,351.97,338.96,342.21,335.32,344.80,348.03,342.57,349.50,344.01,351.01,338.53,348.10,336.32,344.65,334.97,343.03,334.60,344.12,355.76,337.79,336.18,334.51,337.55,331.39,338.07,329.15,340.75,347.36,334.15,322.20,327.82,321.82,329.85,342.84,358.66,359.80,360.60,355.14,346.31,341.34,334.17,334.44,335.28,352.49,356.33,361.90,368.39,373.48,374.58,,351.03,350.54,361.22,354.05,340.14,345.43,340.34,340.94,329.64,335.57,347.00,340.39,342.89,348.42,347.45,349.41,350.32,342.46,348.42,339.78,345.32,345.76,350.23,352.90,363.98,390.03,385.88,372.02,373.78,378.20,370.65,367.31,374.96,375.79,367.18,370.87,,371.15,368.28,372.00,368.13,377.83,375.90,385.58,386.06,403.11,401.50,392.86,388.48,389.99,386.97,383.79,393.78,384.63,394.62,396.17,,,,,,,,,50.57,109.14,367.52,356.43,356.75,355.93,378.96,369.69,372.87,375.40,374.10,370.77,377.37,381.52,377.96,,,,,,,,
2000-02-04 21:52:37.377000,L7,306.68,318.35,304.92,299.66,293.50,300.09,300.36,311.64,339.98,330.46,305.72,314.95,307.24,299.57,302.37,298.35,310.12,305.13,308.44,306.88,307.23,299.77,302.83,299.33,305.06,302.82,301.51,307.65,312.47,304.63,294.44,302.93,299.07,298.01,292.31,304.41,294.88,298.70,311.87,298.56,299.28,297.96,311.24,290.09,297.93,297.43,314.28,316.82,318.38,312.01,310.55,320.35,324.14,329.16,295.72,320.31,298.57,315.50,329.26,314.88,315.74,325.48,336.75,346.75,342.00,310.34,338.98,334.18,322.90,328.35,325.31,327.86,325.17,329.60,334.56,337.75,343.12,337.48,337.29,330.93,335.95,333.79,332.90,331.25,324.57,324.00,329.29,338.85,360.00,359.88,354.25,352.57,349.21,346.49,346.81,347.85,360.84,363.42,365.47,360.98,362.80,356.06,350.46,353.00,356.85,371.90,369.20,368.57,373.77,378.74,379.71,374.31,381.79,386.67,390.05,395.38,395.07,388.43,381.40,372.53,207.97,210.74,193.38,206.79,198.44,206.37,226.89,256.63,79.22,320.63,333.75,334.12,341.05,363.04,361.52,354.68,348.37,348.78,357.31,364.72,367.51,367.64,351.42,342.58,343.38,351.81,354.61,366.25,370.54,163.64
2000-02-20 21:52:29.720000,L7,,,352.53,300.73,326.19,304.81,302.59,335.33,305.99,385.58,,,,,,,,,,,,,,363.42,335.14,309.98,304.67,281.09,291.58,,,,,,,,,,,284.38,344.69,328.91,300.59,304.93,305.90,321.15,325.73,325.10,316.52,308.74,320.71,321.30,314.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.70,338.03,332.59,342.79,342.03,,,,,,,,,333.68,295.63,345.90,372.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.61,,,346.02,,,380.02,,
2000-04-24 21:52:10.308000,L7,,,,276.06,289.12,286.91,289.08,294.75,323.37,374.47,352.08,352.45,350.70,354.38,344.23,355.33,309.32,325.11,318.37,336.39,320.86,336.69,322.23,353.07,311.76,304.41,326.29,349.29,305.32,326.74,355.80,376.56,341.36,316.10,328.02,326.06,348.97,346.26,359.60,361.30,365.50,350.77,354.13,370.15,325.70,352.76,369.32,340.08,359.95,321.91,335.82,337.78,354.18,385.05,375.48,334.01,312.03,307.85,318.34,340.26,340.86,338.93,352.97,289.32,346.28,349.03,373.53,334.81,350.77,334.55,339.69,319.93,311.26,329.42,367.71,319.41,319.37,314.71,345.31,306.49,324.32,,321.32,317.19,300.47,305.14,378.32,,,347.08,330.67,342.32,325.21,352.14,328.90,329.10,372.71,374.12,346.18,355.61,373.06,379.70,350.33,342.78,345.49,343.67,387.02,359.41,398.54,364.23,327.09,343.19,341.09,391.79,384.45,395.54,358.01,398.74,351.98,324.12,341.76,241.95,324.82,312.97,318.80,348.84,313.14,,,320.32,287.45,330.98,339.54,356.10,345.13,382.51,373.06,,,,,356.52,346.95,314.59,,,,320.09,345.08,374.50
2000-05-26 21:51:48.668000,L7,336.37,352.24,354.48,342.25,343.89,371.73,344.93,347.33,331.13,335.10,391.17,371.37,360.05,370.82,359.18,336.08,339.46,325.07,337.17,322.13,319.25,330.33,316.91,330.98,347.41,324.03,307.86,342.96,342.03,337.78,301.68,363.56,362.80,364.36,345.85,353.70,322.42,384.68,,,361.89,339.79,341.66,323.70,337.93,374.03,,,,371.91,360.38,331.73,317.32,335.00,335.58,347.32,345.04,327.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.54,228.05,213.21,224.87,209.32,211.03,243.02,274.66,85.96,,,,,,,,,,,,,,,,,,,,,176.99
2000-08-14 21:50:56.232000,L7,314.50,323.89,331.68,333.79,326.24,336.30,327.45,330.35,324.95,313.52,308.58,323.64,311.74,329.22,321.83,331.74,321.13,323.79,316.18,338.81,319.30,334.58,336.09,313.65,313.37,305.59,309.86,313.15,303.59,307.52,302.99,320.32,308.61,318.88,313.04,324.33,321.87,335.30,320.73,317.02,315.17,314.99,308.21,312.15,323.51,342.63,334.53,332.39,333.31,331.69,325.58,315.18,323.55,317.46,316.14,333.51,347.01,349.27,350.98,342.46,339.73,335.22,335.00,340.24,335.88,333.76,340.37,339.20,341.28,328.03,331.05,333.77,333.94,332.17,327.87,319.23,333.48,336.80,336.35,329.82,325.90,329.41,328.62,322.49,325.79,324.96,324.75,334.17,366.92,363.39,370.27,371.91,366.24,364.38,363.12,365.08,364.13,363.25,360.38,361.07,360.72,360.67,366.46,364.18,371.76,370.79,376.23,374.43,379.64,385.94,381.20,384.50,385.38,389.18,375.28,381.27,376.31,372.81,364.85,362.11,225.13,228.39,213.79,218.93,211.43,212.98,245.46,264.57,80.66,333.56,334.82,335.91,335.29,333.12,347.35,350.07,359.86,357.66,363.79,364.59,367.92,364.65,330.11,326.40,339.13,336.51,335.23,362.34,376.38,171.15
2000-09-15 21:50:25.712000,L7,344.00,355.34,362.15,352.63,364.83,365.65,364.93,353.03,350.15,340.58,354.46,348.95,357.71,349.91,352.92,350.43,346.08,350.56,346.69,347.18,333.71,344.96,355.28,340.21,328.77,335.78,329.40,333.19,340.31,335.14,345.00,330.31,339.86,331.87,336.96,348.01,350.39,342.90,345.51,339.67,350.17,336.38,344.02,338.29,353.29,355.22,352.53,366.45,356.18,348.65,344.90,355.79,357.19,351.61,349.02,364.51,378.75,381.81,378.59,372.74,369.44,362.26,361.59,359.13,367.16,370.43,370.07,375.87,368.53,366.09,357.17,359.60,352.39,353.10,353.83,358.43,357.20,356.88,358.84,353.77,353.78,348.34,343.02,340.86,342.42,343.32,343.69,346.51,383.04,390.17,381.45,380.95,386.26,,,,,,,,,,,382.72,384.55,385.97,395.32,392.90,391.84,393.28,390.19,397.88,394.97,392.09,388.17,393.31,392.24,381.90,377.58,390.13,,382.67,386.11,396.46,399.19,393.29,389.34,20.68,107.89,341.75,345.79,350.25,351.10,362.06,364.51,374.29,376.22,385.46,373.80,378.62,382.27,,347.23,349.52,354.36,359.91,352.99,,387.66,390.21
2000-10-17 21:50:01.277000,L7,306.31,304.78,305.08,304.07,305.34,302.42,316.95,303.75,299.33,303.09,295.97,301.44,291.27,295.04,300.64,297.48,301.89,300.20,294.81,299.92,299.52,301.60,298.62,303.14,310.23,302.45,305.58,297.75,300.27,299.40,308.42,286.17,303.62,306.04,293.38,303.31,290.95,300.86,295.98,302.58,299.89,293.57,297.25,301.02,309.39,311.45,313.41,315.56,309.40,309.06,309.78,308.45,309.58,303.03,299.92,300.92,312.80,327.06,324.10,324.70,318.74,315.08,311.43,276.79,282.46,284.72,297.62,311.32,296.00,285.28,279.94,279.85,285.68,283.65,286.48,287.29,286.48,293.15,298.20,295.77,286.06,284.70,285.08,280.22,276.80,277.30,277.04,280.52,311.21,306.64,322.92,330.10,307.95,292.07,312.39,391.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.97,395.69,,,,,287.45,288.05,297.72,284.08,290.55,287.91,291.11,300.89,298.06,305.39,321.44,331.30,,299.11,294.70,296.93,294.70,293.08,,,
