dates,satname,nzd0235-0000,nzd0235-0001,nzd0235-0002,nzd0235-0003,nzd0235-0005,nzd0235-0006,nzd0235-0007,nzd0235-0008,nzd0235-0009,nzd0235-0010,nzd0235-0011,nzd0235-0012,nzd0235-0013,nzd0235-0014,nzd0235-0015,nzd0235-0016,nzd0235-0017,nzd0235-0019,nzd0235-0020,nzd0235-0023,nzd0235-0024,nzd0235-0025,nzd0235-0026,nzd0235-0028,nzd0235-0029,nzd0235-0030,nzd0235-0031,nzd0235-0018,nzd0235-0021,nzd0235-0022,nzd0235-0027,nzd0235-0004
1999-08-05 21:46:35.104000,L7,311.74,325.19,309.24,304.27,216.22,303.97,218.47,261.68,284.84,226.40,372.63,195.86,244.65,353.30,363.87,279.69,372.63,335.46,356.50,213.37,285.20,295.78,228.27,291.44,294.30,293.70,309.05,,,,,
1999-08-21 21:46:33.053000,L7,340.52,337.72,313.59,311.76,,,,255.57,372.24,372.19,379.54,375.01,370.46,360.78,362.30,384.11,376.58,335.99,358.85,360.05,320.81,329.92,242.10,305.78,305.94,302.81,320.13,372.76,172.71,376.89,313.46,
1999-09-22 21:46:36.849000,L7,387.83,482.04,481.97,492.09,474.69,339.97,322.07,375.94,392.41,491.63,505.39,482.41,398.51,391.36,392.89,410.21,403.23,367.45,385.09,386.62,358.74,352.00,334.43,330.45,314.75,331.89,353.51,397.85,393.75,394.64,332.97,499.62
1999-10-24 21:46:32.266000,L7,347.16,,,,,,,,255.17,337.62,357.16,379.81,374.45,233.03,182.29,219.05,377.44,353.02,353.52,153.49,325.03,298.87,274.97,296.15,295.68,294.10,313.11,335.59,350.00,181.35,249.88,
2000-04-01 21:46:10.627000,L7,385.47,365.94,327.52,300.57,239.13,316.46,227.60,260.16,369.36,367.27,378.21,372.59,372.43,364.59,369.29,380.25,376.28,360.91,365.96,364.89,341.25,350.71,281.09,314.87,307.17,306.28,340.13,349.89,373.90,375.70,309.42,
2000-05-03 21:45:55.224000,L7,334.20,340.45,317.08,215.18,282.74,314.79,238.75,322.19,359.59,337.52,360.26,361.30,311.33,359.54,186.05,252.51,173.97,357.51,360.18,332.18,301.91,296.90,273.34,294.92,306.80,309.52,304.62,329.42,340.93,228.23,264.82,
2000-05-19 21:45:43.918000,L7,356.56,346.84,333.02,323.98,282.51,328.99,276.20,347.68,384.05,390.12,397.10,393.51,377.61,369.95,382.23,395.11,385.88,358.28,376.23,385.56,338.50,358.84,339.90,327.14,315.14,326.03,339.93,388.17,384.52,393.48,329.24,
2000-06-04 21:45:32.324000,L7,226.46,323.72,302.45,290.61,,,,316.14,359.21,364.68,368.08,364.86,362.70,358.95,364.92,381.50,372.61,339.15,358.17,359.19,159.62,314.29,256.22,304.77,306.98,314.85,323.90,341.38,,366.34,317.07,
2000-08-07 21:44:45.034000,L7,340.40,331.92,313.02,311.96,261.77,308.30,222.70,308.89,370.26,324.24,384.31,369.69,366.72,355.79,156.56,315.14,323.51,344.68,360.39,347.69,317.86,297.65,251.04,308.69,294.04,300.60,314.13,351.67,274.16,327.12,178.79,
2001-01-14 21:44:09.210000,L7,238.42,,,,,296.13,172.87,335.95,349.43,347.12,281.89,292.25,340.59,342.30,347.81,362.12,354.03,362.18,373.69,173.05,337.64,348.95,321.73,307.32,304.66,302.10,341.92,338.98,379.34,332.80,264.14,
