dates,satname,nzd0236-0000,nzd0236-0001,nzd0236-0002,nzd0236-0003,nzd0236-0004,nzd0236-0005,nzd0236-0006,nzd0236-0007,nzd0236-0008,nzd0236-0009,nzd0236-0010,nzd0236-0011,nzd0236-0012,nzd0236-0013,nzd0236-0014,nzd0236-0015,nzd0236-0016,nzd0236-0017,nzd0236-0018,nzd0236-0019,nzd0236-0020,nzd0236-0021,nzd0236-0022,nzd0236-0023,nzd0236-0024,nzd0236-0025,nzd0236-0026,nzd0236-0027,nzd0236-0028,nzd0236-0029,nzd0236-0030,nzd0236-0031,nzd0236-0032,nzd0236-0033,nzd0236-0034,nzd0236-0035,nzd0236-0036,nzd0236-0037,nzd0236-0038,nzd0236-0039,nzd0236-0040,nzd0236-0041,nzd0236-0042,nzd0236-0043,nzd0236-0044,nzd0236-0045,nzd0236-0046,nzd0236-0047,nzd0236-0048
1999-09-22 21:46:36.849000,L7,338.14,327.86,323.37,307.05,303.21,303.06,302.34,305.40,311.35,311.21,306.78,313.60,313.22,311.83,312.87,315.31,314.91,316.12,318.38,324.74,322.99,325.16,325.64,330.21,331.45,322.75,319.69,318.21,318.63,318.44,315.38,316.61,318.03,319.31,320.45,328.47,329.28,328.01,330.85,328.16,332.64,324.18,315.04,302.46,300.67,295.72,277.81,233.60,226.08
1999-09-29 21:52:52.243000,L7,340.65,339.07,335.23,329.43,324.99,326.26,318.69,335.35,334.50,346.55,340.27,344.38,327.82,330.03,330.79,334.20,332.48,337.98,338.73,328.15,343.81,348.04,348.92,342.04,338.19,337.42,333.55,337.49,334.78,331.21,321.62,318.80,330.46,335.49,326.80,330.79,328.53,328.72,327.73,331.80,328.13,319.78,316.88,299.33,289.15,285.82,272.05,,
1999-10-15 21:52:49.322000,L7,330.30,308.08,316.42,300.18,301.13,301.73,304.52,306.40,311.93,305.75,305.57,308.11,310.63,317.46,312.49,313.69,313.16,314.27,314.94,318.77,317.31,316.35,315.98,322.08,320.00,316.85,312.49,312.50,314.21,310.98,308.69,308.14,311.46,314.68,314.30,313.77,300.78,281.93,,,,,,,,,,,
1999-10-24 21:46:32.266000,L7,359.79,352.07,343.99,329.06,323.77,323.89,330.42,338.04,368.44,354.27,366.62,355.93,350.17,355.71,344.97,341.13,338.84,340.74,340.12,344.84,345.03,371.55,372.45,342.58,343.38,339.03,334.32,336.09,336.07,332.04,338.28,348.67,337.21,337.09,332.34,318.80,323.39,348.58,359.46,341.85,325.22,319.83,312.20,297.19,288.80,287.01,271.11,270.52,269.95
2000-02-20 21:52:29.720000,L7,362.89,359.06,362.20,355.89,356.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.57,348.48,364.32,348.09,367.99,369.94,379.72,368.12,365.09,345.97,343.87,323.43,318.05,325.74,309.49,283.60,243.47
2000-03-16 21:46:15.139000,L7,350.11,329.83,349.75,312.81,304.53,302.19,299.64,306.24,306.98,306.95,308.96,308.30,312.77,312.02,316.61,319.64,321.64,320.41,318.28,318.40,324.13,324.09,323.66,326.52,320.94,319.69,318.30,321.18,322.07,311.60,310.03,310.09,309.61,313.43,318.00,319.05,322.43,326.33,326.46,324.11,322.57,317.84,308.48,297.67,289.15,291.72,264.14,227.41,220.09
2000-05-26 21:51:48.668000,L7,355.16,350.47,350.52,344.09,342.66,340.89,345.36,352.05,347.92,347.24,343.10,369.46,362.05,,,,,367.43,361.24,358.53,352.64,340.55,340.88,371.14,346.50,343.50,339.88,352.76,343.78,351.86,347.84,330.52,359.05,343.92,356.43,333.58,340.04,355.88,343.55,334.45,336.48,326.48,328.24,310.03,297.88,295.16,294.21,,
2000-08-14 21:50:56.232000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.05,372.31,372.86,373.55,370.06,375.65,376.69,371.96,365.40,,,,,,,
2000-09-15 21:50:25.712000,L7,,,,,,,,,,,,,,,,,,,377.33,378.94,370.72,375.39,373.18,370.80,372.89,,,,363.78,355.74,354.32,352.79,353.76,353.02,355.02,362.72,361.13,362.75,361.80,362.46,362.00,350.79,342.95,337.58,325.55,327.38,323.00,302.94,264.16
2000-12-04 21:50:10.162000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.08,369.61,365.19,360.38,358.10,353.39,345.80,346.49,337.91,345.61,,
