dates,nzd0236-0000,nzd0236-0001,nzd0236-0002,nzd0236-0003,nzd0236-0004,nzd0236-0005,nzd0236-0006,nzd0236-0007,nzd0236-0008,nzd0236-0009,nzd0236-0010,nzd0236-0011,nzd0236-0012,nzd0236-0013,nzd0236-0014,nzd0236-0015,nzd0236-0016,nzd0236-0017,nzd0236-0018,nzd0236-0019,nzd0236-0020,nzd0236-0021,nzd0236-0022,nzd0236-0023,nzd0236-0024,nzd0236-0025,nzd0236-0026,nzd0236-0027,nzd0236-0028,nzd0236-0029,nzd0236-0030,nzd0236-0031,nzd0236-0032,nzd0236-0033,nzd0236-0034,nzd0236-0035,nzd0236-0036,nzd0236-0037,nzd0236-0038,nzd0236-0039,nzd0236-0040,nzd0236-0041,nzd0236-0042,nzd0236-0043,nzd0236-0044,nzd0236-0045,nzd0236-0046,nzd0236-0047,nzd0236-0048,satname
1999-08-05 21:46:35+00:00,,,,,,,,,,,,,,,,,,,,,222.99,218.34,231.84,241.49,,232.25,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-08-21 21:46:33+00:00,,,,,,,,,,,,,,205.51,,221.89,226.84,241.58,234.19,234.77,223.575,232.76,221.12,252.755,275.16,225.465,257.58,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-22 21:46:36+00:00,,,,,,,,,,,,,,205.51,,221.89,226.84,241.58,234.19,234.77,223.575,232.76,221.12,252.755,275.16,225.465,257.58,,,,,,,,,,,,,,,,,,,,,,341.54,L7
1999-09-29 21:52:52+00:00,,,,,,,,,,,,,,205.51,,221.89,226.84,241.58,234.19,234.77,223.575,232.76,221.12,252.755,275.16,225.465,257.58,,,,,,,,,,,,,,,,,,,,,,343.17,L7
1999-10-15 21:52:49+00:00,,,,,,,,,,,,,,205.51,,221.89,226.84,241.58,234.19,234.77,223.575,232.76,221.12,252.755,275.16,225.465,257.58,,,,,,,,,,368.51,353.14,358.53,353.85,353.57,346.91,335.1,330.79,323.09,325.69,331.6,,343.17,L7
2000-02-04 21:52:37+00:00,,,,,,,,,,,,,,217.23,,213.58499999999998,224.015,227.495,225.89499999999998,231.98000000000002,221.29,236.875,219.275,253.94,257.21000000000004,228.765,245.82999999999998,,,,,,,,,,368.51,353.14,358.53,353.85,353.57,346.91,335.1,330.79,323.09,325.69,331.6,,343.17,L7
2000-03-16 21:46:15+00:00,359.05,,,,,,,,,,,,,228.95,,205.28,221.19,213.41,217.6,229.19,218.42,226.57,228.15,243.86,239.26,238.85,234.08,333.23,334.19,324.44,322.54,323.11,323.19,327.88,332.73,333.28,353.205,347.76,350.865,347.775,347.23,342.21000000000004,331.27,322.96000000000004,314.985,318.51,315.21000000000004,,343.17,L7
2000-05-03 21:45:55+00:00,359.05,,,262.03,,,,,,,,,,224.76,,203.285,217.575,215.325,219.6,224.405,213.2,227.995,213.89499999999998,249.885,239.26,238.85,234.08,333.23,334.19,324.44,322.54,323.11,323.19,327.88,332.73,333.28,337.9,342.38,343.2,341.7,340.89,337.51,327.44,315.13,306.88,311.33,298.82,,,L7
2000-08-14 21:50:56+00:00,359.05,,,262.03,,,,,,,,,,220.57,,201.29,213.96,217.24,221.6,219.62,207.98,229.42,199.64,255.91,,,,333.23,334.19,324.44,322.54,323.11,323.19,327.88,332.73,333.28,337.9,342.38,343.2,341.7,340.89,337.51,327.44,315.13,306.88,311.33,298.82,,336.65,L7
2000-09-15 21:50:25+00:00,363.84,,,262.03,,,,,,,,,,220.57,,201.29,213.96,217.24,221.6,219.62,207.98,229.42,199.64,255.91,,,,370.86,366.01,360.41,357.6,357.53,359.04,359.75,360.9,367.46,365.74,368.42,370.02,366.55,365.67,360.07,352.28,349.71,336.65,335.53,333.18,311.94,336.65,L7
