dates,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059,satname
1999-08-12 21:52:44.265,,,,,,,,,,,,,263.6,264.01,,228.35,232.52,,253.7,,,248.17,265.22,,212.36,,,,,275.78,287.06,284.59,272.97,,,,,238.57,252.85,,,,,,,,,,,,,,,,,,,,,,L7
1999-08-21 21:46:33.053,,,,,,,,,,,,,270.975,275.705,,247.245,251.3,,267.605,,,266.09,274.865,,213.31,,,,,285.245,293.595,290.05499999999995,281.74,,,,,257.33500000000004,261.035,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-22 21:46:36.849,,,,,,,,,,,,,270.975,275.705,,247.245,251.3,,267.605,,,266.09,274.865,,213.31,,,,,285.245,293.595,290.05499999999995,281.74,,,,,257.33500000000004,261.035,,,,,,,,,,,,,,,,,,,,343.14,,L7
1999-09-29 21:52:52.243,386.37,385.18,378.6,379.27,383.1,396.39,394.43,388.33,396.87,400.37,397.42,404.08,270.975,275.705,425.82,247.245,251.3,407.55,267.605,428.27,406.37,266.09,274.865,411.9,213.31,416.69,410.8,422.84,423.0,285.245,293.595,290.05499999999995,281.74,407.18,415.85,427.37,416.14,257.33500000000004,261.035,409.11,397.21,389.4,379.79,376.0,373.83,385.28,391.59,383.84,378.3,377.93,394.64,387.92,,,,392.32,372.12,381.59,360.065,373.41,L7
1999-10-15 21:52:49.322,384.65999999999997,386.045,379.87,378.02,381.67,387.36,387.9,386.87,395.75,397.615,400.485,405.0,270.975,275.705,424.69,247.245,251.3,404.125,267.605,414.815,403.725,266.09,274.865,413.345,213.31,413.26,412.255,419.135,417.195,285.245,293.595,290.05499999999995,281.74,413.03,420.025,419.155,412.58,257.33500000000004,261.035,401.935,389.09000000000003,387.595,377.61,372.615,379.41999999999996,390.22,398.765,382.84,369.18,366.005,380.985,396.815,,,,390.40999999999997,377.31,395.145,368.3233333333333,377.39,L7
1999-10-24 21:46:32.266,370.62999999999994,368.26,357.59666666666664,353.7633333333333,358.68,366.02666666666664,365.90000000000003,368.05,375.47,380.65333333333336,381.5933333333333,385.59,298.2366666666667,304.65000000000003,403.45666666666665,285.1466666666667,285.5833333333333,386.94,295.29333333333335,394.74333333333334,388.3733333333333,295.19666666666666,299.83,391.33,258.13,391.53999999999996,392.84999999999997,398.92,397.34,310.47666666666663,318.25666666666666,313.09666666666664,308.25,395.9666666666667,397.57666666666665,397.35999999999996,390.40000000000003,286.45,288.81,382.18666666666667,370.52666666666664,357.33,344.53000000000003,348.7033333333334,348.5233333333333,361.93666666666667,377.24333333333334,366.3433333333333,358.94,354.31,365.10999999999996,381.54333333333335,339.8,318.59,302.4,363.33666666666664,352.67,377.4633333333333,364.1825,367.9666666666667,L7
2000-02-04 21:52:37.377,360.4075,357.2575,340.41,336.9225,342.39750000000004,349.0575,349.0075,351.2875,359.125,363.9975,366.165,368.83,305.275,313.48,386.0775,296.5075,296.1775,372.735,303.84749999999997,378.5325,374.5625,304.2675,308.1975,377.17,278.09000000000003,378.97,379.235,383.43,383.2475,318.1375,325.1925,320.22249999999997,315.0075,380.765,381.33,379.2925,374.44,294.5825,297.84000000000003,367.27,355.94,339.83500000000004,325.83500000000004,333.53,331.81,345.575,364.82,352.83,348.7375,345.1425,351.5875,370.4275,335.515,310.16499999999996,295.885,344.32,339.395,367.525,359.06399999999996,353.895,L7
2000-02-20 21:52:29.720,355.246,354.15999999999997,337.82800000000003,329.92999999999995,338.44,340.774,340.98400000000004,346.168,352.16999999999996,357.604,360.13,363.304,342.43666666666667,351.84666666666664,378.696,346.64000000000004,339.6933333333333,365.88800000000003,338.68666666666667,369.636,367.52799999999996,342.1666666666667,340.2266666666667,369.648,341.92,372.45799999999997,373.24,378.068,376.77799999999996,350.0333333333333,355.4866666666667,350.38000000000005,348.58,375.2,372.858,370.344,366.172,331.2033333333333,333.03333333333336,358.746,348.344,326.116,311.194,324.37600000000003,322.884,338.87,358.404,347.502,344.072,340.77,346.658,364.18600000000004,333.75666666666666,309.1033333333333,296.03,335.024,330.994,362.144,356.0183333333334,350.498,L7
2000-03-16 21:46:15.139,354.22499999999997,350.0933333333333,332.48,323.72666666666663,332.30333333333334,334.72499999999997,334.22999999999996,340.3833333333333,345.43333333333334,351.90166666666664,354.27500000000003,358.18666666666667,339.9975,349.9925,372.1816666666667,343.875,340.41499999999996,360.2266666666667,337.0825,363.3016666666667,362.17333333333335,339.985,338.3725,364.23499999999996,340.72,366.99500000000006,367.605,371.84833333333336,371.7283333333333,348.945,354.0025,348.6925,347.6925,369.5183333333334,367.5683333333333,365.07,361.09,331.4475,332.9675,353.1666666666667,342.7416666666666,317.02333333333337,301.4633333333333,317.8933333333334,315.2366666666667,330.8183333333333,353.06666666666666,343.42833333333334,341.27833333333336,337.5566666666667,342.5,360.13000000000005,333.4875,310.1825,294.0175,326.42333333333335,323.87166666666667,358.25666666666666,353.23285714285714,339.545,L7
2000-05-03 21:45:55.224,346.98,331.9266666666667,309.8525,293.2725,306.2975,304.6925,304.53749999999997,314.0925,317.655,324.67999999999995,327.88750000000005,334.0125,339.265,347.07500000000005,342.0575,339.4475,337.2,334.23,334.45,333.4875,337.79999999999995,336.37,336.4975,338.21500000000003,339.255,342.50250000000005,343.225,345.40999999999997,347.7225,347.17,349.4766666666667,348.46500000000003,344.45,345.34,339.8575,337.395,341.015,330.0625,330.875,325.635,316.1275,284.6125,259.7125,287.0825,281.98,296.9075,327.60749999999996,320.665,322.5425,321.145,322.89750000000004,338.4775,330.01750000000004,304.95250000000004,289.875,285.63,292.65999999999997,336.985,335.0925,302.76,L7
