dates,nzd0239-0000,nzd0239-0001,nzd0239-0002,nzd0239-0003,nzd0239-0004,nzd0239-0005,nzd0239-0006,nzd0239-0007,nzd0239-0008,nzd0239-0009,nzd0239-0010,nzd0239-0011,nzd0239-0012,nzd0239-0013,nzd0239-0014,nzd0239-0015,nzd0239-0016,nzd0239-0017,nzd0239-0023,nzd0239-0024,nzd0239-0025,nzd0239-0026,nzd0239-0027,nzd0239-0028,nzd0239-0029,nzd0239-0030,nzd0239-0031,nzd0239-0032,nzd0239-0033,nzd0239-0034,nzd0239-0035,nzd0239-0036,nzd0239-0041,nzd0239-0042,nzd0239-0043,nzd0239-0044,nzd0239-0049,nzd0239-0050,nzd0239-0051,nzd0239-0052,nzd0239-0053,nzd0239-0054,nzd0239-0055,nzd0239-0056,nzd0239-0057,nzd0239-0058,nzd0239-0059,nzd0239-0060,nzd0239-0061,nzd0239-0062,nzd0239-0065,nzd0239-0066,nzd0239-0067,nzd0239-0068,nzd0239-0069,nzd0239-0070,nzd0239-0071,nzd0239-0073,nzd0239-0074,nzd0239-0075,nzd0239-0078,nzd0239-0079,nzd0239-0080,nzd0239-0081,nzd0239-0082,nzd0239-0083,nzd0239-0084,nzd0239-0085,nzd0239-0086,nzd0239-0092,nzd0239-0093,nzd0239-0094,nzd0239-0095,nzd0239-0096,nzd0239-0097,nzd0239-0098,nzd0239-0099,nzd0239-0100,nzd0239-0101,nzd0239-0102,nzd0239-0103,nzd0239-0104,nzd0239-0105,nzd0239-0106,nzd0239-0113,nzd0239-0114,nzd0239-0115,nzd0239-0117,nzd0239-0118,nzd0239-0119,nzd0239-0120,nzd0239-0121,nzd0239-0124,nzd0239-0125,nzd0239-0126,nzd0239-0127,nzd0239-0128,nzd0239-0129,nzd0239-0130,nzd0239-0131,nzd0239-0132,nzd0239-0133,nzd0239-0134,nzd0239-0135,nzd0239-0136,nzd0239-0137,nzd0239-0018,nzd0239-0019,nzd0239-0020,nzd0239-0021,nzd0239-0022,nzd0239-0037,nzd0239-0038,nzd0239-0039,nzd0239-0040,nzd0239-0045,nzd0239-0046,nzd0239-0047,nzd0239-0048,nzd0239-0063,nzd0239-0064,nzd0239-0072,nzd0239-0076,nzd0239-0077,nzd0239-0087,nzd0239-0088,nzd0239-0089,nzd0239-0090,nzd0239-0091,nzd0239-0107,nzd0239-0108,nzd0239-0109,nzd0239-0110,nzd0239-0111,nzd0239-0112,nzd0239-0116,nzd0239-0122,nzd0239-0123,nzd0239-0138,nzd0239-0139,nzd0239-0140,satname
1999-08-12 21:52:44+00:00,259.99,239.56,,,,292.55,305.05,294.02,287.58,,281.47,,,,,,260.68,,289.1,,,,,,,,,228.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-29 21:52:52+00:00,259.99,239.56,,,,292.55,305.05,294.02,287.58,,281.47,,,,,,260.68,,289.1,,,,,,,,,228.83,,,,,,,,,,,,,,,,,,,,,,,385.51,,,,,,,,,,376.93,,,,377.57,,,,,,,376.95,,,,,,,,377.11,384.21,,388.49,,,,404.03,405.36,412.65,408.11,415.88,413.35,399.44,412.4,419.17,,,,,,,,,,,,,,,,,,,,,,,,,,384.83,,,375.77,,,,,,,398.73,393.84,402.19,398.84,405.98,405.35,410.71,407.04,,,,L7
2000-04-24 21:52:10+00:00,275.96,270.39,261.05,279.88,294.34,312.76,325.2,317.33,318.52,,320.25,,,,,294.02,292.38,295.14,305.5,,291.29,284.34,,,,,288.25,254.43,,,,,296.32,,277.07,235.79,291.55,299.67,297.85,303.15,303.26,306.03,309.03,313.15,315.63,316.8,316.23,324.29,330.0,332.62,346.81,330.39,328.19,,329.43,325.79,326.53,325.33,320.86,325.68,,,322.5,326.13,352.4,330.96,328.7,327.27,332.32,334.07,335.73,338.1,,,,335.19,342.49,338.93,345.14,369.5,346.34,,351.63,349.59,,,388.99,378.32,378.08,378.39,389.16,402.79,370.44,391.46,389.11,371.09,369.6,370.56,365.2,364.12,355.34,341.23,,330.57,,,290.83,297.98,286.37,272.61,297.44,304.42,305.64,298.19,,,,,266.84,,344.95,326.96,,,331.37,335.45,341.82,341.95,334.39,350.97,363.29,359.32,369.37,374.17,404.76,376.48,404.62,383.1,,,,L7
2000-05-26 21:51:48+00:00,256.955,263.77,261.05,279.88,294.34,312.76,308.16999999999996,317.52,305.26,,320.25,,,,,294.02,292.38,295.14,306.53499999999997,,287.935,275.005,,,,,277.21500000000003,254.43,,,,,296.32,,277.07,235.79,279.4,288.985,289.82500000000005,292.45,296.53,297.85,302.66999999999996,302.5,308.66999999999996,310.92,311.33000000000004,315.025,321.40999999999997,327.4,330.65999999999997,324.92499999999995,319.25,,322.505,319.54,321.345,319.35,310.83000000000004,316.265,,,314.195,315.815,352.4,321.96500000000003,323.095,307.76,322.155,325.655,324.88,330.37,,,,326.865,335.185,333.615,331.475,369.5,335.6,,341.58500000000004,330.03,,,375.435,378.32,378.08,378.39,389.16,402.79,361.45,367.38,389.11,355.655,358.035,354.04499999999996,352.735,350.345,347.51,333.57500000000005,,321.54999999999995,,,290.83,297.98,286.37,272.61,297.44,290.96000000000004,305.64,298.19,,,,,259.59499999999997,,334.435,318.03999999999996,306.44,,319.805,326.905,325.345,330.825,327.025,342.805,353.095,350.72,369.37,355.25,404.76,376.48,376.825,365.105,,,,L7
2000-09-15 21:50:25+00:00,256.955,263.77,261.05,279.88,294.34,312.76,308.16999999999996,317.52,305.26,,320.25,,,,,294.02,292.38,295.14,306.53499999999997,,287.935,275.005,,,,,277.21500000000003,254.43,,,,,296.32,,277.07,235.79,279.4,288.985,289.82500000000005,292.45,296.53,297.85,302.66999999999996,302.5,308.66999999999996,310.92,311.33000000000004,315.025,321.40999999999997,327.4,330.65999999999997,324.92499999999995,319.25,,322.505,319.54,321.345,319.35,310.83000000000004,316.265,,367.83,314.195,315.815,352.4,321.96500000000003,323.095,307.76,322.155,325.655,341.77,330.37,381.38,,,326.865,335.185,333.615,331.475,369.5,335.6,,341.58500000000004,330.03,413.42,,375.435,378.32,378.08,378.39,389.16,402.79,361.45,367.38,389.11,355.655,358.035,370.71000000000004,352.735,350.345,347.51,333.57500000000005,395.39,321.54999999999995,372.75,,290.83,297.98,286.37,272.61,297.44,290.96000000000004,305.64,298.19,,,,,259.59499999999997,,334.435,318.03999999999996,306.44,,319.805,326.905,325.345,330.825,327.025,342.805,353.095,368.56,369.37,375.1466666666667,404.76,376.48,376.825,365.105,,,,L7
2000-12-20 21:50:16+00:00,290.13,285.43,277.01,287.93,307.71,322.23,331.96,328.49,332.88,328.59,333.86,,362.28,341.95,342.09,307.5,326.13,335.08,296.95,,296.59,292.14,307.58,312.39,321.9,,293.09,258.66,294.92,310.67,314.4,300.82,324.57,337.27,305.19,263.73,,,,,324.27,327.24,328.15,341.26,,336.73,337.34,344.13,351.62,342.18,356.69,356.14,344.68,342.62,350.06,345.82,341.21,342.4,340.04,341.17,345.1,353.05499999999995,,,,,,,,358.25,365.33500000000004,354.16,367.28499999999997,360.92,354.38,363.91,356.77,360.53,361.36,367.14,,365.8,354.6,,400.3,399.22,,398.92,391.68,384.6,385.7,390.48,382.64,375.04,373.99,368.07,368.99,388.45000000000005,364.46,366.4,368.48,365.82,377.475,352.34,356.65,,,317.8,299.09,294.22,317.42,320.64,320.7,326.75,334.91,278.67,,,,355.82,355.65,355.86,346.4,347.17,,349.53,,352.88,355.16,369.08,370.84,387.87,375.49,398.20500000000004,386.44,405.8,388.23,384.04,,,284.27,L7
2001-01-05 21:50:16+00:00,290.13,285.43,277.01,287.93,307.71,322.23,331.96,328.49,332.88,328.59,333.86,,362.28,341.95,342.09,307.5,326.13,335.08,296.95,,296.59,292.14,307.58,312.39,321.9,,293.09,258.66,294.92,310.67,314.4,300.82,324.57,337.27,305.19,263.73,,,,,324.27,327.24,328.15,341.26,,336.73,337.34,344.13,351.62,342.18,356.69,356.14,344.68,342.62,350.06,345.82,341.21,342.4,340.04,341.17,345.1,353.05499999999995,,,,,,,,358.25,365.33500000000004,354.16,367.28499999999997,360.92,354.38,363.91,356.77,360.53,361.36,367.14,,365.8,354.6,,400.3,399.22,,398.92,391.68,384.6,385.7,390.48,382.64,375.04,373.99,368.07,368.99,388.45000000000005,364.46,366.4,368.48,365.82,377.475,352.34,356.65,,,317.8,299.09,294.22,317.42,320.64,320.7,326.75,334.91,278.67,,,,355.82,355.65,355.86,346.4,347.17,,349.53,,352.88,355.16,369.08,370.84,387.87,375.49,398.20500000000004,386.44,405.8,388.23,384.04,,,291.56,L7
2001-06-30 21:49:12+00:00,,,,,,,,,,,,,,,,,,,,374.38,,,,,,381.37,,,326.69,,,,,,,,,,,,358.66,,,,,,,,378.09,,,374.24,,377.41,,355.39,,363.38,376.24,,,,,,375.1,,,365.2,,,363.61,374.5,376.99,374.49,,,396.28,382.46,372.66,383.73,,372.86,393.13,,405.99,423.08,,397.61,412.87,393.82,418.79,398.14,,387.34,381.13,382.92,378.33,382.14,393.88,363.35,354.75,358.44,338.29,,,,,,,,341.41,,372.59,,,315.95,,,,362.5,,,370.02,352.61,,375.45,,364.15,381.34,405.66,397.81,389.19,412.59,413.98,378.64,411.21,,398.66,,,298.85,L7
2001-07-25 21:42:54+00:00,,,,,,,,,,,,,,,,,,,,374.38,,,,,,381.37,,,326.69,,,,,,,,295.86,294.14,301.44,296.83,358.66,301.17,305.02,312.03,313.77,314.87,318.41,324.29,352.995,332.95,335.72,354.865,330.53,353.745,326.53,342.17499999999995,326.24,344.075,351.725,325.67,323.19,329.4,322.28,325.85,350.135,324.74,329.67,349.04999999999995,326.43,330.92,346.395,353.89,351.815,351.26,322.4,333.18,361.15,359.575,353.39,359.895,336.84,358.20000000000005,367.78,306.25,379.61,390.66499999999996,359.64,377.9,389.015,380.4,390.855,379.875,358.66,371.155,363.345,360.95500000000004,361.14,358.985,360.875,344.77,338.015,335.315,321.525,280.68,267.07,252.34,,,,,341.41,,372.59,,,315.95,,,,345.6,337.85,330.41,346.365,338.655,323.87,351.855,324.84,350.63,354.0,372.21000000000004,371.62,367.735,380.465,384.055,365.87,380.975,360.28,379.675,248.07,247.98,244.33,L7
2001-09-02 21:48:29+00:00,,,,,,,,,,,,,376.47,371.07,376.0,,,,,360.58500000000004,,,338.31,343.49,333.32,361.925,330.77,,329.1,332.28,334.78,334.52,,,313.79,,312.51,317.9,321.16999999999996,321.52,352.645,319.425,324.12,328.41499999999996,313.77,330.02,331.66,337.09000000000003,350.73,344.095,349.67,355.6033333333333,346.225,356.97,347.635,348.00666666666666,341.505,345.39000000000004,352.15000000000003,341.17,337.385,340.16999999999996,333.69,339.025,351.3966666666667,337.655,339.265,348.44666666666666,339.015,339.3,347.58666666666664,350.09666666666664,348.8866666666666,348.6666666666667,331.95,337.45500000000004,354.1766666666667,352.1466666666667,348.96333333333337,356.07,339.985,355.65333333333336,363.25666666666666,332.29499999999996,376.9533333333334,384.40333333333336,366.095,377.74333333333334,385.20666666666665,377.71000000000004,385.01,376.19666666666666,359.69000000000005,367.22,359.49666666666667,357.33,359.9433333333333,358.3233333333333,357.76,344.0,335.8966666666667,332.0566666666667,321.75666666666666,293.82500000000005,280.69,263.725,,,,,349.20500000000004,331.71,357.55499999999995,340.15,351.38,322.905,325.08,327.4,,351.81,352.03,344.19500000000005,348.56333333333333,345.74,335.45500000000004,351.99,341.22,351.6466666666667,353.8966666666667,365.92333333333335,368.25333333333333,365.2366666666667,375.8866666666666,375.51666666666665,365.98333333333335,379.00333333333333,362.9,374.96333333333337,258.445,254.935,244.23000000000002,L7
