dates,nzd0240-0000,nzd0240-0001,nzd0240-0002,nzd0240-0003,nzd0240-0004,nzd0240-0005,nzd0240-0006,nzd0240-0007,nzd0240-0008,nzd0240-0009,nzd0240-0010,nzd0240-0011,nzd0240-0012,nzd0240-0013,nzd0240-0014,nzd0240-0015,nzd0240-0016,nzd0240-0017,nzd0240-0018,nzd0240-0019,nzd0240-0020,nzd0240-0021,nzd0240-0022,nzd0240-0023,nzd0240-0024,nzd0240-0025,nzd0240-0026,nzd0240-0027,nzd0240-0028,nzd0240-0029,nzd0240-0030,nzd0240-0031,nzd0240-0032,nzd0240-0033,nzd0240-0034,nzd0240-0035,nzd0240-0036,nzd0240-0037,nzd0240-0038,nzd0240-0039,nzd0240-0040,nzd0240-0041,nzd0240-0042,nzd0240-0043,nzd0240-0044,nzd0240-0045,nzd0240-0046,nzd0240-0047,nzd0240-0048,nzd0240-0049,nzd0240-0050,nzd0240-0051,nzd0240-0052,nzd0240-0053,nzd0240-0054,nzd0240-0055,nzd0240-0056,nzd0240-0057,nzd0240-0058,nzd0240-0059,nzd0240-0060,nzd0240-0061,nzd0240-0062,nzd0240-0063,nzd0240-0064,nzd0240-0065,nzd0240-0066,nzd0240-0067,nzd0240-0068,nzd0240-0069,nzd0240-0070,nzd0240-0071,nzd0240-0072,nzd0240-0073,nzd0240-0074,nzd0240-0075,nzd0240-0076,nzd0240-0077,nzd0240-0078,nzd0240-0079,nzd0240-0080,nzd0240-0081,nzd0240-0082,nzd0240-0083,nzd0240-0084,nzd0240-0085,nzd0240-0086,nzd0240-0087,nzd0240-0088,nzd0240-0089,nzd0240-0090,nzd0240-0091,nzd0240-0092,nzd0240-0093,nzd0240-0094,nzd0240-0095,nzd0240-0096,nzd0240-0097,nzd0240-0098,nzd0240-0099,nzd0240-0100,nzd0240-0101,nzd0240-0102,nzd0240-0103,nzd0240-0104,nzd0240-0105,nzd0240-0106,nzd0240-0107,nzd0240-0108,nzd0240-0109,nzd0240-0110,nzd0240-0111,nzd0240-0112,nzd0240-0113,nzd0240-0114,nzd0240-0115,nzd0240-0116,nzd0240-0117,nzd0240-0118,nzd0240-0119,nzd0240-0120,nzd0240-0121,nzd0240-0122,nzd0240-0123,nzd0240-0124,nzd0240-0125,nzd0240-0126,nzd0240-0127,nzd0240-0128,nzd0240-0129,nzd0240-0130,nzd0240-0131,nzd0240-0132,nzd0240-0133,nzd0240-0134,nzd0240-0135,nzd0240-0136,nzd0240-0137,nzd0240-0138,nzd0240-0139,nzd0240-0140,nzd0240-0141,nzd0240-0142,nzd0240-0143,nzd0240-0144,nzd0240-0145,nzd0240-0146,nzd0240-0147,nzd0240-0148,nzd0240-0149,nzd0240-0150,nzd0240-0151,nzd0240-0152,nzd0240-0153,nzd0240-0154,nzd0240-0155,nzd0240-0156,nzd0240-0157,nzd0240-0158,nzd0240-0159,nzd0240-0160,nzd0240-0161,nzd0240-0162,nzd0240-0163,nzd0240-0164,nzd0240-0165,nzd0240-0166,nzd0240-0167,nzd0240-0168,nzd0240-0169,nzd0240-0170,nzd0240-0171,nzd0240-0172,nzd0240-0173,nzd0240-0174,nzd0240-0175,nzd0240-0176,nzd0240-0177,nzd0240-0178,nzd0240-0179,nzd0240-0180,nzd0240-0181,nzd0240-0182,nzd0240-0183,nzd0240-0184,nzd0240-0185,nzd0240-0186,nzd0240-0187,nzd0240-0188,nzd0240-0189,nzd0240-0190,nzd0240-0191,nzd0240-0192,nzd0240-0193,nzd0240-0194,nzd0240-0195,nzd0240-0196,nzd0240-0197,nzd0240-0198,nzd0240-0199,nzd0240-0200,nzd0240-0201,nzd0240-0202,nzd0240-0203,nzd0240-0204,nzd0240-0205,nzd0240-0206,nzd0240-0207,nzd0240-0208,nzd0240-0209,nzd0240-0210,nzd0240-0211,nzd0240-0212,nzd0240-0213,nzd0240-0214,nzd0240-0215,nzd0240-0216,nzd0240-0217,nzd0240-0218,nzd0240-0219,nzd0240-0220,nzd0240-0221,nzd0240-0222,nzd0240-0223,nzd0240-0224,nzd0240-0225,nzd0240-0226,nzd0240-0227,nzd0240-0228,nzd0240-0229,nzd0240-0230,nzd0240-0231,nzd0240-0232,nzd0240-0233,nzd0240-0234,nzd0240-0235,nzd0240-0236,nzd0240-0237,nzd0240-0238,nzd0240-0239,nzd0240-0240,nzd0240-0241,nzd0240-0242,nzd0240-0243,nzd0240-0244,nzd0240-0245,nzd0240-0246,nzd0240-0247,nzd0240-0248,nzd0240-0249,nzd0240-0250,nzd0240-0251,nzd0240-0252,nzd0240-0253,nzd0240-0254,nzd0240-0255,nzd0240-0256,nzd0240-0257,nzd0240-0258,nzd0240-0259,nzd0240-0260,nzd0240-0261,nzd0240-0262,nzd0240-0263,nzd0240-0264,nzd0240-0265,nzd0240-0266,nzd0240-0267,nzd0240-0268,nzd0240-0269,nzd0240-0270,nzd0240-0271,nzd0240-0272,nzd0240-0273,nzd0240-0274,nzd0240-0275,nzd0240-0276,nzd0240-0277,nzd0240-0278,nzd0240-0279,nzd0240-0280,nzd0240-0281,nzd0240-0282,nzd0240-0283,nzd0240-0284,nzd0240-0285,nzd0240-0286,nzd0240-0287,nzd0240-0288,nzd0240-0289,nzd0240-0290,nzd0240-0291,nzd0240-0292,nzd0240-0293,nzd0240-0294,nzd0240-0295,satname
1999-09-29 21:52:52+00:00,,,326.94,357.93,383.14,,394.81,394.54,391.39,,,365.2,354.54,,,,,322.51,307.77,303.08,298.82,303.92,,,,,,,,303.5,319.33,296.54,293.44,297.9,299.81,293.26,292.43,286.16,284.12,287.31,,290.02,279.8,279.61,273.23,275.22,271.27,274.93,278.81,280.5,287.18,281.07,267.59,241.38,,,215.73,,299.9,309.67,,,,,302.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.51,320.92,,,,,339.26,,,,,,,,,,,,,,,210.28,,,277.41,299.08,310.47,,316.54,313.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.89,,,342.58,350.79,,,,,,,,,,,,,,,,,,,,,344.54,342.46,338.11,,,342.71,340.45,312.04,,327.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.67,373.85,376.38,376.86,378.35,386.63,378.31,374.14,367.27,352.76,343.52,,,348.44,370.9,378.21,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-04 21:52:37+00:00,,,326.94,357.93,383.14,,394.81,394.54,391.39,,,365.2,354.54,,,,,322.51,307.77,303.08,298.82,303.92,,,,,,,,303.5,319.33,296.54,293.44,297.9,299.81,293.26,292.43,286.16,284.12,287.31,,290.02,279.8,279.61,273.23,275.22,271.27,274.93,278.81,280.5,287.18,281.07,267.59,241.38,,,215.73,287.46,299.9,309.67,347.41,,,,318.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.71500000000003,320.92,,,,,339.26,,,,,,,,,,,,,,236.0,210.28,,,277.41,299.08,310.47,,316.54,313.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.89,,,342.58,350.79,,,,,,,,,,,,,,,,,,,,,344.54,342.46,338.11,,,342.71,340.45,312.04,,327.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.67,373.85,376.38,376.86,378.35,386.63,378.31,374.14,367.27,352.76,343.52,,,348.44,370.9,378.21,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-20 21:52:29+00:00,,,324.57,357.93,383.14,,394.81,394.54,391.39,,,365.2,354.54,,,,,322.51,307.77,303.08,298.82,303.92,,,,,,,,303.5,319.33,296.54,293.44,297.9,299.81,293.26,292.43,286.16,284.12,287.31,,290.02,279.8,279.61,273.23,275.22,271.27,274.93,278.81,280.5,287.18,281.07,280.42499999999995,241.38,,,216.675,287.46,299.9,309.67,342.485,,,,318.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.1666666666667,326.19500000000005,,,,,334.58500000000004,,,,,,,,,,,,,,235.55,210.28,,,278.96500000000003,299.08,310.47,,316.54,313.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.89,,,342.58,350.79,,,,,,,,,,,,,,,,,,,,,344.54,342.46,338.11,,,342.71,340.45,312.04,,327.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.67,373.85,376.38,376.86,378.35,386.63,378.31,374.14,369.16499999999996,352.76,357.385,367.54,,348.44,370.9,378.21,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-26 21:51:48+00:00,,,322.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.26,,,,217.62,287.46,,,342.485,,,,289.78499999999997,,,,,,,,,,265.79,,,,,,,,,,,251.84,249.13,,,,,,,264.63,,,,,267.65,312.93333333333334,291.5,276.68,269.86,,,329.91,268.97,,,,,,,,,,,,,235.55,,,,280.52,,,,,,,,,264.04,267.23,276.95,280.36,,,,293.24,293.71,291.34,,296.26,288.99,291.46,284.58,293.18,292.49,,,,296.62,,293.53,292.85,293.41,295.8,295.42,,295.52,294.73,293.61,286.4,297.6,291.7,291.4,286.24,,284.19,,,,,,282.04,,289.13,295.55,288.55,,,,286.69,288.78,,,293.56,292.8,287.27,290.93,289.89,289.69,291.53,285.49,292.77,,,290.94,,,,292.85,,,301.74,300.2,294.81,,,,,,,,,,,,302.27,273.74,,305.1,291.67,299.35,,,,,304.68,,305.49,297.8,298.24,307.58,,298.38,302.17,301.77,,304.69,308.56,,308.04,310.02,,311.96,,,,,,314.1,,,,,,,,,,,,371.06,,371.25,367.54,,,,,,,,,,,,317.78,,,,,,,,,,,,,,,,308.56,L7
2000-07-06 21:45:15+00:00,,,322.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.9,296.73,,,,,,,,,,,298.84,291.32,288.34,,294.76,286.6,274.39,287.21,293.09,293.26,,,,217.62,287.46,,,342.485,,,,289.78499999999997,328.26,,335.82,,327.39,328.21,331.19,312.02,,265.79,318.24,320.24,315.02,313.2,311.48,316.58,302.85,303.45,,,251.84,249.13,,,,,,,264.63,,,,304.03,272.65,304.615,287.6566666666667,272.74,253.22000000000003,,,329.91,268.97,,,,,,,,,,,,,235.55,,,,280.52,,,,,,,,,264.04,267.23,276.95,280.36,,,,293.24,282.67499999999995,276.575,,280.575,277.275,301.53,296.095,310.07500000000005,311.68,338.7,340.15,,296.62,322.88,294.1,281.385,286.095,290.255,303.975,,309.395,297.645,301.07,305.215,297.6,291.7,291.4,286.24,,284.19,341.47,,,,,282.04,,289.13,295.55,288.55,,345.1,346.23,286.69,288.78,335.14,,302.945,308.68,287.27,290.93,289.89,289.69,291.53,285.49,292.77,,,290.94,,,,292.85,,,301.74,300.2,294.81,,,328.36,,,287.35,,,,355.35,,302.27,273.74,,305.1,291.67,299.35,,,,,304.68,,305.49,297.8,298.24,319.67999999999995,330.14,316.995,309.23,317.36,354.63,321.91499999999996,308.56,,308.04,310.02,,311.96,,,362.87,,378.83,314.1,,370.96,,,355.92,378.07,383.8,370.39,383.04,370.71,368.11,360.745,,371.25,367.54,,,,,,400.92,,,,,,317.78,,,,,381.56,387.01,391.98,384.26,,368.04,,,,,,308.56,L7
2000-08-14 21:50:56+00:00,,,322.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.9,296.73,,,,,,,,,,,298.84,291.32,288.34,,294.76,286.6,274.39,287.21,293.09,293.26,,,,217.62,,,,337.56,,,,245.07,328.26,,335.82,,327.39,328.21,331.19,312.02,,265.79,318.24,320.24,315.02,313.2,311.48,316.58,302.85,303.45,,,251.84,249.13,,,,,,,264.63,,,,304.03,272.65,294.84666666666664,287.6566666666667,272.74,253.22000000000003,,,329.91,268.97,,,,,,,,,,328.71,,,235.1,,201.04,,280.52,,,,,,,,,264.04,267.23,276.95,280.36,,,,293.24,282.67499999999995,276.575,,280.575,277.275,301.53,296.095,310.07500000000005,311.68,338.7,340.15,,296.62,322.88,294.1,281.385,286.095,290.255,303.975,,309.395,297.645,301.07,305.215,297.6,291.7,291.4,286.24,,284.19,341.47,,,,,282.04,,289.13,295.55,288.55,,345.1,346.23,286.69,288.78,335.14,,302.945,308.68,287.27,290.93,289.89,289.69,291.53,285.49,292.77,,,290.94,,,,292.85,,,301.74,300.2,294.81,,,328.36,,,287.35,,,,355.35,,302.27,273.74,,305.1,291.67,299.35,,,,,304.68,,305.49,297.8,298.24,319.67999999999995,330.14,316.995,309.23,317.36,354.63,321.91499999999996,308.56,,308.04,310.02,,311.96,,,362.87,,378.83,314.1,,370.96,,,355.92,378.07,383.8,370.39,383.04,370.71,368.11,360.745,,371.25,367.54,,,,,,400.92,,,,,,317.78,,,,,381.56,387.01,391.98,384.26,,368.04,,,,,,308.56,L7
2000-09-15 21:50:25+00:00,,,344.62,366.64,381.7,,395.5,387.34,382.36,,,,350.95,339.84,332.44,348.96,,344.64,335.43,,,,,,,,,,305.49,,312.7,304.62,305.53499999999997,307.97,304.09,305.33,301.73,291.43,,,,,300.45,293.985,290.98,288.34,,286.47,281.46000000000004,276.505,281.825,288.205,279.35,265.98,,,212.87,264.37,318.36,,330.33,,,,245.07,324.04499999999996,,333.105,,321.42499999999995,330.105,328.025,313.53499999999997,320.81,265.79,318.82,319.145,320.05499999999995,316.6,316.78,316.58,304.87,303.45,316.72,315.77,251.84,249.13,,,311.37,304.46,300.36,305.37,264.63,310.8,311.03,313.97,304.03,289.36999999999995,288.88000000000005,283.2633333333333,289.19666666666666,275.52333333333337,323.07,326.9,323.82,268.97,337.8,338.41,336.17,345.87,366.61,379.14,375.05,372.22,,328.71,259.55,226.14,226.27,227.41,204.245,,289.09,308.1,,,317.51,,,,326.31,264.04,267.23,276.95,280.36,344.23,339.27,338.86,293.24,282.67499999999995,276.575,,280.575,298.92,315.38,296.095,310.07500000000005,311.68,339.525,341.30499999999995,345.52,296.62,335.935,294.1,281.385,307.22,290.255,303.975,,309.395,297.645,301.07,305.215,297.6,291.7,291.4,286.24,344.05,284.19,345.21000000000004,,,,,282.04,335.01,289.13,295.55,288.55,,345.44500000000005,346.23,286.69,288.78,335.14,336.51,302.945,308.68,287.27,290.93,289.89,289.69,291.53,285.49,292.77,345.88,,290.94,342.17,339.46,,292.85,357.31,,301.74,300.2,294.81,353.32,,328.36,,338.08,287.35,,353.04,361.33,360.18,,302.27,273.74,338.94,305.1,291.67,299.35,,,,,304.68,,305.49,297.8,298.24,319.67999999999995,330.14,316.995,324.3433333333333,317.36,354.63,321.91499999999996,308.56,359.06,308.04,310.02,357.35,311.96,363.88,,370.1,369.77,378.83,314.1,,372.96500000000003,,372.8,368.185,379.905,381.99,370.39,373.5,372.185,369.555,358.3,366.99,365.12,,,,390.25,401.07,,400.92,390.8,393.53,,,377.7,317.78,376.08,371.73,378.06,,381.56,386.475,393.29,384.26,381.8,368.04,,360.06,,361.49,366.58,308.56,L7
2000-12-04 21:50:10+00:00,,,333.555,366.64,381.7,,395.5,387.34,382.36,,,,350.95,339.84,332.44,348.96,,344.64,335.43,,,,,,,,,,305.49,,312.7,304.62,305.53499999999997,307.97,304.09,305.33,301.73,291.43,,,,,300.45,293.985,290.98,288.34,,286.47,281.46000000000004,276.505,281.825,288.205,279.35,265.98,,,212.87,264.37,310.51,,330.33,,,,,324.04499999999996,,333.105,,321.42499999999995,330.105,328.025,313.53499999999997,320.81,,318.82,319.145,320.05499999999995,316.6,316.78,316.58,304.87,303.45,316.72,315.77,,,,,311.37,304.46,300.36,305.37,,310.8,311.03,313.97,304.03,300.22999999999996,298.9150000000001,299.13,295.45500000000004,278.355,323.07,326.9,323.82,,337.8,338.41,336.17,345.87,366.61,379.14,375.05,372.22,,328.71,269.975,226.14,226.27,213.73000000000002,204.245,,289.09,308.1,,,317.51,,,,326.31,,,,,344.23,339.27,338.86,,271.64,261.81,,264.89,303.885,327.34000000000003,307.61,326.97,330.87,339.525,341.30499999999995,345.52,,335.935,294.67,269.92,314.125,284.71,312.53,,323.27,300.56,308.53,324.03,,,,,344.05,,345.21000000000004,,,,,,335.01,,,,,345.44500000000005,346.23,,,335.14,336.51,312.33,324.56,,,,,,,,345.88,,,342.17,339.46,,,357.31,,,,,353.32,,328.36,,338.08,287.35,,353.04,361.33,360.18,,,,338.94,,,,,,,,,,,,,331.78,330.14,335.61,335.42999999999995,332.95,354.63,339.14,,359.06,,,357.35,,363.88,,370.1,369.77,378.83,,,372.96500000000003,,372.8,368.185,379.905,381.99,370.39,373.5,372.185,369.555,358.3,366.99,365.12,,,,390.25,401.07,,400.92,390.8,393.53,,,377.7,,376.08,371.73,378.06,,381.56,386.475,393.29,384.26,381.8,368.04,,360.06,,361.49,366.58,,L7
2000-12-20 21:50:16+00:00,,,318.07,366.64,381.7,,395.5,387.34,382.36,,,,350.95,339.84,332.44,348.96,,344.64,335.43,,,277.79,277.32,267.67,267.19,267.85,,256.76,289.645,,312.7,304.62,288.51666666666665,281.59000000000003,278.335,305.33,278.805,274.425,255.84,251.64,,261.58,290.995,283.98,281.26,273.615,261.06,282.6433333333334,273.5933333333333,269.63,272.0566666666667,273.63,259.45000000000005,265.98,,,212.87,243.315,292.8066666666667,275.86,304.655,,282.03,285.98,285.06,308.6066666666666,,333.105,281.1,307.03999999999996,330.105,311.6766666666667,303.34666666666664,302.145,278.09,307.87333333333333,306.5266666666667,309.6333333333333,305.28,304.07666666666665,299.335,295.6766666666667,291.94,298.05,297.89,275.62,276.23,277.14,,295.77,289.05499999999995,286.345,288.68,,297.95500000000004,297.615,296.235,294.265,300.22999999999996,298.9150000000001,299.13,291.9266666666667,281.13000000000005,311.0,326.9,311.97,307.32,326.97,331.64,327.815,339.365,354.89,368.27,365.4,360.72,338.7,314.74,269.975,226.14,226.27,213.73000000000002,204.245,,289.09,308.1,277.85,279.86,317.51,280.24,292.89,296.31,313.28,302.07,302.62,303.76,303.8,326.19500000000005,334.58,326.725,310.84,291.155,286.615,312.25,288.765,308.05,323.49333333333334,312.51,324.29,322.36,331.73,332.97666666666663,333.485,326.92,329.99,305.55,293.315,315.83666666666664,284.71,319.32,,318.58,307.695,310.655,321.405,316.09,313.07,311.1,311.67,326.925,311.42,334.33666666666664,310.77,300.44,304.54,305.46,294.33,319.135,302.95,303.31,303.35,303.04,331.09,326.225,307.31,305.04,316.975,318.38,306.46500000000003,314.375,305.29,308.52,309.14,305.05,302.88,307.65,307.6,326.675,,307.78,326.605,325.28,315.29,316.15,336.625,315.21,312.24,314.72,317.56,335.1,310.73,315.015,,338.08,296.735,312.57,336.975,343.865,349.07,331.28,323.64,313.46,328.225,325.67,321.06,321.61,324.16,326.32,322.21,,317.12,319.42,314.22,314.43,319.72,327.13,326.225,326.275,330.49,327.515,337.40999999999997,331.885,326.92,343.395,328.98,333.31,347.725,339.37,357.765,359.1,370.1,361.32,362.995,349.19,345.12,363.97,,362.21000000000004,362.6966666666667,371.51666666666665,373.03000000000003,360.075,363.68333333333334,364.6233333333333,361.9466666666667,352.8966666666667,351.84000000000003,365.12,,,,390.25,401.07,,400.92,390.8,393.53,,,377.7,,376.08,371.73,378.06,,381.56,386.475,393.29,384.26,381.8,368.04,,360.06,,361.49,366.58,,L7
2001-03-10 21:50:10+00:00,,,318.07,366.64,381.7,,395.5,387.34,382.36,,,,350.95,339.84,332.44,348.96,,344.64,335.43,,,277.79,277.32,267.67,267.19,267.85,,256.76,289.645,,312.7,304.34,284.40999999999997,281.59000000000003,278.335,305.33,278.805,274.425,255.84,251.64,,261.58,290.995,276.55000000000007,296.2866666666667,258.89,261.06,276.58500000000004,267.09,267.25,264.48,263.9,259.45000000000005,265.98,,,212.87,246.62,292.8066666666667,275.86,304.655,,282.03,285.98,285.06,298.78,,330.39,281.1,296.86499999999995,332.0,301.91999999999996,316.2366666666667,302.145,278.09,302.69,299.67,306.94,301.31999999999994,300.375,282.09,308.49666666666667,280.43,298.05,297.89,275.62,276.23,277.14,331.84,295.77,289.05499999999995,286.345,288.68,,297.95500000000004,297.615,296.235,284.5,322.81,318.17,325.395,303.49,303.40500000000003,311.0,336.91499999999996,311.97,328.37,326.97,331.64,342.22333333333336,351.02666666666664,354.89,368.27,376.83,371.1333333333334,338.7,300.77,269.975,229.99,226.27,213.73000000000002,207.45,,289.09,308.1,277.85,279.86,317.51,280.24,292.89,296.31,313.28,302.07,302.62,303.76,303.8,326.19500000000005,334.58,326.725,310.84,310.67,311.42,312.25,312.64,329.29499999999996,329.43999999999994,317.41,321.61,313.85,328.245,329.39,333.485,326.92,333.545,316.43,316.71,334.365,,326.11,,313.89,314.83,312.78,342.80999999999995,316.09,313.07,311.1,311.67,326.925,311.42,330.77,310.77,300.44,304.54,305.46,294.33,319.135,302.95,303.31,303.35,303.04,324.085,306.22,307.31,305.04,298.81,318.38,300.6,304.19,305.29,308.52,309.14,329.525,330.91499999999996,307.65,307.6,326.675,,307.78,326.605,325.28,315.29,316.15,336.625,330.92499999999995,340.58500000000004,332.94000000000005,323.96000000000004,332.8233333333333,324.19500000000005,301.67,,353.145,306.12,312.57,336.975,343.865,345.93,331.28,323.64,313.46,328.225,325.67,321.06,321.61,324.16,326.32,322.21,,317.12,319.42,314.22,314.43,319.72,322.48,322.31,316.94,337.59000000000003,322.08,320.19,324.63,326.92,343.395,328.98,333.31,347.725,339.37,357.765,359.1,377.33,361.32,363.805,367.1,362.595,360.475,388.49,372.34666666666664,376.98,368.24,367.6450000000001,349.76,354.005,361.5799999999999,358.86500000000007,354.13,351.84000000000003,365.12,,,,390.25,401.07,412.13,414.35,390.8,393.53,,,377.7,,376.08,371.73,378.06,,,385.94,394.6,,381.8,,,360.06,,361.49,366.58,,L7
