dates,satname,nzd0244-0000,nzd0244-0001,nzd0244-0002,nzd0244-0003,nzd0244-0004,nzd0244-0005,nzd0244-0006,nzd0244-0007,nzd0244-0008,nzd0244-0009,nzd0244-0010,nzd0244-0011,nzd0244-0012,nzd0244-0013,nzd0244-0014,nzd0244-0015,nzd0244-0016,nzd0244-0017,nzd0244-0018,nzd0244-0019,nzd0244-0020,nzd0244-0021,nzd0244-0022,nzd0244-0051,nzd0244-0052,nzd0244-0053,nzd0244-0054,nzd0244-0055,nzd0244-0056,nzd0244-0057,nzd0244-0023,nzd0244-0024,nzd0244-0025,nzd0244-0026,nzd0244-0027,nzd0244-0031,nzd0244-0032,nzd0244-0033,nzd0244-0034,nzd0244-0035,nzd0244-0036,nzd0244-0037,nzd0244-0038,nzd0244-0039,nzd0244-0040,nzd0244-0041,nzd0244-0042,nzd0244-0043,nzd0244-0044,nzd0244-0045,nzd0244-0046,nzd0244-0047,nzd0244-0048,nzd0244-0049,nzd0244-0050,nzd0244-0058,nzd0244-0059,nzd0244-0030,nzd0244-0060,nzd0244-0061,nzd0244-0062,nzd0244-0063,nzd0244-0064,nzd0244-0065,nzd0244-0066,nzd0244-0088,nzd0244-0089,nzd0244-0090,nzd0244-0091,nzd0244-0028,nzd0244-0029,nzd0244-0067,nzd0244-0068,nzd0244-0069,nzd0244-0070,nzd0244-0071,nzd0244-0072,nzd0244-0074,nzd0244-0075,nzd0244-0076,nzd0244-0077,nzd0244-0079,nzd0244-0080,nzd0244-0081,nzd0244-0082,nzd0244-0083,nzd0244-0084,nzd0244-0073,nzd0244-0078,nzd0244-0085,nzd0244-0086,nzd0244-0087
1999-12-25 21:58:52.197000,L7,163.26,197.57,185.99,196.67,244.07,247.55,233.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10 21:58:52.465000,L7,,,270.09,283.28,305.40,303.35,297.90,266.24,253.25,314.26,305.99,288.39,298.56,299.23,300.44,294.97,254.51,252.96,335.06,341.43,318.86,288.02,345.24,327.73,326.62,330.59,,,,,335.89,343.72,371.65,290.36,295.87,326.82,328.75,323.10,317.50,313.34,316.57,320.09,305.72,314.20,300.02,,,307.51,311.68,308.20,338.27,333.11,338.00,330.99,332.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-27 21:58:40.521000,L7,,,276.27,291.68,308.95,309.84,300.51,260.57,256.46,243.75,,,,,,,278.29,314.19,284.02,288.43,272.27,273.65,288.52,344.39,344.72,362.30,369.09,379.70,375.32,376.16,290.13,286.67,309.76,299.77,305.96,328.52,331.33,319.66,332.17,324.90,328.03,337.16,332.77,336.88,338.49,350.30,338.70,340.66,329.82,357.42,347.24,362.10,380.01,369.93,366.64,371.33,372.39,349.59,379.26,374.43,362.90,361.39,331.13,,,,,,,347.66,365.97,,,,,,,,,,,,,,,,,,,,,
2000-03-14 21:58:35.291000,L7,166.17,161.58,154.86,202.66,224.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:58:33.541000,L7,,,,,,349.24,357.24,314.40,291.23,253.67,262.24,268.16,300.67,302.86,319.09,,,,,,,,,371.94,388.89,393.45,406.34,389.61,391.09,389.63,,,374.94,372.14,398.67,345.95,327.47,331.43,373.19,335.84,333.47,333.74,340.90,355.91,368.89,370.13,371.09,361.89,365.94,362.91,385.15,404.29,387.97,398.11,391.01,395.32,394.25,354.33,406.36,414.30,386.54,405.32,391.01,414.93,,,,,,392.77,372.56,,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:57:08.715000,L7,,,193.40,211.14,241.46,249.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-09 21:56:21.390000,L7,,,,,327.02,308.53,291.73,268.87,262.03,255.91,254.57,252.94,269.72,270.57,316.88,,,,,,344.81,355.04,337.77,339.21,339.36,345.09,318.99,347.50,,,,331.59,311.05,305.29,327.23,337.95,343.14,355.92,359.71,330.09,312.90,355.47,346.63,323.82,322.96,321.79,319.19,320.13,323.06,337.01,342.48,338.59,343.89,343.42,343.36,,,338.62,,408.28,400.74,412.12,407.53,431.95,409.55,,,,,336.96,341.00,316.25,312.74,313.21,312.22,248.30,189.48,154.74,,,,34.18,,221.39,250.26,243.80,229.21,188.33,,,,
2001-03-17 21:56:16.575000,L7,180.57,207.35,208.17,217.98,221.45,233.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-17 21:56:40.512000,L7,180.52,207.45,210.50,215.45,218.32,228.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-09 21:54:36.880000,L7,199.46,248.50,260.61,264.57,273.55,277.11,277.38,271.25,270.47,264.52,253.49,247.93,258.51,246.35,228.24,292.28,294.10,277.37,284.06,259.75,263.34,276.83,284.32,321.77,333.00,322.45,354.81,369.34,371.59,381.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-11 21:54:09.862000,L7,164.02,168.43,198.18,210.40,215.41,227.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-31 21:54:50.570000,L7,163.48,175.86,201.36,207.97,210.39,232.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-16 21:54:54.191000,L7,,247.64,270.35,278.68,299.58,305.91,312.59,329.42,329.59,368.43,,,,,,,,245.56,285.84,,,,,313.39,415.64,422.79,413.26,443.21,346.00,345.23,,,,,407.22,355.01,304.19,313.21,305.26,312.01,305.23,303.12,305.65,292.75,383.99,310.89,304.96,324.18,439.05,337.80,334.95,329.02,341.95,353.56,341.70,445.97,439.43,381.69,399.42,389.55,389.74,395.11,410.95,402.65,413.20,,,,,403.63,379.47,,,,,,,,,,,,,,,,,,,,,
2002-08-27 21:54:00.253000,L7,,201.94,226.98,245.28,254.71,270.58,267.64,257.57,,,,229.22,232.11,239.39,223.05,244.36,260.76,271.31,287.60,,,,,,,,,,,,,,,,,,,,,315.11,306.60,293.46,292.06,284.52,290.43,280.20,398.54,307.90,306.76,311.92,313.68,315.79,321.03,319.46,,,,,,,,,,,,291.19,319.78,344.43,419.40,,,,,,,,,,,,,,,234.84,255.60,322.39,315.55,,,313.85,,
2002-10-14 21:53:43.769000,L7,178.47,219.24,266.70,271.94,261.17,274.68,280.22,273.76,307.85,269.65,255.46,252.34,264.34,261.47,244.07,260.49,282.17,280.96,281.93,349.39,361.82,313.33,290.97,334.51,339.70,330.17,333.07,331.56,322.08,331.95,294.57,286.51,296.66,279.73,287.13,308.55,317.87,326.00,328.15,310.94,314.29,310.04,296.01,305.78,302.82,298.03,301.61,314.18,318.49,322.74,331.64,332.19,337.96,337.00,337.29,326.81,327.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-01 21:54:16.937000,L7,181.95,218.02,248.76,257.47,242.40,266.38,260.52,274.59,292.89,275.86,254.25,250.50,335.74,273.10,296.07,283.01,285.66,290.36,300.90,304.10,325.90,285.78,278.46,340.33,342.30,339.35,343.82,351.53,353.28,363.70,285.32,286.23,294.58,283.44,293.41,419.09,414.05,421.62,394.63,302.28,295.89,306.85,299.11,312.48,304.50,300.17,407.04,414.09,398.41,330.45,335.34,336.46,337.99,340.10,337.08,449.07,433.70,330.76,411.70,447.09,379.20,383.19,401.70,421.76,313.45,257.35,288.69,317.10,351.37,,,,,,,,,,,,,,,,,,,,,,,
2003-01-18 21:54:30.278000,L7,182.56,233.99,252.14,268.32,273.77,313.01,325.66,282.24,296.06,293.51,292.66,274.86,279.75,280.41,280.06,279.92,292.36,292.66,299.08,310.21,364.28,338.22,308.97,411.72,405.24,385.93,384.85,421.45,409.59,420.85,327.08,321.87,335.09,406.90,405.31,400.58,425.74,396.04,351.84,347.42,330.31,329.60,324.98,326.98,317.24,314.64,338.14,333.60,337.35,365.90,353.88,364.95,377.15,395.56,405.85,413.54,397.56,378.30,398.71,389.56,409.14,416.07,398.50,393.36,406.76,360.64,389.45,401.88,,423.19,390.40,347.29,355.78,,,,,,,,,,,,,,,,,,,
2003-04-08 21:54:47.577000,L7,167.94,202.75,237.97,258.36,263.56,288.81,292.25,279.31,294.18,331.37,254.07,235.00,226.00,250.73,242.89,247.85,269.30,280.32,295.09,252.38,355.25,300.27,382.34,351.81,371.16,358.57,357.53,351.16,353.29,358.98,374.73,382.78,326.00,336.65,345.55,327.33,324.38,321.62,317.74,315.92,307.05,303.44,306.84,307.90,303.42,285.49,322.23,341.97,339.35,337.00,340.21,344.27,354.66,364.47,361.29,337.05,341.12,322.84,368.79,353.49,348.88,345.89,337.95,,,,,,,324.52,333.14,,289.87,279.07,289.34,276.98,209.19,,,,,,,,,,,,,,,
2003-04-08 21:55:11.531000,L7,,,,,,,,,,,296.63,322.54,315.83,325.37,270.32,265.95,284.22,300.83,,,,,,,,,,,,,,390.33,363.01,357.65,363.68,334.33,370.82,340.69,327.48,327.06,317.12,318.98,310.99,319.15,311.90,296.14,331.27,353.34,354.14,360.98,352.13,,,,,,,377.49,,,,,,,,,,,,372.95,350.97,,,,,,,,,,,,,,,,,,,,,
2003-04-24 21:54:46.433000,L7,,,,262.00,250.82,264.35,270.94,261.29,257.31,250.02,243.02,,238.21,237.28,237.33,247.50,268.15,272.52,281.63,260.22,247.11,260.58,271.11,338.04,338.04,354.33,398.08,407.65,377.56,418.46,288.85,326.37,310.91,297.31,309.21,,314.71,316.89,318.43,341.17,328.97,320.30,324.07,324.38,322.50,315.27,355.75,329.25,331.12,336.25,351.02,363.31,374.44,354.63,373.54,399.50,403.47,,405.56,393.07,387.45,372.14,383.03,396.87,,,,,,310.80,312.24,,,,,,,,,,,,,,,,,,,,,
2003-07-21 21:42:33.857000,L5,181.88,210.35,238.81,244.45,249.77,265.14,265.12,248.84,248.24,,,,223.32,230.01,234.14,234.46,252.72,262.19,257.29,243.42,227.50,,,325.63,322.18,336.07,332.42,330.09,,,,,,,,,,,,,297.03,303.15,293.36,295.90,293.58,291.75,293.48,316.29,324.19,317.49,318.63,336.38,330.97,336.04,325.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-21 21:42:57.544000,L5,173.40,203.60,229.42,241.56,242.76,255.65,256.23,244.05,,,,,,225.55,225.77,226.51,252.81,263.45,253.92,240.52,226.23,,,,,,,,,,,,,,,,,,,,291.18,296.22,288.38,295.30,291.31,291.62,292.09,306.83,302.92,307.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-25 21:44:04.226000,L5,169.15,207.40,249.23,266.44,263.46,277.14,277.96,261.49,255.87,,,,222.37,229.55,231.20,243.14,265.49,262.93,267.36,256.82,255.56,252.52,253.26,322.01,329.29,332.83,330.55,332.98,336.74,327.15,,,,,,,,,,,,,,281.26,293.98,289.86,297.14,316.49,316.56,318.91,307.61,313.14,319.03,328.64,318.63,330.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-14 21:44:57.678000,L5,,170.39,205.33,220.09,223.40,238.33,245.01,,,,,,,,194.35,195.15,221.47,203.14,223.97,220.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-01 21:45:02.553000,L5,175.27,203.29,230.25,251.55,256.40,269.60,269.82,254.66,253.64,241.18,,,,224.33,223.18,226.45,260.78,257.95,267.85,250.82,246.81,257.25,265.70,320.59,319.45,325.43,340.63,336.75,334.32,362.41,,,,,,,,,,,,,284.62,297.06,298.50,302.33,303.65,320.46,321.32,313.87,322.00,331.31,331.92,332.30,321.38,414.71,364.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-17 21:45:08.368000,L5,,,,,,,,,,,,226.86,233.65,237.50,237.00,240.29,260.79,256.62,261.30,234.96,238.17,,,330.62,334.33,336.52,346.61,337.18,340.75,328.04,279.32,297.34,297.96,291.88,303.39,,306.46,307.43,305.55,299.37,298.91,297.11,297.61,302.59,302.69,306.42,304.55,312.50,311.51,312.14,318.31,326.16,338.94,338.75,333.88,330.48,330.35,,335.47,341.69,333.73,332.84,322.22,,,,,,,308.30,312.92,,,,,,,,,,,,,,,,,,,,,
2004-04-18 21:45:49.558000,L5,172.48,198.40,230.58,245.63,250.93,265.34,259.70,249.86,,,,,242.71,224.25,231.54,227.43,250.89,253.56,263.22,237.89,235.43,253.31,257.18,330.40,332.20,345.46,345.61,339.24,339.49,346.70,,,,,,,,,,297.67,297.66,288.39,287.91,295.74,296.93,293.99,302.20,300.05,310.31,312.96,324.59,325.64,330.73,340.56,338.27,339.93,341.30,,342.33,349.56,334.79,326.60,321.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-18 21:46:13.246000,L5,157.29,185.44,211.40,225.51,232.44,246.35,248.07,233.16,,,,,,,198.73,201.74,221.51,219.76,230.12,218.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-07 21:48:09.180000,L5,156.63,178.51,195.32,215.67,215.72,236.45,241.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-07 21:48:33.010000,L5,153.98,175.91,192.27,210.40,216.48,237.61,242.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-23 21:48:33.165000,L5,174.87,206.81,228.05,255.33,243.43,255.55,263.54,246.14,,,,,,220.85,221.93,226.75,236.93,235.62,248.15,235.38,227.28,,,325.79,330.60,334.32,327.64,329.14,,,,,,,,,,,,301.55,299.13,291.28,292.14,301.13,292.41,296.74,301.75,305.19,304.94,308.25,313.49,327.27,323.86,335.33,323.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-23 21:48:56.995000,L5,152.44,169.42,192.37,217.20,213.71,234.36,234.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-24 21:49:18.016000,L5,178.36,206.70,234.13,250.93,261.42,265.12,262.85,251.04,,,,,,221.14,221.46,225.55,242.74,242.22,249.19,235.61,233.61,,,322.83,322.09,323.72,323.63,318.27,,,,,,,,,,,,304.29,303.99,289.11,288.64,286.08,289.62,281.93,290.69,304.54,314.67,316.49,319.86,323.68,335.57,327.22,323.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
