dates,nzd0244-0000,nzd0244-0001,nzd0244-0002,nzd0244-0003,nzd0244-0004,nzd0244-0005,nzd0244-0006,nzd0244-0007,nzd0244-0008,nzd0244-0009,nzd0244-0010,nzd0244-0011,nzd0244-0012,nzd0244-0013,nzd0244-0014,nzd0244-0015,nzd0244-0016,nzd0244-0017,nzd0244-0018,nzd0244-0019,nzd0244-0020,nzd0244-0021,nzd0244-0022,nzd0244-0023,nzd0244-0024,nzd0244-0025,nzd0244-0026,nzd0244-0027,nzd0244-0028,nzd0244-0029,nzd0244-0030,nzd0244-0031,nzd0244-0032,nzd0244-0033,nzd0244-0034,nzd0244-0035,nzd0244-0036,nzd0244-0037,nzd0244-0038,nzd0244-0039,nzd0244-0040,nzd0244-0041,nzd0244-0042,nzd0244-0043,nzd0244-0044,nzd0244-0045,nzd0244-0046,nzd0244-0047,nzd0244-0048,nzd0244-0049,nzd0244-0050,nzd0244-0051,nzd0244-0052,nzd0244-0053,nzd0244-0054,nzd0244-0055,nzd0244-0056,nzd0244-0057,nzd0244-0058,nzd0244-0059,nzd0244-0060,nzd0244-0061,nzd0244-0062,nzd0244-0063,nzd0244-0064,nzd0244-0065,nzd0244-0066,nzd0244-0067,nzd0244-0068,nzd0244-0069,nzd0244-0070,nzd0244-0071,nzd0244-0072,nzd0244-0073,nzd0244-0074,nzd0244-0075,nzd0244-0076,nzd0244-0077,nzd0244-0078,nzd0244-0079,nzd0244-0080,nzd0244-0081,nzd0244-0087,nzd0244-0088,nzd0244-0089,nzd0244-0090,nzd0244-0091,nzd0244-0082,nzd0244-0083,nzd0244-0084,nzd0244-0085,nzd0244-0086,satname
1999-12-25 21:58:52.197,195.3,226.8,235.26,251.04,274.44,275.43,270.86,244.16,235.71,,,242.54,,,,,,225.71,229.26,,,,,,,,,,255.71,,,,,,,246.72,265.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.82,410.93,,,,,,,,,,,,381.05,,,,,372.16,,,,,,,L7
2000-01-10 21:58:52.465,204.27,242.27,249.0,265.185,286.83500000000004,277.63,271.79,251.695,238.985,,,241.615,303.6,,,321.89,362.43,229.56,234.05,,,323.26,,317.76,,,,353.2,267.44,,340.24,334.54,332.57,324.04,,266.545,273.40999999999997,,,,,,,,,,,,,,314.88,310.04,,308.61,,,,,,,,,,,,,,440.825,426.87,,,461.31,,265.36,,,,,,,395.46000000000004,,,193.29,,371.37,,,,,,,L7
2000-02-27 21:58:40.521,216.17999999999998,249.45333333333335,258.83,274.9033333333333,293.1333333333334,287.65333333333336,272.80333333333334,259.7133333333333,240.75666666666666,,,241.615,297.73,,,311.305,345.525,229.56,234.05,,,305.355,,310.32,,,,333.565,267.44,364.6,342.36,345.44,339.15999999999997,330.40999999999997,343.63,266.545,273.40999999999997,,,,,,350.87,,,,,,,,317.595,312.8,346.93,313.33000000000004,,,,,,,,,,,301.52,270.76,270.36,440.825,426.87,,,470.115,,266.62,,,,,,,395.46000000000004,,,199.445,,371.37,,,,,,,L7
2000-03-14 21:58:35.291,232.0575,249.45333333333335,258.83,274.9033333333333,293.1333333333334,296.72249999999997,280.37,259.7133333333333,240.75666666666666,292.72,328.21,241.615,296.58,286.64,324.34,311.305,345.525,229.56,234.05,,,305.355,366.41,310.32,417.35,401.93,370.13,333.565,267.44,380.185,342.36,345.44,339.15999999999997,330.40999999999997,357.745,266.545,273.40999999999997,,,,,,358.63,,,,,,,,317.595,312.8,346.93,313.33000000000004,,,,,,,,,,,319.26,288.055,279.0,440.825,426.87,,,470.115,,282.23,301.35,,,,,,395.46000000000004,,,199.445,,371.37,,,,,,,L7
2000-03-30 21:58:33.541,237.262,249.45333333333335,263.97,279.09999999999997,298.4875,298.784,280.104,259.7133333333333,240.75666666666666,312.56,321.575,241.615,299.96500000000003,297.07,322.30499999999995,310.08,333.25,229.56,234.05,,,305.355,360.66,310.32,400.12,386.21000000000004,362.03,333.565,267.44,376.18333333333334,346.92,344.47333333333336,338.23333333333335,332.3,352.6933333333333,266.545,282.40333333333336,,,,,,358.3866666666666,285.65,291.1,294.64,301.13,303.29,311.95,311.92,317.26666666666665,310.18666666666667,344.97,309.77,302.43,312.77,321.77,300.69,332.13,332.39,313.42,301.58,307.19,,319.26,288.055,279.0,442.7133333333333,439.3933333333334,,414.47,469.46333333333337,302.93,284.03499999999997,301.36,,,,,,395.46000000000004,,,199.445,234.22,371.37,309.66,,,,,,L7
2000-08-05 21:57:08.715,259.25666666666666,263.82,278.94000000000005,293.01499999999993,310.14,297.9225,285.64666666666665,275.75,244.3,312.56,321.575,,298.7533333333334,297.07,322.30499999999995,304.175,318.65999999999997,,,,,287.45,360.66,302.88,400.12,386.21000000000004,362.03,313.93,,376.18333333333334,350.26,349.44000000000005,341.06500000000005,336.42999999999995,352.6933333333333,,300.39,,,,,,358.3866666666666,285.65,291.1,294.64,301.13,303.29,311.95,311.92,318.46,310.26,344.97,310.34999999999997,302.43,312.77,321.77,300.69,332.13,332.39,313.42,301.58,307.19,,319.26,288.055,279.0,446.49,464.44,,414.47,473.5400000000001,302.93,290.25999999999993,301.36,,,,,,,,,205.6,234.22,,309.66,,,,,,L7
2000-11-09 21:56:21.390,,,223.49,299.35,286.8,264.485,268.47,251.69,263.63,,,213.26,,,,284.71,,236.79,251.41,227.59,235.49,314.44,,,,,,300.58,281.31,,,,,,,284.59,277.7,278.63,278.79,280.17,281.71,,,285.16,288.36,295.26,299.5,302.95,307.55,310.68,308.0,304.93,306.04,300.93,303.31,309.02,304.52,302.82,302.07,302.39,305.45,295.4,303.29,302.86,299.82,273.46,250.95,463.36,440.94,,429.4,,,,,,,,,,,,,180.64,210.07,,293.38,,,,,,L7
2001-03-17 21:56:16.575,229.03,235.94,237.015,278.79499999999996,274.66499999999996,268.54,261.565,249.24,251.34,,,214.515,,,,284.71,,240.70499999999998,250.45,221.73000000000002,225.215,314.44,,299.78,,,,300.58,281.42,,,,,,,287.33,278.42499999999995,279.71000000000004,274.83000000000004,278.38,280.065,,,285.16,288.36,295.26,299.5,302.95,307.55,310.68,308.0,308.91499999999996,311.505,305.64,302.78999999999996,311.92999999999995,309.065,302.12,307.54999999999995,304.88,308.445,300.0,307.49,306.40999999999997,299.90999999999997,275.81,262.53,463.36,440.94,,429.4,,,,,,,,,,,,,184.165,210.07,343.07,305.395,,,,,,L7
2001-03-17 21:56:40.512,229.03,251.57,250.64333333333332,285.0233333333333,280.67,270.05333333333334,262.13,253.66333333333333,258.78333333333336,,,214.515,,,,284.71,,240.70499999999998,250.45,221.73000000000002,225.215,314.44,,299.78,,,,300.58,281.42,387.71,,,,,,287.33,278.42499999999995,279.71000000000004,274.83000000000004,278.38,280.065,,,285.16,288.36,295.26,299.5,302.95,307.55,310.68,308.0,308.91499999999996,311.505,305.64,302.78999999999996,311.92999999999995,309.065,302.12,307.54999999999995,304.88,308.445,300.0,307.49,306.40999999999997,299.90999999999997,275.81,262.53,463.36,440.94,,429.4,,,,,,,,,,,,,184.165,210.07,343.07,305.395,,,,,,L7
2001-06-05 21:55:40.577,216.435,251.57,255.36666666666665,264.7966666666667,277.605,256.8233333333333,259.26666666666665,253.77333333333334,250.80000000000004,,,215.77,,,,,,257.175,249.49,215.87,214.94,,,299.78,,,,311.49,281.09000000000003,387.71,,,,,,284.11,276.47,278.565,270.125,276.71,276.35,,,289.79,293.37,301.58,301.91,305.63,309.52,311.67,316.35,314.03499999999997,313.97,315.70000000000005,308.325,321.78,308.40999999999997,315.005,308.86,306.51,308.695,300.6,303.66999999999996,305.09000000000003,299.405,270.38,274.11,,,,,,,,,,,,,,,,,187.69,,343.07,317.41,,,,,,L7
2001-09-09 21:54:36.880,219.8033333333333,252.9333333333333,257.9475,266.4975,280.2,264.465,267.03499999999997,253.77333333333334,250.80000000000004,327.84,309.72,215.77,325.55,316.04,,,,257.175,249.49,215.87,214.94,,298.5,299.78,373.35,361.67,363.23,311.49,281.09000000000003,386.375,379.88,376.78,360.08,341.94,340.69,284.11,276.47,278.565,270.125,276.71,276.35,,,289.79,293.37,301.58,311.875,318.12,327.15999999999997,319.505,325.58000000000004,316.59999999999997,323.6066666666667,328.7633333333333,308.325,321.78,308.40999999999997,315.005,308.86,306.51,308.695,300.6,303.66999999999996,305.09000000000003,299.405,270.38,274.11,,,,,,269.12,249.46,300.04,,496.33,505.43,,,,,,187.69,234.31,288.94,314.68,243.86,247.17,,,,L7
2001-09-25 21:54:28.694,210.14666666666668,241.165,247.64666666666668,251.82666666666668,271.26,261.04999999999995,272.6133333333333,253.54500000000002,247.66500000000002,327.84,309.72,238.17,325.55,316.04,,233.83,258.47,259.375,254.08,238.46,219.14,,274.175,264.25,373.35,361.67,363.23,297.97,283.14,385.04,379.88,376.78,360.08,341.94,340.69,279.36,278.73,279.65999999999997,274.055,280.73,284.335,,,292.61,300.71000000000004,305.52,312.8966666666667,317.9166666666667,326.58,319.83,325.6466666666667,317.2266666666667,323.97333333333336,331.57666666666665,320.675,326.42,310.59000000000003,317.91499999999996,309.79499999999996,307.45,306.87,303.395,305.21,307.365,304.83000000000004,272.04,264.5,,,,,,269.12,249.46,300.04,,497.81,498.45500000000004,470.51,394.49,,,,,215.9,232.2,311.95,243.86,247.17,,,,L7
2001-10-11 21:54:09.862,206.13750000000002,236.47333333333333,245.7725,249.6475,268.49666666666667,263.325,273.2925,256.9166666666667,253.78,327.84,309.72,243.26,325.55,316.04,,239.34,258.67,255.0566666666667,259.36,249.77499999999998,219.14,,273.96666666666664,262.58500000000004,373.35,361.67,363.23,302.0233333333333,285.27,385.04,379.88,376.78,360.08,341.94,340.69,282.1066666666666,280.62,279.65999999999997,274.055,280.73,284.335,,,292.61,299.08,305.82,312.2475,317.8325,322.895,319.75,324.52750000000003,317.595,322.0825,328.9775,319.18333333333334,326.3933333333334,317.49,318.26666666666665,310.7366666666667,306.43,307.89000000000004,304.43333333333334,309.60999999999996,306.67,305.7,273.97,261.14,,,,,,269.12,249.46,300.04,,497.81,489.1366666666667,463.83,401.025,403.22,,,,215.9,232.2,311.95,243.86,247.17,,,,L7
2002-01-31 21:54:50.570,200.955,229.9875,243.16750000000002,248.33,262.1075,267.635,271.91499999999996,257.69000000000005,256.6566666666667,327.84,309.72,232.21333333333334,325.55,316.04,,234.03666666666666,255.94000000000003,241.29999999999998,259.36,249.77499999999998,218.33499999999998,,264.155,255.59333333333333,373.35,361.67,363.23,297.28999999999996,287.58,385.04,379.88,376.78,360.08,341.94,340.69,284.085,284.03499999999997,282.98,272.06,267.89,310.475,,,291.615,298.68666666666667,306.80333333333334,312.1525,317.245,323.6775,321.98249999999996,326.8025,313.3325,321.2175,331.62000000000006,321.585,325.23,324.63,313.105,313.76,306.82,299.7133333333333,295.9066666666667,305.32666666666665,295.45666666666665,309.145,279.65500000000003,261.14,,,,,,269.12,249.46,300.04,,497.81,489.1366666666667,463.83,401.025,403.22,,,176.16,208.1833333333333,229.33,311.95,243.86,247.17,,,,L7
2002-02-16 21:54:54.191,200.955,229.9875,243.16750000000002,248.33,269.76599999999996,276.406,271.91499999999996,257.69000000000005,256.6566666666667,327.84,309.72,232.21333333333334,325.55,316.04,,234.03666666666666,255.94000000000003,241.29999999999998,259.36,249.77499999999998,218.33499999999998,,264.155,255.59333333333333,373.35,361.67,363.23,297.28999999999996,287.58,390.81,381.0,369.92499999999995,362.955,351.605,345.645,284.085,284.03499999999997,282.98,272.06,267.89,327.95666666666665,,362.1,291.615,298.68666666666667,306.80333333333334,312.1525,317.245,323.6775,321.98249999999996,326.8025,313.3325,321.2175,331.62000000000006,321.585,325.23,324.63,313.105,313.76,306.82,299.7133333333333,295.9066666666667,305.32666666666665,295.45666666666665,309.145,279.65500000000003,261.14,,,,,,269.12,249.46,309.005,,497.81,489.1366666666667,463.83,401.025,403.22,289.74,,186.685,213.3025,239.5525,311.78,258.32500000000005,260.22499999999997,,314.65,321.45,L7
2002-08-27 21:54:00.253,,197.0,219.76,232.47,271.96,276.24,274.67,257.7,246.56,,,233.41,,,,231.84,239.44,250.16,252.6,258.89,256.09,,280.27,286.47,251.36,270.12,,263.81,264.62,262.91,,,,,,278.49,290.11,275.95,270.73,275.49,,,280.93,284.71,293.36,298.02,304.61,306.35,309.28,314.7,307.45,304.3,309.61,295.72,299.61,301.7,305.56,,,,,,,,,,,501.47,461.97,456.04,464.89,,,,,,,,,,,271.6,,,191.79,264.02,307.19,297.73,,,340.02,312.83,L7
2002-10-14 21:53:43.769,176.71,207.59,237.83999999999997,249.37,265.91999999999996,274.49,277.32500000000005,263.245,265.305,,,241.70499999999998,,,,240.22,255.05,257.1,260.59499999999997,275.93,271.325,286.96,281.77,285.32500000000005,265.88,279.55,,272.31,276.46500000000003,276.83500000000004,,,,,,287.66499999999996,291.47,287.685,270.73,275.49,,,288.07,295.135,302.69,304.57,311.8,316.21000000000004,319.04999999999995,320.96500000000003,319.385,316.655,322.625,309.34000000000003,312.48,313.935,310.355,319.74,321.76,325.16,,,321.89,,313.43,296.51,269.1,501.47,461.97,456.04,464.89,,,,,,,,,,,271.6,176.32,207.43,191.79,261.36,298.37,297.73,,,340.02,312.83,L7
2002-12-01 21:54:16.937,176.98000000000002,208.70666666666668,239.74666666666667,246.7266666666667,255.5666666666667,270.64000000000004,270.88000000000005,263.58,268.63,,,242.42666666666665,,,,251.20000000000002,259.3833333333334,258.8433333333333,267.65333333333336,275.9666666666667,276.4266666666667,276.03,278.38,279.5566666666667,269.46,278.27333333333337,,276.07666666666665,279.89000000000004,283.0133333333333,,332.58,,,,288.06666666666666,288.93666666666667,287.4533333333333,276.795,283.375,294.0,287.78,290.56,301.46999999999997,309.19,311.6166666666666,314.81,317.7033333333333,323.9633333333333,323.31,321.19666666666666,320.2133333333333,326.79,317.66333333333336,320.31,323.91333333333336,322.90333333333336,333.895,321.76,325.16,,,321.89,,313.43,296.51,280.225,501.47,461.97,456.04,464.89,,,,,,,,,,,271.6,178.14999999999998,207.43,191.79,261.36,298.37,297.73,,,340.02,312.83,L7
2003-01-18 21:54:30.278,177.96,214.0825,242.20999999999998,251.16250000000002,255.5666666666667,270.64000000000004,270.88000000000005,267.845,273.1375,,,242.42666666666665,,,,251.20000000000002,259.3833333333334,258.8433333333333,267.65333333333336,275.9666666666667,276.4266666666667,276.03,284.7725,279.5566666666667,280.9325,291.5525,,276.07666666666665,279.89000000000004,295.185,384.68,332.58,403.01,,,288.06666666666666,301.65250000000003,299.9375,297.1366666666667,301.40000000000003,303.015,297.66999999999996,301.6775,308.5425,315.025,328.10749999999996,326.4925,331.33500000000004,323.9633333333333,323.31,321.19666666666666,320.2133333333333,326.79,317.66333333333336,338.71750000000003,323.91333333333336,322.90333333333336,333.895,321.76,325.16,,,321.89,,313.43,296.51,280.225,469.69500000000005,457.07500000000005,451.47,464.89,451.92,,,,,,,,,,271.6,185.67333333333332,207.43,191.79,261.36,298.37,297.73,,,340.02,312.83,L7
2003-04-08 21:54:47.577,177.96,216.1375,245.51,259.34000000000003,257.47333333333336,271.20666666666665,277.46,282.86,278.26750000000004,,237.52,244.21,233.25,253.68,236.68,252.46666666666667,270.9066666666667,254.42,266.44,273.3466666666667,282.99,276.03,286.2733333333333,276.1,290.79,309.5,349.81,282.21000000000004,305.1333333333334,311.04999999999995,351.37,327.47,367.015,323.99,317.94,302.1566666666667,307.62,307.0525,309.8066666666667,314.2733333333333,299.1566666666667,292.69666666666666,312.19,323.8375,325.5675,340.395,336.71000000000004,342.65,336.22,339.66,328.06999999999994,328.16999999999996,339.17333333333335,330.80333333333334,354.79,341.75666666666666,339.11333333333334,342.26,328.96000000000004,333.265,,,338.38,,330.87,291.0,270.6433333333334,325.0,452.18,446.9,,451.92,,269.6,,258.76,,,,,388.81,,185.67333333333332,197.10500000000002,218.45,260.33500000000004,271.22,,,,,,L7
2003-04-08 21:55:11.531,177.96,214.766,243.36399999999998,261.242,264.0825,274.0875,283.8825,291.806,278.26750000000004,350.2,237.49,244.255,237.16500000000002,258.81,239.0,249.9675,272.5625,252.0025,266.615,268.4375,281.75,269.68333333333334,286.2733333333333,276.1,290.79,323.2,352.145,282.21000000000004,315.1025,315.6,342.2833333333333,327.6133333333333,357.03,330.885,320.315,307.6,309.482,308.774,310.02,314.4075,298.365,291.27,315.008,328.582,327.68199999999996,342.23,339.0,342.65,336.22,339.66,328.06999999999994,328.16999999999996,339.17333333333335,330.80333333333334,354.79,341.75666666666666,339.11333333333334,342.26,328.96000000000004,333.265,,,338.38,,330.87,291.0,270.6433333333334,325.0,452.18,446.9,,451.92,,269.6,,258.76,,,,,388.81,,185.67333333333332,197.10500000000002,218.45,260.33500000000004,271.22,,,,,,L7
2003-04-24 21:54:46.433,187.40666666666667,213.91249999999997,240.225,259.802,264.7975,273.59749999999997,283.955,289.284,271.38,296.975,237.13666666666668,235.35,236.26666666666665,250.07666666666668,236.8166666666667,248.0025,269.6625,252.11999999999998,267.6225,258.52250000000004,269.84749999999997,264.5333333333333,283.87,268.02,302.0933333333333,326.76,332.34,292.945,319.45750000000004,318.908,333.8225,320.685,344.26,321.33666666666664,315.65333333333336,316.5425,316.582,312.164,311.504,315.4,302.302,297.392,325.976,330.08599999999996,330.198,346.31600000000003,346.66,350.095,346.14000000000004,346.10999999999996,329.005,329.57,339.68,336.99666666666667,371.23,349.55,349.28000000000003,348.74666666666667,337.305,343.31,,,348.76,,367.43,294.01,273.2133333333333,288.40000000000003,452.18,446.9,,451.92,,269.6,,258.76,,,,408.46,388.81,,190.35,187.225,233.68,261.97,252.89,,,,,,L7
2003-05-26 21:54:43.917,187.40666666666667,213.91249999999997,240.225,259.802,264.7975,273.59749999999997,283.955,289.284,271.38,296.975,237.13666666666668,235.35,236.26666666666665,250.07666666666668,236.8166666666667,248.0025,269.6625,252.11999999999998,267.6225,258.52250000000004,269.84749999999997,264.5333333333333,283.87,268.02,302.0933333333333,326.76,332.34,292.945,319.45750000000004,318.908,333.8225,320.685,344.26,321.33666666666664,315.65333333333336,316.5425,316.582,312.164,311.504,315.4,302.302,297.392,325.976,330.08599999999996,330.198,346.31600000000003,346.66,350.095,346.14000000000004,346.10999999999996,329.005,329.57,339.68,336.99666666666667,371.23,349.55,349.28000000000003,348.74666666666667,337.305,343.31,,236.02,348.76,,367.43,294.01,273.2133333333333,288.40000000000003,452.18,446.9,,451.92,,269.6,,258.76,,,,408.46,388.81,,190.35,187.225,233.68,261.97,252.89,,,,,,L7
2003-07-21 21:42:33.857,189.71,205.89,232.93666666666664,257.98,266.685,272.47249999999997,284.215,286.01,255.24666666666664,275.81,231.875,227.3,231.135,243.555,233.7125,236.635,264.2475,250.37749999999997,259.795,248.72500000000002,253.51,255.72000000000003,259.84000000000003,261.35,293.855,325.9775,319.1175,291.995,318.925,316.2075,312.03999999999996,312.2325,316.7875,316.1425,311.6775,318.3025,312.2,308.32,305.91999999999996,309.3825,298.27750000000003,294.3325,321.74,329.0075,327.735,334.82,340.4825000000001,345.55,342.6366666666666,346.67,326.08500000000004,325.56,333.25,333.5566666666667,360.06333333333333,339.75,340.3,336.86,326.57,333.17,329.62,280.645,340.96,319.37,351.18333333333334,289.44,261.68333333333334,204.41333333333333,,,,,,269.6,,258.76,,,,408.46,388.81,,,187.225,233.68,261.97,252.89,,,,,,L5
2003-07-21 21:42:57.544,189.71,204.07999999999998,230.9,253.98199999999997,260.76,268.12399999999997,277.712,276.70799999999997,251.46499999999997,264.8875,227.76,223.74200000000002,227.33800000000002,239.142,230.71599999999998,233.856,261.136,252.47799999999998,257.718,246.31199999999998,247.17199999999997,251.35250000000002,253.9333333333333,258.895,286.46,316.15,311.024,290.4433333333333,311.824,311.276,309.396,309.37399999999997,310.094,312.77200000000005,309.0,313.19,307.36800000000005,305.68600000000004,301.848,306.032,296.162,293.23400000000004,315.26599999999996,323.78599999999994,322.668,328.688,340.4825000000001,345.55,342.6366666666666,346.67,326.08500000000004,325.56,333.25,333.5566666666667,360.06333333333333,339.75,340.3,336.86,326.57,333.17,329.62,280.645,340.96,319.37,351.18333333333334,289.44,261.68333333333334,204.41333333333333,,,,,,269.6,,258.76,,,,408.46,388.81,,,187.225,233.68,261.97,252.89,,,,,,L5
2003-10-25 21:44:04.226,174.37,200.87666666666667,233.01999999999998,246.07000000000002,245.88,260.31666666666666,260.8333333333333,246.20666666666668,244.78,231.60999999999999,213.83,210.75,214.9766666666667,223.22333333333336,222.56333333333336,229.38333333333333,251.82666666666668,258.40000000000003,254.13333333333333,241.73333333333335,231.13666666666666,241.18999999999997,244.71333333333334,260.79333333333335,272.78999999999996,275.83666666666664,277.55333333333334,284.28999999999996,287.53999999999996,298.28000000000003,302.1766666666667,300.3566666666666,293.5233333333333,305.77333333333337,296.93,291.04333333333335,284.22,288.93,281.1566666666667,286.03333333333336,288.0,286.82,289.84,307.8333333333333,309.7133333333333,309.73333333333335,307.565,318.40999999999997,319.005,326.82500000000005,316.46000000000004,318.03,320.205,325.895,325.515,326.66499999999996,326.195,317.25,316.305,310.845,320.65,290.3533333333333,319.08000000000004,312.125,309.70500000000004,288.09000000000003,263.995,194.005,,,,,,,,,,,,,,,,,187.75,225.59,245.19,,,,,,L5
