dates,satname,nzd0248-0000,nzd0248-0001,nzd0248-0002,nzd0248-0003,nzd0248-0004,nzd0248-0005,nzd0248-0006,nzd0248-0007,nzd0248-0008,nzd0248-0009,nzd0248-0010,nzd0248-0011,nzd0248-0012,nzd0248-0013,nzd0248-0014,nzd0248-0015,nzd0248-0016,nzd0248-0017,nzd0248-0018,nzd0248-0019,nzd0248-0020,nzd0248-0021,nzd0248-0022,nzd0248-0023,nzd0248-0024,nzd0248-0025,nzd0248-0026,nzd0248-0027,nzd0248-0028,nzd0248-0029,nzd0248-0030,nzd0248-0031,nzd0248-0032,nzd0248-0033,nzd0248-0034,nzd0248-0035,nzd0248-0036,nzd0248-0037,nzd0248-0038,nzd0248-0039,nzd0248-0040,nzd0248-0041,nzd0248-0042,nzd0248-0043,nzd0248-0044,nzd0248-0045,nzd0248-0046,nzd0248-0047,nzd0248-0048,nzd0248-0049,nzd0248-0050,nzd0248-0051,nzd0248-0052,nzd0248-0053,nzd0248-0054,nzd0248-0055,nzd0248-0056,nzd0248-0057,nzd0248-0058,nzd0248-0059,nzd0248-0060,nzd0248-0061,nzd0248-0062,nzd0248-0063,nzd0248-0064,nzd0248-0065,nzd0248-0066,nzd0248-0067,nzd0248-0068,nzd0248-0069,nzd0248-0070,nzd0248-0071,nzd0248-0072,nzd0248-0073,nzd0248-0074,nzd0248-0075,nzd0248-0076,nzd0248-0077,nzd0248-0078,nzd0248-0079,nzd0248-0080,nzd0248-0081,nzd0248-0082,nzd0248-0083,nzd0248-0084,nzd0248-0085,nzd0248-0086,nzd0248-0087,nzd0248-0088,nzd0248-0089,nzd0248-0090,nzd0248-0091,nzd0248-0092
1999-12-25 21:58:52.197000,L7,,,,242.17,253.73,265.04,277.00,296.29,277.46,290.61,285.39,288.55,278.72,268.68,277.91,271.87,422.25,384.50,407.32,414.03,400.87,303.96,407.29,432.01,429.06,420.71,433.88,429.38,434.45,310.83,297.58,292.18,293.89,287.58,451.78,457.25,454.15,451.41,416.98,222.53,518.84,477.49,409.16,434.59,484.93,293.80,299.93,301.74,306.14,309.22,302.73,283.54,301.81,371.54,360.16,365.36,370.30,272.49,425.99,401.58,424.33,413.30,275.83,403.76,401.91,371.32,195.32,436.86,439.53,444.98,419.72,452.45,450.87,440.08,432.98,395.21,395.07,391.35,308.20,272.97,293.74,301.05,303.33,311.05,310.51,319.85,310.34,194.93,228.40,201.87,204.85,189.08,371.18
1999-12-25 21:59:16.152000,L7,,,,234.04,243.36,254.70,269.90,265.81,276.74,272.28,266.18,282.84,259.15,259.95,271.44,273.88,275.79,269.48,279.78,280.83,292.90,297.89,294.69,284.38,286.66,297.23,294.91,303.46,295.87,290.82,285.81,280.89,285.99,279.54,291.85,272.21,278.91,258.23,242.09,,,,,,,282.41,290.74,272.19,291.70,287.70,292.90,275.21,287.43,273.28,272.15,254.65,258.88,267.34,283.39,263.78,278.34,244.32,270.94,265.37,264.25,212.20,188.43,244.49,263.93,287.64,294.34,291.67,296.99,296.67,298.41,297.03,297.95,282.09,301.28,266.18,286.93,294.55,296.45,303.06,302.20,313.10,302.42,302.78,300.56,308.70,396.38,383.75,363.55
2000-01-10 21:58:52.465000,L7,389.34,404.39,177.01,391.30,391.93,413.46,441.51,387.22,507.87,487.62,473.04,510.28,512.06,492.74,385.13,507.33,450.93,480.33,383.73,369.60,344.29,350.64,365.16,380.72,390.56,383.94,386.83,497.03,508.90,468.57,451.46,458.76,470.68,456.08,345.61,540.78,502.22,508.91,484.82,417.73,525.24,522.34,535.40,430.89,521.76,518.65,468.72,491.43,514.91,519.44,481.93,486.46,473.25,416.70,427.98,486.04,423.60,425.01,468.32,303.57,426.54,421.21,343.68,310.58,302.83,259.30,545.39,534.88,405.19,312.48,308.66,314.71,440.56,320.08,317.70,338.05,309.88,408.46,310.33,358.93,304.11,349.02,360.71,361.94,356.10,353.85,365.75,384.42,379.92,393.77,398.92,401.38,438.99
2000-01-10 21:59:16.407000,L7,471.31,475.79,463.77,548.54,532.98,521.55,516.14,439.38,509.97,519.62,532.45,532.00,533.49,549.06,385.74,464.49,451.22,481.29,389.35,376.52,311.96,355.25,370.53,467.26,464.89,475.09,488.80,499.47,510.89,472.56,398.63,465.00,476.25,526.66,533.74,543.92,503.62,511.03,485.49,518.01,535.03,524.68,537.75,436.30,525.92,523.37,512.44,324.24,394.74,434.47,453.96,464.27,399.18,354.77,433.49,465.23,425.41,425.33,472.84,402.92,427.01,356.67,378.07,441.23,301.65,442.77,388.78,277.91,299.15,315.12,422.44,314.80,325.08,524.73,316.38,373.36,350.23,314.00,311.86,291.52,367.64,357.45,366.10,316.12,312.27,325.35,329.79,390.38,328.13,327.67,514.17,487.85,440.63
2000-02-27 21:58:40.521000,L7,479.79,478.60,467.51,465.29,462.07,467.10,289.84,306.39,337.86,339.82,340.63,341.19,299.39,283.81,276.52,284.47,292.93,278.49,293.72,294.43,321.97,346.43,336.20,334.24,320.70,320.72,318.26,329.13,341.82,306.32,507.98,505.70,500.81,485.27,495.68,493.61,496.76,508.36,501.71,509.62,519.15,521.43,547.02,546.72,552.14,531.12,545.57,492.15,531.26,518.13,471.95,493.06,534.41,510.06,495.75,503.34,458.38,495.26,490.79,499.42,509.03,500.39,498.17,495.98,493.99,518.26,505.49,490.96,495.13,521.67,509.82,516.23,527.30,535.84,512.86,505.34,494.13,475.51,508.24,479.26,487.01,492.75,460.89,492.95,466.05,472.07,491.80,531.74,468.66,377.46,473.47,332.77,449.59
2000-02-27 21:59:04.477000,L7,211.89,192.41,177.22,258.53,285.23,279.83,295.80,306.28,339.24,337.68,337.26,344.95,302.41,284.15,280.45,288.42,294.11,279.54,291.56,294.37,318.42,346.83,334.64,338.54,319.22,324.44,320.01,330.52,341.46,308.96,510.41,507.77,502.53,487.06,497.11,494.98,499.17,509.72,503.55,510.57,521.00,172.68,178.48,166.42,245.24,311.00,316.66,334.29,331.39,338.57,336.70,333.07,485.40,474.66,470.38,472.80,313.83,468.37,464.56,473.54,481.54,471.14,468.56,464.51,462.58,466.00,474.98,465.10,474.08,481.86,480.16,327.07,490.31,506.75,475.10,475.94,460.50,440.35,329.64,420.22,449.87,438.23,427.77,429.08,380.85,474.99,494.15,536.25,470.25,424.03,323.36,445.50,450.45
2000-03-14 21:58:35.291000,L7,455.68,462.06,457.01,251.76,292.04,271.08,279.68,294.23,295.97,297.66,299.68,292.37,293.21,546.69,520.76,527.57,531.77,504.20,539.84,518.20,461.86,432.62,493.57,531.17,513.40,506.50,533.98,492.79,539.39,501.17,521.18,519.50,327.91,329.79,325.01,322.67,316.20,307.87,275.28,236.48,534.56,459.66,517.49,548.67,489.75,554.85,554.43,517.53,503.65,482.95,469.62,459.29,418.57,,,,,517.56,498.05,500.75,499.89,551.49,538.55,552.23,545.28,546.23,548.15,538.75,544.91,554.70,510.05,532.26,508.25,526.82,513.13,501.15,412.55,421.55,431.48,532.93,520.74,505.04,514.12,460.43,462.66,528.24,511.01,511.77,523.68,529.59,526.29,502.57,514.64
2000-03-14 21:58:59.247000,L7,490.27,501.39,498.95,503.68,536.05,267.06,522.28,516.23,527.42,528.03,522.99,533.39,549.23,274.78,274.93,289.53,283.43,281.13,288.51,297.20,312.81,480.71,505.17,533.43,515.85,508.54,540.40,525.87,546.91,501.99,523.03,522.47,552.01,526.41,516.81,522.91,516.40,523.33,511.90,528.55,535.50,544.95,523.62,549.87,533.50,555.44,554.96,522.74,506.64,495.42,474.13,461.49,423.11,419.94,414.36,,,518.33,500.10,502.86,501.68,501.52,491.65,503.52,505.36,500.17,498.23,497.49,496.94,505.55,516.55,533.78,514.69,527.26,515.60,503.31,514.40,521.74,556.01,533.65,522.11,508.30,515.96,463.90,474.39,470.29,475.95,332.59,480.54,471.31,475.24,450.12,468.24
2000-03-30 21:58:33.541000,L7,441.38,453.33,453.33,254.39,314.60,315.19,290.32,314.30,288.76,313.33,310.51,336.03,174.84,231.02,221.11,203.77,193.77,184.61,173.83,512.53,487.68,405.38,500.43,470.13,477.41,534.37,312.16,366.67,364.38,340.40,347.51,357.50,334.78,324.83,315.87,318.90,306.26,305.10,272.36,225.42,490.55,476.48,498.73,463.16,502.85,466.68,350.85,338.14,511.59,511.72,474.03,504.57,499.32,529.48,509.90,530.61,527.42,510.14,553.26,464.13,461.00,449.70,454.92,433.51,439.86,438.09,470.31,481.34,473.85,529.27,533.70,537.52,550.37,461.96,464.87,451.59,464.86,470.08,451.49,457.68,473.38,282.80,312.87,469.12,306.91,391.51,309.99,455.98,470.40,486.37,459.12,468.67,499.06
2000-03-30 21:58:57.484000,L7,440.64,452.47,452.30,463.93,464.63,455.56,425.64,466.27,276.18,296.67,303.25,312.00,308.34,258.59,251.77,274.20,284.58,276.42,283.28,288.14,299.28,312.29,309.51,311.26,307.63,301.64,306.66,318.95,342.47,330.81,338.64,347.33,325.08,318.03,312.29,302.62,298.20,295.10,270.50,208.57,,,,468.05,252.59,341.44,337.14,313.46,323.34,320.70,345.39,322.10,317.51,318.00,313.06,300.98,301.91,297.56,299.44,294.73,296.28,284.03,293.51,309.04,311.51,269.76,210.61,274.64,296.05,321.64,320.34,309.27,317.48,319.52,314.54,312.29,304.93,315.15,321.32,292.76,268.95,275.63,299.53,300.44,302.16,315.19,305.27,318.94,303.81,317.79,327.45,339.58,535.98
