dates,satname,nzd0263-0000,nzd0263-0001,nzd0263-0002,nzd0263-0003,nzd0263-0004,nzd0263-0005,nzd0263-0007,nzd0263-0008,nzd0263-0009,nzd0263-0010,nzd0263-0011,nzd0263-0012,nzd0263-0013,nzd0263-0014,nzd0263-0015,nzd0263-0016,nzd0263-0017,nzd0263-0018,nzd0263-0019,nzd0263-0020,nzd0263-0021,nzd0263-0022,nzd0263-0023,nzd0263-0024,nzd0263-0025,nzd0263-0026,nzd0263-0027,nzd0263-0006
1999-08-05 21:46:59.046000,L7,,,,326.86,309.04,,214.02,260.94,268.48,269.42,272.31,274.28,262.67,241.25,238.06,245.05,241.76,,,,,,257.64,279.07,311.39,327.55,329.53,273.18
1999-08-21 21:46:56.985000,L7,,,,,,,273.83,283.37,301.39,298.75,301.89,348.50,342.52,333.45,346.65,357.28,347.16,342.57,266.44,292.96,298.47,,,,,399.17,404.92,
1999-09-22 21:47:00.785000,L7,291.17,295.97,303.40,313.85,332.23,347.01,288.34,303.69,303.04,302.39,344.80,334.45,327.62,329.06,342.15,347.58,336.10,326.54,323.93,335.63,343.46,350.20,344.77,359.33,393.50,388.17,390.10,
1999-10-24 21:46:56.203000,L7,298.99,301.71,313.08,322.71,331.68,,209.38,301.76,304.03,303.15,303.53,296.05,289.39,293.90,306.33,315.12,302.12,293.56,287.12,274.33,302.05,303.04,299.28,,,,,232.90
2000-02-13 21:46:48.016000,L7,268.01,270.06,277.57,279.00,291.36,310.17,301.32,301.36,274.17,308.92,304.95,311.02,299.10,303.48,310.80,322.85,311.03,316.89,308.75,229.68,242.41,237.51,310.69,335.38,360.54,317.87,,299.58
2000-04-01 21:46:34.573000,L7,277.56,315.80,300.68,273.10,292.26,305.24,297.38,256.00,344.16,337.20,333.78,333.39,330.30,325.33,342.09,348.73,343.07,323.44,314.78,326.33,332.82,328.95,336.06,348.47,370.63,379.66,378.77,298.21
2000-05-19 21:46:07.873000,L7,273.60,282.59,281.71,295.63,308.54,334.35,284.55,288.57,339.15,334.61,326.74,331.57,326.13,328.27,346.47,345.41,341.76,340.88,287.36,272.34,298.67,277.82,302.42,311.68,374.99,377.29,380.66,
2000-08-07 21:45:08.975000,L7,231.13,233.33,,,,,201.77,238.16,253.54,260.27,261.42,263.95,258.38,263.15,274.24,290.86,272.39,263.65,242.27,270.08,280.04,275.37,316.04,321.15,351.05,358.69,360.82,
2000-10-26 21:44:22.850000,L7,,,,,,,,,,,,,,,,241.79,282.73,295.28,321.08,322.68,318.55,319.46,328.74,340.08,336.28,335.03,315.00,
2000-11-27 21:44:26.720000,L7,,,,,,,302.06,290.91,301.71,292.94,288.12,290.88,284.08,289.87,301.78,318.94,300.07,290.74,289.07,,309.49,303.26,311.39,295.18,,,,
2000-12-13 21:44:28.287000,L7,,,,,,,,,,,,,238.84,254.19,271.43,285.83,268.16,261.60,239.54,264.48,274.07,273.78,296.59,311.03,335.98,346.10,348.99,
2001-04-04 21:44:06.948000,L7,,,272.35,279.05,295.50,286.90,295.13,297.24,299.95,299.50,297.55,292.54,290.85,294.99,307.96,316.60,302.96,303.21,301.32,311.89,315.20,307.91,315.92,381.21,394.35,403.28,407.84,304.65
2001-04-20 21:44:10.657000,L7,,,,,,,,264.06,293.24,290.39,288.90,292.34,285.86,292.03,296.74,309.82,279.39,291.47,290.86,293.39,302.29,294.97,,,,,,
2001-05-22 21:43:54.652000,L7,290.33,290.54,312.46,302.35,323.43,343.26,284.47,291.22,300.92,290.24,289.99,361.72,325.91,325.87,351.64,351.97,338.06,339.23,334.65,343.49,340.08,336.61,339.92,350.27,361.51,371.28,369.91,
2001-07-25 21:43:18.753000,L7,,,,,,,,,,,,,,250.55,255.79,287.67,276.14,274.51,250.27,277.37,284.11,278.97,315.27,329.63,350.33,347.69,355.11,
2001-08-10 21:43:00.495000,L7,269.75,272.52,289.24,323.03,,,,302.78,304.07,305.28,341.34,344.82,312.32,,,,,,,,,,,,,393.04,388.63,
2001-09-11 21:42:38.257000,L7,241.43,271.81,264.77,304.43,335.29,316.25,,279.94,321.75,330.85,330.29,321.58,320.49,319.39,335.76,341.01,324.83,320.51,303.08,294.99,305.18,320.04,364.31,351.72,361.75,371.56,375.24,
2001-09-27 21:42:29.269000,L7,,,,269.84,293.49,314.83,206.34,293.89,300.07,307.83,304.49,302.46,292.06,295.16,274.80,288.56,307.24,300.35,295.95,309.93,304.20,305.14,303.12,319.94,346.46,357.95,354.11,293.94
2001-10-13 21:42:15.922000,L7,279.57,295.38,302.35,310.99,328.44,,284.98,292.68,335.46,339.46,337.08,338.69,330.26,326.89,338.76,347.89,334.81,326.87,324.53,330.68,337.07,331.80,335.57,346.79,369.04,374.81,375.75,
2001-10-29 21:42:21.289000,L7,,,,274.17,289.96,278.32,288.04,292.31,305.20,300.56,297.20,294.64,294.66,296.01,303.21,318.95,303.78,299.25,274.17,290.31,302.69,298.57,302.04,314.88,340.64,345.92,,291.14
2002-01-17 21:42:52.816000,L7,310.15,313.26,266.45,272.82,290.42,311.79,289.93,261.00,306.41,296.88,286.36,291.30,297.53,296.30,280.66,322.66,308.97,298.91,292.50,301.42,298.69,291.61,,376.28,396.51,397.12,385.62,300.00
2002-02-02 21:42:54.721000,L7,,,,,,,,,,,,,,,,249.54,253.37,276.52,229.01,236.38,,,,,,,,
2002-02-18 21:42:54.191000,L7,,,,,,,,,,,,,,,258.95,275.18,261.98,257.63,239.16,262.14,268.46,266.95,307.19,312.74,320.81,345.44,325.31,
2002-03-22 21:42:52.399000,L7,227.22,222.68,217.50,,244.26,274.12,198.56,241.42,250.48,241.43,252.99,247.59,247.22,252.52,268.62,278.51,264.19,261.25,231.18,261.81,267.36,259.71,257.34,288.63,303.14,326.87,327.11,
