dates,satname,nzd0264-0000,nzd0264-0001,nzd0264-0002,nzd0264-0003,nzd0264-0004,nzd0264-0005,nzd0264-0006,nzd0264-0009,nzd0264-0010,nzd0264-0011,nzd0264-0012,nzd0264-0016,nzd0264-0017,nzd0264-0018,nzd0264-0019,nzd0264-0020,nzd0264-0021,nzd0264-0022,nzd0264-0007,nzd0264-0008,nzd0264-0013,nzd0264-0014,nzd0264-0015
2000-11-25 21:56:47.006000,L7,318.19,310.67,310.62,286.03,298.74,298.42,312.18,304.84,320.74,320.49,319.56,327.71,327.35,295.78,308.66,311.80,322.90,326.44,,,,,
2004-09-25 21:50:31.000000,L5,309.31,291.34,282.71,266.55,293.44,312.40,301.22,289.07,285.37,280.16,302.54,312.66,323.45,305.30,293.87,298.72,320.28,303.08,303.48,287.68,283.66,291.74,287.49
2013-11-21 22:08:01.711000,L8,308.59,293.60,273.02,281.47,265.85,266.46,290.53,293.07,296.70,290.43,312.77,289.61,322.67,,,,,,293.69,293.04,306.49,311.94,306.44
2015-04-01 22:05:49.742000,L8,331.09,321.43,315.82,301.55,304.15,299.08,313.58,321.69,316.96,327.08,323.99,305.48,335.05,,,,,,321.41,312.02,338.31,338.34,327.45
2015-06-04 22:05:36.569000,L8,322.28,310.38,315.74,318.79,308.39,298.75,299.15,,,,,333.68,324.42,302.92,287.60,311.44,,,,,,,
2016-01-30 22:06:29.534000,L8,,,,,,264.81,290.93,289.95,292.41,280.22,,,,,,,,,283.68,297.65,,,
2017-01-16 22:06:35.035000,L8,,,,,,,282.74,282.82,282.87,274.64,292.28,,,,,,,,278.68,280.26,,,
2017-04-06 22:05:57.916000,L8,,,338.83,326.00,329.86,,,,,,,,,,,,,,,,,,
2017-11-16 22:06:40.336000,L8,,,,,,,265.87,283.29,271.17,276.34,,,,,,,,,276.75,270.71,,,
2017-12-02 22:06:34.857000,L8,300.97,288.82,272.35,271.00,270.72,256.64,285.98,294.96,292.92,287.38,300.66,284.39,298.89,,,,,,287.38,293.61,288.57,292.75,286.41
2018-11-19 22:06:22.186000,L8,,,,,,,275.05,280.94,280.17,282.01,296.03,,,,,,,,279.39,282.60,282.40,279.11,
2019-02-07 22:06:11.622000,L8,,,,,,,286.99,302.38,316.62,319.92,321.68,,,,,,,,287.95,312.98,,,
2019-02-23 22:06:08.536000,L8,,277.69,328.08,327.54,,,,,,,,,,,,,,,,,,,
2020-02-10 22:06:28.847000,L8,314.94,300.92,299.84,302.49,,,,,,,324.97,,,,,,,,,,322.63,325.74,
2021-05-03 22:05:56.714000,L8,,296.97,318.56,303.00,313.19,,,329.87,364.89,308.10,316.01,325.38,323.67,,,,,,356.95,367.22,317.10,312.14,306.56
2022-01-22 22:06:42.172000,L9,322.68,303.87,315.99,278.48,290.06,289.72,318.24,308.82,320.59,318.09,316.65,335.87,346.50,,,,,,314.01,312.98,330.30,331.76,337.34
2022-01-30 22:06:34.320000,L8,,,,,,,283.17,286.98,283.33,307.80,,,,,,,,,282.04,295.08,,,
2022-08-26 22:06:58.286000,L8,,,,,,,,,,,,334.07,333.73,318.81,283.82,300.68,326.95,,,,,,
2022-10-05 22:06:46.770000,L9,,289.22,290.23,280.58,277.19,283.00,311.22,344.56,337.58,332.91,335.72,360.03,348.96,333.70,316.55,320.35,345.35,303.15,345.45,344.80,309.26,291.17,314.14
2022-11-14 22:06:59.140000,L8,313.61,352.01,340.69,331.90,342.33,282.62,292.22,304.11,305.41,308.45,326.11,316.72,319.67,,,,,,292.18,303.43,310.97,310.24,311.33
2022-12-24 22:06:50.044000,L9,,,,,,,272.70,278.20,273.45,275.14,,,,,,,,,277.59,278.46,,,
2023-03-06 22:06:26.184000,L8,,,,298.50,298.95,300.48,293.78,,,,,,,,,,,,,,,,
2023-03-22 22:06:16.808000,L8,316.63,288.54,294.92,295.97,300.53,,294.44,293.52,,,,,,,,,,,294.82,297.25,,,
2023-11-01 22:06:38.922000,L8,,,,,,,279.90,291.05,292.87,286.71,305.95,,,,,,,,280.40,289.08,285.55,284.00,285.23
2023-11-25 22:06:44.562000,L9,,,,,,,279.57,279.15,282.36,281.15,287.27,,,,,,,,278.35,284.92,,,
2024-01-28 22:06:42.172000,L9,,,,291.28,285.27,290.36,,,,,,,,,,,,,,,,,
2024-05-03 22:06:01.963000,L9,,,325.41,326.33,327.51,326.57,,,,,,,,,,,,,,,,,
2024-10-10 22:06:22.341000,L9,321.08,299.34,285.24,278.52,281.42,283.62,291.26,305.11,305.30,319.56,321.09,312.83,316.65,,273.65,341.05,352.76,301.85,290.95,305.25,319.65,314.58,313.96
2024-11-03 22:06:24.531000,L8,,,,,,,277.01,306.58,305.75,,,,,,,,,,278.31,308.41,,,
2024-12-05 22:06:33.321000,L8,,,,,,,276.95,280.38,281.57,278.72,,,,,,,,,277.73,280.15,,,
2025-01-14 22:06:37.191000,L9,305.94,287.59,270.96,269.98,270.97,251.31,304.18,289.77,310.65,317.86,323.08,,,,,,,,284.78,294.62,281.75,321.77,
2025-04-12 22:06:00.386000,L8,318.90,307.80,292.67,278.25,306.44,311.56,315.46,322.21,320.90,,,,,,300.41,299.55,325.57,,317.12,321.75,,,
2025-08-26 22:06:33.318000,L9,,,,,317.36,325.59,323.84,313.27,307.02,,,,,,,,,,316.72,312.40,,,
2025-09-19 22:06:39.287000,L8,,,,,,,,307.45,318.43,302.09,322.28,329.75,334.11,327.87,323.60,308.03,322.67,,,311.54,,,309.00
2025-11-06 22:06:43.857000,L8,,,,,,,298.15,292.16,294.52,296.40,300.99,,,,,,,,285.32,292.80,,,
