dates,nzd0264-0000,nzd0264-0001,nzd0264-0002,nzd0264-0003,nzd0264-0004,nzd0264-0005,nzd0264-0006,nzd0264-0007,nzd0264-0008,nzd0264-0009,nzd0264-0010,nzd0264-0011,nzd0264-0012,nzd0264-0013,nzd0264-0014,nzd0264-0015,nzd0264-0016,nzd0264-0017,nzd0264-0018,nzd0264-0019,nzd0264-0020,nzd0264-0021,nzd0264-0022,satname
1999-12-25 21:59:16+00:00,,237.38,,208.43,247.28,206.19,,251.12,262.32,249.9,233.84,240.91,248.59,250.02,230.54,,,,,,,,,L7
2000-01-26 21:59:14+00:00,,241.99,,208.615,243.38,211.115,,255.74,275.06,248.635,242.065,253.89499999999998,263.31,250.02,230.54,,,,,,,,,L7
2000-03-14 21:58:59+00:00,,241.99,,197.59333333333333,243.80666666666664,223.95666666666668,255.79,255.74,267.7966666666667,247.76666666666665,228.42333333333332,253.89499999999998,247.17666666666665,243.49,231.695,,261.32,,231.57,,,311.65,233.23,L7
2000-11-25 21:56:47+00:00,,269.44,,,,237.38,268.65,259.1,271.9,251.35,237.74,,,,,260.16,,,228.88,,,324.52,224.76,L7
2001-03-17 21:56:40+00:00,,269.44,,174.64,244.28,240.59,233.855,228.625,251.68,243.155,216.53500000000003,,219.5,207.73,232.57,260.16,,,228.88,,251.18,316.505,226.785,L7
2001-09-25 21:54:52+00:00,,,,,244.08,240.68,221.35,207.83,236.1,253.14,198.53,,220.27,203.29,235.31,,,,,,261.88,254.34,229.44,L7
2002-10-14 21:54:07+00:00,,,,,,,196.7,192.96,224.96,235.21,194.93,,,,,,,,,,,,,L7
2003-07-21 21:42:57+00:00,,,,,,,,,,,,,,,,,279.38,302.0,,,,,,L5
2004-03-01 21:45:26+00:00,,,,194.93,241.05,213.65,191.04,209.18,228.91,220.0,191.21,,194.16,204.59,225.62,262.7,287.93,299.01,,,,,,L5
2004-03-17 21:45:32+00:00,,320.13,311.71,194.93,263.24,213.65,191.04,209.18,228.91,220.0,191.21,,194.16,204.59,225.62,262.7,301.31,316.91499999999996,,,,,,L5
2004-04-02 21:45:42+00:00,,320.13,311.71,208.775,258.59,223.64499999999998,201.67000000000002,216.97500000000002,239.69,229.26999999999998,195.005,,212.1,213.25,234.635,270.395,299.4433333333333,316.23,221.11,,259.0,275.25,222.65,L5
2004-04-18 21:46:13+00:00,,320.13,311.71,208.775,252.9625,223.50333333333333,197.34333333333333,207.36333333333334,239.69,229.26999999999998,195.005,,212.1,204.28,231.67333333333332,267.19666666666666,294.645,311.7475,221.11,,259.0,275.25,222.65,L5
2004-07-07 21:48:33+00:00,,320.13,311.71,208.775,252.9625,223.50333333333333,197.34333333333333,207.36333333333334,239.69,229.26999999999998,195.005,,212.1,204.28,228.8625,267.19666666666666,292.492,311.7475,221.11,,259.0,275.25,222.65,L5
2004-07-23 21:48:56+00:00,,320.13,311.71,208.775,252.9625,223.50333333333333,197.34333333333333,207.36333333333334,248.83666666666667,223.26666666666665,192.79999999999998,,212.1,204.28,228.8625,267.19666666666666,292.492,311.7475,256.415,,259.0,275.25,260.925,L5
2004-09-25 21:50:31+00:00,333.1,315.17,307.49,256.45,242.685,228.43,200.495,243.4533333333333,258.8,224.89999999999998,193.59499999999997,,230.04,204.125,229.94333333333336,284.17,286.61333333333334,306.58000000000004,280.3866666666667,,259.0,275.25,283.67333333333335,L5
2005-01-31 21:52:45+00:00,333.1,315.17,307.49,290.28,,,,317.45,,,,,,,,316.90999999999997,,,333.255,,,,329.17,L5
2005-03-04 21:53:16+00:00,336.89,318.71500000000003,308.515,290.28,300.33,312.42,,314.755,317.34,,,,,,,313.01666666666665,,347.35,322.7633333333333,,,,332.28499999999997,L5
2005-08-27 21:54:31+00:00,338.485,322.26,310.9,,300.33,301.86,,312.06,309.14,,,,,,,317.065,,347.35,301.78,,,,333.27,L5
2005-09-28 21:54:32+00:00,339.46500000000003,323.93,310.83,289.47,,291.3,,,300.94,,,,,,,328.9,,,309.2,,,,331.14,L5
2006-06-27 21:59:12+00:00,,,,,269.02,272.15,,,,,,,,203.54,,,303.89,325.7,299.78,,271.01,,287.9,L5
2010-01-13 21:57:13+00:00,,,,,,,,,,,,,,,,346.41,,,342.34,340.03,,,,L5
2010-01-29 21:57:17+00:00,,328.24,,,,,,341.67,,,,,,,,336.83000000000004,332.17,339.99,343.845,342.275,,,,L5
2011-01-16 21:56:21+00:00,351.72,,337.73,,,,,326.19,329.67,,,,,,,,,,333.82,,,,,L5
2013-05-13 22:08:23+00:00,,,,,,,,,,,,,,,,,264.21,275.46,,,250.06,307.3,211.08,L8
2013-08-17 22:08:27+00:00,268.15,,,,,,,,,,,,,,,,267.12,283.495,,,250.06,322.125,218.64,L8
2013-11-21 22:08:01+00:00,268.15,339.34,338.07,,,,,333.55,,,,,,,,346.07,270.03,291.53,,,,336.95,226.2,L8
2014-01-24 22:07:33+00:00,268.15,339.34,306.33500000000004,250.86,256.4,232.09,255.68,301.78999999999996,272.89,260.91,249.66,249.44,,263.28,254.06,309.275,271.495,288.495,,,243.51,336.95,216.755,L8
2014-02-25 22:07:08+00:00,304.63,317.765,301.62333333333333,252.905,259.895,242.265,274.69,295.1433333333334,282.04499999999996,260.91,266.63,259.825,,276.195,258.445,289.12666666666667,245.54999999999998,285.46,,,243.51,,207.31,L8
2014-04-30 22:06:10+00:00,304.63,317.765,301.62333333333333,252.905,259.895,242.265,274.69,295.1433333333334,282.04499999999996,260.91,266.63,259.825,,276.195,246.8166666666667,282.8725,248.4433333333333,266.32,,,243.51,,207.31,L8
2014-06-01 22:06:02+00:00,281.705,269.455,283.4,252.905,254.24333333333334,237.35,274.69,275.94000000000005,282.04499999999996,260.91,266.63,259.825,,276.195,246.8166666666667,263.675,253.8725,266.32,,,248.935,305.12,212.24,L8
2014-08-04 22:06:26+00:00,281.705,269.455,282.885,254.95,253.16500000000002,239.97999999999996,293.7,281.85,291.2,,283.6,270.21,,289.11,243.19500000000002,260.74,254.32999999999998,247.18,,,254.905,318.065,223.90499999999997,L8
2015-01-27 22:06:23+00:00,271.67,247.58,274.71500000000003,231.01,256.19,232.09,270.98,273.2,281.6,260.32,271.92,264.83,261.27,274.59,240.81,256.54,270.73,,,,255.45,331.01,230.64,L8
2015-02-12 22:06:15+00:00,271.67,243.79000000000002,274.34000000000003,230.62,254.745,224.15,261.845,265.265,274.14,253.2,259.79,252.995,264.4,263.935,239.585,259.755,266.295,228.79,,,,,,L8
2015-04-01 22:05:49+00:00,276.62,243.79000000000002,280.32666666666665,230.62,255.65333333333334,229.83,256.9633333333333,261.79333333333335,270.87333333333333,253.2,259.79,252.995,264.4,259.76666666666665,242.17,265.24,277.1766666666667,228.79,,,255.81,332.69,263.09,L8
2015-06-04 22:05:36+00:00,276.62,243.79000000000002,280.32666666666665,230.62,255.65333333333334,229.83,256.9633333333333,261.79333333333335,270.87333333333333,253.2,259.79,252.995,264.4,259.76666666666665,242.17,265.24,277.1766666666667,228.79,,,274.83000000000004,332.69,281.53000000000003,L8
2015-07-22 22:06:01+00:00,276.62,243.79000000000002,280.32666666666665,230.62,255.65333333333334,229.83,256.9633333333333,261.79333333333335,270.87333333333333,253.2,259.79,252.995,264.4,257.005,242.17,265.24,277.1766666666667,228.79,,,274.83000000000004,332.69,283.13000000000005,L8
2015-12-13 22:06:33+00:00,283.28,249.66,,248.7,257.04,236.67,256.88,272.39,270.86,266.72,253.31,264.6,271.29,258.04,251.56,274.71,273.52,,,,,,286.33,L8
2015-12-29 22:06:33+00:00,285.66499999999996,249.66,,228.79,255.93,226.725,256.71000000000004,268.03499999999997,280.77,265.71000000000004,266.79499999999996,268.505,247.615,268.0933333333333,248.04500000000002,274.14,268.815,231.15,,,,,286.33,L8
2016-06-06 22:06:07+00:00,279.06,260.78,277.4,228.79,255.93,234.10333333333332,256.71000000000004,268.03499999999997,280.77,265.71000000000004,266.79499999999996,268.505,247.615,277.78,244.5566666666667,274.2233333333333,276.65333333333336,231.15,,,256.46,310.86,251.23,L8
2016-08-09 22:06:27+00:00,260.44,254.695,282.22,,,248.86,,,,,,,,,233.57,270.72,279.66999999999996,,,,256.46,310.86,251.23,L8
2016-09-10 22:06:39+00:00,260.44,254.695,291.58666666666664,,279.03,266.82,,297.1,303.29,303.2,300.46,284.26,,292.97,233.57,277.44,290.2133333333333,,,,272.44,310.86,251.23,L8
2016-12-15 22:06:42+00:00,255.03,237.49,298.68,210.59,266.5,250.5,256.93,282.375,302.865,284.72,287.205,284.26,,292.97,229.56,278.965,289.155,277.65,,,288.42,310.3,,L8
2017-01-16 22:06:35+00:00,273.755,259.57,291.83666666666664,210.59,264.4033333333333,250.47666666666666,265.98,282.19666666666666,297.87333333333333,285.28333333333336,287.205,284.26,,292.97,229.56,278.965,289.155,277.65,,,288.42,310.3,,L8
2017-04-22 22:05:48+00:00,292.48,281.65,278.15,210.59,257.09,235.46333333333334,265.98,274.74499999999995,295.16499999999996,276.32500000000005,273.95,,215.33,,237.17,,,290.85,,,,315.925,255.79,L8
2017-05-08 22:05:47+00:00,292.48,277.205,278.15,210.59,257.09,237.845,265.98,274.74499999999995,295.16499999999996,276.32500000000005,273.95,,216.455,,236.1,272.04,276.0,297.7133333333333,,,254.27,316.7633333333333,250.85000000000002,L8
2017-05-24 22:05:58+00:00,275.045,275.4166666666667,278.15,210.59,257.09,237.845,265.98,274.74499999999995,295.16499999999996,276.32500000000005,273.95,,216.455,,228.09666666666666,267.345,272.145,294.6425,,,254.27,316.7633333333333,250.85000000000002,L8
2017-06-25 22:06:11+00:00,275.045,286.82,278.15,,260.21,245.0533333333333,275.03,281.84,287.89,286.41,,,216.455,,228.09666666666666,267.345,272.145,300.3066666666667,,,254.27,326.68666666666667,264.02333333333337,L8
2017-07-27 22:06:22+00:00,257.61,288.54333333333335,,,,242.365,,,,,,,216.455,,228.09666666666666,267.345,272.145,300.3066666666667,,,254.27,326.68666666666667,272.1575,L8
2017-11-16 22:06:40+00:00,257.61,312.02666666666664,,,,,,,,,,,,,212.09,262.65,268.29,285.43,,,,340.07,293.46500000000003,L8
2017-12-02 22:06:34+00:00,,340.55,,,,,,,,,,,,,,,,,338.14,336.93,,340.07,293.46500000000003,L8
2018-03-08 22:06:03+00:00,289.74,329.2166666666667,285.91,,257.64,253.98,263.41,266.46,279.07,270.5,248.64,247.68,,254.54,252.57,,274.84,302.74,338.14,336.93,257.42,315.07,277.64,L8
2018-04-25 22:05:38+00:00,275.40999999999997,306.77,280.15,,247.88,243.89,263.41,266.46,279.07,255.15,248.64,247.68,213.22,254.54,243.175,264.55,273.75,296.925,338.14,336.93,257.42,315.07,277.64,L8
2018-06-28 22:05:28+00:00,270.25,266.19666666666666,280.15,,246.67333333333332,241.87333333333333,263.41,266.46,279.07,255.15,248.64,247.68,213.22,254.54,238.51999999999998,268.82500000000005,274.1933333333333,307.73,,,255.245,321.505,262.19500000000005,L8
2018-10-18 22:06:17+00:00,260.505,255.78,274.39,,241.19,235.82,,,329.31,239.8,,,213.22,,231.49499999999998,268.82500000000005,273.87,310.225,,,253.07,327.94,246.75,L8
2018-11-19 22:06:22+00:00,275.925,273.705,,,252.625,235.4,271.78,289.13,311.065,,282.96,,,293.26,249.575,280.85,276.02,313.765,,,252.20499999999998,324.2,262.86,L8
2018-12-21 22:06:18+00:00,275.925,265.08,275.46,,255.20333333333335,234.56333333333336,265.75,288.32,304.8066666666667,,283.96500000000003,,,289.87,253.9333333333333,281.8,272.56333333333333,303.43333333333334,,,247.84,324.2,262.86,L8
2019-02-07 22:06:11+00:00,291.92,261.555,275.46,,260.675,232.925,265.75,288.32,304.8066666666667,,283.96500000000003,,,289.87,266.29499999999996,286.15000000000003,271.30499999999995,290.48,326.92,332.19,245.225,338.995,278.97,L8
2019-02-23 22:06:08+00:00,291.92,261.555,285.66999999999996,248.07,259.6466666666667,232.95666666666668,275.39000000000004,289.7366666666667,304.25,238.61,283.96500000000003,,211.18,276.68,263.01,282.09666666666664,274.6533333333333,281.67,326.92,332.19,239.26,339.24666666666667,283.095,L8
2019-04-12 22:05:54+00:00,291.92,261.555,285.66999999999996,248.07,259.6466666666667,232.95666666666668,275.39000000000004,289.7366666666667,304.25,238.61,283.96500000000003,,211.235,276.68,263.01,282.09666666666664,274.6533333333333,281.67,326.92,332.19,243.28500000000003,332.7975,271.15000000000003,L8
2019-07-01 22:06:20+00:00,255.19,248.05,295.88,248.07,257.59,233.02,294.67,292.57,302.58,238.61,,,211.235,250.3,256.44,273.99,281.35,264.05,326.92,332.19,241.34500000000003,336.91,267.24,L8
2019-08-18 22:06:35+00:00,261.99,260.42,291.135,248.07,248.70999999999998,237.89,294.67,292.57,302.58,243.69,,,211.235,250.3,240.45499999999998,271.5,270.01,266.385,,,246.51333333333332,329.1166666666666,259.8933333333334,L8
2019-09-19 22:06:44+00:00,261.99,260.42,286.39,,251.53,245.755,256.77,267.92,273.85,252.89999999999998,,223.7,197.135,,234.155,273.065,266.175,280.31,,,256.07666666666665,322.8433333333333,236.47000000000003,L8
2019-11-06 22:06:48+00:00,261.99,281.45666666666665,297.72,,251.53,245.755,256.77,267.92,299.29,278.36999999999995,,223.7,182.98,,267.66,273.065,266.175,300.5566666666667,,,256.43499999999995,327.54,231.07500000000005,L8
