dates,satname,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045
1999-08-21 21:46:56.985000,L7,,,,,,,,370.15,346.92,359.28,351.25,398.11,383.45,505.76,489.42,491.63,328.43,520.58,513.99,530.54,512.89,482.76,363.59,369.18,352.05,360.77,350.27,357.49,335.29,366.74,350.88,328.40,330.02,358.39,373.01,425.43,438.78,426.23,429.71,334.17,367.44,368.51,358.91,378.87,375.00,383.59
1999-09-22 21:47:00.785000,L7,386.56,490.69,454.27,418.85,375.34,359.40,356.12,355.09,351.45,359.84,361.01,369.31,383.79,374.15,355.67,342.30,337.98,363.72,338.45,363.03,360.26,346.59,371.39,364.57,361.85,364.16,355.35,380.27,338.72,363.81,362.81,338.34,343.86,356.58,380.19,342.95,356.39,357.44,334.21,333.58,336.74,330.72,393.68,389.75,380.07,388.64
1999-10-24 21:46:56.203000,L7,,,345.65,239.02,356.33,360.58,357.86,367.83,352.01,359.15,359.31,379.76,382.51,394.96,357.81,340.94,353.63,348.98,334.75,353.34,356.51,352.13,370.22,361.74,354.09,357.28,359.21,372.08,350.55,332.95,363.02,335.44,329.49,325.74,331.48,339.61,343.92,275.94,285.00,333.67,335.08,379.47,382.16,373.10,369.41,374.82
2000-02-13 21:46:48.016000,L7,,,313.03,313.08,344.54,350.49,345.21,338.61,332.85,315.27,326.34,303.88,285.59,277.38,334.26,318.47,315.58,235.28,249.16,263.96,261.29,271.27,281.18,281.35,278.65,251.24,259.56,272.54,244.69,247.07,263.38,266.23,266.28,239.99,293.62,255.80,295.81,221.30,,293.35,301.07,339.29,358.41,350.76,345.88,351.64
2000-04-01 21:46:34.573000,L7,,,,,355.89,335.31,344.93,374.46,384.76,354.52,352.46,320.62,369.81,372.85,351.47,340.00,339.12,353.01,337.94,357.11,377.80,349.19,368.31,314.94,319.75,363.73,314.71,315.66,305.77,312.41,364.68,360.26,343.87,323.28,328.30,334.45,339.94,320.13,313.10,326.77,331.12,327.87,326.88,332.16,336.87,391.79
2000-05-03 21:46:19.161000,L7,,,,,,,,335.82,353.92,270.82,262.50,271.23,233.41,200.69,361.05,346.79,331.28,395.85,332.21,361.48,362.51,344.80,355.13,391.69,361.82,358.65,377.64,379.31,372.27,417.79,364.78,350.52,374.04,359.91,417.59,462.57,412.18,411.39,399.73,382.49,393.95,402.67,352.31,369.37,382.67,386.67
2000-05-19 21:46:07.873000,L7,,,,,,,,,,,,,364.81,362.81,194.89,334.37,338.21,358.40,397.10,379.37,349.64,348.83,364.22,358.15,350.57,355.56,353.21,352.81,341.79,367.97,356.97,347.04,438.60,367.12,415.19,427.79,412.48,417.40,414.14,409.87,411.81,336.90,395.75,372.12,435.57,388.33
2000-08-07 21:45:08.975000,L7,,,,,,,,,328.15,319.48,333.81,348.52,360.12,356.80,342.13,328.70,323.04,330.90,313.15,324.84,328.07,327.57,342.21,341.19,338.54,343.26,339.79,339.48,320.80,358.27,333.27,318.23,319.37,345.42,340.77,372.00,374.90,377.87,336.76,349.91,345.28,370.20,387.37,376.69,377.80,349.26
2000-10-26 21:44:22.850000,L7,307.65,361.85,351.11,355.97,360.60,360.57,358.93,357.97,345.57,349.91,358.10,386.86,385.86,400.29,349.46,331.66,347.86,343.50,283.80,262.13,298.50,324.59,394.76,419.15,424.67,435.47,352.97,519.19,333.77,396.96,335.66,271.99,480.09,530.58,457.23,405.02,380.80,379.09,391.45,371.80,362.45,335.17,352.67,304.33,336.37,469.60
2001-01-14 21:44:33.150000,L7,296.84,324.62,331.20,340.96,310.75,301.94,339.53,348.69,342.97,335.68,339.73,355.32,361.83,351.16,337.39,322.32,271.58,268.92,266.05,283.80,291.64,301.59,266.37,269.67,271.72,279.05,288.41,294.11,258.29,274.78,269.69,285.75,252.40,272.31,316.09,288.54,265.29,244.38,,362.62,354.39,357.84,318.44,310.82,342.13,351.68
