dates,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045
1999-08-21 21:46:56+00:00,,,,,,,,,342.37,338.59,344.15,,,,,341.17,325.02,,,,,,,,,,,,329.3,,340.78,323.45,325.6,324.5,,,,,,332.25,,,,,,
1999-09-22 21:47:00+00:00,,,,,,,360.6,,342.37,338.59,344.15,,,,357.79,341.17,325.02,,,,,,,,,,,,329.3,,340.78,323.45,325.6,324.5,,343.57,,,,333.16999999999996,337.38,331.15,,,,
1999-10-24 21:46:56+00:00,,,345.65,,,360.58,359.23,367.83,347.19,348.87,344.15,,,,357.8,341.17,325.02,,334.75,,,352.13,,,354.09,357.28,,,339.925,332.95,351.9,329.445,327.545,325.12,331.48,341.59000000000003,,275.94,,333.33666666666664,336.23,331.15,,,,
2000-02-13 21:46:48+00:00,,,330.03499999999997,315.04,346.81,356.17499999999995,355.1133333333334,353.625,343.56666666666666,348.87,338.46,304.53,,,350.66333333333336,330.58500000000004,320.89,,334.75,,,352.13,,,354.09,357.28,,,339.925,332.95,351.9,329.445,327.545,325.12,312.735,341.59000000000003,296.49,275.94,,333.33666666666664,336.23,331.15,,,,
2000-05-03 21:46:19+00:00,,,314.42,315.04,346.81,351.77,346.88,339.42,342.225,,332.77,288.30999999999995,,,336.39,320.0,322.985,,330.31,,,341.07,350.53,,,,,,,,,,,,293.99,,296.49,,,,,,,,,
2000-05-19 21:46:07+00:00,,,314.42,315.04,346.81,351.77,346.88,339.42,342.225,,332.77,288.30999999999995,363.57,360.41,341.575,326.02,327.1166666666666,348.59,335.53,341.71,346.17,344.205,350.53,356.43,348.17,,,350.03,339.2,365.44,353.97,,329.41,,293.99,,296.49,,,,,335.84,,,,
2000-08-07 21:45:08+00:00,,,314.42,315.04,346.81,351.77,346.88,339.42,337.5333333333333,319.48,333.28999999999996,308.37999999999994,361.845,358.605,341.76,326.91333333333336,326.09749999999997,339.745,328.07,333.275,337.12,338.66,346.37,348.81,343.355,343.26,,344.755,330.0,361.855,343.62,318.23,324.39,345.42,317.38,,296.49,,,349.91,345.28,335.84,,,,349.26
2001-01-14 21:44:33+00:00,,330.29,337.21,350.28,356.49,336.92,343.24,353.35,337.65,329.395,338.985,355.14,366.445,358.88,342.975,328.75,327.62,330.9,291.945,305.565,311.01,315.995,342.21,341.19,338.54,343.26,298.05,318.435,320.8,358.27,333.27,302.92,319.37,345.42,329.065,307.69,294.0,296.22,,346.56,345.28,,,315.03,,349.26
2001-04-04 21:44:06+00:00,,330.29,337.21,350.28,356.49,336.92,350.365,353.35,347.15,339.31,344.16,361.76,372.77,360.96,346.78499999999997,328.8,332.2,,270.74,286.29,293.95,325.935,,,,,298.05,297.39,,,,287.61,,,317.36,307.69,294.0,314.33500000000004,,343.21,,,,315.03,,
2001-04-20 21:44:10+00:00,,330.29,337.21,350.28,356.49,336.92,350.365,348.885,345.19,340.475,340.32500000000005,357.94,370.74,365.4,346.31,334.055,331.49,332.89,283.57,313.76,320.155,332.48,328.71,,341.98,349.25,298.05,306.515,318.79,330.66,333.16,302.1,316.3,326.78,327.445,307.69,323.605,314.33500000000004,,334.365,328.6,329.36,307.7,315.03,326.94,
