dates,nzd0269-0000,nzd0269-0001,nzd0269-0002,nzd0269-0003,nzd0269-0004,nzd0269-0005,nzd0269-0006,nzd0269-0007,nzd0269-0008,nzd0269-0009,nzd0269-0010,nzd0269-0011,nzd0269-0012,nzd0269-0013,nzd0269-0014,nzd0269-0015,nzd0269-0016,nzd0269-0017,nzd0269-0018,nzd0269-0019,nzd0269-0020,nzd0269-0021,nzd0269-0022,nzd0269-0023,nzd0269-0024,nzd0269-0025,nzd0269-0026,nzd0269-0027,nzd0269-0028,nzd0269-0029,nzd0269-0030,nzd0269-0031,nzd0269-0032,nzd0269-0033,nzd0269-0034,nzd0269-0035,nzd0269-0036,nzd0269-0037,nzd0269-0038,nzd0269-0039,nzd0269-0040,nzd0269-0041,nzd0269-0042,nzd0269-0043,nzd0269-0044,nzd0269-0045,nzd0269-0046,nzd0269-0047,nzd0269-0048,nzd0269-0049,nzd0269-0050,nzd0269-0051,nzd0269-0052,nzd0269-0053,nzd0269-0054,nzd0269-0066,nzd0269-0067,nzd0269-0068,nzd0269-0069,nzd0269-0071,nzd0269-0072,nzd0269-0073,nzd0269-0075,nzd0269-0076,nzd0269-0077,nzd0269-0078,nzd0269-0079,nzd0269-0082,nzd0269-0083,nzd0269-0084,nzd0269-0085,nzd0269-0086,nzd0269-0087,nzd0269-0088,nzd0269-0089,nzd0269-0090,nzd0269-0091,nzd0269-0092,nzd0269-0093,nzd0269-0094,nzd0269-0095,nzd0269-0096,nzd0269-0097,nzd0269-0098,nzd0269-0099,nzd0269-0100,nzd0269-0101,nzd0269-0102,nzd0269-0103,nzd0269-0104,nzd0269-0105,nzd0269-0106,nzd0269-0107,nzd0269-0108,nzd0269-0109,nzd0269-0110,nzd0269-0111,nzd0269-0112,nzd0269-0113,nzd0269-0114,nzd0269-0115,nzd0269-0116,nzd0269-0117,nzd0269-0118,nzd0269-0119,nzd0269-0120,nzd0269-0121,nzd0269-0122,nzd0269-0123,nzd0269-0124,nzd0269-0125,nzd0269-0126,nzd0269-0055,nzd0269-0056,nzd0269-0057,nzd0269-0058,nzd0269-0064,nzd0269-0065,nzd0269-0070,nzd0269-0074,nzd0269-0080,nzd0269-0081,nzd0269-0063,nzd0269-0059,nzd0269-0060,nzd0269-0061,nzd0269-0062,satname
1999-12-25 21:59:16+00:00,,320.12,,323.54,329.15,,,,315.23,,300.62,305.34,,,,,,,305.72,,,,,,,289.14,,,,283.46,287.31,235.15,,264.58,,239.85,233.07,271.32,231.27,243.7,,272.04,268.19,272.09,264.62,,271.66,273.65,265.59,266.95,277.45,273.5,274.76,274.56,258.9,,,291.95,278.76,,281.77,275.2,270.62,,269.18,,,,,,,,,,271.9,286.09,,,,,,,307.65,309.22,304.0,295.58,300.49,308.41,292.85,295.01,303.27,313.52,315.76,321.8,317.82,,264.35,256.79,286.9,287.92,306.97,315.22,321.38,313.87,323.24,300.64,315.49,305.61,317.22,297.52,,298.42,,,,,,,,,,,,,,,,L7
2000-03-30 21:58:57+00:00,,320.12,,323.54,329.15,,,,330.975,,300.62,305.34,,,,,,,305.72,,,,,,,289.14,,,,283.46,287.31,235.15,322.18,264.58,,239.85,233.07,271.32,231.27,243.7,298.79,272.04,268.19,272.09,264.62,,271.66,273.65,265.59,266.95,277.45,273.5,286.79999999999995,274.56,258.9,,,291.95,278.76,,281.77,275.2,270.62,,269.18,,,,,,,,,,271.9,286.09,,,,,,,307.65,309.22,304.0,295.58,300.49,308.41,292.85,295.01,303.27,313.52,315.76,321.8,317.82,,274.49,276.22,298.80499999999995,301.05,318.265,315.22,321.38,313.87,323.24,300.64,315.49,305.61,317.22,297.52,,298.42,,,,237.38,,,,,,,,272.03,286.87,290.75,309.5,L7
2000-07-04 21:58:02+00:00,,,,,,,,310.69,346.72,,261.87,288.64,,,,,299.78,,,,,,289.98,,298.8,267.47,253.83,283.25,272.65,264.87,,,322.18,,,,,,,266.65,298.79,,,,,,,,,,,,298.84,,,301.11,299.1,292.57,,,,,,,,,,,,,227.81,246.44,,279.23,264.0,272.54,247.31,,283.46,,,,,,,,,290.18,275.85,277.23,,,,,,,284.63,295.65,310.71,314.18,329.56,,,,,,296.64,304.91,,273.78,,,,,,237.38,,,,,,,,262.5,272.555,281.05,298.115,L7
2000-08-05 21:57:32+00:00,,,,,,,,321.46000000000004,346.72,,261.87,288.64,,,,,299.78,,,,,,289.98,,298.8,267.47,253.83,283.25,272.65,264.87,,,313.925,,,261.87,,,,266.65,298.79,,,,,,,,,,,,298.84,,,301.11,299.1,292.57,,,,,,,,,,,,,227.81,246.44,,279.23,264.0,272.54,247.31,,283.46,,,,,,,,,290.18,275.85,277.23,,,,,,,284.63,295.65,310.71,314.18,329.56,,,,,,296.64,304.91,,273.78,,300.44,,,,237.38,,,,,,,,262.5,272.555,281.05,298.115,L7
2000-11-09 21:56:45+00:00,,,,,,,,321.46000000000004,,,261.87,288.64,,,,,299.78,,,,,,289.98,,298.8,267.47,253.83,283.25,272.65,264.87,,,305.67,,,261.87,,,,266.65,,,,,,,,,,,,,,,,301.11,299.1,292.57,,,,,,,,,,,,,227.81,246.44,,279.23,264.0,272.54,247.31,,283.46,,,,,,,,,290.18,275.85,277.23,,,,,,,,,,,,,,,,,296.64,304.91,,273.78,,300.44,,,,,351.97,,,310.86,,,,252.97,258.24,271.35,286.73,L7
2000-11-25 21:56:47+00:00,,,,,,,,328.98,331.75,344.7,261.87,317.15,343.96,333.96,332.95,334.99,299.21,,297.09,329.08,,,270.84000000000003,,296.19,258.445,259.13,281.655,265.625,265.44,264.69,240.05,305.67,270.36,,261.87,212.4,260.37,248.04,259.77,260.79,264.09,250.11,260.11,237.96,,253.35,247.38,247.46,247.63,259.57,259.25,,245.85,242.61,301.11,299.1,292.57,,,,,,,,,,,,,239.32999999999998,250.95999999999998,,278.125,264.0,272.54,240.41500000000002,,284.84000000000003,,,,330.68,337.64,325.18,312.61,313.53,303.06,280.53,283.21000000000004,296.42,300.77,308.61,315.54,305.36,,249.7,,275.19,277.34,292.85,299.51,309.32,293.97,294.2,291.39,300.265,311.935,313.15,281.9,,300.44,,,,,335.135,,,310.86,,,332.1,252.97,258.24,271.35,304.83000000000004,L7
2001-03-17 21:56:40+00:00,,,,361.64,360.22,346.27,351.32,341.69,335.655,343.67499999999995,,345.66,343.96,333.96,332.95,334.99,298.64,,297.09,329.08,,,251.7,,293.58,249.42,264.43,280.06,258.6,266.01,264.69,240.05,,270.36,,,212.4,260.37,248.04,252.89,260.79,264.09,250.11,260.11,237.96,,253.35,271.33,247.46,247.63,259.57,259.25,303.12,275.62,262.25,,,,,,311.87,303.24,,,,,,274.79,293.77,303.73,250.85,280.89,302.67,277.02,,,233.52,,286.22,,,,335.605,340.16499999999996,324.15,316.44,316.94,321.64,285.21,289.19,296.42,300.77,308.61,315.54,305.36,,280.935,303.98,295.20500000000004,277.34,314.055,323.21500000000003,328.03,293.97,294.2,291.39,303.89,337.69,322.0,311.89,,320.96,,,,,335.135,,,310.86,,,332.1,,,,322.93,L7
2001-09-25 21:54:52+00:00,335.84,358.32,361.25,364.5,361.61,357.15,349.01,,,361.11,,339.44,332.65,321.97,327.36,325.37,334.1,325.48,328.41,335.42,342.09,345.83,343.27,343.13,339.44,,307.57,319.52,313.22,304.75,,,310.7,,283.05,284.82,,296.01,,,307.17,306.87,,308.35,,308.03,298.04,303.39,308.84,314.2,304.75,308.63,303.67,302.67,283.34,324.42,325.07,,,,,,295.08,,305.62,306.63,300.03,286.75,299.69,310.52,,316.95,323.9,,,,,,334.14,,,293.87,343.63,,,,,343.09,,,,,,,,,,323.87,321.96,,,,,,,,,,,,,326.64,,,,268.36,,,,,308.29,286.04,,296.97,297.31,307.88,319.42,L7
2002-02-16 21:55:18+00:00,335.84,358.32,361.25,364.5,361.61,357.15,349.01,,,361.11,,339.44,332.65,321.97,327.36,325.37,334.1,325.48,328.41,335.42,342.09,345.83,343.27,343.13,339.44,,307.57,319.52,313.22,304.75,,,310.7,,283.05,284.82,,296.01,,,307.17,306.87,,308.35,,308.03,298.04,303.39,308.84,314.2,304.75,308.63,303.67,302.67,283.34,324.42,325.07,,,,,,295.08,,305.62,306.63,300.03,286.75,299.69,310.52,,316.95,323.9,,,,,,334.14,,,293.87,343.63,,,,,343.09,,,,,,,,,,343.41499999999996,321.96,,,,,,,,,,,,,326.64,282.75,,,278.96500000000003,,,,,308.29,286.04,,305.12,297.31,307.88,336.09000000000003,L7
2002-08-27 21:54:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.47,279.86,279.84,292.09,299.93,L7
