dates,satname,nzd0270-0000,nzd0270-0001,nzd0270-0002,nzd0270-0003,nzd0270-0004,nzd0270-0005,nzd0270-0006,nzd0270-0007,nzd0270-0008,nzd0270-0009,nzd0270-0010,nzd0270-0011,nzd0270-0012,nzd0270-0013,nzd0270-0014,nzd0270-0015,nzd0270-0016,nzd0270-0017,nzd0270-0018,nzd0270-0019,nzd0270-0020,nzd0270-0021,nzd0270-0022,nzd0270-0023,nzd0270-0024,nzd0270-0025,nzd0270-0026,nzd0270-0027,nzd0270-0028,nzd0270-0029,nzd0270-0030,nzd0270-0031,nzd0270-0032,nzd0270-0033,nzd0270-0034,nzd0270-0035,nzd0270-0036,nzd0270-0037,nzd0270-0038,nzd0270-0039,nzd0270-0040,nzd0270-0041,nzd0270-0042,nzd0270-0043,nzd0270-0044,nzd0270-0045,nzd0270-0046,nzd0270-0047,nzd0270-0048,nzd0270-0049,nzd0270-0050,nzd0270-0051,nzd0270-0052,nzd0270-0053
1999-08-21 21:46:56.985000,L7,237.88,279.35,298.35,318.53,304.37,301.33,450.08,460.95,468.82,460.37,450.43,448.12,443.35,429.87,297.05,300.06,302.60,315.65,331.78,338.35,343.83,439.92,458.05,464.30,323.43,340.65,318.46,282.04,314.64,345.41,371.96,372.69,393.18,387.50,389.64,502.33,505.52,339.97,338.17,262.58,321.21,322.61,319.12,293.66,282.80,310.18,331.03,314.49,313.78,321.94,313.70,376.43,376.64,383.23
1999-09-22 21:47:00.785000,L7,335.40,327.85,354.14,359.36,359.78,372.04,365.38,332.68,350.33,353.77,359.01,375.65,349.63,394.22,314.59,328.30,333.57,345.63,355.97,392.90,388.73,394.07,395.48,404.01,384.43,372.55,387.31,377.27,366.58,392.15,390.16,387.66,381.04,377.15,395.24,388.46,397.19,418.85,429.49,426.79,414.38,402.81,403.80,399.32,415.40,404.96,404.23,412.33,395.97,385.08,435.01,430.37,444.96,433.54
1999-10-24 21:46:56.203000,L7,314.85,315.63,301.77,346.68,317.55,311.77,305.25,314.59,316.85,320.53,316.84,313.66,369.08,367.70,392.13,393.68,303.29,318.98,333.86,344.45,351.72,344.85,356.30,352.08,323.25,352.32,327.72,309.02,327.68,262.94,279.59,300.36,325.46,335.31,330.80,330.57,335.83,343.42,345.57,404.28,399.20,390.98,403.70,432.80,450.07,348.55,357.40,356.60,360.31,352.68,354.63,407.14,407.71,419.58
2000-02-13 21:46:48.016000,L7,264.74,256.31,254.45,244.51,224.88,265.05,252.83,257.24,266.39,226.78,265.21,215.58,254.29,196.43,192.99,257.00,255.03,276.54,253.16,290.68,301.83,285.22,299.64,292.70,232.37,304.10,285.53,268.73,223.84,,234.26,250.76,207.20,205.76,369.00,365.24,375.03,296.16,248.82,255.68,267.31,222.65,286.79,285.03,255.01,282.52,255.48,271.38,276.15,284.38,368.33,370.64,373.44,392.06
2000-04-01 21:46:34.573000,L7,435.52,469.00,448.77,,437.77,498.38,350.54,323.78,345.54,491.60,319.69,343.39,335.24,458.39,449.16,434.84,427.42,503.10,520.69,515.77,529.52,482.62,467.92,451.17,449.57,450.09,465.79,456.46,432.52,471.27,463.44,337.09,346.12,439.23,451.86,500.02,501.04,506.64,519.63,518.65,520.03,528.84,500.90,451.21,449.22,471.74,398.95,477.06,,,,481.23,484.86,514.36
2000-05-03 21:46:19.161000,L7,303.42,295.00,355.92,329.76,355.21,361.98,381.54,365.30,408.90,411.56,414.47,406.73,371.06,343.43,335.67,373.97,385.96,396.68,397.03,388.50,393.91,406.43,398.92,402.83,398.71,409.05,488.98,454.50,498.22,491.58,420.76,471.00,505.73,470.29,401.51,397.59,397.53,398.84,416.30,422.41,418.51,441.09,421.89,406.63,402.32,417.11,413.10,399.47,409.24,421.71,426.47,430.17,442.57,445.76
2000-05-19 21:46:07.873000,L7,448.13,465.38,469.08,457.95,450.00,352.08,337.75,361.16,379.56,357.74,368.39,363.11,296.55,340.86,342.33,339.62,365.30,362.59,404.96,446.67,369.74,390.47,350.10,368.73,368.38,340.80,315.49,325.89,414.04,267.28,280.68,389.90,405.80,458.92,456.83,464.28,476.43,491.91,443.31,474.64,416.11,389.97,388.09,484.16,479.48,467.64,370.13,382.40,389.82,366.36,389.87,397.11,360.28,359.07
2000-07-06 21:45:39.035000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.96,274.41,239.47,230.86,242.17,241.90,257.92,252.49,235.08,176.98,204.65,224.82,243.41,207.71,246.88,218.93,212.00,,,,,,,172.71,267.99,298.61
2000-08-07 21:45:08.975000,L7,292.46,287.77,340.78,335.45,331.14,317.30,315.99,308.96,324.18,328.32,337.13,340.40,321.51,335.93,301.35,302.75,306.31,322.91,479.20,481.36,475.48,475.84,495.61,477.90,496.08,462.31,486.02,458.39,459.62,270.75,280.12,298.59,325.97,328.64,326.77,326.54,334.45,386.66,387.03,367.34,386.45,420.44,414.90,373.50,365.25,372.41,372.64,376.41,382.58,364.06,368.24,383.56,388.52,394.36
2000-10-26 21:44:22.850000,L7,465.98,465.72,487.75,513.08,,310.77,341.42,354.33,342.86,322.80,315.45,321.34,345.54,344.49,343.51,417.60,418.35,497.50,515.00,380.77,384.61,389.56,384.03,402.90,376.36,380.01,372.58,366.43,314.57,349.67,359.35,370.04,369.25,375.47,375.47,377.29,382.19,388.89,392.10,400.59,398.06,389.03,385.07,379.59,377.85,371.31,377.83,378.61,389.04,397.37,379.95,393.43,398.95,424.64
2000-11-27 21:44:26.720000,L7,425.33,433.03,295.65,280.09,297.05,306.38,299.21,316.74,304.84,323.14,337.80,364.40,287.26,285.54,436.66,466.20,459.30,313.71,362.89,438.78,457.32,517.60,398.44,464.76,384.15,386.23,380.62,358.20,393.11,473.95,493.21,390.11,340.59,354.91,314.60,322.81,340.44,343.72,342.90,330.72,350.96,366.24,362.47,374.77,325.82,362.97,367.81,381.64,384.31,381.06,367.64,386.73,389.41,403.21
2000-12-13 21:44:28.287000,L7,,,,,525.38,349.32,465.49,,375.00,295.14,,,,,,,,429.20,412.66,447.00,420.23,493.44,365.79,442.97,451.95,435.96,464.18,471.31,432.25,446.82,315.00,414.63,425.74,431.03,500.20,365.52,510.12,522.57,,441.76,471.60,394.57,437.26,428.72,471.53,371.62,512.65,500.25,376.36,521.45,534.93,,,
2001-01-14 21:44:33.150000,L7,290.46,284.87,474.80,454.01,471.40,453.42,473.35,449.63,456.22,251.49,245.14,235.22,260.02,472.23,481.86,473.23,452.24,296.09,282.37,301.15,313.72,305.48,295.80,313.29,249.82,480.22,476.01,479.81,473.94,458.39,249.29,275.38,230.50,213.27,247.69,286.58,266.19,286.10,272.66,265.27,369.01,374.04,358.44,369.61,275.31,253.14,283.27,277.79,301.31,303.97,362.17,354.70,372.31,369.63
2001-04-04 21:44:06.948000,L7,299.45,293.15,341.12,306.94,305.83,299.81,299.66,294.10,309.54,313.61,297.31,300.59,292.50,283.63,295.01,292.02,302.07,317.21,336.75,337.50,345.89,345.60,337.46,339.18,310.83,340.86,319.29,275.30,298.58,261.61,248.71,287.25,282.25,298.89,310.16,321.55,331.64,332.41,339.46,336.18,331.15,334.90,349.76,370.79,339.23,360.87,360.24,365.12,370.10,368.07,373.32,378.03,317.37,297.11
2001-04-20 21:44:10.657000,L7,289.36,290.32,297.59,288.05,307.28,302.31,301.37,296.15,309.76,317.51,297.75,300.59,293.44,284.82,291.06,292.53,302.55,315.83,337.28,340.54,346.87,345.69,345.29,334.68,320.83,336.26,317.50,272.82,301.60,264.86,263.56,287.04,294.04,455.23,459.35,463.44,331.20,337.92,339.01,286.55,335.01,327.18,318.40,310.07,331.27,325.19,344.91,305.37,312.20,332.96,369.55,402.18,325.47,423.21
