dates,nzd0270-0000,nzd0270-0001,nzd0270-0002,nzd0270-0003,nzd0270-0004,nzd0270-0005,nzd0270-0006,nzd0270-0007,nzd0270-0008,nzd0270-0009,nzd0270-0010,nzd0270-0011,nzd0270-0012,nzd0270-0013,nzd0270-0014,nzd0270-0015,nzd0270-0016,nzd0270-0017,nzd0270-0018,nzd0270-0019,nzd0270-0020,nzd0270-0021,nzd0270-0022,nzd0270-0023,nzd0270-0024,nzd0270-0025,nzd0270-0026,nzd0270-0027,nzd0270-0028,nzd0270-0029,nzd0270-0030,nzd0270-0031,nzd0270-0032,nzd0270-0033,nzd0270-0034,nzd0270-0035,nzd0270-0036,nzd0270-0037,nzd0270-0038,nzd0270-0039,nzd0270-0040,nzd0270-0041,nzd0270-0042,nzd0270-0043,nzd0270-0044,nzd0270-0045,nzd0270-0046,nzd0270-0047,nzd0270-0048,nzd0270-0049,nzd0270-0050,nzd0270-0051,nzd0270-0052,nzd0270-0053
1999-08-21 21:46:56+00:00,287.64,286.36,299.9,,,,,,,,,,,,297.29,300.26,302.97,315.91,332.08,339.05,,,,,323.98,,319.14,284.13,315.99,,,,,,,,,340.32,338.44,,321.93,323.06,319.41,296.09,,310.79,,,314.53,,,,,
1999-09-22 21:47:00+00:00,306.14,299.47,299.9,,,,,306.94,316.11,,,,,,306.995,300.26,302.97,315.91,332.08,348.545,,,,,323.98,,319.14,284.13,315.99,,,,,,,,,340.32,338.44,,330.26,326.99,322.41,309.77,,310.79,,,314.53,,,,,
1999-10-24 21:46:56+00:00,309.04333333333335,304.8566666666666,300.835,,,,,310.765,316.48,,,,,,304.4866666666667,300.725,303.13,317.44500000000005,332.97,347.18,,,,,323.615,,323.43,296.575,321.83500000000004,262.94,,,,,,,,341.87,342.005,,330.26,326.99,322.41,309.77,,329.67,,,314.53,,,,,
2000-02-13 21:46:48+00:00,297.9675,292.72,285.3733333333333,,224.88,,,310.765,316.48,,,,,,304.4866666666667,300.725,303.13,317.44500000000005,332.97,347.18,301.83,285.22,,292.7,323.615,304.1,323.43,296.575,321.83500000000004,262.94,,,207.2,205.76,,,,341.87,342.005,,330.26,326.99,322.41,309.77,,329.67,,,314.53,,,,,
2000-05-03 21:46:19+00:00,284.08000000000004,275.655,254.45,,224.88,,,,,,,,,,,,,,,,301.83,285.22,,292.7,,304.1,,,,,,,207.2,205.76,,,,,,,,,,,,,,,,,,,,
2000-05-19 21:46:07+00:00,284.08000000000004,275.655,254.45,,224.88,,338.27,,352.31,348.0,,,296.13,296.2,,306.7,,335.41,,,301.83,285.22,,292.7,,304.1,,323.35,301.62,266.82,280.33,,207.2,205.76,,,,,,,,,,,,,,,,,,,,
2000-07-06 21:45:39+00:00,284.08000000000004,275.655,254.45,,224.88,,338.27,,352.31,348.0,,,287.65999999999997,294.46000000000004,291.73,306.7,,335.41,,,301.83,285.22,,302.945,316.07,318.56,,323.35,301.62,272.6,266.21,,226.635,225.64499999999998,,,,,,,,,,,215.85,,,,,,,,280.69,
2000-08-07 21:45:08+00:00,286.87333333333333,279.6933333333333,254.45,,224.88,317.3,327.13,308.96,338.245,338.15999999999997,337.13,,287.65999999999997,294.46000000000004,296.54,304.725,306.31,329.16,,,301.83,285.22,,302.945,316.07,318.56,,323.35,301.62,271.98333333333335,270.84666666666664,298.59,226.635,259.97666666666663,,,,,,,,,,,215.85,,,,,,,,280.69,
2001-01-14 21:44:33+00:00,289.495,284.40999999999997,276.88,,247.67,298.26,315.99,308.96,324.18,328.32,337.13,,253.0,,301.35,278.51,306.31,307.70500000000004,,,293.13,293.47,,,,,,,,270.75,250.685,285.1,228.17,328.64,,,,,,,,,308.09,,209.2,,,270.5,299.75,,,,312.52,257.91
2001-04-04 21:44:06+00:00,294.15,288.295,276.88,311.7,277.62,290.13,300.76,295.02,310.09,314.61,298.48,301.09,273.105,284.53,296.2,273.56,302.68,305.075,337.8,338.29,293.13,293.47,,,,,,,,262.89,235.675,279.815,228.17,313.99,311.19,322.18,332.31,333.33,340.18,326.3,332.2,,308.09,,209.2,,,270.5,299.75,,,,312.52,257.91
2001-04-20 21:44:10+00:00,293.68666666666667,289.49333333333334,287.565,313.19,288.31333333333333,294.9433333333333,302.14,295.98,310.30999999999995,317.58500000000004,298.4,301.075,280.1033333333333,285.135,294.04499999999996,273.56,302.68,305.075,338.08500000000004,340.235,293.13,293.47,,336.78,321.6,,319.52,311.69,304.59,264.31,247.66333333333333,282.4433333333333,228.17,315.06,313.6,321.46500000000003,332.245,336.1,339.875,307.925,334.38,328.64,314.145,312.06,209.2,,,289.485,306.37,,,,312.52,257.91
2001-05-22 21:43:54+00:00,293.68666666666667,289.49333333333334,294.59,310.84999999999997,293.06,296.07,303.90333333333336,300.82666666666665,313.86999999999995,320.36333333333334,303.81666666666666,303.8,284.7875,290.7366666666667,296.31666666666666,282.81333333333333,310.09000000000003,305.075,338.08500000000004,340.235,293.13,293.47,,335.47,329.615,338.7,320.79999999999995,316.41999999999996,304.135,268.26666666666665,259.77750000000003,288.8025,228.17,323.03000000000003,320.04,328.8866666666667,336.9433333333333,336.1,339.875,307.925,338.99333333333334,328.64,314.145,312.06,209.2,,,289.485,308.7733333333333,,,,312.52,257.91
2001-07-25 21:43:18+00:00,297.265,293.71500000000003,300.2733333333333,299.3275,308.19,301.68666666666667,303.90333333333336,300.82666666666665,307.4225,316.4325,303.725,303.8,295.145,290.2,294.5625,297.08500000000004,310.09000000000003,317.65,338.08500000000004,340.235,,268.91,314.2,330.19666666666666,326.18,328.645,320.79999999999995,316.41999999999996,304.135,270.53499999999997,276.6225,295.8175,244.92,322.6375,320.04,329.7175,337.5575,328.15333333333336,327.42,307.925,338.99333333333334,328.64,318.41499999999996,312.06,,320.29,,308.47,313.28499999999997,,,,,271.47
2001-08-10 21:43:00+00:00,297.265,288.99333333333334,300.8725,299.878,307.5425,301.3025,303.335,301.755,307.878,316.736,304.004,305.35249999999996,296.398,291.48400000000004,294.918,297.18666666666667,309.05333333333334,318.235,338.08500000000004,340.235,,268.91,314.2,331.5775,324.9575,330.31333333333333,319.84666666666664,308.07666666666665,299.68,268.746,280.136,296.08000000000004,244.92,324.598,320.0675,329.7175,337.416,328.15333333333336,327.42,307.925,338.99333333333334,328.64,318.41499999999996,312.06,,313.795,,308.47,313.28499999999997,315.54,,,,271.47
2001-09-11 21:42:38+00:00,297.265,288.99333333333334,300.8725,299.878,307.5425,301.3025,303.335,302.546,309.31333333333333,317.0216666666667,303.99333333333334,305.668,298.41833333333335,291.0566666666667,294.3616666666667,296.7175,306.545,317.7966666666667,335.48333333333335,338.48,,268.91,329.03999999999996,334.046,324.858,331.6925,320.2025,307.53499999999997,297.245,267.4583333333333,278.2583333333333,296.5933333333333,244.92,320.21166666666664,319.154,328.548,336.48499999999996,331.75,329.46500000000003,307.925,338.99333333333334,328.64,318.41499999999996,312.06,,313.795,,308.47,313.28499999999997,326.32500000000005,,,,271.47
2001-09-27 21:42:29+00:00,299.95,290.0425,298.53000000000003,295.94166666666666,305.88,299.634,300.11199999999997,300.26166666666666,307.31142857142856,315.64285714285717,303.99333333333334,305.668,297.1271428571428,291.0566666666667,292.2785714285714,296.7175,306.545,317.7966666666667,335.48333333333335,338.48,,268.91,329.03999999999996,334.046,324.858,331.6925,320.2025,307.53499999999997,287.906,267.4583333333333,278.2583333333333,296.5933333333333,244.92,320.21166666666664,319.154,328.548,336.48499999999996,331.75,329.46500000000003,307.925,338.99333333333334,318.655,315.0133333333333,312.06,,313.795,,308.47,313.28499999999997,326.32500000000005,,,,271.47
2001-10-29 21:42:21+00:00,305.32,286.37,298.6,287.3175,304.04333333333335,297.52000000000004,298.76,302.4025,306.11199999999997,314.866,306.79,308.72999999999996,298.51599999999996,294.0175,291.572,298.0066666666666,307.8333333333333,317.87,330.28,334.395,,268.91,329.03999999999996,333.3625,325.6725,331.6925,320.43,306.1499999999999,283.735,269.0325,286.9525,300.96,244.92,322.7875,322.8566666666666,333.27,338.60499999999996,329.99333333333334,319.05500000000006,,348.22,308.67,312.41999999999996,,,313.795,,,313.58,326.32500000000005,,,,271.47
2002-02-18 21:42:54+00:00,305.32,271.625,286.09000000000003,274.565,290.28999999999996,290.55499999999995,281.37,297.275,305.895,308.01,300.125,299.39,295.55333333333334,270.925,285.32666666666665,287.49,289.515,289.305,318.265,328.7766666666667,321.95,,343.88,343.92,324.46,328.855,312.145,305.91,251.39333333333335,266.885,253.10000000000002,288.625,236.13,298.28,315.5,306.625,304.29999999999995,318.63666666666666,318.9,,332.27,308.67,312.995,260.99,268.56,285.0,,,,337.11,,,312.18,284.49
2002-09-30 21:41:47+00:00,304.5,,,,,,306.41,309.52,316.7,322.06,316.65,311.36,304.15,,,,,,,,,,,,,,325.29,309.55,,256.39,,311.73,,,,,,,,,,,,,,,,,,,,,,
2002-11-17 21:42:06+00:00,304.5,,,,,,306.41,309.52,316.7,330.63,316.65,311.36,304.15,,,,,,,,,,,,,,325.29,309.55,,256.39,,311.73,,,,,,,,,,,,,,,,,,,,,,
2003-01-20 21:42:33+00:00,304.5,271.68,280.0,265.96,,,306.41,296.25,316.7,330.63,316.65,311.36,304.15,,,256.13,,276.35,268.17,,,,,,,,325.29,309.55,,256.39,,288.15999999999997,227.65,,,280.75,257.54,261.41,268.7,253.31,,,,258.25,259.25,,,,,297.72,237.91,241.0,304.32,277.2
