dates,nzd0271-0000,nzd0271-0001,nzd0271-0002,nzd0271-0003,nzd0271-0004,nzd0271-0005,nzd0271-0006,nzd0271-0007,nzd0271-0008,nzd0271-0009,nzd0271-0010,nzd0271-0011,nzd0271-0012,nzd0271-0013,nzd0271-0022,nzd0271-0023,nzd0271-0024,nzd0271-0025,nzd0271-0026,nzd0271-0027,nzd0271-0028,nzd0271-0029,nzd0271-0127,nzd0271-0128,nzd0271-0129,nzd0271-0130,nzd0271-0131,nzd0271-0132,nzd0271-0133,nzd0271-0135,nzd0271-0136,nzd0271-0137,nzd0271-0138,nzd0271-0139,nzd0271-0140,nzd0271-0141,nzd0271-0142,nzd0271-0143,nzd0271-0144,nzd0271-0145,nzd0271-0146,nzd0271-0147,nzd0271-0148,nzd0271-0154,nzd0271-0155,nzd0271-0156,nzd0271-0157,nzd0271-0158,nzd0271-0159,nzd0271-0160,nzd0271-0161,nzd0271-0134,nzd0271-0150,nzd0271-0151,nzd0271-0152,nzd0271-0153,nzd0271-0014,nzd0271-0015,nzd0271-0019,nzd0271-0020,nzd0271-0021,nzd0271-0030,nzd0271-0031,nzd0271-0149,nzd0271-0032,nzd0271-0033,nzd0271-0034,nzd0271-0035,nzd0271-0036,nzd0271-0037,nzd0271-0038,nzd0271-0039,nzd0271-0040,nzd0271-0041,nzd0271-0042,nzd0271-0043,nzd0271-0044,nzd0271-0162,nzd0271-0045,nzd0271-0117,nzd0271-0118,nzd0271-0120,nzd0271-0121,nzd0271-0122,nzd0271-0123,nzd0271-0124,nzd0271-0016,nzd0271-0017,nzd0271-0018,nzd0271-0046,nzd0271-0047,nzd0271-0048,nzd0271-0049,nzd0271-0050,nzd0271-0051,nzd0271-0052,nzd0271-0089,nzd0271-0090,nzd0271-0091,nzd0271-0092,nzd0271-0093,nzd0271-0094,nzd0271-0095,nzd0271-0096,nzd0271-0097,nzd0271-0111,nzd0271-0112,nzd0271-0113,nzd0271-0114,nzd0271-0163,nzd0271-0076,nzd0271-0077,nzd0271-0078,nzd0271-0079,nzd0271-0080,nzd0271-0081,nzd0271-0115,nzd0271-0116,nzd0271-0125,nzd0271-0126,nzd0271-0053,nzd0271-0054,nzd0271-0055,nzd0271-0056,nzd0271-0110,nzd0271-0119,nzd0271-0103,nzd0271-0104,nzd0271-0057,nzd0271-0058,nzd0271-0059,nzd0271-0060,nzd0271-0061,nzd0271-0062,nzd0271-0063,nzd0271-0064,nzd0271-0065,nzd0271-0066,nzd0271-0067,nzd0271-0068,nzd0271-0069,nzd0271-0070,nzd0271-0071,nzd0271-0072,nzd0271-0073,nzd0271-0074,nzd0271-0075,nzd0271-0082,nzd0271-0083,nzd0271-0084,nzd0271-0085,nzd0271-0086,nzd0271-0087,nzd0271-0088,nzd0271-0109,nzd0271-0101,nzd0271-0102,nzd0271-0098,nzd0271-0100,nzd0271-0099,nzd0271-0105,satname
1999-08-21 21:46:56+00:00,296.05,274.73,265.41,270.31,263.57,267.89,263.22,,236.02,224.7,227.27,,,,,,,,,,,,304.24,292.86,302.88,322.33,,,324.96,356.76,336.13,331.63,335.57,342.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-22 21:47:00+00:00,306.395,280.1,276.23,276.115,270.51,267.89,268.855,,236.02,224.7,227.27,,,,,,,,,,,,304.24,292.86,302.88,322.33,,,324.96,356.76,336.13,331.63,335.57,342.14,303.72,305.18,299.6,295.98,,375.13,375.34,397.5,,306.23,366.36,371.62,384.51,385.16,356.74,331.67,280.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-24 21:46:56+00:00,310.0,285.15000000000003,276.23,276.115,270.51,269.945,269.02333333333337,,247.56,238.14999999999998,233.82999999999998,,,,,,,,,,,,304.24,292.86,302.88,322.33,,288.5,305.65999999999997,339.64,324.49,321.41999999999996,325.95,330.495,308.44500000000005,308.38,310.755,312.71000000000004,341.99,367.145,378.255,392.12,320.18,309.905,376.46000000000004,387.83000000000004,390.49,389.47,356.53499999999997,331.23,284.87,,373.82,397.24,388.91,367.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-13 21:46:48+00:00,303.94,281.4875,276.23,276.115,270.51,269.945,269.02333333333337,,247.56,238.14999999999998,233.82999999999998,,,,,,,,,,,,304.24,292.86,302.88,322.33,,288.5,288.7033333333333,326.04333333333335,314.69666666666666,315.53,322.44666666666666,326.40333333333336,311.2166666666667,309.4266666666667,313.37000000000006,315.9266666666667,336.53499999999997,359.18,371.9766666666667,377.19,318.22,309.905,376.46000000000004,387.83000000000004,390.49,389.47,356.53499999999997,331.23,284.87,,388.905,389.065,383.46000000000004,358.29999999999995,,,,,,,,372.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-03 21:46:19+00:00,289.78,276.315,261.05,260.57,254.4,,,,245.8,229.87,227.52,227.48,,,,,,,,,,,,,,,,299.45,254.79,315.69,310.35,312.61,320.82,322.355,321.89,315.21,324.83500000000004,328.74,340.445,355.71000000000004,359.42,347.33,316.26,375.06,389.61,395.26,397.74,390.09,359.61,341.12,300.89,320.62,394.91499999999996,391.03999999999996,383.43,362.41499999999996,,,,,,,,371.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-19 21:46:07+00:00,286.0733333333333,273.49333333333334,263.46000000000004,260.195,248.085,,,244.05,241.41500000000002,220.91,214.07,225.64999999999998,,,,,,,,,,,,,306.4,319.68,,318.46000000000004,254.79,333.31333333333333,321.8666666666666,322.05,328.25666666666666,329.21000000000004,326.43333333333334,321.53,331.91,338.75333333333333,350.32666666666665,355.71000000000004,359.42,347.33,316.26,375.06,389.61,395.26,397.74,390.09,373.58500000000004,346.255,314.53999999999996,334.7,394.91499999999996,391.03999999999996,383.43,362.41499999999996,,,,,,,,371.695,,,,,,,,,,,,,,311.46,,292.35,,,335.76,394.16,397.97,382.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-07 21:45:08+00:00,283.6825,271.03,260.43666666666667,257.42333333333335,247.84666666666666,243.21,242.88,238.635,236.40333333333334,218.16333333333333,211.58,220.43999999999997,208.18,203.9,295.25,300.24,302.91,292.71,288.43,,273.39,270.95,,,306.4,319.68,288.22,312.6466666666667,265.72,335.89,318.805,321.04,329.7175,330.7275,328.19,322.195,331.3725,340.145,355.835,355.71000000000004,359.42,347.33,316.26,375.06,389.61,395.26,397.74,390.09,373.58500000000004,346.255,314.53999999999996,333.28,394.91499999999996,391.03999999999996,383.43,362.41499999999996,,,273.11,281.97,,266.3,264.85,371.695,268.99,274.58,,,,,,,,,,,,311.46,,292.35,,,330.29499999999996,389.235,397.97,382.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-04-04 21:44:06+00:00,291.85,279.92,277.32,272.47,263.87,260.47,257.55,255.05,256.81,243.75,244.8,240.64,,,,,,,,,,,,,,,,,,,,,,,304.78,308.63,306.65,,,369.94,378.72,395.61,,,361.57,,,,,,,,,,,348.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-04-20 21:44:10+00:00,293.485,285.94,278.03499999999997,273.46000000000004,263.87,260.47,257.55,259.485,256.225,239.07,246.15,246.595,,,,,,,,,,,,,,,,285.57,321.9,,276.26,302.1,318.16,330.4,320.385,314.52,320.75,342.27,368.41,378.135,378.72,395.61,,,361.57,,,,,,,327.03,,,,348.22,,,,,,,,,,,,,,,,,,,,,,305.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-05-22 21:43:54+00:00,290.74,280.4266666666667,278.03499999999997,273.46000000000004,263.87,260.47,257.55,259.485,256.225,233.32000000000002,239.40666666666667,240.45000000000002,223.33,,,,,,,,,,,,301.93,311.59,311.47,304.86,324.12,353.04,276.26,317.38,328.77,334.845,324.05,319.17333333333335,327.7866666666667,347.17999999999995,364.845,378.4666666666667,386.13,395.61,431.92,,361.57,,,,,,,333.345,,,,348.22,,,,,,,,398.64,,,,,,,,,,,,,,305.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
