dates,satname,nzd0275-0000,nzd0275-0001,nzd0275-0002,nzd0275-0003,nzd0275-0004,nzd0275-0005,nzd0275-0006,nzd0275-0007,nzd0275-0008,nzd0275-0009,nzd0275-0010,nzd0275-0011,nzd0275-0012,nzd0275-0013,nzd0275-0014,nzd0275-0015,nzd0275-0016,nzd0275-0017,nzd0275-0018,nzd0275-0019,nzd0275-0020,nzd0275-0021,nzd0275-0022,nzd0275-0023,nzd0275-0024,nzd0275-0025,nzd0275-0026,nzd0275-0027,nzd0275-0028,nzd0275-0029,nzd0275-0030,nzd0275-0031,nzd0275-0032,nzd0275-0033,nzd0275-0034,nzd0275-0035,nzd0275-0036,nzd0275-0037,nzd0275-0038
1999-08-21 21:46:56.985000,L7,480.85,177.61,202.30,422.04,419.97,442.62,427.82,209.31,215.95,248.22,300.06,298.61,362.74,348.01,323.71,341.73,339.67,357.54,350.69,414.79,376.90,408.36,378.19,376.55,454.46,363.85,380.88,340.87,338.23,340.64,400.99,395.01,374.99,390.56,384.99,400.70,408.02,494.88,416.15
1999-09-22 21:47:00.785000,L7,,159.65,184.28,190.82,169.76,195.96,202.94,212.94,231.78,251.86,276.32,287.90,294.21,288.69,525.13,522.82,479.25,,471.12,487.52,174.22,304.51,328.96,331.10,322.23,248.89,333.75,310.15,282.03,322.36,340.99,340.25,338.22,286.21,313.56,346.75,281.87,276.77,370.44
1999-10-24 21:46:56.203000,L7,397.96,179.59,368.30,388.77,380.25,376.21,371.12,374.44,472.04,445.13,421.06,400.04,336.92,280.35,360.21,357.88,348.32,338.68,339.15,344.63,355.06,364.19,381.97,359.00,350.03,366.02,373.99,386.94,386.39,395.50,413.45,454.72,403.80,395.38,395.37,427.89,391.96,389.54,383.94
2000-02-13 21:46:48.016000,L7,,,,,,,,,,,,498.27,485.94,466.64,444.82,458.17,468.48,220.69,218.12,169.19,,459.98,485.04,502.27,,,,,491.65,458.16,440.44,263.61,266.91,219.23,278.42,263.88,,268.38,265.55
2000-05-03 21:46:19.161000,L7,,161.76,192.69,187.47,168.84,198.33,235.19,222.64,218.30,244.90,288.33,361.12,367.61,332.29,360.33,289.84,345.74,264.14,284.66,331.28,338.22,332.67,352.39,348.27,322.67,323.76,342.09,311.93,274.00,307.58,319.78,320.57,376.34,379.57,382.36,399.89,395.62,409.86,402.64
2000-05-19 21:46:07.873000,L7,373.95,174.26,335.91,338.77,354.55,357.80,356.50,349.33,368.10,367.04,362.81,330.77,421.94,443.33,424.60,380.34,397.38,382.84,356.77,325.64,343.28,351.75,343.33,347.20,341.01,354.51,361.46,366.19,360.21,356.96,372.10,407.86,423.38,379.70,407.49,220.58,181.88,230.66,232.89
2000-08-07 21:45:08.975000,L7,,169.87,198.16,198.51,176.15,204.67,234.53,230.94,428.10,420.19,430.17,466.43,428.61,458.81,460.89,446.32,415.53,457.36,455.78,458.08,486.72,468.90,442.34,456.03,468.82,482.37,498.19,500.55,528.32,527.23,355.51,357.05,356.48,365.46,366.62,384.45,379.77,374.89,400.82
2000-11-27 21:44:26.720000,L7,389.07,357.89,313.75,338.09,347.94,351.57,347.42,350.15,357.30,351.39,365.11,424.04,415.46,395.58,389.85,336.91,391.96,373.85,303.82,291.57,314.63,322.97,322.62,314.89,305.85,315.58,317.53,330.61,329.09,336.74,328.32,344.15,325.59,396.33,362.88,204.93,229.64,246.46,257.23
2001-01-14 21:44:33.150000,L7,431.58,437.19,434.73,438.99,467.86,444.43,388.25,429.91,437.60,383.80,399.42,409.79,384.45,374.25,274.19,269.45,276.71,352.77,477.37,490.29,510.17,199.44,487.17,288.65,,,,,271.84,317.41,312.66,346.69,430.83,,274.58,168.76,209.06,184.70,227.07
2001-04-04 21:44:06.948000,L7,367.01,354.00,196.91,192.46,170.78,487.21,488.28,482.55,500.91,509.94,521.94,536.37,525.45,525.06,527.17,506.53,330.66,325.50,332.91,333.89,337.01,342.20,344.00,343.33,340.30,346.47,353.96,357.59,359.33,353.11,356.88,367.05,363.20,374.73,364.39,383.88,387.50,312.64,396.54
