dates,satname,nzd0277-0000,nzd0277-0001,nzd0277-0002,nzd0277-0003,nzd0277-0004,nzd0277-0005,nzd0277-0006,nzd0277-0007,nzd0277-0008,nzd0277-0009,nzd0277-0010,nzd0277-0012,nzd0277-0013,nzd0277-0014,nzd0277-0015,nzd0277-0011,nzd0277-0016,nzd0277-0017,nzd0277-0018,nzd0277-0019,nzd0277-0020,nzd0277-0021,nzd0277-0022,nzd0277-0023,nzd0277-0024,nzd0277-0025,nzd0277-0026,nzd0277-0027,nzd0277-0028,nzd0277-0029,nzd0277-0030,nzd0277-0031,nzd0277-0032,nzd0277-0033,nzd0277-0034,nzd0277-0042,nzd0277-0043,nzd0277-0044,nzd0277-0036,nzd0277-0037,nzd0277-0038,nzd0277-0035,nzd0277-0048,nzd0277-0039,nzd0277-0040,nzd0277-0041,nzd0277-0045,nzd0277-0046,nzd0277-0047,nzd0277-0049,nzd0277-0050
1999-08-26 22:05:32.883000,L7,327.27,302.03,305.36,314.07,313.29,308.73,330.86,330.24,344.71,349.94,327.09,319.39,285.73,312.43,304.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10 21:59:16.407000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.30,277.41,,,,,231.60,,,,277.25,236.39,230.58,248.61,270.48
2000-02-27 21:59:04.477000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.16,387.14,377.94,346.37,348.44,328.32,326.95,326.75,364.17,364.66,,,361.91,355.62,326.60,307.41,302.10,,
2000-03-21 22:05:13.167000,L7,,,,,,,,,,332.14,299.78,,,,,312.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:58:57.484000,L7,,,,,,,,,,,,,,,345.57,,368.07,344.00,353.52,350.59,,,,,,,,,,,,,,,,,,,,,,,262.71,,,,262.37,264.10,267.88,,
2000-05-01 21:58:42.678000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.35,228.47,,,,,239.40,,,,226.30,225.47,219.12,246.60,261.47
2000-05-24 22:04:34.567000,L7,,258.25,275.23,275.23,270.73,284.30,290.44,292.24,294.53,287.78,,,,,,,,,,,,,,,,,,,,,,,314.82,358.65,311.11,,,,294.52,287.69,308.48,313.28,,327.96,,,,,,,
2000-07-11 22:04:05.634000,L7,355.60,335.34,329.69,317.12,314.35,356.74,364.61,379.02,381.92,373.28,308.43,320.09,325.29,345.31,344.46,329.98,348.83,346.49,331.46,337.91,322.27,348.95,325.12,353.05,353.48,307.77,251.14,251.88,303.12,285.38,273.37,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:57:32.751000,L7,,,,,,,,,,,336.87,308.78,329.32,340.32,306.73,301.52,334.55,326.70,334.98,374.80,,,,,,,,,,,,,,,376.28,298.31,287.38,331.42,350.75,283.76,363.80,337.54,323.40,335.68,352.08,344.25,333.33,329.41,308.53,,
2000-08-12 22:03:42.087000,L7,303.54,279.98,282.37,278.51,294.57,317.71,291.26,322.68,379.13,,,,,,,,,,,,,,,,,,,,,,,300.00,309.12,316.18,304.00,,,,,,,,,,,,,,,,
2000-09-13 22:03:14.095000,L7,287.54,287.86,277.98,263.39,264.32,272.92,279.78,292.35,291.86,275.03,,,,,,,,,,,,,,,,,,,,,,,,,,289.70,243.52,254.18,,,,,,,,,,,,,
2000-11-09 21:56:45.337000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.62,237.49,,,,,240.49,,,,247.18,239.69,247.14,258.54,278.11
2000-11-25 21:56:47.006000,L7,,,,,,,,,,,,,,272.41,288.24,,316.23,312.90,278.90,293.17,262.47,,,,,,,,,257.82,286.20,284.24,309.75,281.58,285.07,279.00,273.76,305.53,324.92,275.08,268.47,286.27,252.31,276.78,290.54,292.11,305.06,258.30,260.77,267.19,320.99
2001-01-03 22:03:00.348000,L7,318.01,304.44,303.82,300.55,309.42,345.56,327.89,358.57,347.33,297.91,255.95,261.46,271.71,292.67,290.78,255.33,281.79,272.61,257.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-20 22:03:00.708000,L7,325.15,308.93,301.92,295.35,301.89,310.51,319.77,318.22,312.99,309.80,294.90,302.85,318.77,376.38,356.16,300.79,303.88,296.70,283.54,263.11,256.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
