dates,satname,nzd0278-0000,nzd0278-0001,nzd0278-0002,nzd0278-0003,nzd0278-0004,nzd0278-0005,nzd0278-0006,nzd0278-0007,nzd0278-0008,nzd0278-0009,nzd0278-0010,nzd0278-0011,nzd0278-0012,nzd0278-0013,nzd0278-0014,nzd0278-0015,nzd0278-0016,nzd0278-0017,nzd0278-0018,nzd0278-0019,nzd0278-0020,nzd0278-0021,nzd0278-0022,nzd0278-0023,nzd0278-0024,nzd0278-0025,nzd0278-0026,nzd0278-0027,nzd0278-0028,nzd0278-0029,nzd0278-0030,nzd0278-0031,nzd0278-0039,nzd0278-0040,nzd0278-0041,nzd0278-0042,nzd0278-0043,nzd0278-0044,nzd0278-0045,nzd0278-0046,nzd0278-0047,nzd0278-0037,nzd0278-0038,nzd0278-0050,nzd0278-0051,nzd0278-0052,nzd0278-0053,nzd0278-0058,nzd0278-0059,nzd0278-0060,nzd0278-0061,nzd0278-0032,nzd0278-0033,nzd0278-0034,nzd0278-0035,nzd0278-0048
1999-07-09 22:05:23.958000,L7,305.89,295.75,274.61,256.99,245.43,246.15,232.78,223.78,225.12,221.48,217.32,221.77,288.67,289.63,304.26,311.54,308.55,297.94,303.55,218.25,224.84,226.73,341.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-25 22:05:27.218000,L7,,,,227.19,224.72,204.23,192.73,183.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-26 22:05:32.883000,L7,,,,251.44,246.10,248.58,246.36,267.29,,,,,,,,267.27,281.08,269.61,292.25,237.48,256.13,249.61,,,,58.54,49.92,76.15,172.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21 22:05:13.167000,L7,257.38,237.58,182.88,241.00,234.38,224.72,238.10,176.21,171.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:58:57.484000,L7,,,,,,,196.51,210.39,223.22,243.28,234.29,236.27,237.94,250.02,224.65,224.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-24 22:04:34.567000,L7,310.05,305.13,282.69,268.52,255.24,240.63,239.56,229.64,232.08,228.24,225.74,227.37,237.19,236.20,235.18,238.57,237.68,224.06,234.51,226.01,224.07,237.20,293.03,272.81,257.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-11 22:04:05.634000,L7,297.93,295.77,278.92,262.22,241.74,231.95,225.42,219.18,228.66,224.12,219.56,223.03,225.52,229.07,232.08,232.51,235.74,216.64,207.93,219.34,217.32,217.76,326.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:57:32.751000,L7,,,,,222.10,262.68,240.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.69,264.69,292.41,297.29,313.99,339.26,342.16,365.02,,,,,
2000-08-12 22:03:42.087000,L7,267.42,245.55,261.93,250.10,249.47,218.12,203.02,188.06,191.79,166.30,189.79,189.15,200.95,196.71,194.35,185.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25 21:56:47.006000,L7,,,,,,,158.68,244.03,203.63,251.53,,,,,,,,,,,,,,188.23,118.25,180.42,180.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-03 22:03:00.348000,L7,298.56,288.88,267.49,250.90,235.27,226.36,220.57,224.17,216.39,214.44,214.06,219.18,221.56,220.46,222.60,231.90,234.93,224.85,221.07,225.00,230.55,238.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-20 22:03:00.708000,L7,345.99,320.93,298.50,290.79,278.01,273.55,251.11,247.21,275.82,,,,,279.37,275.06,277.66,281.88,298.55,273.69,288.15,281.79,288.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-27 22:02:24.414000,L7,300.30,287.73,260.56,249.97,239.90,229.96,229.03,218.92,218.30,213.63,220.74,215.16,226.45,228.25,219.58,222.09,221.84,213.16,205.10,202.70,303.53,312.10,339.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-15 22:01:26.590000,L7,301.24,290.85,257.71,237.23,269.39,,254.63,225.94,230.30,224.95,222.16,230.98,229.64,235.70,241.68,234.50,230.42,232.04,226.36,223.44,225.63,238.49,291.25,259.66,251.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-03 22:00:58.872000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.32,,,,,,,,,,,,,,,361.34
2002-01-06 22:01:19.904000,L7,288.04,283.96,250.82,212.86,223.16,223.73,220.57,192.98,166.03,,,,,,,,,,,,,,186.80,181.12,130.21,167.05,191.34,130.24,69.40,58.69,68.63,47.84,281.71,313.68,315.84,290.17,301.03,305.81,274.80,324.24,359.54,,,,,,,,,,,,,,,
2002-01-22 22:01:28.819000,L7,303.91,299.23,272.04,253.91,252.09,229.60,228.71,222.88,223.66,221.50,227.42,225.54,233.12,239.32,252.20,259.61,244.23,237.20,242.39,233.59,244.66,249.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-07 22:01:30.075000,L7,,,,,,,,,,,,,,,,,319.05,301.95,295.19,282.92,299.28,318.24,196.66,,105.60,164.44,93.02,93.07,149.95,174.84,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-04 21:55:22.074000,L7,,,,,264.66,235.19,235.10,236.73,,,,,,,,,,,,,,,,,81.67,70.53,86.96,81.19,146.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-11 22:01:31.708000,L7,285.92,279.76,244.63,229.52,228.89,217.58,209.58,188.71,206.56,193.18,204.22,209.86,216.12,214.30,215.03,213.70,215.53,209.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-12 22:01:25.491000,L7,,,,,,,,,,268.93,267.38,266.04,278.02,272.88,305.04,294.42,304.65,299.24,272.86,282.98,293.94,296.88,242.63,,,,,196.89,174.36,159.23,175.24,168.12,,,,,,,,,,,,,,,,,,,,183.10,,,,
2002-07-17 22:00:56.550000,L7,299.94,288.43,274.46,252.24,243.51,231.38,227.43,218.79,225.65,218.21,219.59,219.32,237.16,280.65,254.59,245.05,237.51,219.48,227.79,210.58,213.76,234.94,,,,,,,,,,,,,,,293.45,325.34,297.90,357.85,,,,,,,,,,,,,,,,
2002-08-18 22:00:45.601000,L7,,,,,,,,,,,,,,,,,,318.06,317.84,310.96,310.11,294.53,330.80,229.69,260.61,190.65,72.24,121.45,137.07,136.93,175.93,204.16,,,,,,,,,,,,,,,,,,,,213.90,220.14,218.53,203.04,
