dates,satname,nzd0279-0000,nzd0279-0001,nzd0279-0002,nzd0279-0003,nzd0279-0004,nzd0279-0005,nzd0279-0006,nzd0279-0007,nzd0279-0008,nzd0279-0009,nzd0279-0010,nzd0279-0011,nzd0279-0012,nzd0279-0013,nzd0279-0014,nzd0279-0015,nzd0279-0016,nzd0279-0017,nzd0279-0018,nzd0279-0019,nzd0279-0020,nzd0279-0021,nzd0279-0022,nzd0279-0023,nzd0279-0024,nzd0279-0025,nzd0279-0026,nzd0279-0027,nzd0279-0028,nzd0279-0029,nzd0279-0030,nzd0279-0031,nzd0279-0032,nzd0279-0033,nzd0279-0034,nzd0279-0035,nzd0279-0036,nzd0279-0037,nzd0279-0038,nzd0279-0039,nzd0279-0040,nzd0279-0041,nzd0279-0042,nzd0279-0043,nzd0279-0044,nzd0279-0045,nzd0279-0046,nzd0279-0047,nzd0279-0048,nzd0279-0049,nzd0279-0051,nzd0279-0052,nzd0279-0053,nzd0279-0054,nzd0279-0055,nzd0279-0056,nzd0279-0057,nzd0279-0058,nzd0279-0059,nzd0279-0060,nzd0279-0061,nzd0279-0062,nzd0279-0063,nzd0279-0064,nzd0279-0065,nzd0279-0066,nzd0279-0067,nzd0279-0068,nzd0279-0069,nzd0279-0070,nzd0279-0071,nzd0279-0072,nzd0279-0073,nzd0279-0074,nzd0279-0075,nzd0279-0076,nzd0279-0077,nzd0279-0078,nzd0279-0079,nzd0279-0080,nzd0279-0050
1999-08-21 21:46:56.985000,L7,398.14,387.58,378.88,387.14,393.71,405.60,411.03,408.65,412.56,421.71,430.87,420.77,409.62,395.47,391.09,382.46,373.32,364.61,350.69,343.37,336.54,367.70,369.54,364.78,364.72,365.41,361.29,365.83,359.61,361.92,365.50,381.67,363.73,366.22,374.45,361.96,364.24,367.25,399.65,382.26,384.26,341.87,358.89,318.73,350.53,324.67,339.09,335.32,317.28,325.04,301.05,311.93,316.79,309.49,308.98,315.32,305.95,306.35,314.33,312.41,315.78,317.36,317.19,318.33,316.83,319.38,318.47,330.59,334.24,339.83,35.04,342.48,354.16,362.34,367.24,361.50,361.93,364.54,366.08,142.43,
1999-09-22 21:47:00.785000,L7,,,,,,,,,,,,,,,,416.41,383.85,376.32,374.37,358.43,358.95,355.88,359.34,,,,,,,,,,,376.35,369.11,365.43,365.08,383.99,367.15,341.72,275.86,,,408.16,417.73,380.04,369.76,352.41,360.60,356.30,340.71,349.51,331.97,332.00,337.94,331.56,,338.46,323.28,322.64,321.87,325.60,332.11,323.72,328.30,337.81,353.34,357.37,367.38,355.04,376.08,377.50,387.31,383.40,395.38,386.17,387.21,387.17,385.27,222.06,349.65
1999-10-24 21:46:56.203000,L7,,,,,,,,,,,,,,,,,,,,,,370.45,364.51,349.62,349.00,339.77,369.01,366.81,364.09,334.69,339.94,358.52,361.01,352.42,354.01,381.80,323.67,337.53,347.56,351.14,,348.74,366.93,353.98,360.69,331.47,343.60,341.45,323.83,330.18,309.78,321.62,327.34,323.44,323.11,327.64,318.72,323.00,322.58,322.18,327.53,323.80,328.09,327.45,331.43,327.19,330.15,335.85,343.01,348.40,335.94,62.78,95.45,139.77,163.54,185.55,201.98,219.79,227.04,224.07,283.44
2000-02-13 21:46:48.016000,L7,405.57,401.97,409.29,402.82,385.59,388.68,395.42,402.57,405.19,414.12,419.53,404.04,402.65,393.18,380.51,371.07,397.09,355.88,384.48,371.14,330.20,358.82,321.36,321.82,320.08,318.46,312.91,316.53,285.92,303.59,303.71,322.76,,,,,,,,,,329.01,339.96,316.66,331.63,278.51,,,,,,,309.08,300.54,297.19,300.14,255.33,,,,,,,,,,,,,22.62,20.97,108.25,106.21,288.11,348.05,350.40,353.29,354.28,353.98,253.66,
2000-05-19 21:46:07.873000,L7,,,,,,,,,440.64,435.10,439.24,430.26,415.33,409.61,398.49,385.30,384.05,375.11,361.54,354.40,353.92,365.33,343.78,344.58,359.34,363.48,362.35,336.44,361.34,370.76,366.20,368.54,362.55,361.98,363.42,361.99,369.11,336.84,347.84,346.11,,363.14,370.44,365.90,376.54,334.95,343.06,344.69,326.88,334.63,316.64,331.04,338.76,335.97,337.31,333.46,324.31,329.43,328.41,325.90,327.69,328.57,332.27,334.36,332.38,336.46,329.48,342.63,348.60,351.33,31.53,373.65,370.09,376.53,388.65,374.99,374.35,376.35,376.60,376.57,291.72
2000-08-07 21:45:08.975000,L7,,,,,,,,,426.38,438.23,442.58,433.26,419.06,412.74,407.80,392.86,386.06,369.40,364.70,359.37,352.00,353.01,338.62,346.07,341.63,338.77,318.69,326.12,332.35,324.89,344.98,329.77,323.76,325.72,324.88,305.66,313.96,328.44,355.89,353.75,,347.58,363.44,356.54,359.56,329.00,341.69,337.05,321.95,337.37,304.41,320.16,331.38,327.84,326.39,327.99,310.12,319.75,318.03,319.42,320.79,322.50,323.85,321.20,326.68,320.96,325.28,336.66,341.22,348.18,331.03,352.20,361.85,157.46,375.69,364.76,368.45,367.64,370.58,271.36,282.74
2000-11-27 21:44:26.720000,L7,405.38,313.14,276.03,319.09,337.96,324.54,395.83,,,,,,,,,,,,,,,,,,,356.07,354.89,354.14,357.40,359.89,362.39,361.28,333.04,359.10,363.93,366.74,370.75,376.56,382.45,383.77,393.92,352.63,370.15,356.32,361.60,332.46,345.14,343.98,325.31,331.97,313.83,326.04,333.67,332.09,328.13,328.55,323.62,325.32,328.64,327.17,328.79,326.90,329.15,334.14,332.54,331.63,331.86,342.55,349.15,24.71,45.11,139.69,121.94,152.18,16.82,45.94,87.55,111.17,127.47,237.06,296.45
2000-12-13 21:44:28.287000,L7,,,,,,,,,,,,,,,,,,392.41,366.42,379.29,367.76,369.81,342.86,360.31,353.32,336.77,356.69,346.41,328.19,330.46,337.64,337.61,328.98,336.04,334.40,287.56,306.33,322.84,341.71,375.21,,346.31,365.67,348.10,349.05,326.89,340.50,334.86,320.72,326.27,302.72,317.42,322.77,323.56,321.75,326.81,318.94,313.47,315.89,316.79,324.23,321.55,327.44,327.54,322.07,321.51,326.91,328.99,339.28,342.84,,290.83,363.59,369.73,368.97,232.30,364.82,365.64,362.10,346.41,
2001-01-14 21:44:33.150000,L7,,,,,,,342.85,327.13,431.10,,,,,,,,,,,,,,,,,351.79,344.48,347.98,351.97,356.09,289.50,,,,,350.70,359.13,364.53,375.09,378.37,385.98,391.88,395.55,,,384.17,378.45,374.51,358.71,370.24,315.47,325.70,331.20,331.38,338.39,331.73,323.21,325.52,333.75,324.01,331.70,325.98,329.97,330.37,334.74,338.98,332.97,342.40,348.64,30.15,49.13,144.31,126.95,394.50,401.36,401.85,373.24,371.62,373.11,350.15,295.46
2001-04-04 21:44:06.948000,L7,,,,,,399.41,405.77,412.85,439.31,449.99,452.80,,,,,405.11,390.92,373.83,364.25,354.54,351.33,342.78,330.00,334.14,336.15,333.08,332.59,335.72,322.34,331.29,338.03,335.96,337.43,340.03,331.14,311.35,324.70,328.41,349.57,346.11,385.20,350.18,368.79,356.02,359.11,333.41,341.89,340.45,324.89,333.54,344.03,355.07,357.83,355.69,354.25,355.93,348.32,355.81,359.05,351.95,352.41,351.03,328.74,326.96,331.37,329.67,322.89,336.21,338.93,347.29,,38.87,87.37,134.78,166.44,179.98,203.36,222.52,223.22,184.10,351.98
2001-04-20 21:44:10.657000,L7,,,,387.35,389.31,385.43,401.63,411.42,415.83,423.68,436.79,424.48,412.33,404.47,394.81,380.72,382.86,366.38,360.61,354.30,340.75,338.98,337.80,334.39,337.37,326.38,328.36,329.41,329.46,332.45,332.71,328.81,368.84,370.48,372.09,371.06,378.82,378.27,384.83,389.48,,350.75,369.19,355.50,355.31,329.42,344.14,340.85,324.04,331.35,318.33,322.23,325.93,327.89,327.29,328.90,324.39,322.07,324.30,314.73,321.71,325.79,330.23,333.78,324.46,333.07,328.38,338.03,346.19,351.07,17.80,354.89,362.24,370.93,381.32,373.11,368.83,371.61,372.43,357.36,284.82
2001-05-22 21:43:54.652000,L7,,,,398.55,408.31,406.88,415.01,424.14,427.21,443.09,450.60,435.03,429.40,426.37,404.38,398.15,386.84,383.68,372.51,369.88,358.51,357.26,349.34,354.76,372.85,352.56,348.05,342.96,348.85,345.39,346.53,347.60,342.83,349.27,340.06,327.49,332.98,337.03,361.90,368.91,,372.72,381.47,367.33,368.82,339.51,367.04,357.69,337.72,341.16,327.15,341.47,334.59,342.15,335.50,338.25,338.69,335.48,340.75,341.52,341.61,340.62,352.84,340.51,346.79,347.20,351.59,362.75,359.52,369.05,10.98,299.07,381.24,383.97,388.92,386.51,382.98,381.53,388.23,385.17,313.24
2001-07-25 21:43:18.753000,L7,,,,,,,,,,,,,,,,,,,,,,,,,352.58,360.79,349.78,355.62,355.51,356.03,,,360.70,365.85,365.03,315.92,322.35,344.15,349.51,360.91,292.09,363.58,376.61,365.22,362.15,343.68,352.66,349.16,328.29,333.95,305.14,330.29,365.94,361.90,362.26,353.06,328.18,331.43,357.57,333.03,332.17,345.31,336.80,333.10,346.80,338.73,340.27,344.00,352.25,346.41,332.14,354.66,365.79,379.76,384.99,378.97,377.71,368.67,370.22,368.03,298.10
2001-09-11 21:42:38.257000,L7,,,406.93,409.72,383.17,396.36,398.82,407.13,413.23,434.30,437.69,430.31,,,,,,390.09,378.59,378.10,346.95,340.18,367.56,363.31,364.37,368.83,361.82,363.52,366.67,373.85,370.65,369.53,325.07,334.92,365.89,349.72,374.36,380.64,381.17,418.92,,350.70,363.46,357.99,358.64,336.86,342.55,344.70,321.00,325.87,308.73,322.69,333.25,334.24,333.68,329.51,322.67,328.29,327.64,330.14,329.91,333.21,338.49,334.65,343.82,338.08,346.00,348.20,353.03,353.73,1.75,113.44,107.60,149.06,46.28,94.66,102.22,144.83,381.27,389.17,295.17
2001-09-27 21:42:29.269000,L7,,,,,,,418.46,421.76,432.28,446.86,449.07,435.83,426.38,,,,,,,,,357.59,348.51,349.96,348.66,345.93,345.69,348.40,345.37,344.93,347.49,348.05,351.64,347.38,342.59,316.57,326.62,338.88,359.60,362.85,298.57,364.43,384.21,365.48,371.21,343.74,356.59,353.46,333.22,343.49,321.27,336.46,342.94,344.85,338.55,338.23,333.05,338.68,337.72,,,,,,,346.44,342.12,350.49,358.20,355.08,355.94,360.39,374.84,385.13,387.75,392.91,381.78,379.10,388.20,374.11,352.29
2001-10-13 21:42:15.922000,L7,,,,,,,,,,,,,,,,,,,,,360.23,361.92,356.36,355.08,358.93,331.07,355.36,360.68,356.24,359.61,363.69,364.13,359.31,363.30,361.55,359.03,364.60,371.76,382.84,375.96,394.64,355.68,369.74,362.79,358.46,339.42,343.25,344.33,333.86,332.13,380.31,364.49,364.55,356.62,356.81,356.05,351.37,354.56,322.09,327.38,321.18,330.03,331.75,329.42,331.09,333.59,330.85,336.51,342.37,348.92,7.80,358.96,367.65,375.79,379.14,375.05,375.97,372.51,375.06,358.37,313.80
2001-10-29 21:42:21.289000,L7,,,,,,,,,,,,,,,,,,390.69,384.16,381.50,360.37,348.42,369.26,362.62,,360.84,342.01,338.69,339.96,343.21,346.79,368.88,368.28,372.69,370.73,368.24,374.81,379.92,386.55,397.04,396.90,400.11,416.74,406.10,406.02,399.76,397.84,382.39,378.19,384.28,376.73,375.90,366.17,368.62,334.66,331.12,331.36,331.46,333.02,330.44,335.62,333.97,337.75,340.62,338.64,340.04,340.55,351.53,356.07,352.55,257.41,358.89,372.39,375.65,60.96,108.33,128.99,153.01,180.41,187.27,373.66
2002-02-18 21:42:54.191000,L7,,398.67,403.74,408.46,405.69,410.40,418.03,425.06,,,,,,,,394.71,400.61,362.42,353.55,346.46,332.33,333.78,333.19,363.00,363.61,357.59,354.51,358.54,358.16,358.36,356.25,362.47,363.07,367.33,371.28,362.44,367.49,375.58,381.80,385.34,390.38,336.34,356.25,346.50,351.46,317.50,388.01,381.26,382.61,393.70,304.71,315.20,322.96,322.70,325.16,323.78,319.70,319.09,327.36,319.21,318.78,319.10,324.84,324.82,331.79,329.20,326.31,331.31,343.59,25.40,52.86,294.45,365.34,370.20,16.86,38.56,79.32,121.74,76.82,135.89,375.91
2002-09-14 21:41:55.072000,L7,,,,,,,,,,,,,,,,,,,,,,,,,329.60,351.80,348.20,357.17,357.76,371.06,355.65,343.98,333.73,341.77,330.44,317.87,318.17,328.06,403.71,,,362.60,359.01,363.03,355.15,369.85,341.49,348.89,325.37,357.17,342.19,341.98,338.26,323.30,326.83,326.28,325.52,323.25,320.51,322.32,334.05,349.18,325.10,326.62,335.45,339.37,351.87,335.81,357.75,347.60,330.69,27.39,87.60,124.65,169.84,191.90,206.98,224.68,231.08,397.52,291.52
2002-09-30 21:41:47.719000,L7,,,,,,,,415.64,430.32,435.72,440.93,429.86,413.61,425.79,,,379.04,372.39,359.95,368.15,350.92,345.43,367.89,370.70,368.82,361.95,358.57,366.57,333.99,343.68,339.44,343.62,345.54,348.95,339.70,393.11,363.91,337.06,356.31,378.21,388.10,361.63,383.37,367.77,361.47,342.30,354.11,355.84,337.78,343.15,331.69,332.76,340.37,344.26,339.42,338.54,336.34,330.05,331.08,339.01,340.84,331.88,341.17,338.87,340.24,347.13,365.86,355.57,369.88,368.52,298.25,386.24,63.21,119.79,161.41,173.99,202.66,220.26,225.73,234.78,304.13
2002-11-01 21:41:54.382000,L7,385.97,382.30,373.91,381.89,384.93,391.55,397.76,403.15,420.83,425.26,433.29,420.92,437.61,421.83,,,,368.68,357.02,350.20,346.67,335.89,369.48,372.98,364.38,356.98,362.74,361.96,364.63,373.99,368.65,379.24,381.55,335.98,332.73,304.75,310.42,332.71,387.13,397.64,283.10,353.42,363.22,356.17,358.42,334.11,345.50,333.88,330.41,332.86,315.02,334.76,332.90,329.74,331.23,327.42,326.20,329.76,322.46,319.79,322.99,322.85,324.15,337.18,329.87,327.11,331.39,338.95,344.79,352.19,329.74,23.81,71.18,115.50,157.23,162.10,188.59,213.62,223.03,227.20,296.57
2002-11-17 21:42:06.289000,L7,,,,,,,,,,,,,,,,,,,,356.70,347.89,349.64,331.90,329.98,324.33,327.01,325.58,,,,,,,329.92,337.79,314.19,320.85,340.34,345.34,375.50,,358.16,379.39,382.78,374.89,359.55,364.11,370.39,363.49,342.26,348.53,342.25,346.54,342.32,338.88,344.59,,,,,,,,,,,,,,,,66.00,89.57,131.57,163.32,178.31,206.41,221.69,227.84,394.40,336.49
2003-01-20 21:42:33.373000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.85,359.52,353.82,354.85,362.93,368.68,375.22,377.09,393.62,365.04,380.30,370.21,370.85,347.88,357.88,351.98,342.29,349.66,325.60,339.45,342.52,343.61,347.32,344.29,340.61,340.39,338.70,341.70,338.45,335.76,340.03,341.66,344.35,345.74,343.15,352.69,362.11,364.82,344.66,372.04,383.66,386.91,392.71,389.73,389.05,385.66,389.18,381.35,306.79
2003-02-05 21:42:41.878000,L7,401.49,385.68,379.72,383.37,385.90,393.94,399.18,418.73,,,,,,,,,,,372.41,361.39,362.86,351.67,351.38,345.72,347.13,335.34,351.08,349.75,352.91,350.12,360.59,355.66,360.17,363.73,358.82,357.92,362.49,369.89,382.99,386.24,395.81,349.01,363.57,353.34,352.27,329.22,342.53,336.41,324.12,333.16,314.59,323.73,331.34,328.93,327.59,327.44,320.20,318.09,320.67,322.00,325.23,322.35,327.35,326.50,328.78,331.87,330.26,343.35,347.72,8.18,46.69,295.36,366.13,374.02,27.14,32.12,46.66,86.79,90.07,72.04,378.15
