dates,nzd0281-0000,nzd0281-0001,nzd0281-0002,nzd0281-0003,nzd0281-0004,nzd0281-0005,nzd0281-0006,nzd0281-0007,nzd0281-0008,nzd0281-0009,nzd0281-0010,nzd0281-0011,nzd0281-0012,nzd0281-0013,nzd0281-0014,nzd0281-0015,nzd0281-0016,nzd0281-0017,nzd0281-0018,nzd0281-0019,nzd0281-0020,nzd0281-0021,nzd0281-0022,nzd0281-0023,nzd0281-0024,nzd0281-0025,nzd0281-0026,nzd0281-0027,nzd0281-0028,nzd0281-0029,nzd0281-0030,nzd0281-0031,nzd0281-0032,nzd0281-0033,nzd0281-0034,nzd0281-0035,nzd0281-0036,nzd0281-0037,nzd0281-0038,nzd0281-0039,nzd0281-0040,nzd0281-0041,nzd0281-0042,nzd0281-0043,nzd0281-0044,nzd0281-0045,nzd0281-0046,nzd0281-0047,nzd0281-0049,nzd0281-0050,nzd0281-0051,nzd0281-0052,nzd0281-0053,nzd0281-0054,nzd0281-0055,nzd0281-0056,nzd0281-0057,nzd0281-0058,nzd0281-0059,nzd0281-0060,nzd0281-0061,nzd0281-0062,nzd0281-0063,nzd0281-0064,nzd0281-0065,nzd0281-0066,nzd0281-0067,nzd0281-0068,nzd0281-0069,nzd0281-0070,nzd0281-0071,nzd0281-0072,nzd0281-0073,nzd0281-0074,nzd0281-0075,nzd0281-0076,nzd0281-0077,nzd0281-0078,nzd0281-0079,nzd0281-0080,nzd0281-0081,nzd0281-0082,nzd0281-0083,nzd0281-0084,nzd0281-0085,nzd0281-0086,nzd0281-0087,nzd0281-0088,nzd0281-0089,nzd0281-0090,nzd0281-0091,nzd0281-0092,nzd0281-0093,nzd0281-0094,nzd0281-0095,nzd0281-0096,nzd0281-0097,nzd0281-0098,nzd0281-0099,nzd0281-0100,nzd0281-0101,nzd0281-0102,nzd0281-0103,nzd0281-0104,nzd0281-0105,nzd0281-0106,nzd0281-0107,nzd0281-0108,nzd0281-0109,nzd0281-0110,nzd0281-0111,nzd0281-0112,nzd0281-0113,nzd0281-0114,nzd0281-0115,nzd0281-0116,nzd0281-0117,nzd0281-0118,nzd0281-0119,nzd0281-0120,nzd0281-0121,nzd0281-0122,nzd0281-0123,nzd0281-0124,nzd0281-0125,nzd0281-0126,nzd0281-0127,nzd0281-0128,nzd0281-0129,nzd0281-0130,nzd0281-0131,nzd0281-0132,nzd0281-0133,nzd0281-0134,nzd0281-0135,nzd0281-0136,nzd0281-0137,nzd0281-0138,nzd0281-0139,nzd0281-0140,nzd0281-0141,nzd0281-0142,nzd0281-0143,nzd0281-0144,nzd0281-0145,nzd0281-0146,nzd0281-0147,nzd0281-0148,nzd0281-0149,nzd0281-0150,nzd0281-0151,nzd0281-0152,nzd0281-0153,nzd0281-0154,nzd0281-0155,nzd0281-0156,nzd0281-0157,nzd0281-0158,nzd0281-0159,nzd0281-0160,nzd0281-0161,nzd0281-0162,nzd0281-0163,nzd0281-0164,nzd0281-0165,nzd0281-0166,nzd0281-0167,nzd0281-0168,nzd0281-0048,satname
1999-08-21 21:46:56+00:00,,,,,,,,309.35,,,,,,,,,324.22,333.67,324.05,324.41,336.14,335.15,349.23,346.37,350.53,353.52,343.81,347.62,334.47,325.71,325.01,,345.54,322.04,320.24,,315.82,312.71,284.16,,266.59,260.96,245.43,196.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.04,334.47,331.08,,,,,,,,,,,,,,318.91,283.8,290.68,310.68,,,,,,,,,,,,,,,,,,,,,,,,,,337.02,,,,,,,,,,,,275.39,271.17,,,,,,,,,,,278.99,,303.93,311.33,308.07,,,,,,,,L7
1999-09-22 21:47:00+00:00,,,,321.81,,309.36,337.49,309.35,,316.04,,,,,,,324.22,333.67,324.05,324.41,336.14,335.15,349.23,346.37,350.53,353.52,343.81,347.62,334.47,325.71,325.01,,345.54,322.04,320.24,,314.29499999999996,313.01,291.805,,270.07,261.74,243.145,182.07,210.46,208.61,205.3,,,,,180.51,186.59,177.45,167.65,171.54,183.77,187.13,,,198.81,196.7,,226.43,,,,,,,,,,,305.75,,327.95,,,,,,,,,,,,334.04,334.47,331.08,,,,,,,,,325.69,301.77,,,,318.91,283.8,292.995,311.655,,,,,,,,,,,,,,,,,,,,,,,,,,337.02,,,,,,,,,,,,275.39,271.17,,,,,340.83,,,,,,278.99,,303.93,311.33,308.07,,,337.99,,341.84,353.63,,L7
1999-10-24 21:46:56+00:00,,,,321.81,,309.36,337.49,309.35,,316.04,,,,,,,324.22,333.67,324.05,324.41,336.14,335.15,349.23,346.37,350.53,353.52,343.81,347.62,334.47,325.71,325.01,,345.54,322.04,320.24,,314.29499999999996,313.01,291.805,,270.07,262.73333333333335,243.145,182.07,210.46,208.61,205.3,,,,,182.76,188.755,176.675,172.51,176.20499999999998,186.72,192.72,202.95,,198.81,196.7,,226.43,,,,237.5,,283.41,,,,,305.75,,327.95,,,,,,,,,,,,334.04,334.47,331.08,,,,,,,,,325.69,301.77,,,,318.91,283.8,292.995,311.655,,,,,,,,,,,,294.21,270.45,272.86,276.89,283.39,270.78,,,,,,,,,339.2,,,,,,,255.97,,,,,275.39,271.17,,,,,335.37,,,,,,278.99,,303.93,311.33,308.07,,,337.99,,341.84,353.63,,L7
2000-02-13 21:46:48+00:00,325.99,317.53,312.95,319.81,,320.43,339.78499999999997,324.16,319.42,323.45500000000004,313.57,318.55,326.9,332.32,330.95,333.94,326.54,334.185,330.775,331.97,341.92499999999995,340.66999999999996,353.35,352.745,357.275,356.09000000000003,355.06,356.575,350.85,342.06,340.655,,346.89,328.95000000000005,327.53999999999996,322.28,315.85999999999996,311.56,291.45666666666665,273.54,266.93333333333334,261.6,245.27,199.28333333333333,219.29000000000002,221.15,214.945,,,,,184.15666666666667,188.755,176.675,177.50666666666666,178.00333333333333,186.96,192.25666666666666,201.94,197.89,197.535,196.64,204.82,222.595,236.8,246.8,248.24,241.05,274.05,281.46000000000004,277.1,280.74,294.58,295.01,303.685,302.16,314.005,302.95,307.38,305.38,302.37,307.59,307.61,307.65,307.44,317.2,312.77,305.14,319.57000000000005,318.37,317.24,237.99,,260.89,252.87,241.74,,294.15,305.4,316.505,302.51,318.22,321.2,309.69,317.43,280.885,291.1666666666667,310.5566666666667,315.1,313.28,309.39,313.94,313.18,306.06,307.5,325.26,323.76,317.05,309.79,289.11,266.445,263.58000000000004,270.145,275.225,261.53499999999997,263.7,265.05,269.96,260.59,224.3,228.9,,,339.2,,174.0,289.76,256.82,255.17,255.82,250.885,230.73,250.52,243.69,250.45,268.345,266.28499999999997,258.9,265.02,284.32,290.7,324.66,300.77,297.07,298.45,296.39,,281.625,282.65,302.57500000000005,308.455,308.87,318.24,320.7,332.82500000000005,334.88,342.12,348.06,,L7
2000-05-19 21:46:07+00:00,325.99,317.53,312.95,317.81,,331.5,342.08,322.425,316.59000000000003,320.93,312.5,314.65,320.38,322.235,334.825,327.995,319.32,330.69,327.755,328.0,340.605,339.615,350.225,353.005,352.95,351.83500000000004,356.065,353.82,353.885,346.65,356.3,,348.24,335.86,334.84,322.28,310.57,311.865,291.275,274.485,272.765,262.33,248.74,236.82,218.95499999999998,216.12,208.69,,,,,183.89,182.61,164.93,173.865,176.265,185.925,190.82,191.91,194.065,191.28,196.56,205.57999999999998,218.125,235.51,247.305,237.60000000000002,251.25,271.45000000000005,279.06,271.655,276.975,286.725,290.92499999999995,292.365,296.485,294.895,300.29499999999996,302.495,303.7,302.37,307.59,307.61,307.65,307.44,317.2,312.77,305.14,305.1,297.885,295.14,239.995,224.42,259.43,249.79500000000002,236.91000000000003,223.77,285.935,294.69,317.15999999999997,301.09000000000003,318.22,321.2,309.69,314.935,275.39,287.1,305.765,308.82000000000005,309.04499999999996,305.23,310.78499999999997,310.07500000000005,306.06,307.5,325.26,328.385,325.28999999999996,304.175,286.81,266.575,257.355,264.84,258.97,247.28,267.275,277.615,275.575,262.735,237.89,236.285,,,,,181.495,284.57,270.895,262.55,257.36,248.16000000000003,229.995,251.85500000000002,243.26999999999998,255.57,266.155,264.75,264.095,272.375,284.095,289.735,298.48,296.85,294.595,296.31,295.23,280.92,282.67499999999995,283.49,297.865,303.67499999999995,310.005,320.06,320.7,327.66,334.88,341.465,348.06,,L7
2000-08-07 21:45:08+00:00,325.99,317.53,312.95,317.81,,331.5,342.08,322.425,316.59000000000003,320.93,312.5,314.65,320.38,322.235,334.825,327.995,319.32,330.69,327.755,328.0,340.605,339.615,350.225,353.005,352.95,351.83500000000004,356.065,353.82,353.885,326.09666666666664,330.515,302.51,319.07,317.03499999999997,318.325,339.595,310.57,318.06,303.9066666666667,285.4166666666667,272.765,262.33,248.74,236.82,218.95499999999998,216.12,208.69,,,,,183.89,182.61,164.93,173.865,176.265,185.925,190.82,191.91,194.065,191.28,196.56,205.57999999999998,218.125,235.51,247.305,237.60000000000002,251.25,271.45000000000005,279.06,271.655,276.975,286.725,290.92499999999995,292.365,296.485,294.895,300.29499999999996,302.495,303.7,302.37,307.59,307.61,307.65,307.44,317.2,312.77,305.14,305.1,297.885,295.14,239.995,224.42,259.43,249.79500000000002,236.91000000000003,223.77,285.935,294.69,317.15999999999997,301.09000000000003,318.22,321.2,309.69,314.935,275.39,287.1,305.765,308.82000000000005,309.04499999999996,305.23,310.78499999999997,310.07500000000005,306.06,307.5,325.26,328.385,325.28999999999996,304.175,286.81,266.575,257.355,264.84,258.97,247.28,267.275,277.615,275.575,262.735,237.89,236.285,,,,,181.495,284.57,270.895,262.55,257.36,248.16000000000003,229.995,251.85500000000002,243.26999999999998,255.57,278.96666666666664,278.9866666666667,276.37333333333333,272.375,284.095,289.735,298.48,296.85,294.595,296.31,295.23,280.92,282.67499999999995,283.49,297.865,303.67499999999995,310.005,320.06,320.7,327.66,334.88,341.465,348.06,,L7
2000-10-26 21:44:22+00:00,,,,,,,,305.88,313.76,310.99,311.43,310.75,313.86,312.15,338.7,322.05,309.78,326.68,318.01,316.47,333.5,333.04,344.365,337.395,341.88,345.01,345.82,338.375,326.65,311.78,305.31,301.105,293.825,295.17999999999995,301.81,356.91,302.15,322.76,310.48,291.355,284.87,266.46,247.96,239.93,209.79,198.55,192.79,,,,,180.83,182.61,164.93,160.23,170.93,184.41,190.31,182.89,190.24,186.3,196.54,206.34,217.49,234.22,247.81,226.96,257.9,268.85,278.61,251.615,257.105,262.9,283.09,290.395,296.525,290.23,297.64,297.61,302.02,,303.0,293.01,301.67,306.06,305.92,305.77,303.92,304.09,294.86,286.88,242.0,226.01999999999998,259.27,247.24,224.54000000000002,223.77,277.72,283.98,327.0,298.93,,,,313.92,270.985,288.86,304.48,308.92,307.63,301.07,307.63,306.97,,,,333.01,333.53,298.56,289.61,270.71,260.41,266.28,250.88,242.27,270.85,290.18,281.19,264.88,251.48,243.67,,,,,188.99,279.38,284.97,269.93,258.9,250.52,229.26,253.19,242.85,260.69,287.79999999999995,287.78000000000003,285.11,279.73,283.87,288.77,293.72,293.86,285.88,290.78499999999997,289.28999999999996,280.92,281.09,284.33,294.51,301.77,310.34,321.88,,,,340.53,353.63,,L7
2000-11-27 21:44:26+00:00,341.82,324.9,330.47,331.95,,,346.98,328.38,328.0,324.52,320.0,,,,,,,,,,,,345.75,327.9,,,361.49,347.105,327.2,318.48,315.39000000000004,313.6433333333334,303.02,302.2966666666666,316.5,356.91,,330.45,329.17,307.28,,,,,,,,,,,,181.68,178.93,166.88,,,,189.03,189.5,199.62,204.95,204.08,215.88,238.61,244.99,257.08,253.81,238.93,276.84,294.32,237.02,241.0,246.93,294.26,301.23,305.24,297.505,314.29,316.32,319.35,314.63,311.26,303.16499999999996,311.92,309.90999999999997,310.83000000000004,305.77,311.42,309.11,302.98,312.7,,227.62,270.89,254.07999999999998,229.76,229.08,296.06,312.38,332.98,,,328.67,315.38,,269.16,297.39,311.935,319.58500000000004,319.42499999999995,323.38,331.79,319.95,,,,333.33,,,291.81,265.39,271.71,276.62,283.02,261.71,264.38,270.72,265.03,245.6,248.73,,,,,,,,,,,,,,,,304.59,307.46,300.93,,,,,294.79,279.64,287.4,284.51,,,,,,,,,,,,,,L7
2000-12-13 21:44:28+00:00,341.82,324.9,344.545,345.16499999999996,,,346.98,328.38,349.53499999999997,324.52,320.0,,380.8,,,,384.15,395.35,393.58,394.35,399.14,412.26,375.105,370.24,408.41,,361.49,347.105,327.2,318.48,315.39000000000004,313.6433333333334,326.0675,302.2966666666666,343.31333333333333,356.91,,330.45,329.17,307.28,,,,,,,,335.97,,,,181.68,178.93,166.88,,,,189.03,189.5,199.62,204.95,204.08,215.88,238.61,244.99,257.08,253.81,238.93,276.84,294.32,237.02,241.0,246.93,310.02,301.23,305.24,297.505,314.29,334.445,319.35,314.63,311.26,303.16499999999996,311.92,309.90999999999997,324.0566666666667,305.77,311.42,309.11,316.2033333333333,312.7,,227.62,270.89,254.07999999999998,229.76,229.08,296.06,312.38,332.98,,,328.67,315.38,,269.16,297.39,311.935,319.58500000000004,319.42499999999995,323.38,331.79,319.95,,,,333.33,,,291.81,265.39,271.71,276.62,283.02,261.71,264.38,270.72,265.03,245.6,248.73,,,,,,,,,,,,,,,,304.59,307.46,300.93,,,,,294.79,279.64,287.4,284.51,,,,,,,,,,,,,347.0,L7
2001-01-14 21:44:33+00:00,341.82,324.9,344.545,345.16499999999996,,,346.98,328.38,344.73333333333335,328.5,325.725,339.57,362.03,349.91,353.94,357.39,367.54999999999995,375.515,376.65999999999997,377.725,384.22,397.135,377.65333333333336,375.06666666666666,397.885,,361.49,347.105,327.2,318.48,315.39000000000004,313.6433333333334,334.976,302.2966666666666,347.7925,367.05,,348.08500000000004,340.44500000000005,326.39,,,,,,,,326.255,317.5,,,181.68,178.93,166.88,,,,189.03,189.5,199.62,204.95,204.08,215.88,238.61,271.96500000000003,257.08,253.81,238.93,276.84,308.84000000000003,237.02,280.145,246.93,310.02,301.23,305.24,297.505,314.29,334.445,319.35,314.63,311.26,303.16499999999996,311.92,309.90999999999997,324.0566666666667,305.77,311.42,309.11,317.49,323.34000000000003,,227.62,289.3666666666666,254.07999999999998,229.76,277.945,309.09000000000003,312.38,332.98,,,328.67,315.38,,269.16,297.39,315.2033333333333,322.49666666666667,319.42499999999995,328.8,334.815,328.14,,,,333.33,,,291.81,265.39,271.71,276.62,283.02,261.71,264.38,270.72,265.03,245.6,248.73,,,,,,,,,,,,,,,,308.645,311.82,307.83500000000004,,,328.89,329.56,306.735,301.88,301.245,284.51,308.48,,332.97,328.97,,,,335.67,335.01,337.54,351.74,346.88,333.61,L7
