dates,satname,nzd0282-0000,nzd0282-0001,nzd0282-0002,nzd0282-0003,nzd0282-0004,nzd0282-0005,nzd0282-0006,nzd0282-0007,nzd0282-0008,nzd0282-0009,nzd0282-0010,nzd0282-0011,nzd0282-0012,nzd0282-0013,nzd0282-0014,nzd0282-0015,nzd0282-0016,nzd0282-0017,nzd0282-0018,nzd0282-0019,nzd0282-0020,nzd0282-0021,nzd0282-0022,nzd0282-0023,nzd0282-0024,nzd0282-0025,nzd0282-0026,nzd0282-0027,nzd0282-0028,nzd0282-0029,nzd0282-0030,nzd0282-0031,nzd0282-0032,nzd0282-0033,nzd0282-0034,nzd0282-0035,nzd0282-0036,nzd0282-0037,nzd0282-0038,nzd0282-0039,nzd0282-0040,nzd0282-0041,nzd0282-0042,nzd0282-0043,nzd0282-0044,nzd0282-0045,nzd0282-0046,nzd0282-0047,nzd0282-0048,nzd0282-0049,nzd0282-0050,nzd0282-0051,nzd0282-0052,nzd0282-0053,nzd0282-0054,nzd0282-0055,nzd0282-0056,nzd0282-0057,nzd0282-0058,nzd0282-0059,nzd0282-0060,nzd0282-0061,nzd0282-0062,nzd0282-0063,nzd0282-0064,nzd0282-0065,nzd0282-0066,nzd0282-0067,nzd0282-0068,nzd0282-0069,nzd0282-0070,nzd0282-0071,nzd0282-0072,nzd0282-0073,nzd0282-0074,nzd0282-0075,nzd0282-0076,nzd0282-0077,nzd0282-0078,nzd0282-0081,nzd0282-0082,nzd0282-0083,nzd0282-0086,nzd0282-0087,nzd0282-0088,nzd0282-0089,nzd0282-0090,nzd0282-0091,nzd0282-0094,nzd0282-0095,nzd0282-0096,nzd0282-0097,nzd0282-0098,nzd0282-0099,nzd0282-0100,nzd0282-0101,nzd0282-0102,nzd0282-0103,nzd0282-0104,nzd0282-0105,nzd0282-0106,nzd0282-0107,nzd0282-0108,nzd0282-0109,nzd0282-0110,nzd0282-0111,nzd0282-0112,nzd0282-0113,nzd0282-0114,nzd0282-0115,nzd0282-0116,nzd0282-0117,nzd0282-0118,nzd0282-0119,nzd0282-0120,nzd0282-0121,nzd0282-0122,nzd0282-0123,nzd0282-0124,nzd0282-0125,nzd0282-0126,nzd0282-0127,nzd0282-0128,nzd0282-0129,nzd0282-0130,nzd0282-0131,nzd0282-0132,nzd0282-0133,nzd0282-0134,nzd0282-0135,nzd0282-0136,nzd0282-0137,nzd0282-0138,nzd0282-0139,nzd0282-0140,nzd0282-0141,nzd0282-0142,nzd0282-0143,nzd0282-0144,nzd0282-0145,nzd0282-0146,nzd0282-0147,nzd0282-0148,nzd0282-0149,nzd0282-0150,nzd0282-0151,nzd0282-0152,nzd0282-0153,nzd0282-0154,nzd0282-0155,nzd0282-0156,nzd0282-0157,nzd0282-0158,nzd0282-0159,nzd0282-0160,nzd0282-0161,nzd0282-0162,nzd0282-0163,nzd0282-0164,nzd0282-0165,nzd0282-0166,nzd0282-0167,nzd0282-0092,nzd0282-0085,nzd0282-0093,nzd0282-0079,nzd0282-0080,nzd0282-0084
1999-08-21 21:46:56.985000,L7,407.83,418.59,411.27,419.28,416.92,418.54,415.76,364.34,412.36,419.67,416.54,422.09,419.32,378.37,419.26,417.70,417.16,417.95,404.43,398.69,404.02,398.85,403.91,332.33,316.41,298.95,272.41,287.84,302.88,330.65,333.10,314.13,327.96,316.28,289.70,292.20,276.83,274.16,207.48,312.05,299.43,293.15,239.00,277.27,292.63,283.64,272.01,281.62,280.36,288.86,278.05,293.05,314.61,295.24,298.57,319.96,311.37,294.93,305.20,306.00,301.83,308.76,311.63,292.23,298.48,309.62,308.78,296.17,295.30,282.70,284.35,165.20,247.15,431.50,417.61,399.55,426.52,426.03,415.61,532.39,517.94,491.77,371.21,387.18,382.43,389.95,395.27,376.04,386.05,393.17,396.26,404.29,404.67,409.64,214.92,223.85,241.70,254.46,271.20,282.48,382.30,397.33,399.82,390.56,394.27,389.54,389.24,378.88,390.23,385.92,383.75,326.70,393.51,393.18,400.03,402.79,373.00,323.84,344.62,387.04,407.93,389.80,361.67,384.13,385.26,336.58,280.52,284.28,314.39,304.06,308.07,329.88,295.12,271.96,259.38,258.68,263.05,347.36,327.42,330.29,353.81,316.97,289.28,284.04,298.25,305.37,272.33,295.67,319.17,373.08,389.78,389.95,386.11,388.17,375.84,301.72,374.67,382.89,386.55,380.23,351.26,395.67,,,,,,
1999-09-22 21:47:00.785000,L7,278.16,295.70,334.50,340.30,339.31,332.12,284.36,302.02,318.73,310.24,306.12,313.29,317.96,327.01,336.09,347.20,340.36,337.42,327.11,403.97,,405.47,417.53,332.48,321.84,304.90,294.48,303.90,313.47,330.30,328.73,324.99,322.58,321.44,306.07,307.59,310.18,287.78,302.68,314.92,299.13,294.84,290.30,276.73,291.39,278.93,272.68,279.47,278.06,286.82,277.10,290.20,299.00,295.41,290.22,312.69,308.07,294.26,300.57,303.14,292.24,312.38,304.87,293.04,161.43,402.07,411.55,406.75,416.74,411.83,409.79,414.87,424.36,,,420.22,437.50,,,,,,406.32,403.58,412.67,396.53,407.71,392.98,,,,380.84,394.55,400.32,204.58,219.84,238.75,246.65,260.90,275.99,280.08,270.88,265.18,274.58,278.27,283.36,282.29,284.63,283.60,281.14,289.06,290.10,296.70,296.95,311.12,323.04,339.76,328.19,335.88,315.69,324.19,351.32,344.26,336.48,299.41,314.86,362.74,308.94,322.94,306.00,311.72,314.65,300.33,292.42,286.88,277.45,304.44,344.77,323.12,367.36,340.50,331.15,331.69,334.57,336.79,327.58,346.65,336.49,342.89,339.70,344.68,346.30,351.61,347.33,345.02,350.20,341.85,352.10,360.38,356.61,353.33,357.25,386.53,,,,,
1999-10-24 21:46:56.203000,L7,394.75,464.07,464.94,415.69,415.30,419.30,412.03,351.19,384.52,336.60,382.05,395.96,402.76,350.32,413.24,412.80,387.70,391.60,400.31,374.96,376.86,378.93,366.45,393.90,386.60,340.38,327.06,331.54,391.80,396.16,366.10,386.80,396.28,419.84,400.62,409.23,399.96,394.43,397.11,385.80,316.69,307.39,310.83,300.51,305.06,298.57,301.92,326.23,311.37,328.75,313.93,332.98,329.86,325.16,312.12,326.15,318.26,306.14,311.63,318.51,313.42,321.76,322.17,314.26,315.88,319.61,164.14,304.55,302.63,295.65,279.12,237.40,239.80,411.50,406.95,,,,,,,,400.13,390.78,,,,,,,,,392.17,402.43,203.45,222.70,240.75,253.11,274.48,287.58,289.40,286.83,287.41,290.00,289.18,292.15,291.08,297.82,292.99,288.00,387.63,506.64,535.30,525.86,462.41,414.31,410.65,403.11,417.65,329.97,401.44,413.48,399.17,398.54,379.69,334.07,373.75,379.92,359.37,376.24,370.23,375.87,381.17,335.00,310.88,373.25,369.49,345.96,461.09,389.93,303.27,311.04,315.56,353.54,312.50,313.97,378.33,379.57,379.06,384.23,379.61,387.99,380.76,381.43,342.72,380.86,374.24,337.52,374.12,352.38,383.68,381.46,,386.72,,,,
2000-01-19 21:53:01.775000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.00,467.39,488.84,465.70,444.16,442.71,452.54,441.87,440.34,467.60,455.90,382.75,373.18,391.49,389.48,284.49,409.62,406.18,400.16,274.03,,,322.49,335.13,334.89,403.61,403.62,263.76,392.92,317.02,322.22,373.53,395.76,196.05,392.86,357.43,401.64,404.64,408.72,410.09,410.89,410.58,402.97,414.71,410.65,414.13,417.97,410.83,403.30,400.54,391.00,334.80,378.27,389.72,368.85,408.15,419.83,436.20,423.77,425.77,433.33,432.13,425.58,409.70,404.05,390.31,395.72,393.47,369.34,391.84,397.20,380.09,386.33,385.69,395.78,400.42,383.45,431.46,397.65,373.80,385.08,377.75,378.42,382.19,380.99,351.21,381.20,401.05,405.67,406.14,406.62,400.32,409.17,391.85,400.67,390.03,389.82,390.30,385.55,356.90,398.48,400.09,410.21,389.29,268.51,323.30,,,328.88
2000-02-04 21:53:01.324000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.29,416.58,404.71,184.73,171.41,159.99,419.64,369.13,421.56,411.84,,,,,,,383.13,396.59,409.84,,,,,,,,,,196.99,215.67,232.03,234.85,258.00,272.57,269.66,268.55,271.37,274.06,277.83,283.30,279.56,279.80,277.80,277.57,290.45,293.78,298.21,295.58,341.16,337.96,352.78,365.85,358.12,355.48,360.21,358.52,346.03,341.90,331.99,337.22,335.84,327.99,331.92,325.45,328.00,327.75,319.11,327.32,314.71,308.10,321.66,350.12,323.00,320.22,329.26,324.93,325.74,326.70,312.26,324.25,330.33,346.37,341.13,333.86,344.01,342.31,336.70,342.16,342.41,347.46,347.65,345.70,347.47,332.11,350.32,348.12,,374.69,,,,373.15
2000-02-13 21:46:48.016000,L7,276.32,273.69,325.95,333.68,338.47,331.78,335.81,328.83,326.77,321.68,323.86,328.40,331.90,334.97,342.52,343.28,338.06,331.74,326.72,277.91,,,,326.90,318.67,320.43,326.62,318.57,310.85,319.79,314.87,310.14,321.75,325.02,322.60,324.52,323.91,317.57,309.13,311.42,273.90,273.98,263.67,255.98,270.99,336.26,345.64,383.08,381.70,463.36,340.16,381.64,341.81,333.59,324.61,351.94,330.70,310.60,289.79,306.49,319.19,308.72,323.27,391.42,390.51,391.45,395.80,388.34,386.14,336.61,316.95,291.03,227.50,220.59,330.85,362.33,296.19,,,,,,,277.41,303.01,295.57,323.56,338.40,409.00,410.33,447.44,468.62,489.88,479.30,404.51,305.63,297.17,247.17,311.32,306.97,354.52,404.15,412.90,477.22,478.59,365.98,528.47,427.48,408.57,,393.22,449.73,476.28,393.63,402.05,427.14,435.48,406.50,397.61,420.85,526.46,,,,,,,,,,,,443.28,518.01,312.08,314.81,307.79,300.44,297.50,287.87,287.70,281.77,280.12,280.40,279.63,275.16,280.89,273.69,281.93,283.32,265.20,274.25,270.32,188.58,276.39,283.45,277.21,287.56,269.90,282.04,282.43,281.30,378.41,,392.03,,,
2000-02-20 21:52:53.613000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.79,483.07,415.43,427.08,417.18,406.87,391.74,402.34,408.45,384.73,398.81,408.29,393.77,409.08,405.27,403.76,405.30,397.09,411.72,405.60,409.64,412.84,418.54,403.10,261.95,248.04,245.52,214.48,462.29,451.65,367.64,366.97,366.28,384.23,399.84,390.39,391.34,378.11,372.95,244.61,234.90,213.63,205.59,182.48,404.83,407.24,400.12,397.52,390.40,395.28,388.07,378.98,388.16,399.87,386.78,383.01,382.40,392.86,385.93,390.00,401.09,391.16,395.38,394.67,397.31,407.17,411.80,410.03,413.63,407.52,410.11,416.09,400.16,396.51,389.54,396.34,389.18,375.07,380.37,383.49,386.44,373.00,367.28,365.05,371.55,373.25,374.42,378.96,370.91,371.97,366.23,362.07,371.09,361.17,365.35,375.21,367.74,379.58,380.13,379.46,386.41,388.76,390.22,386.91,392.20,392.83,389.47,390.73,397.08,390.19,393.54,379.02,390.30,377.67,376.22,219.45,432.31,408.59,370.43
2000-04-01 21:46:34.573000,L7,270.56,296.62,332.76,326.15,317.29,259.58,258.87,271.80,290.26,295.77,292.58,423.24,422.79,359.14,418.80,424.35,424.80,414.25,413.35,409.24,422.45,411.42,401.61,393.45,405.92,391.42,283.46,291.37,391.83,384.94,384.96,392.03,400.95,398.71,300.91,397.56,412.42,417.90,366.94,413.48,419.43,425.94,364.85,394.75,404.46,366.11,381.34,436.74,439.84,413.89,428.01,416.90,443.22,511.94,430.81,432.90,409.88,410.08,408.13,415.41,411.02,410.60,420.34,421.02,399.89,352.95,348.75,326.83,301.50,288.79,280.85,246.07,247.94,,,,,,,,,,,,,,,,,,,,,,221.44,227.96,243.26,255.36,273.59,290.33,286.86,281.30,285.68,294.58,298.59,298.78,296.61,300.42,294.40,293.15,299.36,301.13,305.68,401.25,370.14,333.65,340.86,328.97,334.13,312.47,318.72,322.74,309.28,287.22,261.06,315.72,302.25,301.97,320.80,341.96,313.16,317.82,297.78,283.57,272.61,273.68,283.31,281.13,306.52,319.82,302.64,306.04,314.25,299.09,314.77,369.28,384.07,339.68,360.91,328.96,346.71,342.70,306.79,331.15,373.95,384.66,388.05,326.33,321.19,343.40,335.70,350.19,,,,,,
2000-05-19 21:46:07.873000,L7,297.79,297.98,327.39,287.70,277.14,252.57,251.16,262.31,285.41,290.51,282.59,264.04,249.54,245.81,296.27,293.13,241.65,310.20,310.70,,,,,327.94,319.67,302.62,276.17,285.63,478.99,493.29,481.22,468.19,532.30,487.14,472.55,418.30,415.34,408.82,355.71,383.25,303.73,309.43,298.06,314.55,296.66,286.17,269.76,280.49,278.31,161.46,177.52,190.73,192.39,193.30,196.12,183.01,313.53,308.13,313.45,328.25,302.81,316.11,316.88,300.04,288.23,299.03,170.30,280.68,274.62,270.61,244.08,,,,,,,,,,,,,,,,,,389.05,389.33,307.01,307.41,316.90,,207.16,225.27,388.63,522.21,,,,,468.68,392.55,388.23,344.56,,440.37,467.95,472.67,353.70,363.16,,,478.69,332.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.13,482.41,352.52,,335.33,377.45,288.15,175.38,,,,,158.34,,345.90,,,
2000-05-26 21:52:12.607000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.46,412.55,420.44,408.88,418.53,414.14,409.47,420.15,413.37,418.14,411.20,416.64,403.43,400.99,389.74,406.62,408.63,399.02,381.67,308.79,281.34,276.28,170.06,285.75,265.01,,256.38,185.37,224.47,216.39,,,,,,,,,,,,,,,,,,,,,,204.72,231.04,223.30,254.72,300.49,289.85,273.00,387.73,384.03,325.60,385.71,357.68,398.32,393.56,414.73,387.54,413.80,393.31,401.74,414.20,419.66,410.24,400.49,324.96,333.66,302.47,242.76,246.47,262.66,252.40,217.64,261.18,270.12,267.92,296.28,305.67,299.90,296.33,285.24,262.59,255.54,251.30,239.18,271.75,271.52,368.70,390.20,399.80,374.13,354.61,305.94,278.07,263.80,289.55,304.88,297.27,262.59,217.51,194.24,216.04,279.92,257.13,176.67,199.30,230.39,276.39,290.42,285.85,,,,,,
