dates,nzd0282-0000,nzd0282-0001,nzd0282-0002,nzd0282-0003,nzd0282-0004,nzd0282-0005,nzd0282-0006,nzd0282-0007,nzd0282-0008,nzd0282-0009,nzd0282-0010,nzd0282-0011,nzd0282-0012,nzd0282-0013,nzd0282-0014,nzd0282-0015,nzd0282-0016,nzd0282-0017,nzd0282-0022,nzd0282-0023,nzd0282-0024,nzd0282-0025,nzd0282-0026,nzd0282-0027,nzd0282-0028,nzd0282-0029,nzd0282-0030,nzd0282-0031,nzd0282-0032,nzd0282-0033,nzd0282-0034,nzd0282-0035,nzd0282-0036,nzd0282-0046,nzd0282-0047,nzd0282-0048,nzd0282-0049,nzd0282-0050,nzd0282-0051,nzd0282-0052,nzd0282-0053,nzd0282-0054,nzd0282-0055,nzd0282-0056,nzd0282-0057,nzd0282-0058,nzd0282-0059,nzd0282-0060,nzd0282-0061,nzd0282-0062,nzd0282-0063,nzd0282-0064,nzd0282-0065,nzd0282-0066,nzd0282-0067,nzd0282-0068,nzd0282-0069,nzd0282-0070,nzd0282-0096,nzd0282-0097,nzd0282-0098,nzd0282-0099,nzd0282-0108,nzd0282-0109,nzd0282-0110,nzd0282-0111,nzd0282-0112,nzd0282-0113,nzd0282-0114,nzd0282-0115,nzd0282-0116,nzd0282-0117,nzd0282-0118,nzd0282-0119,nzd0282-0120,nzd0282-0121,nzd0282-0122,nzd0282-0123,nzd0282-0124,nzd0282-0125,nzd0282-0126,nzd0282-0132,nzd0282-0133,nzd0282-0134,nzd0282-0135,nzd0282-0136,nzd0282-0137,nzd0282-0138,nzd0282-0139,nzd0282-0144,nzd0282-0145,nzd0282-0146,nzd0282-0147,nzd0282-0148,nzd0282-0149,nzd0282-0150,nzd0282-0151,nzd0282-0152,nzd0282-0153,nzd0282-0154,nzd0282-0155,nzd0282-0156,nzd0282-0157,nzd0282-0158,nzd0282-0159,nzd0282-0160,nzd0282-0161,nzd0282-0162,nzd0282-0163,nzd0282-0164,nzd0282-0165,nzd0282-0166,nzd0282-0167,nzd0282-0018,nzd0282-0037,nzd0282-0038,nzd0282-0039,nzd0282-0040,nzd0282-0041,nzd0282-0042,nzd0282-0043,nzd0282-0044,nzd0282-0045,nzd0282-0084,nzd0282-0085,nzd0282-0086,nzd0282-0087,nzd0282-0088,nzd0282-0089,nzd0282-0090,nzd0282-0091,nzd0282-0101,nzd0282-0102,nzd0282-0103,nzd0282-0104,nzd0282-0105,nzd0282-0106,nzd0282-0107,nzd0282-0127,nzd0282-0128,nzd0282-0129,nzd0282-0130,nzd0282-0131,nzd0282-0140,nzd0282-0141,nzd0282-0142,nzd0282-0143,nzd0282-0019,nzd0282-0020,nzd0282-0021,nzd0282-0071,nzd0282-0072,nzd0282-0073,nzd0282-0074,nzd0282-0100,nzd0282-0075,nzd0282-0076,nzd0282-0077,nzd0282-0092,nzd0282-0093,nzd0282-0094,nzd0282-0095,nzd0282-0078,nzd0282-0079,nzd0282-0080,nzd0282-0081,nzd0282-0083,nzd0282-0082,satname
1999-08-21 21:46:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,329.07,,308.64,,302.65,,,,263.49,269.15,266.33,275.32,265.14,276.83,285.87,284.28,284.38,296.44,285.15,282.53,289.94,277.99,273.94,293.86,278.61,,286.13,299.72,297.19,281.49,274.15,270.72,257.99,,,,,260.5,272.42,276.82,282.91,276.51,283.11,276.11,280.25,284.29,283.3,292.69,294.73,306.91,318.27,323.86,323.59,337.09,,,,,306.12,303.48,307.2,317.58,293.49,270.87,290.0,288.44,286.67,289.23,,,292.3,295.76,,,318.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-22 21:47:00+00:00,328.41,,,,,,,,,,307.72,316.48,,321.07,,,,,322.84,330.09,315.56,,,,,329.07,,308.64,,302.65,,,335.22,271.09000000000003,275.735,275.625,283.695,276.57,287.475,297.38,293.29999999999995,299.27,304.62,296.78999999999996,288.985,297.605,296.1,287.375,305.94,278.61,,286.13,299.72,297.19,281.49,274.15,270.72,264.49,,,,,268.78999999999996,278.20000000000005,279.075,285.88,281.745,285.69,283.105,282.66499999999996,290.5,289.78,296.885,298.635,311.985,318.27,323.86,335.93499999999995,337.09,,,,,306.12,303.48,307.2,317.58,299.74,287.08000000000004,290.0,288.44,286.67,289.23,,,292.3,295.76,,,318.48,,,,,,,,,,,,,,,,,,300.02,289.89,298.77,280.83,299.71,279.01,,,,,,,,,,,,,282.13,284.33,273.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-24 21:46:56+00:00,321.255,312.69,338.26,,,,,347.59,,326.57,307.72,316.48,,335.455,,,,,330.365,330.09,315.56,,,,,329.07,,308.64,,302.65,,,335.22,288.58666666666664,290.1933333333333,286.15333333333336,295.56333333333333,289.27666666666664,301.63666666666666,306.77,303.30333333333334,304.0933333333333,310.16333333333336,302.53,293.4166666666667,302.13666666666666,302.9766666666667,294.82666666666665,310.17,297.07500000000005,310.91,299.425,307.915,306.40999999999997,292.66499999999996,285.495,282.45000000000005,264.59999999999997,,,,,268.78999999999996,278.20000000000005,279.075,285.88,296.2366666666667,299.77666666666664,296.78000000000003,282.66499999999996,290.5,289.78,296.885,298.635,311.985,318.27,323.86,335.93499999999995,337.09,330.48,,,,306.12,303.48,307.2,317.58,299.74,287.08000000000004,290.0,288.44,298.05,303.375,321.28,,305.97,307.395,,,318.48,,,,,,,,,342.54,,,,,,,,323.39,305.78,295.515,304.685,287.65999999999997,308.05499999999995,287.24,,,,,,,,,,,,,285.675,286.56,281.18,,,,,,315.8,,,,,339.94,,,,357.27,,,,,,,,,,,,,,,,L7
2000-01-19 21:53:01+00:00,321.255,312.69,338.26,,,,,347.59,,326.57,307.72,316.48,,335.455,,,,,330.365,330.09,315.56,,,,,329.07,,308.64,,302.65,,,335.22,288.58666666666664,290.1933333333333,286.15333333333336,295.56333333333333,289.27666666666664,301.63666666666666,306.77,303.30333333333334,304.0933333333333,310.16333333333336,302.53,293.4166666666667,302.13666666666666,302.9766666666667,294.82666666666665,310.17,297.07500000000005,310.91,299.425,307.915,306.40999999999997,292.66499999999996,285.495,282.45000000000005,264.59999999999997,,,,,268.78999999999996,278.20000000000005,279.075,285.88,304.34250000000003,299.77666666666664,294.4675,284.23,292.87,295.22333333333336,300.45666666666665,301.11,315.12333333333333,327.26,335.005,342.56333333333333,343.04999999999995,330.48,,328.48,325.54,306.12,303.48,307.2,317.58,307.34999999999997,287.08000000000004,308.105,288.44,298.05,308.10999999999996,322.30499999999995,323.92,309.5,311.28,,,318.48,,,,,,337.76,334.71,335.6,339.79,329.56,334.14,,328.28,,,,323.39,305.78,295.515,304.685,287.65999999999997,308.05499999999995,287.24,,,,,,,,,,,,,285.675,286.56,281.18,,339.79,,,330.3,315.8,329.45,,332.34,,339.94,,,350.15,351.745,354.26,,,,,,,,,,,,,,,L7
2000-02-04 21:53:01+00:00,321.255,312.69,338.26,,,,,347.59,,326.57,307.72,316.48,,335.455,,,,,330.365,330.09,315.56,,,,,329.07,,308.64,,302.65,,,335.22,288.58666666666664,290.1933333333333,286.15333333333336,295.56333333333333,289.27666666666664,301.63666666666666,306.77,303.30333333333334,304.0933333333333,310.16333333333336,302.53,293.4166666666667,302.13666666666666,302.9766666666667,294.82666666666665,310.17,297.07500000000005,310.91,299.425,307.915,306.40999999999997,292.66499999999996,285.495,282.45000000000005,264.59999999999997,,,,,271.44,278.35333333333335,279.27666666666664,285.63000000000005,299.682,295.73,291.448,283.4325,293.2325,295.3775,300.45666666666665,301.11,315.12333333333333,334.04333333333335,335.005,342.56333333333333,343.04999999999995,330.48,,328.48,325.54,306.12,303.48,307.2,317.58,312.4575,287.08000000000004,308.105,288.44,298.05,308.10999999999996,322.30499999999995,323.92,309.5,311.28,,,318.48,,,,,,337.76,334.71,335.6,339.79,329.56,334.14,,328.28,,,,323.39,305.78,295.515,304.685,287.65999999999997,308.05499999999995,287.24,,,,,,,,,,,,336.95,281.96333333333337,281.75666666666666,278.4433333333333,,339.79,,,330.3,315.8,324.79499999999996,,332.34,,339.94,,,354.54999999999995,356.22333333333336,356.24,,,,,,,,,,,,,,,L7
2000-02-20 21:52:53+00:00,321.255,312.69,338.26,,,,,347.59,,326.57,307.72,316.48,,335.455,,,,,330.365,330.09,315.56,,,,,,,,,,,,335.22,301.135,300.715,296.06500000000005,305.68500000000006,301.34499999999997,314.03999999999996,331.19666666666666,326.3933333333334,320.31333333333333,321.57666666666665,315.65333333333336,305.03,312.09999999999997,319.4066666666667,309.8633333333333,321.27666666666664,324.595,317.485,317.79,321.45500000000004,318.115,305.78499999999997,298.08,300.8,267.905,,,,,284.58666666666664,285.23,284.88000000000005,291.1333333333333,303.956,299.2975,295.834,285.615,297.895,301.5425,306.1666666666667,306.20666666666665,320.75,341.49333333333334,349.28499999999997,352.0733333333333,350.125,338.49,348.45,327.62,325.54,,,324.91,326.19,316.845,311.665,322.105,319.75,313.78999999999996,319.39,321.1566666666667,320.22,317.74333333333334,319.40000000000003,,324.58,326.34,331.17,336.95,,336.48,,339.65,338.30499999999995,339.615,341.43,330.95500000000004,341.4,338.34,328.28,,,,323.39,305.78,295.515,304.685,287.65999999999997,308.05499999999995,287.24,,,,,,,,,,,,318.975,286.1275,283.235,283.115,337.85,339.055,,,330.67,317.745,321.1333333333333,,326.36,,339.94,,,354.54999999999995,356.22333333333336,356.24,,,,,,,,,,,,,,,L7
2000-04-01 21:46:34+00:00,314.1,312.69,338.26,,,,,347.59,,326.57,,,,349.84,,,329.33,327.03,330.74,324.44,308.27,,,,298.21,,,313.37,,,,,,323.58,319.11,307.21,319.3,314.69,329.96,342.34999999999997,338.43000000000006,323.39,325.96500000000003,319.265,309.82499999999993,315.515,322.005,314.39,322.905,324.595,317.485,317.79,321.45500000000004,318.115,305.78499999999997,295.5733333333333,298.1033333333333,266.235,,,,,287.11666666666673,288.0133333333334,288.6066666666666,293.45,305.45,300.1775,296.38800000000003,286.505,298.4475,303.01,307.0733333333333,307.8733333333333,323.50333333333333,339.975,345.8533333333333,346.2266666666667,344.5833333333333,329.68333333333334,334.53,318.45666666666665,314.175,324.32,315.86,320.58000000000004,323.195,314.8275,301.31,316.5933333333333,321.08500000000004,310.65333333333336,316.245,319.6775,314.45666666666665,320.4325,319.40000000000003,,324.58,326.34,333.43,336.95,,321.855,311.84,339.65,338.30499999999995,339.615,338.0075,328.81666666666666,341.4,339.95,328.28,340.02,,,323.39,311.54,301.14,310.6,294.49,316.4,295.47,,,,,,,,,,,,305.14000000000004,287.8125,283.245,284.315,328.96500000000003,329.41,,,326.5833333333333,317.745,321.1333333333333,,311.73,286.56,328.66999999999996,,,354.54999999999995,356.22333333333336,356.24,,,,,,,,,,,,,,,L7
2000-05-26 21:52:12+00:00,,,,,,,,,,,,,,,,,329.33,327.03,323.59,324.44,308.27,,,,298.21,,,313.37,,,,,,,,,,,,359.15,353.55,333.04,330.68,324.52,317.37,319.83,327.28,319.05,327.18,333.65,324.06,307.005,311.31,302.76,288.45500000000004,294.94000000000005,300.06499999999994,267.65,,,,,287.11666666666673,288.0133333333334,288.6066666666666,293.45,300.5075,290.92,289.4525,286.505,298.4475,303.01,307.0733333333333,307.8733333333333,323.50333333333333,339.975,345.8533333333333,346.2266666666667,344.5833333333333,329.28499999999997,334.53,308.725,302.34666666666664,315.19,317.56,314.8,317.25666666666666,314.8275,301.31,316.5933333333333,321.08500000000004,311.265,315.82,319.1433333333334,314.45666666666665,320.69666666666666,319.58500000000004,,324.58,326.34,333.43,336.95,,321.855,311.84,339.65,338.30499999999995,339.615,336.49666666666667,323.1725,341.4,327.27666666666664,311.525,340.02,,,,,,,,,,,,,,,,,,,,,305.14000000000004,287.3433333333333,281.39666666666665,282.9166666666667,328.96500000000003,329.41,,,326.5833333333333,319.69,321.1333333333333,,311.73,286.56,317.4,,,354.54999999999995,355.70000000000005,356.24,,,,,,,,,,,,,,,L7
2000-07-13 21:51:43+00:00,,,,,,,,,,,,,,,,,329.33,327.03,323.59,324.44,308.27,,,,298.21,,,313.37,,,,,,,,,,,,359.15,353.55,333.04,330.68,324.52,317.37,319.83,327.28,319.05,327.18,333.65,324.06,307.005,311.31,303.2033333333333,290.12,292.1466666666667,300.06499999999994,267.65,,,,,287.33750000000003,289.365,289.1975,293.28249999999997,300.5075,290.92,289.4525,287.40200000000004,298.4475,303.01,307.0733333333333,307.8733333333333,323.4325,339.45799999999997,340.27750000000003,341.3775,344.5833333333333,329.28499999999997,334.53,308.725,302.34666666666664,315.19,317.56,314.8,317.25666666666666,312.18600000000004,301.31,316.5933333333333,321.08500000000004,311.265,304.2625,319.1433333333334,314.45666666666665,320.69666666666666,312.21333333333337,,324.58,326.34,333.43,336.95,,321.855,311.84,339.65,338.30499999999995,339.615,336.49666666666667,323.1725,341.4,321.6525,313.7366666666667,340.02,,,,,,,,,,,,,,,,,,,,,305.14000000000004,287.3433333333333,281.39666666666665,284.1725,328.96500000000003,329.41,,,326.5833333333333,319.69,321.1333333333333,,311.73,286.56,317.4,,,354.54999999999995,355.70000000000005,356.24,,,,,,,,,,,,,,,L7
2000-07-29 21:51:26+00:00,,,,,,,,,,,,,,,,,329.33,327.03,323.59,324.44,308.27,,,,298.21,,,313.37,,,,,,289.04,314.67,289.31,297.48,294.26,305.89,334.66999999999996,330.88,324.135,323.475,317.32,308.275,319.83,327.28,323.78999999999996,327.18,334.28999999999996,325.525,307.005,311.31,303.2033333333333,287.19,285.785,300.06499999999994,267.65,,,,,287.33750000000003,289.365,296.718,293.28249999999997,291.1233333333333,290.92,290.09333333333336,287.4125,298.72666666666663,301.325,303.80333333333334,307.39000000000004,324.11,340.26,338.32000000000005,334.3775,342.37,316.6033333333333,334.53,302.14000000000004,290.75,315.19,317.56,314.8,317.25666666666666,307.662,301.31,311.78499999999997,321.08500000000004,311.265,299.8233333333333,317.05000000000007,309.725,322.765,308.7950000000001,,324.58,326.34,333.43,336.95,,321.855,311.84,341.54,341.9,343.63,336.22499999999997,321.04333333333335,348.66,322.11199999999997,306.46500000000003,340.02,,,,,,,279.59,303.61,286.23,,,,,,,,,,,,305.14000000000004,287.3433333333333,281.39666666666665,284.1725,328.96500000000003,324.22,,,324.725,319.69,316.975,,301.42500000000007,286.56,317.4,,,358.95,365.18,358.22,,,,,,,,,,,,,,,L7
