dates,satname,nzd0284-0000,nzd0284-0001,nzd0284-0002,nzd0284-0003,nzd0284-0004,nzd0284-0005,nzd0284-0006,nzd0284-0007,nzd0284-0008,nzd0284-0009,nzd0284-0010,nzd0284-0011,nzd0284-0012,nzd0284-0013,nzd0284-0014,nzd0284-0015,nzd0284-0016,nzd0284-0017,nzd0284-0019,nzd0284-0020,nzd0284-0021,nzd0284-0022,nzd0284-0023,nzd0284-0024,nzd0284-0025,nzd0284-0026,nzd0284-0027,nzd0284-0028,nzd0284-0029,nzd0284-0030,nzd0284-0031,nzd0284-0032,nzd0284-0033,nzd0284-0034,nzd0284-0038,nzd0284-0039,nzd0284-0040,nzd0284-0041,nzd0284-0042,nzd0284-0068,nzd0284-0069,nzd0284-0070,nzd0284-0071,nzd0284-0072,nzd0284-0073,nzd0284-0074,nzd0284-0075,nzd0284-0084,nzd0284-0085,nzd0284-0086,nzd0284-0087,nzd0284-0088,nzd0284-0089,nzd0284-0090,nzd0284-0091,nzd0284-0092,nzd0284-0093,nzd0284-0094,nzd0284-0102,nzd0284-0103,nzd0284-0104,nzd0284-0105,nzd0284-0106,nzd0284-0107,nzd0284-0108,nzd0284-0109,nzd0284-0110,nzd0284-0111,nzd0284-0112,nzd0284-0113,nzd0284-0114,nzd0284-0115,nzd0284-0124,nzd0284-0125,nzd0284-0126,nzd0284-0127,nzd0284-0128,nzd0284-0129,nzd0284-0130,nzd0284-0131,nzd0284-0132,nzd0284-0133,nzd0284-0134,nzd0284-0135,nzd0284-0136,nzd0284-0137,nzd0284-0138,nzd0284-0139,nzd0284-0151,nzd0284-0152,nzd0284-0153,nzd0284-0154,nzd0284-0155,nzd0284-0156,nzd0284-0157,nzd0284-0159,nzd0284-0160,nzd0284-0161,nzd0284-0162,nzd0284-0163,nzd0284-0164,nzd0284-0165,nzd0284-0166,nzd0284-0167,nzd0284-0168,nzd0284-0169,nzd0284-0018,nzd0284-0035,nzd0284-0036,nzd0284-0037,nzd0284-0048,nzd0284-0049,nzd0284-0050,nzd0284-0051,nzd0284-0052,nzd0284-0053,nzd0284-0055,nzd0284-0056,nzd0284-0057,nzd0284-0058,nzd0284-0059,nzd0284-0067,nzd0284-0076,nzd0284-0077,nzd0284-0078,nzd0284-0079,nzd0284-0080,nzd0284-0083,nzd0284-0095,nzd0284-0096,nzd0284-0097,nzd0284-0098,nzd0284-0099,nzd0284-0116,nzd0284-0117,nzd0284-0118,nzd0284-0119,nzd0284-0120,nzd0284-0121,nzd0284-0122,nzd0284-0123,nzd0284-0140,nzd0284-0141,nzd0284-0142,nzd0284-0143,nzd0284-0144,nzd0284-0146,nzd0284-0147,nzd0284-0148,nzd0284-0149,nzd0284-0150,nzd0284-0158,nzd0284-0043,nzd0284-0047,nzd0284-0054,nzd0284-0081,nzd0284-0082,nzd0284-0100,nzd0284-0101,nzd0284-0145,nzd0284-0044,nzd0284-0045,nzd0284-0046,nzd0284-0060,nzd0284-0061,nzd0284-0062,nzd0284-0063,nzd0284-0064,nzd0284-0065,nzd0284-0066
1999-08-21 21:46:56.985000,L7,,393.73,401.77,398.51,402.75,399.87,398.25,405.37,325.62,327.39,342.20,332.21,331.10,,,,,,288.36,302.35,304.30,288.10,289.66,303.51,315.94,304.78,311.81,333.95,324.12,339.71,334.95,323.82,337.45,327.95,376.29,348.88,329.71,310.74,309.48,352.10,347.37,334.94,374.82,336.38,310.51,320.78,291.02,,,321.83,358.41,315.01,325.87,368.73,321.34,295.54,,,,,,327.45,310.62,359.63,368.00,348.68,,,,,,,,,,,313.58,363.17,360.31,360.08,333.25,328.30,325.33,355.13,356.11,353.93,353.18,357.36,,334.16,352.12,351.81,342.33,,,,,,,,,,,,,,,288.87,,,,,,,,,,,,,,370.31,,,,,,,,,,,,,,,,,,,,345.84,341.94,300.16,350.92,348.21,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-28 21:53:11.984000,L7,339.84,337.93,351.60,356.89,352.23,350.50,356.23,341.28,325.40,330.49,338.86,332.65,328.98,325.40,331.58,353.38,332.62,306.24,302.45,307.21,308.87,295.48,296.12,316.49,321.37,306.98,318.33,342.87,346.90,345.94,336.72,319.05,328.22,331.06,368.20,349.80,325.72,320.14,313.01,342.91,342.07,355.21,361.87,338.87,314.74,327.66,297.60,321.55,307.01,329.64,358.00,320.83,330.76,358.92,327.18,323.07,314.41,279.18,334.04,328.69,322.24,329.14,320.21,353.75,360.44,322.07,311.70,315.54,313.80,340.83,324.59,345.39,285.94,334.32,330.07,296.52,341.62,345.09,348.66,347.79,334.34,322.65,336.44,342.34,327.30,326.84,332.08,334.34,350.01,348.53,345.51,348.96,342.95,344.37,331.21,342.89,319.31,304.05,309.56,316.15,315.32,325.96,306.68,292.99,279.01,293.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-22 21:47:00.785000,L7,341.50,341.95,361.83,359.98,362.85,352.67,362.27,344.76,333.69,352.76,347.37,340.40,336.81,324.12,332.68,357.18,334.99,306.83,295.74,306.46,308.55,307.70,298.22,313.51,323.95,307.37,320.20,340.57,336.72,351.83,341.15,330.89,332.16,330.01,371.90,352.35,336.50,320.89,310.48,349.45,347.50,356.83,376.07,350.08,322.55,329.46,303.27,342.91,336.55,348.59,363.98,345.01,352.00,369.55,336.25,352.29,319.53,319.51,331.66,336.46,329.39,330.94,338.46,360.17,363.59,325.39,313.15,321.89,336.71,350.85,347.57,347.10,299.47,361.70,333.02,317.83,359.88,362.80,362.65,360.16,360.31,345.10,343.40,353.49,356.53,356.19,351.50,358.11,352.46,359.04,352.59,361.67,348.02,351.15,367.29,355.15,324.98,311.31,316.36,322.96,324.55,317.17,305.50,295.14,289.25,288.46,267.00,296.29,319.52,353.02,271.14,307.37,350.55,337.06,288.27,277.70,326.05,331.87,325.11,328.89,284.41,356.80,297.21,355.69,356.01,337.84,298.87,307.47,346.35,352.24,360.60,334.79,282.87,349.54,354.85,329.16,344.83,342.25,341.89,324.54,314.03,350.81,357.03,338.42,340.86,339.17,320.63,316.78,329.08,327.44,312.97,315.41,,,,,,,,,,,,,,,,,,
1999-09-29 21:53:16.190000,L7,348.11,346.53,353.84,359.24,350.11,361.12,362.30,355.21,337.26,364.33,358.85,349.31,345.06,343.79,348.63,355.12,341.96,308.82,301.13,316.29,311.32,319.86,317.37,328.21,334.40,330.08,338.99,350.80,350.61,347.21,346.47,341.73,346.89,337.40,370.50,355.41,330.57,351.05,316.64,363.62,357.30,362.88,368.83,363.68,362.13,352.48,318.43,346.40,348.81,339.90,338.08,350.00,349.32,358.61,353.50,345.34,341.06,351.50,355.12,361.73,348.21,356.25,357.43,359.95,366.65,353.74,333.86,335.95,345.91,352.66,347.44,345.01,340.85,347.89,345.52,337.71,354.08,354.92,357.38,357.64,351.01,351.36,353.65,350.21,348.87,348.79,344.73,348.72,350.00,351.78,347.87,351.10,350.11,350.53,341.97,343.40,338.16,321.73,323.34,324.63,324.51,322.77,316.12,313.29,306.14,303.11,283.37,322.35,336.65,366.64,342.58,351.41,353.29,341.74,301.81,280.61,338.63,344.87,344.83,345.64,296.20,361.62,365.36,361.71,363.13,358.74,315.09,343.86,351.05,349.35,349.95,353.18,307.49,355.75,348.65,339.83,339.58,353.97,347.74,345.22,332.05,343.91,341.03,338.37,336.21,336.44,332.31,337.20,339.42,339.69,341.80,331.37,281.20,280.19,331.17,351.69,355.45,336.23,340.67,331.46,,,,,,,,,,
1999-10-24 21:46:56.203000,L7,354.22,353.09,360.66,370.05,368.43,371.03,397.53,405.36,406.27,401.43,369.81,406.92,428.74,398.10,384.33,,368.15,383.16,387.17,350.14,360.89,347.46,354.62,352.97,356.21,362.86,345.68,355.75,359.71,367.12,365.46,349.76,354.52,353.90,389.71,382.81,361.43,371.66,355.28,364.56,369.26,373.51,379.63,375.96,384.23,381.38,382.82,374.22,373.84,372.84,382.07,375.75,380.52,378.02,383.08,384.49,386.24,359.54,363.25,363.89,360.00,398.64,379.11,396.73,383.55,417.96,346.86,351.74,356.57,362.51,363.90,358.63,351.28,369.28,366.61,363.19,367.65,373.40,368.90,367.51,365.73,373.17,367.05,366.25,374.69,361.70,393.36,358.76,355.97,357.72,360.01,352.41,355.51,356.43,357.70,362.61,393.57,384.71,341.39,371.49,329.83,338.25,319.59,311.28,300.02,310.78,382.75,365.38,363.79,380.15,361.18,372.24,363.32,359.26,348.32,303.48,349.83,353.17,350.45,353.30,327.89,366.37,388.67,385.43,387.65,380.55,374.48,378.60,362.69,365.83,366.83,369.96,383.64,360.32,360.43,352.64,372.54,363.66,354.61,352.05,344.60,355.75,385.02,350.71,357.17,366.65,342.43,347.02,356.78,364.26,360.12,333.00,350.54,358.74,341.58,377.17,379.23,376.54,368.72,341.32,354.49,361.36,356.17,271.66,322.59,338.56,308.23,297.33,276.71,
1999-10-31 21:53:08.082000,L7,,,,,,,,,,,,,,,,,,,382.21,366.17,368.66,366.95,367.53,361.72,399.99,,359.92,379.05,381.43,,384.01,380.65,381.50,,,,,,,,,,,,,,383.21,,,,,,,,,,,,,400.24,406.23,397.40,380.94,396.28,397.05,386.17,386.61,401.43,397.83,376.79,390.10,354.25,,,,380.05,386.23,382.23,381.44,382.89,,,,,,411.03,384.87,381.30,364.43,365.84,362.38,375.38,381.46,377.03,360.28,360.40,365.10,370.14,370.60,368.42,348.01,334.86,327.87,323.66,319.00,322.06,,,,,364.87,369.72,355.66,365.07,366.96,369.87,372.12,352.43,,,,297.53,378.77,382.95,387.00,391.83,385.40,,,,,,,373.07,369.60,406.06,411.60,,,,,369.84,361.53,351.70,360.68,381.98,,,,,,345.47,,359.10,368.28,,,,,,,361.57,367.71,,,364.50,370.41,377.69,359.41,315.60
2000-01-19 21:53:01.775000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.95,395.97,396.47,390.91,389.14,388.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.57,363.77,367.81,352.26,,391.35,391.51,391.67,397.33,396.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.36,,,,,,,,336.69,339.81,348.06,319.15,312.31,291.28,316.67
2000-02-13 21:46:48.016000,L7,,,329.21,337.00,331.26,334.41,340.03,326.07,319.37,344.68,336.34,322.98,,,,,,,,,,,276.11,338.63,334.16,335.57,339.41,347.86,351.24,353.11,350.07,341.37,345.16,344.63,366.35,360.05,408.41,,360.15,301.51,350.34,356.78,365.41,364.73,363.27,364.28,359.71,344.83,320.71,345.87,364.10,361.47,366.01,370.24,368.02,367.53,360.88,360.53,364.00,363.11,359.51,362.86,360.27,365.71,394.50,,,,,362.34,364.60,350.69,319.59,337.77,347.94,345.01,352.73,345.04,348.65,353.48,343.14,352.40,342.41,352.35,343.20,342.04,347.80,346.99,336.19,341.22,335.17,333.09,338.91,337.96,334.29,326.30,320.21,311.33,308.35,318.79,312.10,307.88,305.45,297.18,288.84,289.64,,347.00,363.08,374.20,341.80,352.67,357.93,356.91,395.57,,,,,,,349.05,357.48,362.38,364.23,359.12,367.06,295.98,354.85,360.05,359.51,367.55,364.99,350.99,345.16,344.36,350.31,350.21,344.49,338.11,336.48,346.99,338.46,339.63,337.11,330.61,329.94,331.21,335.00,323.77,337.80,293.11,354.39,340.02,,366.90,357.72,363.11,365.26,326.67,346.77,343.06,347.46,,,,,,,
2000-02-20 21:52:53.613000,L7,361.15,365.09,366.20,374.87,374.30,372.41,372.06,381.78,376.34,376.95,374.36,383.66,365.67,378.24,368.65,370.97,367.41,362.06,359.78,364.13,363.31,359.91,361.00,358.18,359.36,359.63,350.40,360.35,367.73,367.86,365.72,350.00,356.87,356.47,376.77,375.88,357.59,371.68,355.42,371.98,373.53,376.66,382.44,377.32,380.54,373.24,379.86,370.77,373.11,371.46,371.88,375.77,380.77,377.51,384.49,378.71,367.77,368.81,368.10,373.80,366.79,365.33,368.68,366.17,372.57,360.34,358.78,357.45,359.40,363.61,365.43,365.11,357.43,363.80,359.01,365.21,370.57,366.86,367.09,367.38,366.58,369.59,363.55,363.48,362.93,364.69,363.37,360.74,352.54,353.87,356.16,356.57,366.65,357.26,349.79,351.80,345.74,344.09,339.68,338.42,344.13,339.83,329.90,337.18,326.24,328.17,364.80,363.25,373.02,379.84,368.27,365.80,360.54,361.99,348.21,341.41,349.18,352.55,354.81,357.94,325.66,372.27,381.82,379.11,384.21,377.45,367.02,370.63,366.88,366.50,369.08,377.10,370.33,362.71,358.18,363.82,367.15,368.05,364.49,362.91,355.99,358.01,354.70,351.75,352.13,354.29,347.95,347.07,345.16,350.92,348.66,341.59,358.22,363.26,341.27,378.74,374.27,370.44,372.11,346.98,352.60,359.61,345.75,254.13,326.30,338.73,308.87,296.87,286.07,372.21
2000-04-01 21:46:34.573000,L7,,,,,,,,,,,367.17,364.26,346.68,334.24,335.99,366.17,334.26,309.47,307.19,312.07,312.71,309.11,294.89,311.07,342.96,326.06,330.73,365.73,373.08,365.80,358.89,338.11,354.98,329.91,381.82,353.95,347.65,323.07,316.50,366.80,391.42,399.19,407.57,402.12,402.13,349.39,299.97,,,,394.41,395.66,395.94,384.95,340.48,376.91,371.34,327.26,350.20,355.67,350.92,347.57,355.32,362.14,,344.36,341.92,352.06,346.37,392.45,,,,387.47,386.94,375.50,378.48,,,,,388.67,395.26,388.69,349.99,350.99,355.53,353.12,,,,,,,,,,,,,373.51,367.84,374.89,,362.42,354.38,,303.08,340.63,370.63,,367.50,357.09,357.92,328.69,284.24,,,,,,373.10,,,,,,,360.31,372.12,365.32,371.33,349.61,381.41,350.70,346.07,371.66,394.29,400.12,,,353.47,347.70,343.97,379.19,354.39,,,,,,,280.72,,,,,,343.86,,,,,334.88,323.53,332.34,304.40,294.33,279.54,277.65
