dates,nzd0287-0000,nzd0287-0001,nzd0287-0002,nzd0287-0003,nzd0287-0004,nzd0287-0005,nzd0287-0006,nzd0287-0007,nzd0287-0008,nzd0287-0009,nzd0287-0010,nzd0287-0011,nzd0287-0012,nzd0287-0013,nzd0287-0014,nzd0287-0015,nzd0287-0016,nzd0287-0017,nzd0287-0018,nzd0287-0019,nzd0287-0020,satname
1999-08-21 21:46:56+00:00,,,,,,,,355.97,,,,361.64,,,,,,,,,,L7
1999-09-22 21:47:00+00:00,339.85,341.15,326.67,324.49,332.1,331.41,329.12,346.05,339.24,337.91,340.25,349.365,336.37,,,,,361.6,358.82,356.97,,L7
2000-04-01 21:46:34+00:00,,,,,,,,357.19,347.2,343.52,,,,,,,,352.99,,,,L7
2000-08-07 21:45:08+00:00,347.06,338.3,327.75,314.26,320.13,331.45,333.95,351.33500000000004,343.205,344.53,344.02,338.88,340.63,,360.29,366.89,364.22,357.23,359.96,,,L7
2000-11-27 21:44:26+00:00,341.66999999999996,334.64,326.12,313.395,319.565,331.45,333.95,345.48,339.21,346.67,337.195,338.88,340.63,283.81,354.865,358.23,356.94000000000005,356.09000000000003,351.15999999999997,339.55,352.5,L7
2001-04-04 21:44:06+00:00,336.55999999999995,332.6,319.435,308.855,315.305,324.41,314.17,,321.34,343.17,327.825,,,277.14,349.44,356.16499999999996,359.39,359.71500000000003,349.71000000000004,339.55,352.5,L7
2001-04-20 21:44:10+00:00,335.4,332.34666666666664,317.29,310.39,308.7366666666667,324.41,314.17,,321.34,337.83,325.83666666666664,,,277.14,349.44,356.16499999999996,337.67,347.20666666666665,342.98333333333335,334.645,340.655,L7
2001-07-25 21:43:18+00:00,327.55333333333334,332.5133333333333,313.89000000000004,303.17333333333335,303.605,324.41,305.78499999999997,,330.5,332.6333333333334,323.57,,,270.47,,362.76,331.67499999999995,338.59999999999997,330.6566666666667,333.03499999999997,329.135,L7
2001-09-11 21:42:38+00:00,322.4975,324.2675,311.4375,291.745,303.605,324.41,305.78499999999997,,330.5,332.6333333333334,320.96666666666664,,,270.47,,362.76,331.67499999999995,338.59999999999997,330.6566666666667,330.3833333333333,329.135,L7
2001-09-27 21:42:29+00:00,324.57,326.754,313.048,291.745,308.7766666666667,327.01,315.27,342.26,332.8333333333333,335.265,323.4575,,337.26,270.47,,362.76,331.67499999999995,338.59999999999997,330.6566666666667,330.3833333333333,329.135,L7
