dates,satname,nzd0288-0000,nzd0288-0001,nzd0288-0002,nzd0288-0003,nzd0288-0004,nzd0288-0005,nzd0288-0006,nzd0288-0007,nzd0288-0008,nzd0288-0009,nzd0288-0010
1999-08-21 21:46:56.985000,L7,,389.28,364.03,357.45,215.95,,243.86,516.57,519.95,515.75,486.43
1999-08-28 21:53:11.984000,L7,,,,,,,245.29,268.16,250.78,271.34,
1999-09-22 21:47:00.785000,L7,182.50,246.69,225.76,237.23,234.56,177.24,244.28,276.43,246.71,265.54,362.16
1999-09-29 21:53:16.190000,L7,268.58,257.32,244.10,248.10,367.56,411.27,433.93,418.12,392.42,424.48,369.93
1999-10-24 21:46:56.203000,L7,416.98,396.08,390.49,378.42,381.56,382.97,403.11,395.78,390.27,395.17,392.28
1999-10-31 21:53:08.082000,L7,376.29,360.58,362.55,366.40,374.44,369.47,368.40,377.54,382.77,386.58,382.64
2000-01-19 21:53:01.775000,L7,399.11,395.18,372.25,375.43,375.34,376.57,394.87,319.64,325.21,330.77,326.62
2000-02-04 21:53:01.324000,L7,360.88,351.26,322.77,337.25,467.12,473.12,489.16,365.57,368.36,373.80,378.38
2000-02-13 21:46:48.016000,L7,366.26,258.93,301.34,299.68,301.44,306.25,284.07,315.80,321.56,318.46,323.94
2000-02-20 21:52:53.613000,L7,310.74,304.54,300.22,267.69,313.50,316.16,331.32,325.42,254.15,327.76,325.29
2000-04-01 21:46:34.573000,L7,333.35,323.53,327.16,318.82,322.48,360.53,359.71,355.88,328.87,344.32,335.35
2000-05-03 21:46:19.161000,L7,,,238.12,248.36,371.33,347.99,269.76,383.61,376.72,385.13,342.14
2000-05-19 21:46:07.873000,L7,,,414.66,391.70,412.21,365.07,367.73,374.09,389.20,394.66,393.81
2000-07-29 21:51:26.388000,L7,,,211.06,354.39,371.00,379.17,384.30,389.81,393.28,401.81,399.31
2000-10-26 21:44:22.850000,L7,194.93,198.43,,,,,,,,,
2000-11-27 21:44:26.720000,L7,,,,,,,,202.11,222.54,259.49,369.55
2000-12-13 21:44:28.287000,L7,357.05,401.95,413.35,368.49,403.52,339.45,406.09,427.74,443.13,411.94,399.43
2001-01-05 21:50:40.530000,L7,394.43,291.80,290.27,290.54,293.46,287.46,283.64,233.79,419.15,463.33,428.42
2001-01-14 21:44:33.150000,L7,191.70,196.73,237.66,237.05,213.71,210.40,242.18,268.55,246.50,204.21,
2001-01-21 21:50:46.402000,L7,350.87,342.55,342.16,342.64,353.30,206.58,360.76,366.73,367.39,372.41,374.33
2001-03-10 21:50:34.795000,L7,303.53,261.31,296.01,267.84,266.16,525.84,497.94,491.81,506.73,366.51,364.37
2001-04-04 21:44:06.948000,L7,180.86,260.64,246.66,250.48,249.49,483.82,503.84,496.09,369.07,378.89,380.69
2001-04-20 21:44:10.657000,L7,386.63,360.40,361.49,369.34,376.95,392.39,348.29,325.51,319.92,402.60,406.36
2001-09-11 21:42:38.257000,L7,,,,,,514.67,242.54,262.41,248.32,264.80,522.25
2001-09-18 21:48:41.296000,L7,170.46,206.11,234.68,232.04,227.98,,245.82,264.46,245.58,261.03,356.20
2001-10-29 21:42:21.289000,L7,318.82,315.96,309.09,295.40,302.01,317.94,329.97,335.60,328.40,292.64,333.05
2002-01-17 21:42:52.816000,L7,367.42,271.56,305.18,293.28,313.98,323.46,297.22,328.43,260.92,333.11,331.41
2002-02-02 21:42:54.721000,L7,316.51,312.08,315.85,314.27,315.26,305.13,301.70,272.59,263.15,285.96,203.87
2002-02-18 21:42:54.191000,L7,348.95,262.16,271.47,257.35,256.59,216.27,264.79,270.45,252.46,262.77,378.35
2002-02-25 21:49:11.892000,L7,377.37,354.47,354.42,355.43,360.09,371.81,391.34,329.38,334.06,334.67,333.45
2002-03-22 21:42:52.399000,L7,,445.92,433.67,460.15,480.17,,,,,,
2002-04-07 21:42:52.870000,L7,172.92,269.69,295.14,306.47,302.07,304.56,263.98,256.62,369.41,374.16,383.24
2002-04-14 21:49:02.545000,L7,320.82,333.05,407.23,400.34,381.61,385.99,383.90,318.27,398.08,428.49,380.91
2002-09-05 21:48:14.221000,L7,423.19,419.13,421.65,404.07,384.73,386.03,409.34,404.60,395.38,401.89,402.79
2002-09-30 21:41:47.719000,L7,294.87,250.04,398.91,370.58,359.45,443.01,451.19,455.87,431.78,468.86,461.71
2002-10-23 21:48:03.157000,L7,354.85,342.06,365.36,401.32,391.79,373.89,359.24,270.45,331.31,373.74,368.46
2002-11-01 21:41:54.382000,L7,376.86,293.82,280.68,285.30,300.33,301.08,315.54,289.63,270.90,333.91,326.79
2002-11-17 21:42:06.289000,L7,377.58,420.79,448.92,447.99,443.97,352.06,464.24,315.97,325.25,328.98,315.38
2002-11-24 21:48:26.056000,L7,379.37,370.49,374.94,366.60,372.39,370.27,386.44,385.01,374.26,386.12,375.58
2002-12-10 21:48:29.024000,L7,394.73,293.79,282.86,290.23,307.93,307.48,314.17,312.74,322.13,325.45,324.43
2002-12-26 21:48:36.012000,L7,318.38,302.96,299.36,301.54,311.48,318.44,313.62,322.85,325.38,330.41,324.79
2003-01-20 21:42:33.373000,L7,307.98,364.43,291.66,301.80,308.89,307.74,317.68,320.16,328.54,296.93,331.88
2003-02-05 21:42:41.878000,L7,322.77,302.33,292.09,289.45,338.42,337.06,340.16,319.67,340.00,329.30,321.82
2003-02-21 21:42:44.547000,L7,387.10,386.54,392.27,400.94,383.79,384.23,344.25,276.68,254.61,265.28,402.26
2003-03-16 21:48:58.145000,L7,189.73,207.66,474.58,439.33,456.56,163.41,238.83,269.87,248.58,271.91,
2003-05-03 21:49:01.134000,L7,,,,,,,230.67,258.72,241.13,270.77,371.76
2003-05-12 21:42:48.091000,L7,,,,,,,,244.24,232.52,,
2003-05-28 21:42:46.560000,L7,,,,,,,232.75,282.58,257.86,379.69,387.19
2003-07-30 21:36:57.157000,L5,,,211.84,312.74,311.53,309.93,302.65,282.35,330.05,358.06,352.85
2003-08-15 21:37:12.191000,L5,,195.50,277.16,291.71,288.87,282.80,280.61,264.02,259.81,325.23,304.28
2003-10-18 21:38:12.093000,L5,346.81,319.15,310.00,320.34,316.60,313.14,309.75,295.89,310.95,355.64,336.58
2003-11-19 21:38:38.232000,L5,352.06,311.77,301.64,317.89,313.06,308.03,302.13,279.80,337.97,371.94,367.68
2003-11-28 21:32:34.027000,L5,320.28,298.51,285.17,304.70,295.66,294.53,288.76,263.02,257.35,335.68,297.31
2003-12-14 21:32:38.364000,L5,307.49,230.72,275.77,289.62,279.66,279.68,281.66,257.82,267.88,322.34,270.55
2003-12-30 21:32:48.382000,L5,361.54,333.03,322.23,330.43,337.23,323.16,320.51,286.17,364.05,379.90,375.90
2004-01-15 21:32:50.035000,L5,229.56,225.28,281.71,293.26,279.31,280.29,284.58,261.94,267.37,324.28,263.27
2004-01-22 21:39:04.232000,L5,307.48,297.44,293.69,299.82,279.84,273.57,275.35,255.19,245.83,321.78,304.42
2004-02-16 21:33:00.436000,L5,314.40,289.84,285.63,297.62,288.08,284.98,281.57,265.75,275.05,336.80,293.17
2004-03-19 21:33:10.985000,L5,222.04,250.98,285.20,295.80,286.99,280.69,283.91,262.75,277.04,333.15,273.65
2004-05-06 21:34:22.023000,L5,149.02,224.99,305.36,326.01,324.19,317.48,308.72,284.21,342.46,369.73,372.87
2004-06-07 21:35:18.585000,L5,,,,,200.75,271.43,293.80,274.92,315.75,352.27,350.30
2004-06-23 21:35:46.683000,L5,,,,,,,,257.35,282.86,318.73,283.78
2004-07-25 21:36:37.854000,L5,,,,231.87,293.95,292.60,294.59,278.81,311.19,345.73,342.50
2004-08-10 21:36:56.635000,L5,151.86,193.76,283.29,299.13,292.12,288.61,282.90,271.94,292.39,331.99,312.59
2004-09-11 21:37:49.351000,L5,225.99,291.94,277.24,289.50,280.05,275.49,280.04,265.32,272.89,333.58,292.09
2004-10-13 21:38:32.826000,L5,339.43,312.29,300.13,312.53,299.60,298.59,302.37,287.29,320.94,363.08,347.65
2004-10-20 21:44:52.536000,L5,367.97,349.73,341.39,348.82,342.24,352.50,343.66,345.09,353.13,373.10,363.62
2004-12-07 21:45:47.781000,L5,339.63,322.93,314.02,322.65,307.11,307.96,305.72,284.28,292.71,333.52,321.82
2005-02-09 21:46:43.169000,L5,310.80,297.39,288.36,288.82,268.69,264.05,273.75,252.87,259.28,318.77,295.66
2005-02-18 21:40:42.163000,L5,316.34,294.90,285.83,297.88,278.76,272.38,283.22,263.98,282.94,335.72,285.58
2005-05-09 21:41:19.893000,L5,154.50,187.31,252.32,337.34,322.31,345.89,322.24,299.17,359.55,378.53,375.72
2005-05-25 21:41:28.038000,L5,,,,,,,271.53,259.67,261.91,331.18,308.22
2005-06-10 21:41:36.102000,L5,,,,,,,273.62,267.16,295.72,341.98,332.14
2005-06-26 21:41:40.412000,L5,,,,,206.80,283.78,306.72,292.07,348.69,373.86,370.26
2005-07-12 21:41:47.390000,L5,,,,,,,273.54,260.46,257.66,336.92,325.81
2005-07-28 21:41:57.832000,L5,,,176.70,239.05,282.70,282.03,281.59,270.82,304.49,348.12,337.71
2005-08-13 21:42:05.358000,L5,160.94,214.22,306.85,318.65,309.45,304.56,308.61,282.14,324.86,358.79,353.84
2005-08-29 21:42:10.705000,L5,191.40,179.05,193.12,195.03,207.49,254.77,285.51,274.48,291.78,343.37,321.30
2005-11-08 21:48:28.444000,L5,308.80,274.28,244.38,275.17,274.00,278.77,288.55,270.72,273.23,337.67,303.69
2006-01-20 21:44:01.121000,L5,299.69,225.85,241.28,292.46,273.48,268.49,277.53,245.32,236.06,320.15,272.09
2006-02-12 21:50:43.974000,L5,345.71,317.10,307.84,317.09,303.31,302.64,305.13,285.25,316.22,362.07,349.39
2006-02-21 21:44:44.561000,L5,312.05,290.99,275.71,297.09,275.58,270.74,288.69,267.40,288.81,332.66,280.97
2006-02-28 21:51:04.098000,L5,354.21,324.47,320.73,327.55,311.56,309.75,314.56,286.35,334.55,369.06,361.99
2006-03-09 21:45:04.554000,L5,318.89,294.79,284.60,298.86,279.90,280.08,289.95,265.56,279.78,336.59,279.45
2006-04-10 21:45:40.863000,L5,310.54,294.32,281.84,296.76,281.93,279.34,284.51,266.49,290.52,334.53,292.49
2006-04-26 21:45:56.580000,L5,437.87,347.37,375.56,348.50,352.66,324.11,302.62,275.66,322.94,357.09,353.08
2006-06-04 21:52:40.334000,L5,,,,,,,246.77,254.82,260.68,323.95,319.90
2006-06-13 21:46:37.602000,L5,,,,,,,,262.75,285.01,338.76,310.44
2006-07-22 21:53:22.402000,L5,,,172.48,218.92,269.75,280.21,282.20,267.19,264.04,335.20,313.22
2006-07-31 21:47:18.646000,L5,,,212.89,282.47,298.08,295.51,298.65,278.17,311.54,352.76,346.17
2006-08-23 21:53:47.156000,L5,211.15,230.09,261.78,282.78,275.11,271.84,279.31,265.97,274.35,332.49,306.97
2006-09-01 21:47:43.231000,L5,213.72,252.85,241.54,276.76,276.31,271.84,281.58,263.95,273.76,332.51,288.16
2006-09-17 21:47:54.852000,L5,246.27,286.38,258.17,284.39,278.61,276.55,287.02,269.24,277.37,333.61,321.53
2006-10-10 21:54:20.722000,L5,309.02,286.45,264.41,285.47,278.11,275.86,283.45,266.98,272.92,338.60,309.68
2006-12-06 21:49:05.144000,L5,288.58,270.60,257.15,262.53,244.12,246.98,252.56,230.82,237.78,292.20,247.11
2006-12-13 21:55:19.357000,L5,317.68,289.50,281.95,280.58,286.67,279.18,294.76,304.46,292.07,301.25,283.41
2007-01-07 21:48:55.368000,L5,291.39,240.39,251.88,274.32,257.41,256.71,262.46,240.63,251.29,300.03,249.59
2007-01-30 21:55:12.465000,L5,318.86,300.99,295.15,303.49,282.67,282.24,288.01,264.17,271.07,326.50,283.82
2007-02-08 21:49:02.527000,L5,325.28,298.16,286.45,302.45,282.28,278.52,282.33,265.37,296.64,340.81,302.87
2011-01-02 21:43:59.020000,L5,224.79,291.22,288.70,293.69,269.82,262.71,268.00,239.87,235.21,313.82,261.32
2011-01-25 21:50:11.063000,L5,316.60,297.14,295.85,298.11,279.22,281.34,276.46,244.13,237.81,320.23,292.26
2011-03-07 21:44:00.562000,L5,314.53,295.16,288.88,295.87,275.64,278.16,284.36,263.94,272.22,334.57,299.01
2011-09-06 21:48:52.270000,L5,227.88,227.59,263.39,270.62,263.46,281.42,286.60,271.11,304.23,341.25,316.73
2011-10-24 21:48:11.730000,L5,304.86,283.25,272.43,281.72,270.81,275.42,283.52,264.44,273.81,324.61,264.88
2013-04-29 21:55:51.104000,L8,290.81,258.37,246.56,304.86,267.84,278.31,288.02,271.46,361.57,370.87,370.37
2013-05-31 21:56:07.688000,L8,,,,,482.21,492.28,492.41,500.46,492.34,488.65,319.96
2013-06-07 22:02:16.944000,L8,,,193.43,236.33,276.82,283.84,279.81,264.97,309.71,338.15,366.82
2013-06-23 22:02:10.678000,L8,,,,,,,229.65,251.17,287.86,316.12,312.50
2013-07-18 21:56:02.364000,L8,,,192.29,233.10,254.50,261.72,266.44,259.98,305.46,372.11,373.18
2013-07-25 22:02:13.906000,L8,,,,,,,246.06,246.48,295.15,325.02,321.28
2013-08-26 22:02:18.205000,L8,241.97,239.95,268.41,292.22,258.37,266.70,271.57,268.90,293.44,340.00,338.14
2013-10-06 21:55:57.648000,L8,293.68,275.01,260.99,271.67,258.56,261.85,263.89,271.94,244.85,317.92,306.66
2013-10-29 22:01:58.276000,L8,357.81,315.20,277.90,301.21,261.43,265.86,266.21,262.87,251.41,318.23,310.15
2013-12-16 22:01:45.949000,L8,295.27,275.01,262.21,273.58,259.87,260.67,261.97,260.74,241.71,313.52,309.51
2014-01-17 22:01:23.941000,L8,335.90,319.71,316.04,321.09,329.41,328.82,327.43,279.00,353.17,360.67,358.13
2014-02-02 22:01:17.613000,L8,290.14,274.02,271.41,278.29,257.58,259.10,257.27,263.67,246.17,314.16,305.32
2014-02-11 21:54:56.823000,L8,294.41,274.39,265.75,275.56,259.41,261.39,261.23,269.55,247.18,319.76,316.26
2014-02-27 21:54:44.238000,L8,392.82,351.75,360.22,435.80,486.70,509.49,491.55,387.18,386.68,397.05,397.34
2014-03-06 22:00:49.280000,L8,286.19,285.76,278.63,270.90,267.06,267.97,267.19,273.76,199.18,185.68,
2014-05-02 21:53:46.331000,L8,173.33,228.27,240.88,298.23,258.34,267.46,267.61,272.69,296.64,331.35,371.84
2014-05-09 21:59:51.499000,L8,180.64,236.94,252.33,301.76,293.52,289.96,299.10,274.67,339.79,375.79,374.62
2014-05-18 21:53:35.635000,L8,,161.46,225.75,262.75,270.12,277.65,282.53,272.26,337.05,344.23,374.36
2014-05-25 21:59:46.755000,L8,,,,,,,239.65,237.37,242.42,303.81,310.24
2014-06-19 21:53:47.342000,L8,,,,,,,240.99,264.30,304.46,334.47,379.41
2014-07-05 21:53:53.692000,L8,194.83,237.67,230.84,256.95,250.85,259.79,247.88,264.55,290.47,319.60,319.14
2014-07-12 22:00:07.159000,L8,,,,,,,245.41,268.61,300.04,328.08,334.64
2014-07-21 21:53:57.022000,L8,,175.54,196.79,242.37,266.97,279.34,278.01,263.76,303.65,335.23,358.97
2014-08-06 21:54:05.764000,L8,,192.65,241.50,270.18,270.14,282.17,278.47,269.66,304.43,337.14,331.60
2014-08-13 22:00:18.767000,L8,185.03,236.04,240.80,272.65,260.63,268.26,265.37,270.14,289.71,324.34,318.02
2014-09-07 21:54:12.743000,L8,378.58,360.19,264.96,273.74,261.05,272.51,276.36,266.84,245.83,324.39,371.34
2014-09-23 21:54:09.418000,L8,217.39,286.37,269.72,275.53,261.62,269.81,274.32,273.55,252.48,325.07,310.96
2014-10-25 21:54:16.772000,L8,198.90,276.46,259.36,272.16,257.23,268.64,268.77,245.02,249.40,317.59,311.34
2014-11-01 22:00:26.566000,L8,204.74,276.24,257.30,270.91,258.69,268.23,266.87,244.72,249.89,316.78,308.15
2014-11-10 21:54:18.528000,L8,354.85,274.99,258.90,268.81,260.81,268.37,265.30,270.45,247.33,312.35,307.42
2014-12-03 22:00:25.829000,L8,205.53,278.34,262.87,273.39,263.33,266.60,264.68,242.84,248.74,317.96,373.72
2015-01-04 22:00:17.911000,L8,425.39,356.38,354.61,352.74,359.44,371.26,357.31,373.87,376.85,382.16,388.46
2015-04-03 21:53:26.876000,L8,221.71,287.84,281.48,285.93,264.78,268.02,263.01,245.11,249.06,330.36,356.37
2015-04-19 21:53:26.711000,L8,207.47,235.90,294.39,308.77,270.60,275.80,269.58,251.89,255.83,336.82,356.91
2015-05-05 21:53:12.716000,L8,161.06,218.81,238.76,258.47,255.61,259.19,255.36,243.42,251.58,322.10,378.96
2015-05-12 21:59:17.028000,L8,,172.94,241.79,260.75,246.24,229.09,250.02,238.89,247.42,317.30,317.11
2015-05-28 21:59:19.654000,L8,,,,,,,250.87,248.90,254.63,313.72,313.40
2015-06-06 21:53:16.624000,L8,,,160.47,218.91,259.29,318.98,321.24,330.01,407.99,382.25,378.86
2015-06-29 21:59:38.478000,L8,,,,223.18,253.82,274.71,274.05,259.35,309.92,340.35,360.94
2015-07-15 21:59:48.397000,L8,431.04,428.46,443.55,429.41,420.68,335.48,373.40,384.37,367.64,377.89,428.27
2015-08-25 21:53:51.592000,L8,206.61,233.03,265.00,270.60,259.72,273.83,265.97,254.25,249.89,333.58,329.45
2015-10-03 22:00:16.404000,L8,224.27,265.77,258.17,268.71,256.47,268.19,264.60,272.04,249.49,326.05,360.73
2015-10-19 22:00:17.969000,L8,204.35,267.95,259.03,267.79,260.29,264.29,261.23,278.17,246.70,318.63,318.67
2015-10-28 21:54:10.619000,L8,380.50,366.60,331.90,333.78,331.14,338.77,346.77,357.48,358.03,360.68,380.74
2015-11-13 21:54:10.716000,L8,196.36,267.67,256.53,268.75,256.24,259.41,259.72,263.96,245.93,315.12,310.52
2015-12-15 21:54:12.402000,L8,193.20,268.46,254.46,266.37,255.87,255.46,256.44,271.48,244.20,312.79,314.74
2016-01-16 21:54:09.540000,L8,355.61,361.34,334.80,273.29,264.52,268.24,261.28,348.91,348.84,370.06,269.43
2016-01-23 22:00:20.166000,L8,494.12,362.81,361.96,358.37,373.95,384.94,378.54,379.74,371.52,383.85,396.82
2016-02-01 21:54:07.333000,L8,235.01,269.38,260.80,271.74,258.87,261.12,258.48,244.38,249.57,316.10,377.93
2016-02-17 21:53:58.323000,L8,191.98,277.64,267.26,283.79,269.25,269.92,263.97,271.06,248.19,321.32,354.03
2016-02-24 22:00:08.984000,L8,194.73,272.87,261.06,270.97,260.80,261.82,258.13,239.27,252.22,316.18,371.78
2016-03-04 21:53:57.602000,L8,192.27,271.50,262.62,274.96,260.21,265.52,259.23,261.06,247.90,317.60,362.09
2016-03-20 21:53:51.169000,L8,200.42,274.92,263.89,276.66,265.62,267.97,260.63,269.41,253.85,321.20,340.15
2016-03-27 21:59:57.202000,L8,230.72,285.62,305.52,300.60,277.49,282.70,273.55,272.01,297.94,338.03,398.15
2016-04-21 21:53:36.277000,L8,208.67,236.90,259.03,300.46,270.02,274.78,268.66,269.02,297.51,329.35,361.20
2016-04-28 21:59:49.549000,L8,176.50,207.10,235.79,250.09,221.25,,246.66,228.00,240.21,271.55,249.12
2016-05-07 21:53:39.461000,L8,188.63,244.34,244.76,265.17,271.84,273.99,269.75,271.30,303.75,357.03,376.49
2016-05-14 21:59:48.138000,L8,,196.11,243.23,269.34,271.61,271.07,265.94,271.61,301.77,381.45,385.84
2016-05-23 21:53:41.571000,L8,,,193.78,238.14,255.65,269.46,260.82,266.29,293.53,327.34,333.94
2016-06-08 21:53:45.728000,L8,192.95,183.41,230.45,250.84,221.31,,250.34,240.91,240.08,310.01,306.73
2016-06-15 21:59:57.053000,L8,,,,,,,232.68,234.13,242.26,276.31,315.90
2016-07-01 22:00:06.474000,L8,,,162.64,227.91,259.23,292.69,356.24,372.49,366.16,377.74,381.66
2016-07-17 22:00:13.286000,L8,,180.63,234.00,258.87,255.05,264.46,250.41,254.10,265.26,322.24,338.18
2016-07-26 21:54:04.677000,L8,,,,,,,242.95,235.47,240.69,313.54,317.10
2016-08-11 21:54:06.433000,L8,,190.95,232.20,245.77,240.98,,244.24,236.74,238.44,311.84,297.87
2016-08-27 21:54:14.090000,L8,212.05,233.03,250.80,260.65,249.29,259.16,255.34,245.39,248.48,323.58,332.66
2016-09-12 21:54:18.117000,L8,224.74,259.19,263.03,273.29,258.44,267.95,263.72,252.53,252.07,323.11,370.89
2016-09-19 22:00:29.430000,L8,215.64,206.11,242.02,249.96,238.39,237.39,247.12,232.77,227.80,306.49,259.30
2016-11-22 22:00:35.730000,L8,201.98,273.45,262.76,274.45,263.31,266.85,262.98,242.12,253.34,317.62,316.24
2016-12-17 21:54:19.694000,L8,355.60,310.58,349.50,356.26,366.76,373.53,309.22,360.93,364.64,378.05,377.97
2016-12-24 22:00:29.402000,L8,305.74,292.11,285.97,300.72,273.12,283.42,270.89,270.13,259.26,349.82,360.93
2017-01-09 22:00:26.241000,L8,198.14,280.14,266.56,321.05,269.83,275.35,263.48,272.45,251.45,372.19,368.40
2017-01-25 22:00:20.789000,L8,195.12,439.28,440.71,428.35,271.49,277.38,258.98,271.41,249.74,366.06,371.59
2017-02-03 21:54:05.431000,L8,358.69,349.75,344.32,356.09,277.17,359.42,357.27,357.41,363.86,377.09,373.39
2017-03-30 21:59:50.258000,L8,279.50,287.29,281.62,307.05,274.88,286.36,273.44,271.22,296.84,400.08,387.63
2017-05-01 21:59:31.775000,L8,,193.72,221.91,232.93,248.74,247.81,235.37,205.15,218.07,265.17,265.31
2017-06-11 21:53:45.526000,L8,,,,196.96,247.89,275.41,280.83,270.77,322.61,342.60,364.75
2017-07-04 22:00:02.623000,L8,,,,,,,229.56,236.60,231.85,276.18,314.63
2017-08-21 22:00:19.916000,L8,373.71,344.76,341.01,333.46,345.78,374.32,469.27,455.22,520.94,522.92,522.66
2017-09-22 22:00:25.901000,L8,211.17,207.95,240.53,253.01,241.57,233.38,249.39,231.80,222.26,260.15,
2017-10-01 21:54:18.775000,L8,217.43,274.34,262.91,273.13,262.95,273.23,265.98,275.90,253.80,322.27,320.59
2017-12-04 21:54:13.271000,L8,194.06,270.60,261.64,270.77,259.41,264.17,257.30,250.19,242.48,310.79,350.64
2017-12-11 22:00:24.535000,L8,197.40,271.70,260.92,271.00,259.34,263.21,256.69,231.32,245.87,311.43,380.92
2018-01-28 22:00:10.212000,L8,290.71,281.33,267.23,278.64,266.61,268.18,263.33,280.88,256.32,324.60,373.08
2018-02-22 21:53:49.659000,L8,190.50,277.97,264.97,274.19,262.03,265.89,259.41,275.02,246.51,320.52,360.65
