dates,nzd0290-0000,nzd0290-0004,nzd0290-0005,nzd0290-0001,nzd0290-0002,nzd0290-0003
1999-08-28 21:53:11+00:00,237.06,,,,,
1999-09-22 21:47:00+00:00,248.78,186.71,239.31,,,
1999-09-29 21:53:16+00:00,252.24,192.025,241.01999999999998,218.93,,
1999-10-24 21:46:56+00:00,255.6925,185.11666666666667,237.74333333333334,218.93,,
2000-01-19 21:53:01+00:00,254.56599999999997,185.11666666666667,238.5425,209.44,,318.07
2000-02-04 21:53:01+00:00,259.04,185.11666666666667,240.652,213.82333333333335,252.68,321.32
2000-04-01 21:46:34+00:00,257.6,180.79500000000002,240.39000000000001,206.84333333333333,252.68,321.32
2000-07-29 21:51:26+00:00,257.14500000000004,187.04500000000002,244.86666666666667,209.02666666666667,262.39,324.57
2000-08-14 21:51:20+00:00,238.60500000000002,187.04500000000002,242.755,202.245,272.1,
2000-09-15 21:50:49+00:00,242.64666666666668,187.04500000000002,242.755,202.245,272.1,
2000-10-26 21:44:22+00:00,256.0566666666667,183.8,245.17,206.5,272.1,
2000-11-27 21:44:26+00:00,262.2275,186.955,241.885,206.5,272.1,
2000-12-13 21:44:28+00:00,264.762,186.955,241.885,206.5,272.1,
2001-01-14 21:44:33+00:00,264.762,186.955,239.2733333333333,206.5,272.1,
2001-04-04 21:44:06+00:00,266.2025,185.91000000000003,237.35333333333335,,,
2001-04-20 21:44:10+00:00,260.232,185.91000000000003,237.35333333333335,201.68,,
2001-05-22 21:43:54+00:00,257.0125,188.61666666666667,239.6525,197.66500000000002,248.2,
2001-09-11 21:42:38+00:00,236.205,188.70000000000002,241.67,198.47000000000003,248.2,
2001-10-29 21:42:21+00:00,276.82,192.195,242.8,199.21,248.2,
2002-01-17 21:42:52+00:00,265.47999999999996,190.36,239.05,201.99,,
2002-02-02 21:42:54+00:00,265.47999999999996,185.695,232.715,201.99,,
2002-02-18 21:42:54+00:00,259.17333333333335,185.695,232.715,201.99,,
2002-03-22 21:42:52+00:00,253.27999999999997,181.03,226.38,203.9,,
2002-04-07 21:42:52+00:00,256.24399999999997,181.03,226.38,203.9,,
2002-04-14 21:49:02+00:00,256.24399999999997,181.375,232.12,203.9,,
2002-09-05 21:48:14+00:00,251.26666666666665,181.72,237.86,207.5,,
2002-09-14 21:41:55+00:00,250.7025,181.72,237.86,229.905,265.82,280.58
2002-09-30 21:41:47+00:00,260.3975,181.72,237.86,238.44333333333336,261.90999999999997,296.45
2002-10-23 21:48:03+00:00,257.83,,,238.44333333333336,261.90999999999997,307.93
2002-11-01 21:41:54+00:00,257.83,,,238.44333333333336,265.48,312.1325
2002-11-24 21:48:26+00:00,266.13,,233.54,246.6275,267.235,314.53599999999994
2003-01-20 21:42:33+00:00,266.13,,237.87,246.6275,267.235,314.53599999999994
2003-01-27 21:48:45+00:00,266.13,,241.14666666666665,246.6275,267.235,314.53599999999994
2003-02-21 21:42:44+00:00,266.13,,241.14666666666665,246.6275,273.932,314.53599999999994
2003-05-03 21:49:01+00:00,277.1149999999999,191.19,241.14666666666665,276.625,289.74333333333334,324.15
2003-05-12 21:42:48+00:00,277.1149999999999,259.65999999999997,235.545,275.31333333333333,291.505,324.09
2003-05-28 21:42:46+00:00,263.2,285.1933333333333,236.21333333333334,280.89000000000004,299.8125,333.93499999999995
2003-07-30 21:36:57+00:00,263.2,297.2775,218.74,289.17,304.394,333.2833333333333
2003-08-15 21:37:12+00:00,272.62499999999994,303.722,218.74,295.11,307.235,331.22249999999997
2003-08-24 21:31:12+00:00,263.5466666666666,303.722,243.10000000000002,295.11,308.538,331.22249999999997
2003-09-25 21:31:42+00:00,281.86249999999995,309.22166666666664,276.3666666666667,301.20666666666665,311.81333333333333,332.192
2003-10-18 21:38:12+00:00,296.32599999999996,312.1714285714285,290.5,306.05285714285714,315.33714285714285,331.92333333333335
2003-11-19 21:38:38+00:00,316.28599999999994,335.7683333333334,322.58,317.91833333333335,321.99833333333333,334.705
2003-11-28 21:32:34+00:00,323.0566666666667,335.785,323.642,324.31666666666666,324.7366666666667,333.41
2003-12-14 21:32:38+00:00,327.7785714285714,336.8442857142857,326.4783333333333,324.8528571428571,325.21714285714285,334.7642857142857
2003-12-30 21:32:48+00:00,331.9225,337.76625,329.0514285714286,324.69624999999996,324.7625,335.21625
2004-01-22 21:39:04+00:00,334.69777777777773,337.0755555555556,328.82125,323.9011111111111,324.02222222222224,334.8522222222222
2004-02-16 21:33:00+00:00,342.9833333333333,339.25374999999997,330.2322222222222,326.58624999999995,325.3625,337.33000000000004
2004-03-19 21:33:10+00:00,350.4211111111111,339.4922222222222,338.99111111111114,327.18888888888887,326.47,338.50333333333333
2004-05-06 21:34:22+00:00,342.67375,341.2375,340.26000000000005,326.02125,325.76625,339.80625
2004-06-23 21:35:46+00:00,333.07399999999996,340.69666666666666,344.59999999999997,318.47,329.44166666666666,340.4633333333333
2004-07-25 21:36:37+00:00,315.8466666666666,341.218,348.052,316.566,333.26800000000003,342.09000000000003
2004-09-11 21:37:49+00:00,298.28666666666663,340.128,348.08000000000004,312.338,330.428,338.946
2004-10-13 21:38:32+00:00,312.55999999999995,339.648,347.00600000000003,309.27,328.974,336.632
2004-10-20 21:44:52+00:00,314.53999999999996,335.9533333333333,340.53833333333336,307.7583333333333,325.94,334.1166666666667
2004-12-07 21:45:47+00:00,334.88,335.16,338.195,308.57166666666666,327.32166666666666,334.3383333333333
2005-02-09 21:46:43+00:00,328.71799999999996,327.066,323.704,312.71400000000006,319.5,327.76599999999996
2005-02-18 21:40:42+00:00,325.22166666666664,326.5516666666667,321.97833333333335,312.125,317.185,327.16333333333336
2005-05-09 21:41:19+00:00,308.37,325.135,320.38750000000005,316.6025,317.7125,329.12
2005-05-25 21:41:28+00:00,308.37,327.788,324.99,318.76000000000005,319.62600000000003,330.122
2005-06-10 21:41:36+00:00,291.1766666666667,326.09599999999995,326.046,311.97200000000004,314.916,327.78999999999996
2005-06-26 21:41:40+00:00,291.1766666666667,328.7333333333333,328.97666666666663,311.97200000000004,317.1933333333333,328.865
2005-07-12 21:41:47+00:00,291.1766666666667,329.75857142857143,330.89142857142855,312.7916666666667,318.6042857142857,329.90000000000003
2005-08-13 21:42:05+00:00,280.69666666666666,332.34285714285716,336.6485714285714,315.12833333333333,320.3314285714286,331.1042857142857
2005-08-29 21:42:10+00:00,268.53999999999996,331.7485714285714,337.21285714285716,313.46333333333337,319.8985714285714,329.6642857142857
2005-11-08 21:48:28+00:00,292.9633333333333,331.1414285714286,333.79857142857145,312.9016666666667,319.50857142857143,328.96000000000004
2006-01-20 21:44:01+00:00,298.8775,324.1475,321.14,308.245,308.93,323.8725
2006-02-12 21:50:43+00:00,304.78249999999997,324.62666666666667,306.9075,302.7075,305.43,321.07
2006-02-21 21:44:44+00:00,303.82599999999996,323.90999999999997,309.344,303.348,306.15,321.394
2006-02-28 21:51:04+00:00,310.07,325.11,307.684,304.214,306.11600000000004,322.91400000000004
2006-03-09 21:45:04+00:00,308.88166666666666,322.63,308.5733333333333,303.755,305.8183333333333,322.5683333333333
2006-06-04 21:52:40+00:00,303.65999999999997,321.02,309.25333333333333,301.78666666666663,304.55833333333334,320.96
