dates,satname,nzd0291-0000,nzd0291-0001,nzd0291-0009,nzd0291-0010,nzd0291-0011,nzd0291-0012,nzd0291-0013,nzd0291-0014,nzd0291-0007,nzd0291-0008,nzd0291-0002,nzd0291-0003,nzd0291-0004,nzd0291-0005,nzd0291-0006
1999-08-21 21:46:56.985000,L7,310.91,321.05,309.07,307.01,299.36,308.30,309.48,383.07,,,,,,,
1999-08-28 21:53:11.984000,L7,312.48,321.28,308.57,309.46,300.28,308.71,310.29,306.43,296.62,310.66,,,,,
1999-09-22 21:47:00.785000,L7,,,364.74,359.91,356.92,349.40,351.08,348.60,363.76,364.67,315.82,355.78,359.78,312.96,360.65
1999-10-24 21:46:56.203000,L7,373.47,356.46,305.56,307.47,300.83,307.04,304.77,372.23,,310.65,379.74,391.90,,,
1999-10-31 21:53:08.082000,L7,339.31,341.19,413.16,409.13,393.65,386.30,386.40,384.15,402.29,407.52,344.45,355.58,395.95,399.36,401.18
2000-01-19 21:53:01.775000,L7,286.57,308.85,,,,280.77,285.96,379.47,,,305.69,280.58,,,
2000-02-04 21:53:01.324000,L7,403.69,325.77,324.26,315.75,310.37,310.46,312.84,328.67,312.86,316.47,366.65,361.67,337.87,321.22,326.08
2000-05-03 21:46:19.161000,L7,,,322.81,320.60,313.29,324.27,397.96,354.06,319.93,330.64,,385.21,387.59,384.99,326.60
2000-05-19 21:46:07.873000,L7,,,324.48,321.51,312.38,318.01,322.59,364.32,335.47,340.99,,309.47,355.64,410.99,323.15
2000-05-26 21:52:12.607000,L7,381.25,361.52,328.73,328.55,325.46,314.22,339.10,354.76,341.06,361.21,,308.85,290.91,333.97,387.50
2000-07-13 21:51:43.794000,L7,,,,,,,400.87,379.38,,,,,,,
2000-07-29 21:51:26.388000,L7,349.01,387.33,361.47,360.48,366.74,357.47,354.09,371.01,375.16,376.48,313.18,355.56,344.68,396.94,376.83
2000-08-07 21:45:08.975000,L7,384.71,384.76,366.08,349.92,350.56,,,,354.87,,387.09,380.70,,,412.85
2000-09-15 21:50:49.667000,L7,316.42,333.40,,,303.90,311.34,307.41,320.69,,,276.71,296.49,283.38,,
2000-10-26 21:44:22.850000,L7,298.40,320.17,410.98,378.13,379.22,302.84,302.45,353.05,,397.66,316.45,279.16,,,
2000-11-27 21:44:26.720000,L7,375.44,375.78,350.34,349.34,346.10,332.81,378.66,372.40,360.58,354.41,336.04,342.97,341.73,343.53,353.07
2000-12-13 21:44:28.287000,L7,294.89,315.75,,,294.17,303.28,306.82,349.93,,,305.95,277.72,,,
2001-01-05 21:50:40.530000,L7,346.31,346.86,358.82,356.56,354.30,353.67,350.48,350.76,368.41,326.63,350.17,355.27,357.58,359.95,368.40
2001-01-21 21:50:46.402000,L7,338.00,338.57,360.65,355.76,350.56,347.68,348.78,320.86,367.73,362.57,304.64,347.19,286.47,360.80,365.27
2001-03-10 21:50:34.795000,L7,301.44,318.55,308.90,306.05,294.67,306.31,303.01,394.88,297.20,306.15,302.43,281.00,,,
2001-04-04 21:44:06.948000,L7,395.15,377.87,353.86,356.10,349.71,346.25,352.96,,366.95,362.67,,321.15,332.77,338.97,363.17
2001-04-20 21:44:10.657000,L7,405.32,404.87,323.31,323.09,310.46,361.47,383.99,378.29,330.85,347.46,307.14,295.92,288.62,310.13,322.74
2001-06-30 21:49:36.194000,L7,,,326.14,332.44,318.16,316.66,318.87,329.14,,303.65,,,,,
2001-07-25 21:43:18.753000,L7,,,319.14,321.36,306.29,314.24,321.32,350.17,315.36,309.22,,,,,
2001-09-11 21:42:38.257000,L7,316.30,321.24,321.25,315.17,306.30,313.02,309.23,362.47,321.40,332.92,306.92,285.45,287.22,384.70,423.44
2001-09-18 21:48:41.296000,L7,351.96,371.05,364.82,357.52,355.90,348.59,347.37,350.60,370.96,367.19,357.40,361.32,403.24,,391.97
2001-10-29 21:42:21.289000,L7,297.16,350.43,,,296.60,304.55,305.31,357.95,,,359.34,281.42,,,
2002-01-17 21:42:52.816000,L7,,391.46,387.70,388.55,387.75,381.12,381.44,389.67,399.79,396.85,389.83,385.81,381.32,394.85,399.66
2002-01-24 21:49:06.898000,L7,364.16,366.78,339.20,322.43,305.20,306.90,307.99,298.26,301.74,330.26,380.06,306.17,294.40,299.88,321.64
2002-02-25 21:49:11.892000,L7,398.29,392.56,394.69,392.13,386.89,382.37,344.61,387.64,,389.54,344.72,387.25,287.40,,
2002-04-07 21:42:52.870000,L7,344.60,345.99,345.59,332.52,314.36,344.49,364.68,367.45,370.84,386.93,345.55,343.02,346.47,,
2002-04-14 21:49:02.545000,L7,370.77,370.14,384.71,390.27,370.56,361.23,352.66,361.26,392.00,361.17,349.24,330.79,344.50,300.97,375.16
2002-07-19 21:48:33.434000,L7,,,,,306.12,311.56,312.40,407.01,,,,,,,
2002-09-05 21:48:14.221000,L7,389.37,399.41,392.78,392.31,374.44,373.78,395.83,393.10,402.08,401.10,371.64,368.90,395.45,397.57,403.03
2002-09-14 21:41:55.072000,L7,307.16,317.95,,,389.63,405.17,394.35,340.17,,,310.54,307.44,,,
2002-10-23 21:48:03.157000,L7,363.63,376.40,347.76,367.54,363.45,352.90,361.80,377.71,354.80,349.95,385.26,339.96,337.36,333.18,349.58
2002-11-01 21:41:54.382000,L7,372.78,318.23,311.78,315.59,304.75,308.33,365.51,376.51,,312.39,310.98,304.37,,,
2002-11-17 21:42:06.289000,L7,353.39,347.48,407.38,354.44,343.29,335.06,335.21,331.44,405.82,,345.81,,,371.35,419.89
2002-11-24 21:48:26.056000,L7,299.32,317.80,307.09,312.72,298.94,305.56,300.17,320.75,,311.69,297.06,302.45,,,
2002-12-10 21:48:29.024000,L7,349.21,320.67,354.44,347.02,338.85,331.10,332.62,373.22,359.27,317.86,333.70,337.11,338.40,351.24,359.67
2002-12-26 21:48:36.012000,L7,371.65,372.35,386.50,380.98,376.36,373.80,371.92,370.41,387.20,390.55,366.36,369.63,370.12,380.50,390.99
2003-01-20 21:42:33.373000,L7,339.77,325.73,386.67,390.65,383.33,376.25,372.94,378.23,392.71,392.12,376.89,372.22,376.59,388.37,399.31
2003-01-27 21:48:45.095000,L7,385.84,375.81,367.44,363.35,368.80,374.06,399.65,319.40,395.32,382.81,388.91,359.95,285.91,385.19,382.69
2003-02-05 21:42:41.878000,L7,286.88,314.70,,,,,303.26,365.22,,,300.19,367.31,,,
2003-02-21 21:42:44.547000,L7,293.20,323.57,390.16,413.09,296.24,314.37,308.19,382.48,383.37,388.68,378.49,393.98,289.65,391.16,416.01
2003-05-03 21:49:01.134000,L7,,,410.43,404.88,397.63,391.04,395.91,392.31,414.89,409.14,,,,,
2003-05-12 21:42:48.091000,L7,384.55,375.71,336.93,327.01,316.94,324.03,320.32,360.58,340.80,344.26,,,,,
2003-05-28 21:42:46.560000,L7,388.00,389.94,375.78,356.86,326.87,326.57,409.78,,390.83,354.89,,309.63,407.07,349.59,398.97
2003-07-30 21:36:57.157000,L5,336.71,343.44,341.61,343.76,341.07,334.84,341.97,356.81,336.94,341.59,264.17,311.11,320.06,334.43,350.73
2003-08-15 21:37:12.191000,L5,354.10,363.63,359.01,361.62,354.75,355.01,369.48,377.02,364.78,357.91,351.79,362.48,371.91,383.21,374.67
2003-09-25 21:31:42.973000,L5,332.50,344.38,335.50,340.46,331.36,327.71,335.52,350.73,328.59,334.54,313.74,303.90,307.09,320.70,343.26
2003-10-18 21:38:12.093000,L5,343.53,350.84,323.33,329.50,319.71,316.29,338.99,354.81,324.18,326.19,321.28,313.72,317.69,329.81,338.13
2003-11-19 21:38:38.232000,L5,328.48,336.66,344.01,343.18,339.05,335.30,343.33,336.90,337.06,344.05,311.79,298.68,308.73,314.91,332.21
2003-11-28 21:32:34.027000,L5,328.63,336.21,335.67,332.99,332.94,327.49,333.99,336.91,338.91,346.12,318.84,311.59,323.73,328.15,352.39
2003-12-14 21:32:38.364000,L5,329.49,334.88,324.13,331.46,324.32,322.15,329.76,337.10,327.65,335.44,319.91,308.97,312.70,325.11,342.69
2003-12-30 21:32:48.382000,L5,333.21,339.27,340.42,342.30,336.93,337.59,342.29,341.10,339.96,344.42,311.99,298.93,311.09,321.70,333.06
2004-01-15 21:32:50.035000,L5,299.38,307.68,,,,,,,304.01,,285.44,282.80,293.21,304.38,313.03
