dates,satname,nzd0295-0000,nzd0295-0001,nzd0295-0003,nzd0295-0004,nzd0295-0005,nzd0295-0006,nzd0295-0007,nzd0295-0008,nzd0295-0009,nzd0295-0010,nzd0295-0011,nzd0295-0012,nzd0295-0013,nzd0295-0014,nzd0295-0015,nzd0295-0016,nzd0295-0017,nzd0295-0018,nzd0295-0019,nzd0295-0020,nzd0295-0021,nzd0295-0022,nzd0295-0023,nzd0295-0024,nzd0295-0025,nzd0295-0026,nzd0295-0027,nzd0295-0028,nzd0295-0029,nzd0295-0030,nzd0295-0031,nzd0295-0032,nzd0295-0033,nzd0295-0034,nzd0295-0035,nzd0295-0036,nzd0295-0037,nzd0295-0038,nzd0295-0039,nzd0295-0040,nzd0295-0041,nzd0295-0042,nzd0295-0043,nzd0295-0044,nzd0295-0045,nzd0295-0046,nzd0295-0047,nzd0295-0049,nzd0295-0050,nzd0295-0051,nzd0295-0052,nzd0295-0053,nzd0295-0054,nzd0295-0055,nzd0295-0056,nzd0295-0057,nzd0295-0058,nzd0295-0059,nzd0295-0060,nzd0295-0061,nzd0295-0062,nzd0295-0063,nzd0295-0064,nzd0295-0065,nzd0295-0066,nzd0295-0067,nzd0295-0068,nzd0295-0069,nzd0295-0071,nzd0295-0072,nzd0295-0073,nzd0295-0074,nzd0295-0075,nzd0295-0076,nzd0295-0077,nzd0295-0078,nzd0295-0079,nzd0295-0080,nzd0295-0081,nzd0295-0082,nzd0295-0083,nzd0295-0084,nzd0295-0085,nzd0295-0086,nzd0295-0087,nzd0295-0088,nzd0295-0089,nzd0295-0090,nzd0295-0091,nzd0295-0092,nzd0295-0093,nzd0295-0094,nzd0295-0095,nzd0295-0105,nzd0295-0106,nzd0295-0107,nzd0295-0108,nzd0295-0109,nzd0295-0002,nzd0295-0070,nzd0295-0048,nzd0295-0096,nzd0295-0097,nzd0295-0098,nzd0295-0099,nzd0295-0104,nzd0295-0110,nzd0295-0111,nzd0295-0100,nzd0295-0101,nzd0295-0102,nzd0295-0103,nzd0295-0112,nzd0295-0113,nzd0295-0114
1999-08-05 21:47:23.016000,L7,,,,,,338.42,338.43,341.36,364.25,348.95,363.41,377.01,398.26,404.17,417.65,424.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.60,396.09,391.86,395.16,395.38,401.85,405.20,417.43,406.40,420.77,397.87,419.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-21 21:47:20.968000,L7,,,,,,,,,,,,,332.09,343.67,329.59,335.36,338.19,335.60,341.35,342.25,341.56,338.40,346.79,351.60,,,,,345.47,336.33,343.22,335.93,,,305.68,346.93,346.78,341.69,346.26,347.26,343.03,351.32,352.80,364.05,364.82,,,,,,,,,356.84,356.26,355.11,,,,,,,,,,,,,311.41,314.35,311.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-22 21:47:24.746000,L7,353.41,353.84,338.53,334.59,319.56,312.71,321.15,315.23,324.64,332.19,334.11,334.34,344.00,357.23,350.51,350.74,351.49,346.75,349.77,351.84,349.92,356.94,361.09,358.57,360.75,362.50,367.56,359.44,350.60,353.98,354.67,350.66,339.92,356.92,348.91,354.75,356.57,352.61,354.85,356.35,361.85,363.27,366.22,371.56,370.90,367.26,347.41,370.80,374.08,362.83,347.04,426.95,413.25,413.52,413.43,409.34,403.91,398.19,315.72,316.25,331.32,315.77,338.18,317.71,324.93,320.05,312.65,316.15,331.19,332.21,322.75,315.04,303.89,302.08,291.00,307.49,310.87,307.20,319.00,312.74,312.82,302.44,303.56,299.65,305.40,302.09,314.21,309.31,310.05,306.82,313.74,298.00,392.35,311.13,320.46,311.54,301.26,299.99,,,,,,,,,,,,,,,,,
1999-09-29 21:53:16.190000,L7,405.11,,,,,,390.55,378.58,381.44,404.67,402.35,,,,,,,,,,,,,,,,,,,,,403.81,404.51,397.29,398.06,390.83,380.10,334.54,320.92,,335.84,345.91,352.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-29 21:53:40.155000,L7,405.07,,,,,,390.55,378.47,381.80,405.01,402.39,314.78,321.30,332.97,,,,,,,,,,,,,,,,,,403.43,404.50,397.13,397.72,362.17,380.17,334.26,331.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-24 21:47:20.173000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.05,425.39,414.06,415.68,408.57,407.57,403.52,411.12,400.26,390.85,403.32,406.24,408.71,,,,,,,,,,,,,,,391.03,396.52,387.58,383.01,377.37,377.89,,,,,,,,,,,401.37,,,,,,,,,,,,,,,
1999-10-31 21:53:08.082000,L7,341.14,351.46,334.17,336.62,323.46,310.89,333.24,329.60,329.98,332.28,336.49,343.15,344.58,355.14,351.55,345.51,344.71,345.48,346.30,343.51,351.51,355.40,364.31,365.31,366.86,379.37,372.77,366.58,357.92,352.67,353.66,349.99,347.51,351.18,350.38,346.09,346.10,347.54,350.44,355.33,361.19,360.62,366.54,368.49,370.45,369.82,,364.53,369.70,365.79,335.32,337.48,354.90,359.26,360.38,362.64,356.80,348.25,337.88,337.30,334.85,324.63,332.62,314.09,326.82,326.77,311.24,328.05,329.83,329.64,322.99,312.69,306.92,304.89,302.36,315.98,313.55,316.43,322.49,320.44,320.11,304.37,299.14,308.55,314.08,307.02,312.35,307.07,311.48,319.01,312.28,,,,294.42,277.47,304.18,,340.58,302.89,,,,,,,,,,,,,,,
1999-11-16 21:53:32.114000,L7,347.24,346.16,344.34,338.39,338.07,340.94,347.41,351.60,356.82,354.14,358.51,364.62,369.38,379.57,380.18,367.40,357.12,359.17,355.17,354.48,359.12,361.21,360.97,369.96,376.20,378.85,385.39,382.96,376.12,362.91,362.23,355.56,351.80,353.38,355.96,322.85,321.48,323.17,329.83,331.80,333.38,335.57,337.63,350.76,357.88,363.96,349.23,355.04,346.62,342.06,336.99,341.58,340.07,344.53,338.34,347.58,342.21,337.18,326.95,320.84,314.03,335.67,335.69,324.39,328.28,331.86,323.70,343.40,351.27,348.69,343.72,336.30,323.15,320.93,321.47,263.73,279.10,274.60,286.94,282.13,283.42,268.36,267.15,274.60,291.16,285.52,291.53,284.76,285.47,331.38,327.58,297.07,,334.54,338.07,338.57,326.52,314.48,345.06,337.20,338.74,350.74,349.56,339.57,342.14,336.95,314.58,325.98,,,,,,,
2000-01-19 21:53:01.775000,L7,348.80,357.95,344.70,334.63,333.87,331.24,324.48,318.88,344.21,335.46,337.71,347.68,354.62,364.63,360.72,350.71,347.91,347.05,347.20,348.20,352.20,356.37,362.79,362.17,366.33,361.32,371.24,361.69,356.80,351.24,343.89,343.22,341.27,353.57,346.51,350.62,358.39,349.16,351.35,355.85,352.19,355.71,362.20,370.41,376.27,377.47,364.50,367.51,366.63,364.69,357.76,356.42,363.20,367.34,366.08,362.27,361.23,354.97,346.66,343.63,338.99,323.58,330.41,328.07,331.89,329.69,327.70,344.33,330.78,330.62,318.93,317.89,315.10,318.05,313.82,313.34,317.83,311.53,322.45,320.27,314.81,303.81,302.23,306.59,314.36,319.69,325.02,325.11,321.70,324.26,326.18,304.77,,294.30,300.83,285.06,,,355.37,347.69,353.01,,,,,320.97,,,,,,,,,
2000-01-19 21:53:25.812000,L7,347.59,356.00,342.95,331.86,332.22,330.12,320.74,316.03,317.97,330.29,335.58,343.21,349.06,362.76,354.32,348.26,345.67,342.44,343.41,344.51,344.01,353.73,358.62,360.73,364.20,357.44,370.10,358.08,353.70,349.63,342.28,341.74,338.07,346.45,343.79,349.73,356.58,345.66,349.49,354.42,350.66,353.50,360.94,368.50,374.13,375.54,362.50,364.93,362.72,360.72,353.19,354.01,361.66,363.99,363.57,360.35,358.05,350.66,344.11,342.45,337.25,320.65,327.22,326.85,329.20,328.40,324.36,342.31,329.25,326.51,315.71,316.72,306.86,307.24,308.23,311.56,314.38,309.19,320.97,318.36,313.27,302.44,302.15,305.19,313.11,317.55,324.29,323.93,320.02,323.01,324.47,295.72,,306.45,299.07,293.79,,,351.57,343.40,351.96,,,,,,,,,,,,,,
