dates,nzd0296-0000,nzd0296-0001,nzd0296-0002,nzd0296-0003,nzd0296-0004,nzd0296-0005,nzd0296-0006,nzd0296-0007,nzd0296-0008,nzd0296-0009,nzd0296-0010,nzd0296-0011,nzd0296-0012,nzd0296-0013,nzd0296-0014,nzd0296-0015,nzd0296-0016,nzd0296-0017,nzd0296-0018,nzd0296-0019,nzd0296-0020,nzd0296-0021,nzd0296-0022,nzd0296-0023,nzd0296-0024,nzd0296-0025,nzd0296-0026,nzd0296-0027,nzd0296-0028,nzd0296-0029,nzd0296-0030,nzd0296-0031,nzd0296-0032,nzd0296-0033,nzd0296-0034,nzd0296-0035,nzd0296-0036,nzd0296-0037,nzd0296-0038,nzd0296-0039,nzd0296-0040,nzd0296-0041,nzd0296-0042,nzd0296-0043,nzd0296-0044,nzd0296-0045,nzd0296-0046,nzd0296-0047,nzd0296-0048,nzd0296-0049,nzd0296-0050,nzd0296-0051,nzd0296-0052,satname
1999-08-05 21:47:23+00:00,,320.7,311.44,288.77,302.36,311.0,305.99,302.15,303.45,285.5,280.69,284.28,282.76,277.71,272.11,259.33,266.62,261.5,278.79,217.51,,,,,,222.51,214.08,,,264.61,277.0,290.28,276.81,283.16,284.68,289.59,,,,,,,,285.69,286.26,280.1,279.83,281.86,,,328.81,330.77,,L7
1999-08-21 21:47:20+00:00,321.72,311.59000000000003,309.14,294.78999999999996,296.92,311.0,302.625,301.03,302.46500000000003,302.90999999999997,276.235,283.04499999999996,277.58500000000004,275.56,268.43,255.725,256.625,253.70499999999998,262.645,225.075,287.32,,,,,237.495,230.695,262.25,,268.70500000000004,274.46000000000004,277.605,268.245,279.57500000000005,280.495,281.29499999999996,334.75,340.56,,,,,,285.69,286.26,280.1,279.83,281.86,,,328.81,330.77,,L7
1999-09-22 21:47:24+00:00,328.64,311.7133333333333,310.77666666666664,294.78999999999996,296.92,311.0,302.625,301.03,302.46500000000003,302.90999999999997,276.235,294.8433333333333,277.58500000000004,275.56,268.43,255.725,256.625,253.70499999999998,262.645,225.075,287.23,,,,336.93,270.7966666666667,230.695,262.25,,268.70500000000004,274.46000000000004,277.605,268.245,279.57500000000005,280.495,281.29499999999996,341.425,328.19,,,,,,285.69,286.26,280.1,279.83,281.86,,,328.81,330.77,372.41,L7
1999-09-29 21:53:40+00:00,328.64,311.7133333333333,310.77666666666664,294.78999999999996,296.92,311.0,311.57,301.03,302.46500000000003,302.90999999999997,276.235,294.8433333333333,277.58500000000004,275.56,268.43,255.725,256.625,253.70499999999998,262.645,225.075,285.60999999999996,315.19,,,334.105,285.66499999999996,230.695,262.25,,268.70500000000004,274.46000000000004,277.605,268.245,279.57500000000005,280.495,281.29499999999996,338.73333333333335,324.33666666666664,,,,,,285.69,286.26,280.1,279.83,281.86,,,338.85,345.78499999999997,368.86,L7
1999-10-24 21:47:20+00:00,322.44,307.3575,310.77666666666664,294.78999999999996,296.92,311.0,311.57,288.15000000000003,302.46500000000003,302.90999999999997,276.235,294.8433333333333,262.78000000000003,275.56,254.45000000000002,243.15333333333334,246.16666666666666,253.70499999999998,262.645,225.075,285.60999999999996,315.19,,,334.105,285.66499999999996,233.54666666666665,259.185,,259.6933333333333,262.01666666666665,277.605,262.43333333333334,276.75333333333333,280.495,281.29499999999996,338.73333333333335,324.33666666666664,,,,,255.23,270.64,272.065,268.44500000000005,264.705,270.105,267.69,262.26,307.10999999999996,307.7966666666667,368.86,L7
1999-10-31 21:53:08+00:00,322.44,307.3575,310.77666666666664,310.12666666666667,296.69666666666666,316.82,310.7725,288.15000000000003,304.90000000000003,306.42333333333335,276.235,302.78499999999997,272.8425,279.1566666666667,265.9525,252.58499999999998,246.16666666666666,253.70499999999998,262.645,225.075,289.5525,315.19,,300.04,334.105,285.66499999999996,233.54666666666665,259.185,353.18,259.6933333333333,285.7825,277.605,262.43333333333334,276.75333333333333,280.495,281.29499999999996,338.73333333333335,328.34749999999997,,,,,255.23,270.64,272.065,268.44500000000005,264.705,270.105,267.69,262.26,307.10999999999996,307.7966666666667,368.86,L7
1999-11-16 21:53:32+00:00,322.44,307.3575,310.77666666666664,310.12666666666667,296.69666666666666,316.82,310.7725,288.15000000000003,304.90000000000003,306.42333333333335,276.235,302.78499999999997,272.8425,279.1566666666667,265.9525,252.58499999999998,246.16666666666666,253.70499999999998,262.645,225.075,289.5525,312.375,,305.83500000000004,327.94666666666666,290.248,233.54666666666665,259.185,339.39,259.6933333333333,295.04200000000003,277.605,262.43333333333334,282.52,280.495,281.29499999999996,338.73333333333335,317.378,331.65,322.6,315.95,,255.23,270.64,272.065,268.44500000000005,264.705,270.105,267.69,262.26,307.10999999999996,307.7966666666667,368.86,L7
2000-01-19 21:53:25+00:00,321.485,305.43,310.27,307.3725,294.6875,301.3233333333333,310.7725,283.555,297.245,296.98,273.8666666666666,299.584,271.23,278.415,265.652,252.208,245.7175,250.33333333333334,255.46,225.075,280.946,312.375,,305.83500000000004,327.585,290.248,233.54666666666665,259.185,336.4066666666667,259.6933333333333,306.165,277.605,262.43333333333334,282.52,280.495,281.29499999999996,338.73333333333335,312.6816666666667,331.65,322.6,315.95,,255.23,278.42333333333335,272.065,268.44500000000005,264.705,270.105,267.69,262.26,307.10999999999996,307.7966666666667,369.45,L7
2000-02-20 21:52:53+00:00,321.4066666666667,301.3233333333333,311.4,319.95500000000004,292.455,298.52,321.1233333333333,266.08000000000004,292.025,282.89000000000004,270.08,303.6175,276.495,281.27000000000004,263.8,249.86333333333332,234.81,243.59,241.09,,278.896,315.43,,312.31,327.648,319.13,239.25,256.12,333.9,241.67,326.83,,250.81,285.4649999999999,,,335.52333333333337,302.17833333333334,319.42999999999995,316.125,304.305,,255.23,274.78999999999996,257.87,256.79,249.58,258.35,267.69,262.26,296.26,296.31,369.45,L7
2000-05-03 21:46:43+00:00,318.62,297.72,308.75,298.685,290.70000000000005,285.6266666666666,302.28499999999997,274.41999999999996,275.62,268.18666666666667,271.18666666666667,284.53999999999996,281.1166666666666,276.745,264.45,250.7,244.37,243.59,241.09,234.61,255.17333333333332,315.54999999999995,,318.44500000000005,323.3433333333333,304.425,,,327.4733333333333,,346.6466666666667,,,299.82,,,325.12,287.4975,320.0466666666666,316.125,304.305,,,293.99,,,,,,,,,370.63,L7
