dates,nzd0298-0000,nzd0298-0001,nzd0298-0002,nzd0298-0003,nzd0298-0004,nzd0298-0005,nzd0298-0006,nzd0298-0007,nzd0298-0008,nzd0298-0009,satname
1999-08-21 21:47:20+00:00,,,316.79,,308.12,309.67,249.22,297.4,,,L7
1999-09-22 21:47:24+00:00,,,316.79,,308.12,327.13,249.22,297.4,345.19,,L7
1999-09-29 21:53:40+00:00,,,316.79,345.31,321.07,289.49,231.995,305.92499999999995,337.745,361.58,L7
1999-10-24 21:47:20+00:00,349.84,,330.84000000000003,352.40999999999997,330.7866666666667,269.8975,239.54333333333332,294.96,339.37666666666667,347.755,L7
1999-11-16 21:53:32+00:00,350.14,343.11,328.12333333333333,355.32,330.7866666666667,263.38,233.0875,290.275,335.11,347.755,L7
2000-01-19 21:53:25+00:00,336.67333333333335,340.935,328.12333333333333,354.085,332.86,256.73333333333335,228.61599999999999,286.904,338.456,331.42,L7
2000-05-03 21:46:43+00:00,303.5733333333333,340.935,318.74,337.18333333333334,339.08,229.4433333333333,210.46333333333334,274.82000000000005,337.075,300.41999999999996,L7
2000-05-19 21:46:31+00:00,273.0133333333333,338.76,319.555,323.3033333333333,320.625,225.51,210.61666666666665,260.525,329.91499999999996,300.21666666666664,L7
2000-07-29 21:51:50+00:00,242.75,,316.95666666666665,309.765,299.515,227.52,210.55999999999997,247.63,307.99,288.1933333333333,L7
2000-08-07 21:45:32+00:00,242.75,,315.65250000000003,309.765,299.515,227.52,210.55999999999997,247.63,307.99,288.1933333333333,L7
2000-08-14 21:51:44+00:00,242.75,,311.68600000000004,301.84666666666664,299.515,227.52,210.55999999999997,247.63,307.99,288.1933333333333,L7
2000-09-15 21:51:13+00:00,242.75,,315.26166666666666,311.6375,308.1766666666667,227.52,211.4766666666667,247.63,314.99,289.3875,L7
2000-10-26 21:44:46+00:00,242.75,,317.0657142857143,317.872,312.1725,227.52,221.5375,247.63,318.04333333333335,289.3875,L7
2000-11-27 21:44:50+00:00,218.95,341.18,320.045,330.5525,315.50666666666666,253.43,237.3166666666667,279.27,323.07,293.2966666666667,L7
2001-01-05 21:51:04+00:00,218.95,342.58500000000004,320.045,335.508,312.765,253.43,250.1725,291.905,330.3666666666666,292.15250000000003,L7
2001-01-14 21:44:57+00:00,263.625,329.13000000000005,319.64,334.81666666666666,317.184,283.625,250.1725,291.905,330.3666666666666,292.15250000000003,L7
2001-01-21 21:51:10+00:00,274.41333333333336,331.935,322.42375,338.56714285714287,322.7416666666667,291.1066666666666,257.912,292.77666666666664,330.3666666666666,292.15250000000003,L7
2001-04-04 21:44:30+00:00,291.8633333333333,323.382,329.62800000000004,344.68833333333333,328.52250000000004,292.2875,269.0625,292.77666666666664,334.55499999999995,306.48,L7
2001-04-20 21:44:34+00:00,280.155,313.9533333333333,327.70166666666665,342.63714285714286,328.52250000000004,294.37399999999997,272.606,296.1325,334.55499999999995,301.9066666666667,L7
2001-04-27 21:50:43+00:00,280.155,313.9533333333333,328.08,341.02571428571434,323.7075,294.37399999999997,277.8275,296.1325,344.96,298.525,L7
2001-05-22 21:44:18+00:00,267.992,313.9533333333333,325.7271428571429,336.35625,319.26599999999996,294.37399999999997,277.8275,296.1325,344.96,298.676,L7
2001-09-11 21:43:02+00:00,245.22333333333336,277.99,316.96,323.256,303.08666666666664,299.275,286.78,306.2,,293.4733333333333,L7
2001-09-18 21:49:05+00:00,245.22333333333336,287.31666666666666,317.85833333333335,327.5416666666667,306.71,299.275,286.78,306.2,344.71,293.41249999999997,L7
2001-10-04 21:48:54+00:00,232.18500000000003,286.39,317.188,328.014,315.676,302.72,290.87,305.51,337.03499999999997,302.034,L7
2001-10-29 21:42:45+00:00,219.34,305.97,312.57,326.07,318.37,319.93,298.635,317.06,337.03499999999997,308.575,L7
2002-02-25 21:49:35+00:00,,305.97,313.05000000000007,337.27,323.99333333333334,319.93,303.05,324.7366666666667,337.03499999999997,311.67333333333335,L7
2002-04-07 21:43:17+00:00,,,330.2,,,321.375,306.4533333333334,329.1,,312.015,L7
2002-04-14 21:49:26+00:00,,317.81,327.15,349.27,337.2,321.375,306.4533333333334,329.1,333.92,314.78999999999996,L7
2002-06-10 21:43:00+00:00,227.92,317.81,327.15,331.365,321.66999999999996,301.77,308.52500000000003,329.0,318.095,310.7733333333333,L7
2002-09-05 21:48:38+00:00,240.505,317.81,326.51,331.365,321.66999999999996,307.06666666666666,306.375,317.91,318.095,310.7733333333333,L7
2002-09-14 21:42:19+00:00,256.21,317.81,324.985,329.74,316.75333333333333,307.06666666666666,274.3433333333333,317.91,324.77666666666664,310.7733333333333,L7
2002-09-30 21:42:11+00:00,273.265,326.24,324.985,329.74,322.4075,307.06666666666666,258.9475,312.33500000000004,324.77,310.7733333333333,L7
