dates,satname,nzd0299-0000,nzd0299-0001,nzd0299-0002,nzd0299-0003,nzd0299-0004,nzd0299-0005,nzd0299-0006,nzd0299-0007,nzd0299-0008,nzd0299-0009,nzd0299-0010,nzd0299-0011,nzd0299-0012,nzd0299-0013,nzd0299-0014,nzd0299-0015,nzd0299-0016,nzd0299-0017,nzd0299-0018,nzd0299-0019,nzd0299-0020,nzd0299-0021
1999-12-09 21:59:45.569000,L7,238.68,250.27,205.77,296.28,327.09,284.73,258.39,312.12,333.64,335.34,332.72,268.42,287.35,296.81,297.97,293.08,299.22,290.53,329.95,332.27,334.54,291.69
2000-01-26 21:59:38.265000,L7,400.40,388.05,388.25,383.56,389.77,377.71,376.81,397.93,398.65,371.89,423.72,435.36,417.35,359.28,367.53,383.59,369.14,419.69,453.79,468.66,455.71,426.38
2000-03-14 21:59:23.204000,L7,395.46,375.36,375.59,368.74,371.83,362.74,403.57,351.89,363.47,350.10,359.32,353.36,356.71,353.24,331.21,367.21,366.59,355.72,355.56,360.83,343.07,364.24
2000-03-30 21:59:21.444000,L7,,,,,200.37,208.09,193.59,212.23,,,,,,,,,,,,,,
2000-08-05 21:57:56.710000,L7,,,,217.17,236.23,207.06,220.27,214.07,,,,,,,,,,,,,320.29,340.46
2000-09-22 21:57:17.413000,L7,520.87,526.67,518.08,519.06,531.31,526.21,522.04,531.00,518.10,518.63,519.44,514.30,530.58,,424.93,366.91,347.13,363.03,352.85,331.06,336.76,349.80
2000-11-25 21:57:10.965000,L7,,,,,,,,,,,206.68,233.18,210.35,,,,,224.11,255.22,305.06,306.14,327.02
2001-01-12 21:57:18.640000,L7,350.39,250.65,258.60,336.66,334.70,343.50,329.67,334.45,331.50,333.22,334.70,332.50,333.14,327.44,320.51,328.19,330.07,288.43,332.95,331.55,331.72,344.79
2001-02-13 21:57:15.648000,L7,407.10,398.31,388.51,382.62,380.28,375.12,387.49,368.54,368.21,366.55,366.77,363.25,359.61,378.77,375.85,375.65,383.97,371.80,370.34,374.53,390.22,420.20
2001-03-17 21:57:04.487000,L7,401.63,377.18,380.18,373.12,365.02,351.33,332.83,342.12,345.31,340.14,344.88,358.40,341.30,335.60,338.05,350.69,368.66,356.19,352.27,391.52,418.47,427.40
2001-04-02 21:56:54.678000,L7,388.44,371.96,402.11,358.31,365.28,441.66,432.85,363.27,314.31,377.38,327.68,170.43,319.35,224.95,503.44,511.20,497.89,308.52,408.34,312.43,336.28,423.40
2001-09-09 21:55:24.790000,L7,375.98,391.31,386.60,371.28,368.89,365.81,375.75,368.97,354.94,398.09,348.43,353.33,366.45,321.24,328.10,312.03,321.48,322.04,342.69,334.23,342.35,359.46
2001-09-25 21:55:16.606000,L7,401.18,432.33,399.21,412.56,394.94,368.51,366.06,361.58,365.11,354.59,361.12,355.39,356.16,344.68,337.23,365.35,362.13,352.74,348.40,341.90,343.34,365.48
2002-02-16 21:55:42.088000,L7,295.92,302.32,298.87,231.25,299.75,282.50,246.69,239.21,248.47,210.47,228.74,222.67,288.41,286.20,302.20,287.98,297.35,292.48,300.20,314.22,320.05,337.50
2002-03-04 21:55:45.898000,L7,397.84,399.09,402.25,389.75,378.03,385.17,370.92,390.20,400.72,416.23,372.63,363.99,363.38,366.80,378.75,382.11,398.43,481.18,479.25,484.70,497.00,416.14
2002-09-12 21:54:43.623000,L7,370.65,364.44,379.55,390.57,380.28,432.81,365.82,360.46,467.57,432.75,548.69,443.39,491.46,539.38,463.25,400.00,410.63,461.44,413.02,463.05,397.44,368.56
2002-10-14 21:54:31.916000,L7,372.39,375.58,380.02,375.13,370.04,367.76,367.55,384.09,360.37,362.52,365.61,361.78,356.69,352.59,350.22,365.76,479.99,398.75,,446.13,463.43,513.41
2003-01-02 21:55:10.157000,L7,392.38,389.96,399.32,379.32,375.51,371.69,372.03,381.42,390.09,363.92,365.49,359.54,361.50,356.75,363.99,368.19,366.74,371.24,365.66,372.75,395.37,399.82
2003-03-07 21:55:34.413000,L7,355.25,323.78,335.59,302.13,340.06,344.78,336.04,341.40,334.37,339.25,338.92,335.53,339.77,300.18,288.90,291.30,299.53,288.71,349.65,319.37,326.28,338.79
2003-03-23 21:55:28.617000,L7,286.27,186.14,293.09,362.75,356.58,361.70,357.07,354.12,357.63,339.76,350.49,357.37,354.18,304.95,308.05,306.34,308.60,300.85,375.16,327.68,321.07,
2003-07-21 21:43:21.660000,L5,,,,,346.28,351.62,373.27,360.47,362.83,379.96,392.25,400.09,376.41,361.32,352.95,340.79,379.31,359.04,348.51,331.43,355.40,362.09
2004-04-18 21:46:37.219000,L5,332.99,303.36,295.05,261.98,266.27,273.79,328.02,336.62,328.71,338.65,253.16,268.65,275.99,298.15,289.47,288.30,286.59,286.37,307.09,319.02,324.36,341.62
2004-05-20 21:47:32.241000,L5,398.37,374.80,387.41,380.03,394.07,390.65,386.60,389.31,406.35,390.82,387.38,394.67,399.60,399.30,392.38,396.63,422.34,418.89,413.87,419.03,413.87,414.75
2004-07-23 21:49:20.968000,L5,280.12,285.56,269.67,225.35,249.43,254.62,243.76,232.11,226.57,233.72,217.86,253.19,254.61,284.61,279.18,255.59,260.94,260.72,208.84,293.74,296.97,305.31
2004-08-08 21:49:38.691000,L5,381.51,364.15,358.53,436.37,446.39,375.60,361.47,435.30,362.79,362.38,354.66,333.67,338.68,387.75,343.51,326.60,342.50,348.76,367.30,346.30,357.12,374.01
2004-09-25 21:50:55.115000,L5,405.39,401.81,384.09,390.70,389.24,405.50,401.64,374.55,376.91,374.95,377.34,373.91,371.51,370.11,370.54,387.87,387.57,388.45,390.63,385.83,397.89,400.66
2005-01-15 21:52:57.240000,L5,336.50,324.16,331.31,318.96,299.70,307.94,321.93,322.98,330.18,324.49,326.54,309.73,318.73,303.18,306.27,328.07,319.76,305.06,340.64,327.56,323.94,343.13
2005-01-31 21:53:09.442000,L5,361.18,350.19,319.04,321.70,196.99,330.29,326.38,327.02,341.99,347.49,346.63,339.47,348.38,331.35,282.43,333.27,333.71,201.75,,,,
2005-03-04 21:53:40.021000,L5,455.65,389.52,375.78,372.82,388.24,374.89,373.13,363.14,364.17,365.85,363.80,364.61,366.56,366.31,360.02,379.12,380.53,377.93,388.42,384.26,383.55,390.22
2005-04-05 21:53:54.943000,L5,301.29,297.47,282.86,252.27,265.70,328.63,322.76,322.18,327.34,329.90,318.06,258.65,257.16,282.41,278.59,277.84,277.47,245.16,308.36,309.62,312.71,333.64
2005-04-21 21:53:58.696000,L5,294.01,295.11,287.61,247.16,252.47,260.13,247.08,235.17,228.26,249.11,245.56,259.93,261.88,288.20,284.77,276.16,284.76,271.99,303.18,317.02,316.42,339.75
2005-05-23 21:54:12.461000,L5,,253.00,202.54,207.68,204.26,234.13,228.80,213.27,194.96,226.50,217.12,219.11,,,156.39,273.35,283.78,277.93,240.83,316.16,317.18,338.89
