dates,satname,nzd0300-0000,nzd0300-0001,nzd0300-0002,nzd0300-0009,nzd0300-0010,nzd0300-0011,nzd0300-0012,nzd0300-0013,nzd0300-0014,nzd0300-0015,nzd0300-0016,nzd0300-0064,nzd0300-0003,nzd0300-0027,nzd0300-0028,nzd0300-0029,nzd0300-0030,nzd0300-0031,nzd0300-0032,nzd0300-0033,nzd0300-0034,nzd0300-0035,nzd0300-0036,nzd0300-0037,nzd0300-0038,nzd0300-0039,nzd0300-0040,nzd0300-0058,nzd0300-0059,nzd0300-0060,nzd0300-0061,nzd0300-0062,nzd0300-0063,nzd0300-0004,nzd0300-0017,nzd0300-0018,nzd0300-0022,nzd0300-0023,nzd0300-0024,nzd0300-0025,nzd0300-0026,nzd0300-0019,nzd0300-0020,nzd0300-0005,nzd0300-0006,nzd0300-0007,nzd0300-0008,nzd0300-0041,nzd0300-0021,nzd0300-0045,nzd0300-0046,nzd0300-0047,nzd0300-0048,nzd0300-0051,nzd0300-0052,nzd0300-0053,nzd0300-0054,nzd0300-0042,nzd0300-0043,nzd0300-0044,nzd0300-0055,nzd0300-0056,nzd0300-0050,nzd0300-0049,nzd0300-0057
2000-01-26 21:59:38.265000,L7,366.25,375.40,348.31,346.71,318.76,253.60,284.02,290.57,291.80,324.07,329.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:21.444000,L7,,,,,,347.68,339.91,322.73,300.51,315.55,302.60,,,,344.89,333.83,357.12,290.45,271.66,,,321.90,298.47,306.32,239.92,334.13,,,,,,,,,344.44,314.81,,,,,,325.59,,,,,,,,,,,,,,,,,,,,,,,
2000-07-04 21:58:26.393000,L7,,,,,,349.21,336.66,316.37,294.74,318.02,298.50,,,,332.77,315.28,282.11,270.03,282.63,272.42,280.21,315.73,273.04,312.14,,,,,,,,,,,,,,,,,,,,358.51,317.55,281.50,246.62,,,,,,,,,,,,,,,,,,
2000-08-05 21:57:56.710000,L7,,,,305.77,305.86,265.29,252.63,292.11,305.10,323.22,303.37,,,,350.20,332.03,369.59,298.95,291.61,291.87,309.44,326.80,320.90,325.72,333.34,232.44,336.16,,,,,,,,,,,,,,,,,371.86,328.26,296.60,330.92,,,,,,,258.74,300.59,280.05,305.60,,,,,,,,
2000-09-22 21:57:17.413000,L7,,,,,,,,,,,254.84,347.26,,,,,,,,,,,,,,,,,,,,,233.55,,260.94,255.65,,,,,,304.28,276.32,,,,,,324.82,,,,,262.21,310.80,298.64,,,,,,,240.72,,
2001-06-05 21:56:28.634000,L7,,,,,,,,,,,,,,,,,,316.02,309.95,314.34,329.16,326.87,310.54,322.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-07 21:56:12.103000,L7,,,,,,332.81,328.06,309.03,285.19,268.25,277.46,335.56,,360.64,329.34,317.53,342.82,261.09,,,,,,,,,,278.28,306.20,334.75,334.24,302.44,297.19,,346.01,321.22,333.93,323.07,276.82,365.14,321.77,320.32,,,,,,,338.61,,,,,,,,,,,,,,,,
2001-10-11 21:54:57.784000,L7,,,,,,284.73,338.35,337.09,,,,346.17,,,,,367.67,293.79,290.42,292.60,,,293.31,,,,,,,,,,259.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-30 21:55:25.157000,L7,359.79,365.19,355.90,,,,336.56,331.71,277.40,300.20,293.25,278.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-16 21:55:42.088000,L7,366.19,368.17,335.59,,,349.55,344.02,313.07,325.10,322.83,294.27,,337.75,347.29,354.78,341.39,373.28,303.51,294.25,325.08,325.58,339.23,288.15,333.31,278.50,285.46,244.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
