dates,satname,nzd0301-0000,nzd0301-0001,nzd0301-0002,nzd0301-0003,nzd0301-0004,nzd0301-0005,nzd0301-0006,nzd0301-0007,nzd0301-0008,nzd0301-0009,nzd0301-0010,nzd0301-0011,nzd0301-0012,nzd0301-0013,nzd0301-0014,nzd0301-0015,nzd0301-0016,nzd0301-0017,nzd0301-0018,nzd0301-0019,nzd0301-0020,nzd0301-0021,nzd0301-0022,nzd0301-0023,nzd0301-0024,nzd0301-0025,nzd0301-0026,nzd0301-0027,nzd0301-0028,nzd0301-0029,nzd0301-0030,nzd0301-0031,nzd0301-0032,nzd0301-0033,nzd0301-0034,nzd0301-0035,nzd0301-0036,nzd0301-0037,nzd0301-0038,nzd0301-0039,nzd0301-0040,nzd0301-0041,nzd0301-0042,nzd0301-0043,nzd0301-0044,nzd0301-0045,nzd0301-0046,nzd0301-0047,nzd0301-0048,nzd0301-0049,nzd0301-0050,nzd0301-0051,nzd0301-0052,nzd0301-0053,nzd0301-0054,nzd0301-0055,nzd0301-0056,nzd0301-0057,nzd0301-0058,nzd0301-0059,nzd0301-0060,nzd0301-0061,nzd0301-0062,nzd0301-0063,nzd0301-0064,nzd0301-0065,nzd0301-0066,nzd0301-0067,nzd0301-0068,nzd0301-0069,nzd0301-0070,nzd0301-0071,nzd0301-0072,nzd0301-0073,nzd0301-0074,nzd0301-0075,nzd0301-0076,nzd0301-0077
1999-08-03 21:59:44.522000,L7,532.76,525.34,524.65,524.77,514.83,512.59,502.47,504.49,503.39,493.92,489.81,487.60,479.85,487.23,496.91,486.36,488.41,483.81,496.43,492.44,503.80,506.76,510.18,544.26,512.95,497.28,452.57,463.12,462.88,454.79,453.23,463.03,458.85,493.84,536.84,513.57,483.59,533.82,532.29,531.75,260.82,514.64,488.13,510.29,449.00,442.70,458.85,469.69,530.05,529.57,293.37,284.06,446.20,508.29,496.94,496.53,484.34,526.50,519.02,472.32,521.80,508.37,251.91,258.99,267.47,276.91,286.05,273.74,289.72,331.39,396.22,398.78,304.26,312.76,308.78,317.49,333.76,332.88
1999-08-28 21:53:35.950000,L7,404.18,465.33,479.05,481.34,406.51,361.82,350.02,342.67,347.54,284.75,293.19,292.25,295.42,293.80,325.28,333.90,343.74,337.09,335.72,335.79,320.83,335.67,336.81,333.50,344.30,341.14,349.96,350.88,356.05,359.64,350.82,327.76,339.88,335.34,332.88,329.49,340.00,341.29,337.22,345.88,340.77,346.95,350.22,356.59,352.14,310.77,338.92,272.84,272.44,274.82,275.00,267.63,263.35,269.00,271.51,264.95,329.55,339.62,345.69,352.73,360.45,462.90,472.46,473.93,489.46,479.59,498.96,509.85,490.47,491.62,403.52,414.62,406.09,412.52,401.20,409.93,476.02,471.13
1999-09-29 21:53:40.155000,L7,343.45,355.97,355.10,359.43,351.18,326.02,334.21,330.00,245.24,278.37,284.37,251.36,284.32,283.05,309.39,319.01,330.38,314.59,320.44,323.78,305.68,329.02,318.49,321.20,340.19,335.18,340.58,342.92,343.46,340.20,275.34,280.81,264.82,286.87,320.67,325.59,326.72,323.02,273.96,254.99,247.65,328.54,347.25,336.61,339.16,337.38,337.09,335.94,332.72,332.22,319.80,277.10,264.07,263.05,268.95,301.54,310.65,252.51,321.71,361.73,343.83,332.50,253.97,525.25,,522.71,530.29,360.05,374.02,395.82,391.68,387.88,422.25,462.22,,484.69,399.07,396.55
1999-11-16 21:53:32.114000,L7,392.37,390.49,389.67,385.48,385.92,385.40,372.90,371.92,368.25,314.60,307.01,296.47,314.51,334.20,355.69,349.83,362.08,353.53,353.37,358.34,342.14,356.90,356.88,347.80,356.36,362.22,364.91,364.69,377.03,380.94,379.06,365.62,362.31,364.26,359.25,353.11,361.58,361.11,361.00,366.23,361.98,372.82,370.93,372.37,372.04,363.73,363.35,363.12,520.74,514.38,463.14,490.98,452.40,477.22,477.88,487.42,491.05,537.06,531.41,529.09,372.77,375.84,,509.88,506.52,506.90,532.83,407.80,409.09,412.14,411.74,420.41,418.78,426.47,420.41,421.56,424.00,421.23
1999-12-09 21:59:45.569000,L7,362.79,376.40,367.60,373.84,368.12,358.53,350.45,350.54,351.16,284.49,291.79,257.85,296.03,294.52,332.35,336.57,352.17,340.63,340.98,343.58,321.34,343.57,339.85,336.61,348.73,346.26,351.20,348.92,358.92,359.88,349.18,329.34,343.75,342.64,340.92,334.92,343.47,345.60,348.59,347.12,347.49,355.78,355.78,359.52,356.31,349.24,348.37,346.58,340.13,340.42,342.18,334.84,336.55,334.36,333.61,334.51,336.66,346.17,347.91,346.83,353.11,355.03,362.13,365.15,374.43,367.94,379.90,385.76,374.31,395.55,401.14,404.33,407.78,407.85,402.09,402.21,413.50,419.34
1999-12-25 21:59:40.109000,L7,532.56,429.45,490.24,474.70,482.05,412.90,411.35,407.33,400.64,403.74,398.16,400.10,403.51,392.84,400.52,350.13,406.14,413.62,406.15,410.15,406.15,402.17,410.40,408.26,440.89,474.48,478.12,484.24,425.92,433.77,428.29,419.47,415.44,414.99,422.25,422.58,417.68,416.75,401.18,434.53,438.22,438.44,430.84,432.19,439.21,440.16,449.26,444.95,418.87,461.68,474.94,429.55,467.07,476.67,435.35,353.91,431.75,438.02,443.21,434.39,434.98,445.52,486.62,425.13,481.77,485.79,494.43,533.65,532.95,523.00,477.67,467.04,,,,499.29,511.76,415.57
2000-01-26 21:59:38.265000,L7,369.91,379.85,381.23,391.30,381.68,380.10,372.97,368.75,374.03,300.37,296.83,280.11,303.17,301.57,350.71,343.05,350.95,333.95,344.65,345.78,318.60,351.59,355.17,371.72,355.09,357.46,360.13,356.95,367.56,372.16,363.67,352.43,358.57,352.41,353.92,348.25,357.58,364.88,380.16,370.51,374.58,381.98,381.48,369.23,380.91,385.65,371.84,377.54,377.23,396.15,415.32,356.94,339.04,308.91,296.32,300.05,281.60,330.35,351.25,376.52,362.06,358.96,386.85,409.22,400.35,403.06,403.16,407.00,403.48,408.20,408.50,422.77,419.33,415.05,419.96,422.63,421.26,414.66
2000-03-14 21:59:23.204000,L7,,460.86,446.38,455.62,436.42,429.41,435.66,427.16,523.86,512.51,511.24,508.78,433.91,435.69,446.59,519.48,509.97,363.10,360.53,360.34,353.64,366.52,363.19,357.60,358.05,365.67,364.45,367.61,374.71,380.10,370.15,359.76,365.08,364.01,374.94,368.50,380.11,368.15,375.42,361.92,360.34,364.57,366.94,373.13,371.77,365.29,360.90,360.48,356.19,348.42,352.49,340.50,341.58,340.15,344.30,348.72,349.25,359.39,365.09,371.78,376.07,373.82,377.95,380.05,389.35,399.84,407.83,431.36,412.75,411.54,412.56,419.05,415.73,415.00,411.87,416.04,419.01,418.19
2000-03-30 21:59:21.444000,L7,387.44,398.53,390.70,391.00,388.66,394.38,382.76,381.63,379.54,320.74,314.55,300.76,306.20,317.58,356.54,362.03,364.68,358.76,355.84,357.61,349.40,358.12,354.97,350.00,359.25,359.54,361.13,367.15,371.54,376.50,366.85,357.84,361.43,360.07,360.05,350.30,359.72,355.48,355.37,359.48,354.67,359.58,514.43,471.15,472.67,496.17,360.28,360.27,359.76,346.12,346.26,337.71,340.52,338.30,345.46,345.99,351.04,357.72,358.61,363.27,366.09,369.07,374.73,382.57,385.75,393.11,404.20,405.93,410.67,409.92,410.78,415.70,414.20,410.95,415.61,406.02,412.45,408.00
2000-05-26 21:52:36.566000,L7,368.99,378.44,371.15,383.37,371.17,373.67,381.09,365.73,367.50,313.33,290.65,273.46,283.27,276.01,334.95,331.00,344.89,339.98,431.49,533.46,340.83,346.33,349.57,337.34,350.32,349.52,357.22,355.60,356.94,359.54,343.83,278.53,288.83,282.10,538.82,537.39,516.23,478.11,493.57,473.75,524.94,263.69,242.77,216.21,262.74,270.64,275.81,267.18,263.17,269.44,271.28,265.68,259.36,262.70,257.90,256.63,248.11,241.65,238.97,242.94,236.11,233.97,252.74,256.69,266.68,274.43,280.53,267.91,277.39,292.03,257.29,276.87,288.99,305.46,301.71,310.08,310.81,321.35
