dates,nzd0301-0000,nzd0301-0001,nzd0301-0002,nzd0301-0003,nzd0301-0004,nzd0301-0005,nzd0301-0006,nzd0301-0007,nzd0301-0008,nzd0301-0009,nzd0301-0010,nzd0301-0011,nzd0301-0012,nzd0301-0013,nzd0301-0014,nzd0301-0015,nzd0301-0016,nzd0301-0017,nzd0301-0018,nzd0301-0019,nzd0301-0020,nzd0301-0021,nzd0301-0022,nzd0301-0023,nzd0301-0024,nzd0301-0025,nzd0301-0028,nzd0301-0029,nzd0301-0030,nzd0301-0031,nzd0301-0032,nzd0301-0033,nzd0301-0034,nzd0301-0035,nzd0301-0036,nzd0301-0037,nzd0301-0038,nzd0301-0039,nzd0301-0040,nzd0301-0041,nzd0301-0042,nzd0301-0043,nzd0301-0044,nzd0301-0048,nzd0301-0049,nzd0301-0050,nzd0301-0051,nzd0301-0052,nzd0301-0053,nzd0301-0054,nzd0301-0055,nzd0301-0056,nzd0301-0057,nzd0301-0058,nzd0301-0059,nzd0301-0060,nzd0301-0061,nzd0301-0062,nzd0301-0063,nzd0301-0064,nzd0301-0065,nzd0301-0066,nzd0301-0067,nzd0301-0068,nzd0301-0069,nzd0301-0070,nzd0301-0071,nzd0301-0072,nzd0301-0073,nzd0301-0074,nzd0301-0075,nzd0301-0076,nzd0301-0077,nzd0301-0026,nzd0301-0027,nzd0301-0045,nzd0301-0046,nzd0301-0047,satname
1999-08-03 21:59:44+00:00,,,,,,,,,,302.64,294.22,283.02,296.2,292.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.09,284.22,291.07,283.76,268.19,270.39,267.26,261.01,243.57,240.6,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-08-28 21:53:35+00:00,,,,,,,,,,292.16499999999996,291.72,285.255,293.845,290.95000000000005,321.05,,,,,,,,,,,,,,,321.91,,,,,,,,,,,,,,271.66499999999996,273.92,277.905,271.29499999999996,260.575,265.975,262.07,257.355,242.64,239.32,,,,,,308.05,314.4,314.3,,300.44,,308.23,269.72,305.51,322.33,335.94,336.07,,,307.0,,,,,262.37,L7
1999-12-09 21:59:45+00:00,356.58,,361.84,,,,,,,287.5933333333333,289.72333333333336,285.255,292.3833333333333,290.0266666666667,321.05,,,,,,314.09,,,,,,,,,321.69000000000005,,,,,,,,,,,,,,271.66499999999996,273.92,277.905,271.29499999999996,260.575,265.975,262.07,257.355,242.64,239.32,,,,,,308.05,314.4,314.3,,300.44,,308.23,269.72,305.51,322.33,335.94,336.07,,,307.0,,,,,262.37,L7
1999-12-25 21:59:40+00:00,356.015,,362.19,,,,,,,286.0575,289.64750000000004,285.255,291.5825,289.4875,321.05,,,,,,311.62,,,,,,,,,319.3433333333333,,,,,,,,,,,,,,271.66499999999996,273.92,277.905,271.29499999999996,260.575,265.975,262.07,257.355,242.64,239.32,,,,,,308.05,314.4,301.99,,300.44,,308.23,269.72,305.51,322.33,335.94,336.07,,,307.0,,,,,262.37,L7
2000-03-30 21:59:21+00:00,356.015,,362.19,,,,,,,290.8833333333334,295.5133333333333,297.91,293.4266666666667,296.6666666666667,,,,,,,311.62,,,,,,,,,318.05999999999995,,,,,,,,,,,,,,,,,,,,,293.06,280.67,,,,,,281.94,288.16,290.26,278.88,276.92,,,,,,,313.08,320.37,,306.9,315.75,,,,,,L7
2000-05-26 21:52:36+00:00,356.015,,362.19,,,,,,,290.8833333333334,295.5133333333333,297.91,293.4266666666667,296.6666666666667,,,,,,,311.62,,,,,,,,,318.05999999999995,,,,,,,,,,,,,,,,,,,,,293.06,280.67,,,,,,281.94,288.16,290.26,278.88,276.92,,,,,,,313.08,302.42,292.58,302.03499999999997,315.75,,,,,,L7
2000-07-13 21:52:07+00:00,,,,,,,,,,312.75,311.39,297.91,301.64,313.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.62,263.55,268.35,264.56,257.8,250.95,254.6,254.65,270.555,261.70500000000004,241.4,234.88,233.9,234.59,,262.47,266.95000000000005,273.075,267.325,274.05,264.28,269.57,276.4,,277.0,288.39,302.57,302.42,292.58,302.03499999999997,315.75,,,263.26,270.1,259.53,L7
2000-08-05 21:57:56+00:00,371.1,,,,,,,,,312.75,311.39,297.91,301.64,313.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.005,262.25,268.375,268.97,260.06,253.375,258.41,255.815,265.4066666666667,254.59333333333336,240.305,234.325,234.22500000000002,234.59,,255.03666666666666,260.04,267.8333333333333,267.0833333333333,273.46,265.62,268.31,277.61,,276.54499999999996,287.375,300.1033333333333,302.42,292.58,302.03499999999997,315.75,,,264.895,269.6,260.15,L7
2000-08-14 21:51:44+00:00,351.45000000000005,347.02,350.9,,341.82,322.08,328.83,326.58,,312.75,311.39,297.91,283.585,288.185,301.52,,,,,,300.3,,,,,,,,318.76,,,287.54,308.21,298.73,301.86,,,,,,,,257.8533333333333,257.2766666666667,264.0466666666667,264.72,257.37333333333333,250.99,259.48333333333335,256.3933333333334,261.2925,248.04500000000002,237.53,231.08666666666667,234.22500000000002,234.59,,255.03666666666666,260.04,267.8333333333333,267.0833333333333,273.46,265.62,268.31,277.61,,276.54499999999996,284.23,295.2,295.69666666666666,290.855,298.66,311.405,,,261.4733333333333,264.72,256.20666666666665,L7
2000-09-15 21:51:13+00:00,351.45000000000005,347.02,350.9,,341.82,329.56,333.77,330.98,,312.75,311.39,297.91,283.43666666666667,286.84666666666664,304.6,,,,,,303.975,,,315.69,,,,,321.44,306.73,,287.54,308.21,298.73,301.86,,,,,,,,257.8533333333333,257.2766666666667,270.83,271.4125,263.065,256.85749999999996,264.74,262.355,263.886,254.512,237.53,239.7475,243.91,244.22,325.05,255.03666666666666,260.04,267.8333333333333,267.0833333333333,273.46,265.62,268.31,277.61,,276.54499999999996,284.23,295.2,295.69666666666666,290.855,298.66,311.405,,,261.4733333333333,264.72,256.20666666666665,L7
