dates,nzd0306-0000,nzd0306-0001,nzd0306-0002,nzd0306-0003,nzd0306-0004,nzd0306-0005,nzd0306-0006,nzd0306-0007,nzd0306-0008,nzd0306-0009,nzd0306-0010,nzd0306-0011,nzd0306-0012,nzd0306-0013,nzd0306-0014,nzd0306-0015,nzd0306-0016,nzd0306-0017,nzd0306-0018,nzd0306-0019,nzd0306-0020,nzd0306-0021,nzd0306-0022,nzd0306-0023,nzd0306-0024,nzd0306-0025,nzd0306-0026,nzd0306-0027,nzd0306-0028,nzd0306-0029,nzd0306-0030,nzd0306-0031,nzd0306-0032,nzd0306-0033,nzd0306-0034,nzd0306-0035,nzd0306-0036,nzd0306-0037,nzd0306-0038
1999-08-21 21:47:20+00:00,,,,,,,,,,,,,,,,,,328.27,329.06,,,,,,,,,,,,,,,,,,,,
1999-08-28 21:53:35+00:00,,,,,,,,,362.5,365.56,368.3,348.52,,,,353.45,339.18,332.375,313.155,277.5,233.79,245.73,,301.41,329.66,339.52,341.85,347.97,348.93,344.42,352.67,335.88,341.43,343.47,348.31,339.97,337.81,335.79,354.19
1999-09-22 21:47:24+00:00,,,,,,,,,362.5,365.56,368.3,348.52,,,,353.45,339.18,332.375,313.155,277.5,233.79,245.73,352.86,301.41,329.66,339.52,341.85,347.97,348.93,344.42,352.67,335.88,341.43,343.47,348.31,339.97,337.81,335.79,354.19
1999-09-29 21:53:40+00:00,376.48,,367.31,362.01,359.65,,,,362.5,361.245,366.385,352.99,357.39,,359.65,354.455,342.46500000000003,334.8,313.155,277.5,233.79,245.73,350.565,305.95500000000004,329.66,349.51,350.175,354.615,357.15,344.42,361.96000000000004,345.36,352.775,355.95000000000005,348.31,339.97,337.81,349.98,363.04499999999996
1999-10-24 21:47:20+00:00,376.48,369.41,367.31,362.01,357.965,,,,347.15,358.43333333333334,366.17,358.05999999999995,357.39,,362.26,357.5133333333333,344.95666666666665,338.4,297.9866666666667,259.68,233.23,243.21499999999997,350.565,306.75,329.66,349.51,350.175,354.615,357.15,344.42,361.96000000000004,356.3533333333333,355.00333333333333,355.98333333333335,359.84000000000003,339.97,337.81,349.98,363.04499999999996
2000-01-12 21:47:18+00:00,376.48,369.41,367.31,362.01,357.965,,,,347.15,358.43333333333334,366.17,358.05999999999995,357.39,,362.26,357.5133333333333,344.95666666666665,338.4,297.9866666666667,259.68,233.23,243.21499999999997,350.565,306.75,329.66,349.51,345.0933333333333,347.6333333333334,352.45666666666665,342.75,356.81333333333333,352.3125,355.00333333333333,355.98333333333335,359.84000000000003,357.06,337.81,359.17,363.04499999999996
2000-05-26 21:52:36+00:00,354.72,,,,,,,,,,,,,,,,,,,,,,,,,,334.93,333.67,343.07,341.08,346.52,340.19,,,,374.15,,377.55,
2000-07-13 21:52:07+00:00,357.765,365.39,377.88,370.38,,,,,,,,,,,,,,,,,,,,322.77,,,,,,,,,,,,,,,
2000-07-29 21:51:50+00:00,357.765,365.39,377.88,370.38,,,,,,,,,,,,,,,294.77,317.82,,,,322.77,,,,,,,,,,,,,,,
2000-08-07 21:45:32+00:00,362.99666666666667,366.755,373.75,370.58500000000004,,,,,,,,364.8,,,,,,,294.77,317.82,,,,322.77,,,,,,,,,,,,379.79,374.7,384.65,
2000-08-14 21:51:44+00:00,362.99666666666667,366.755,374.65000000000003,372.22,,,,,,,,364.8,,,,,,299.41,303.42999999999995,318.24,,,309.24,322.77,,,,,,,,,,,,379.79,374.7,384.65,
2000-12-04 21:50:58+00:00,367.135,366.5933333333333,374.65000000000003,372.22,,,,,,,,364.8,,,,346.14,,299.41,303.42999999999995,318.24,,,309.24,306.695,320.39,,305.72,314.04,315.98,320.39,315.51,309.72,,321.86,,379.79,374.7,381.03,369.6
2000-12-13 21:44:52+00:00,367.135,366.5933333333333,374.65000000000003,372.22,,,,,,,,364.8,,,364.18,351.18,,299.41,303.42999999999995,318.24,,,309.24,306.695,320.39,,305.72,314.04,315.98,320.39,315.51,309.72,,321.86,,375.545,373.345,379.09666666666664,371.11
2001-01-05 21:51:04+00:00,367.135,366.5933333333333,374.65000000000003,372.22,,,,,,,325.81,365.4,,,364.18,342.2633333333333,312.37,287.855,314.65,326.0266666666667,,,309.24,306.695,320.39,,305.72,314.04,338.08000000000004,343.585,315.51,320.45500000000004,,338.57500000000005,363.18,370.38000000000005,363.2733333333333,379.09666666666664,371.11
2001-04-04 21:44:30+00:00,,366.27,,,,,,,,,325.81,366.0,,,364.18,342.2633333333333,335.575,276.3,337.09,341.6,,,,304.65,320.39,,316.365,315.065,338.08000000000004,343.585,315.51,320.45500000000004,,338.57500000000005,363.18,365.67500000000007,357.55999999999995,376.32,371.11
