dates,nzd0313-0000,nzd0313-0001,nzd0313-0002,nzd0313-0003,nzd0313-0004,nzd0313-0005,nzd0313-0006,nzd0313-0007,nzd0313-0008,nzd0313-0009,nzd0313-0010,nzd0313-0011,nzd0313-0012,nzd0313-0013,nzd0313-0014,nzd0313-0015,nzd0313-0016,nzd0313-0017,nzd0313-0018,nzd0313-0019,nzd0313-0020,nzd0313-0021,nzd0313-0022,nzd0313-0023,nzd0313-0024,nzd0313-0025,nzd0313-0026,nzd0313-0027,nzd0313-0028,nzd0313-0029,nzd0313-0030,nzd0313-0031,nzd0313-0032,nzd0313-0033,nzd0313-0034,nzd0313-0035,nzd0313-0036,nzd0313-0037,nzd0313-0038,nzd0313-0039,nzd0313-0040,nzd0313-0041,nzd0313-0042,nzd0313-0043,nzd0313-0044,nzd0313-0045,nzd0313-0046,nzd0313-0047,nzd0313-0048,nzd0313-0049,nzd0313-0050,nzd0313-0053,nzd0313-0054,nzd0313-0055,nzd0313-0056,nzd0313-0057,nzd0313-0058,nzd0313-0059,nzd0313-0060,nzd0313-0061,nzd0313-0062,nzd0313-0063,nzd0313-0064,nzd0313-0065,nzd0313-0066,nzd0313-0067,nzd0313-0068,nzd0313-0069,nzd0313-0070,nzd0313-0071,nzd0313-0072,nzd0313-0075,nzd0313-0076,nzd0313-0077,nzd0313-0078,nzd0313-0079,nzd0313-0080,nzd0313-0081,nzd0313-0082,nzd0313-0083,nzd0313-0084,nzd0313-0085,nzd0313-0086,nzd0313-0087,nzd0313-0088,nzd0313-0089,nzd0313-0090,nzd0313-0091,nzd0313-0092,nzd0313-0093,nzd0313-0095,nzd0313-0096,nzd0313-0097,nzd0313-0098,nzd0313-0099,nzd0313-0100,nzd0313-0101,nzd0313-0102,nzd0313-0103,nzd0313-0104,nzd0313-0105,nzd0313-0106,nzd0313-0107,nzd0313-0108,nzd0313-0109,nzd0313-0110,nzd0313-0111,nzd0313-0112,nzd0313-0113,nzd0313-0114,nzd0313-0115,nzd0313-0116,nzd0313-0117,nzd0313-0118,nzd0313-0119,nzd0313-0120,nzd0313-0121,nzd0313-0122,nzd0313-0123,nzd0313-0124,nzd0313-0125,nzd0313-0126,nzd0313-0127,nzd0313-0128,nzd0313-0129,nzd0313-0130,nzd0313-0131,nzd0313-0132,nzd0313-0133,nzd0313-0134,nzd0313-0135,nzd0313-0136,nzd0313-0137,nzd0313-0138,nzd0313-0139,nzd0313-0140,nzd0313-0141,nzd0313-0142,nzd0313-0143,nzd0313-0144,nzd0313-0145,nzd0313-0146,nzd0313-0147,nzd0313-0148,nzd0313-0149,nzd0313-0150,nzd0313-0151,nzd0313-0152,nzd0313-0153,nzd0313-0154,nzd0313-0155,nzd0313-0156,nzd0313-0157,nzd0313-0158,nzd0313-0159,nzd0313-0160,nzd0313-0161,nzd0313-0162,nzd0313-0163,nzd0313-0164,nzd0313-0165,nzd0313-0166,nzd0313-0167,nzd0313-0168,nzd0313-0169,nzd0313-0170,nzd0313-0171,nzd0313-0172,nzd0313-0173,nzd0313-0051,nzd0313-0052,nzd0313-0073,nzd0313-0074,nzd0313-0094,satname
1999-09-27 22:06:00.877,,,,,,,,,,,245.48,245.78,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.06,379.26,384.08,362.07,379.04,,,,,,346.01,357.49,306.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-16 22:05:57.846,,,,,,,,347.51,310.58,,263.94,233.01999999999998,256.41999999999996,288.98,,,,,,,,,238.28,247.99,,,,,,,303.34,,,,,,,,,,,,,,,,,536.39,,499.18,,524.69,489.49,504.11,506.66,500.89,460.42,481.93,469.45,,,,,,,468.65,488.9,481.15,482.92,,,,383.62,,381.145,387.53499999999997,394.35,377.34000000000003,386.46500000000003,394.63,385.44,392.51,382.99,369.8,354.615,363.135,315.8,200.55,,,,,519.8,,505.47,491.96,495.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-03-05 22:05:36.285,,,,,,,,343.365,295.345,277.09,257.41,243.64333333333332,260.66333333333336,274.13,,,234.52,,,,,,221.53,233.55,,,,,,,288.625,,,,,,,,,,,,,,,,,520.015,,508.82500000000005,,524.69,489.49,507.415,502.095,482.895,464.28499999999997,499.34000000000003,486.23,509.8,499.05,498.79,494.61,,455.31,488.31,490.49,500.03,449.33000000000004,,,,381.92,387.15,386.22333333333336,389.09999999999997,397.6566666666667,384.4066666666667,390.01,398.21000000000004,389.66499999999996,396.5,384.78499999999997,368.735,358.24,365.9866666666667,319.3,213.01,380.98,497.17,,,501.575,,488.995,477.96,477.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.33,,,,,,,,,,,,,,,,,,,,,,,,443.33,437.24,,,,,490.22,,,,L7
2000-03-21 22:05:37.143,,,,,,,,343.365,295.345,285.05499999999995,247.815,239.445,256.72499999999997,274.13,,,234.52,,,,,,221.53,233.55,,,,,,,309.24,,348.37,,,,,,,,,,,,,513.56,528.66,523.56,522.67,510.87000000000006,532.43,517.125,491.37,507.415,502.095,482.895,464.28499999999997,499.34000000000003,484.20666666666665,497.225,496.19,490.935,486.975,444.98,468.23,477.20666666666665,490.49,500.03,449.33000000000004,,548.69,,381.92,387.15,385.285,388.8175,397.6566666666667,387.13,390.25,396.74333333333334,386.51,392.23,380.6566666666667,366.24,357.7225,366.365,318.7575,256.02000000000004,380.98,497.17,,,501.575,,488.995,477.96,477.05,,,,,,437.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.33,,,,,,,,,,,434.59,,,454.54,447.5,,,449.56,462.32,472.77,,,,443.33,437.24,,,,539.47,505.40000000000003,,,,L7
2001-01-03 22:03:24.303,,,,,,,,,,,,,,,,,209.1,,,,,,,,,,,,,,323.39,,333.13,,478.53,491.08,499.94,518.21,495.89,520.35,,,496.37,,,526.09,525.88,536.63,523.89,,500.73,522.26,,478.14,482.96,502.08,489.81,479.46,512.54,520.91,478.97,487.71,452.89,474.05,484.86,463.71,496.45,491.59,504.64,523.14,542.83,,379.89,390.26,397.84,402.05,408.81,393.81,398.63,399.11,395.45,395.6,379.54,371.55,365.77,373.32,326.61,339.1,358.79,,,550.5,518.09,519.41,527.17,494.07,478.87,,,499.91,439.19,438.09,458.92,,474.43,,,375.67,,,,376.0,,,,,,,,405.36,407.32,418.52,402.76,,,,,,,,,,306.48,314.05,332.1,,,,,,335.52,,,,,,,,,,,445.16,,,424.79,448.4,414.26,463.27,414.59,474.13,479.36,,,,462.08,465.33,475.84,474.68,,509.73,512.43,512.74,522.68,,L7
2001-01-19 22:03:31.103,,321.96,316.07,296.83,291.79,286.96,273.52,255.04,262.69,262.93,260.82,260.31,259.96,262.03,196.54,265.37,227.12,259.43,,,,269.44,292.21,246.88,,,298.41,,,345.47,340.555,,333.13,381.75,467.135,478.24,489.055,503.76,497.495,515.455,443.12,453.8,477.075,,,505.94500000000005,508.145,536.63,523.89,,500.73,502.595,530.93,505.605,482.96,512.21,509.14,479.46,507.43999999999994,518.435,486.105,459.585,460.66499999999996,470.725,484.86,464.565,496.45,487.86,504.64,505.905,524.205,,380.445,388.185,396.80499999999995,399.98,407.765,394.51,397.43,398.22,396.515,395.11,379.235,371.35,366.92999999999995,373.32,326.61,339.1,358.79,521.83,532.86,546.63,518.09,530.0,536.66,510.21000000000004,476.6,540.83,,489.855,450.0,447.29999999999995,456.63,432.63,455.275,444.17,421.68,382.3,398.52,383.99,368.9,376.0,,,,349.65,366.68,363.83,352.11,386.185,400.875,408.34000000000003,395.145,340.76,,335.48,345.09,353.68,336.84,334.09,,,319.94,327.255,322.89,354.48,,367.51,369.34,366.59,348.585,392.76,333.99,386.86,390.65,397.65,357.33,403.42,405.89,417.84,,414.83000000000004,391.29,418.0,416.28499999999997,446.28499999999997,433.56,451.78,414.59,441.705,469.33500000000004,481.93,446.11,418.38,463.855,439.935,468.46,466.355,,509.73,512.43,526.84,520.845,528.0,L7
2001-02-20 22:03:24.667,,322.105,308.12,285.725,285.75,275.57,264.435,249.425,253.985,254.02,253.755,252.01,239.89499999999998,247.015,210.76999999999998,265.37,227.12,259.43,,,,269.44,292.21,246.88,,,298.41,,,345.47,340.555,,333.13,381.75,467.135,478.24,454.6666666666667,503.76,497.495,515.455,443.12,453.8,477.075,,,505.94500000000005,508.145,536.63,523.89,,500.73,502.595,530.93,503.0,487.145,503.0466666666666,500.1666666666667,482.605,500.9166666666667,506.23333333333335,484.01666666666665,458.3433333333333,460.66499999999996,470.725,484.86,464.565,496.45,487.86,504.64,505.905,517.0733333333334,,381.09999999999997,388.51,397.41333333333336,398.91333333333336,407.4166666666667,395.6466666666667,397.2266666666667,399.59999999999997,394.1233333333333,396.5133333333333,381.6366666666667,371.97333333333336,369.00666666666666,373.46500000000003,327.92,340.98,358.79,530.165,533.84,544.3133333333334,518.09,530.0,534.0433333333333,515.1866666666666,476.6,526.975,,489.855,450.0,447.29999999999995,452.00333333333333,428.995,440.68666666666667,428.47,412.95500000000004,381.42333333333335,386.91999999999996,378.38,362.945,361.24,333.55,,,349.65,366.68,354.87,345.5,366.7866666666667,377.94,381.93333333333334,372.4166666666667,333.51,,333.28499999999997,345.09,344.595,327.67999999999995,329.87,320.53,312.72,322.34999999999997,330.43333333333334,322.89,354.48,,367.51,361.59,353.83,350.08666666666664,374.11,344.195,370.59000000000003,377.385,380.11,370.095,391.64,398.73,406.05999999999995,,415.3866666666667,403.15999999999997,416.565,415.94,437.37999999999994,432.47,444.73,426.765,429.8633333333333,458.8733333333333,466.66499999999996,442.155,422.41999999999996,451.9433333333333,437.12999999999994,453.6499999999999,449.46999999999997,401.5,509.73,512.43,522.9866666666667,518.4833333333332,538.875,L7
2001-08-31 22:01:41.241,,268.3,201.19,187.96,182.02,,176.55,248.43,255.8,253.27,256.67,243.87,259.7,,,303.07,243.88,291.71,,222.24,,233.31,275.26,286.03,,,268.9,,379.24,329.72,388.98,,,,,,,,,473.04,460.34,480.51,,,544.24,483.08,,,501.99,484.71,,,,491.55,497.54,500.47,485.13,452.6,485.52,485.83,480.77,475.62,481.02,478.93,492.52,493.11,511.12,,508.09,527.05,533.09,,382.2,386.13,387.98,392.68,402.28,397.8,396.91,396.81,398.51,402.51,391.05,372.73,373.44,369.94,326.32,359.85,386.86,,,,,,,,,,,,,,,420.79,413.98,413.97,409.44,404.29,348.39,394.53,372.04,394.74,360.93,374.21,,325.58,327.72,355.56,345.93,351.69,366.45,366.33,338.37,,,,328.36,326.51,299.71,339.35,339.61,345.19,339.07,295.0,331.13,334.26,308.69,355.85,352.79,350.07,350.9,366.81,376.03,398.53,356.81,388.56,,,408.17,399.56,,434.54,424.51,443.99,454.2,452.02,,,,,,,,,,,,,,,,538.39,,,L7
2001-11-03 22:01:22.838,,231.945,193.48000000000002,187.96,182.02,,176.55,248.43,255.8,253.27,256.67,243.87,259.7,,,303.07,243.88,291.71,,222.24,,233.31,275.26,286.03,,,268.9,371.17,367.45000000000005,329.72,402.765,,,,,,,468.81,467.11,480.875,460.34,480.51,,,544.24,483.08,,,501.99,484.71,,,,491.55,497.54,500.47,485.13,452.6,485.52,485.83,480.77,475.62,481.02,478.93,492.52,493.11,511.12,,508.09,527.05,533.09,,367.15,377.525,381.155,384.39,393.955,383.845,387.11,386.43,384.44,387.7,376.85,363.20500000000004,359.9,363.015,317.125,350.31,386.86,,,,,,,,,,,,,,,420.79,413.98,413.97,409.44,404.29,348.39,394.53,372.04,394.74,360.93,374.21,,325.58,327.72,355.56,345.93,351.69,366.45,366.33,338.37,,,,328.36,326.51,299.71,339.35,339.61,345.19,339.07,295.0,331.13,334.26,308.69,355.85,352.79,350.07,350.9,366.81,376.03,398.53,356.81,388.56,,,408.17,399.56,,434.54,424.51,443.99,454.2,452.02,,,,,,,,,,,,,,,,538.39,,,L7
2002-10-21 22:00:48.324,282.99,229.23,206.85,197.96,205.67,228.11,207.19,,,201.33,214.42,205.59,,209.59,206.84,,208.13,,229.14,212.23,213.59,226.99,241.0,250.32,,,316.79,333.76,,,,,340.27,,,,383.74,,,,393.35,,426.84,432.16,,,,,,,,,,,,,,,,436.32,,403.22,471.22,,,424.33,,,,,464.59,,375.98,391.98,388.57,395.58,396.84,389.84,394.79,393.53,383.54,388.13,380.44,371.22,362.74,363.28,326.17,349.8,312.01,510.86,509.61,528.74,517.18,520.25,540.44,528.09,472.14,482.6,,451.76,425.05,,415.74,401.17,394.26,386.6,384.28,,353.98,,348.69,366.18,340.95,338.84,320.19,318.24,,306.73,287.29,285.07,286.65,280.28,287.73,,,,,,263.21,,284.79,289.61,,273.45,289.65,,277.5,300.71,309.65,327.8,314.17,,336.16,362.09,372.91,405.67,427.66,374.28,,,356.45,382.27,,,,,,,,,,393.1,400.57,403.88,418.12,,386.88,385.6,383.13,,,470.82,480.04,498.3,L7
