dates,nzd0314-0000,nzd0314-0001,nzd0314-0002,nzd0314-0009,nzd0314-0053,nzd0314-0054,nzd0314-0055,nzd0314-0056,nzd0314-0057,nzd0314-0058,nzd0314-0134,nzd0314-0135,nzd0314-0136,nzd0314-0137,nzd0314-0138,nzd0314-0139,nzd0314-0026,nzd0314-0027,nzd0314-0059,nzd0314-0065,nzd0314-0066,nzd0314-0075,nzd0314-0076,nzd0314-0140,nzd0314-0003,nzd0314-0004,nzd0314-0005,nzd0314-0006,nzd0314-0133,nzd0314-0036,nzd0314-0037,nzd0314-0038,nzd0314-0039,nzd0314-0067,nzd0314-0068,nzd0314-0069,nzd0314-0070,nzd0314-0010,nzd0314-0013,nzd0314-0014,nzd0314-0015,nzd0314-0016,nzd0314-0017,nzd0314-0018,nzd0314-0019,nzd0314-0028,nzd0314-0029,nzd0314-0030,nzd0314-0031,nzd0314-0032,nzd0314-0033,nzd0314-0042,nzd0314-0043,nzd0314-0044,nzd0314-0060,nzd0314-0061,nzd0314-0062,nzd0314-0064,nzd0314-0071,nzd0314-0072,nzd0314-0073,nzd0314-0077,nzd0314-0078,nzd0314-0079,nzd0314-0080,nzd0314-0081,nzd0314-0082,nzd0314-0083,nzd0314-0087,nzd0314-0088,nzd0314-0091,nzd0314-0092,nzd0314-0093,nzd0314-0094,nzd0314-0141,nzd0314-0024,nzd0314-0025,nzd0314-0040,nzd0314-0047,nzd0314-0048,nzd0314-0008,nzd0314-0012,nzd0314-0023,nzd0314-0034,nzd0314-0035,nzd0314-0045,nzd0314-0020,nzd0314-0022,nzd0314-0007,nzd0314-0142,nzd0314-0143,nzd0314-0144,nzd0314-0145,nzd0314-0146,nzd0314-0147,nzd0314-0011,nzd0314-0085,nzd0314-0125,nzd0314-0126,nzd0314-0127,nzd0314-0128,nzd0314-0129,nzd0314-0130,nzd0314-0131,nzd0314-0132,nzd0314-0052,nzd0314-0074,nzd0314-0084,nzd0314-0041,nzd0314-0051,nzd0314-0063,nzd0314-0086,nzd0314-0096,nzd0314-0097,nzd0314-0098,nzd0314-0099,nzd0314-0100,nzd0314-0101,nzd0314-0046,nzd0314-0049,nzd0314-0050,nzd0314-0106,nzd0314-0107,nzd0314-0108,nzd0314-0109,nzd0314-0148,nzd0314-0149,nzd0314-0150,nzd0314-0151,nzd0314-0095,nzd0314-0122,nzd0314-0123,nzd0314-0124,satname
2005-02-23 21:59:43.397,,,,,219.85,189.57,178.8,207.11,183.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.19,,,,240.22,,,,,,,,,,,192.77,,,,,,,,,,,,,L5
2005-04-28 22:00:11.734,,,,,230.51,193.345,184.76,209.075,182.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.595,,,,241.475,,,,,,,,,,,199.5,,,,,,,,,,,,,L5
2005-05-30 22:00:27.276,,,,,240.60333333333332,200.80666666666664,202.86666666666667,222.71,188.46,,165.78,184.88,183.28,180.35,187.62,181.03,,,,,,,,175.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.97,,,,249.79333333333332,,,,,,,,,,,210.79999999999998,,,,,,,,,,,,,L5
2006-02-26 22:03:47.179,,,,,241.85,212.51,218.08,222.04,204.17,169.01,,,,,,,,,173.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.03,,,,252.36,,,,,,,,,,,221.11,,,,,,,,,,,,,L5
2006-05-17 22:05:09.745,,,,,237.505,208.82999999999998,202.835,221.095,193.535,169.01,,,,,,,,,173.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.965,,,,242.525,,,,,,,,,,,210.91000000000003,,,,,,,,,,,,,L5
2006-08-21 22:06:31.405,,,,,237.49666666666667,209.66666666666666,196.29999999999998,224.20333333333335,195.62333333333333,170.415,,,,,,,,,175.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.41666666666666,,,,245.46,,,,,,,,,,,212.79,,,,,,,,,,,,,L5
2006-09-22 22:06:54.827,,,,,227.96,197.95000000000002,182.76999999999998,218.41,187.60333333333335,171.82,,,,,,,,,178.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.12666666666667,,,,240.95666666666668,,,,,,,,,,,198.20333333333335,,,,,,,,,,,,,L5
2006-12-11 22:07:39.980,,,,,227.73333333333335,197.81333333333336,185.48000000000002,220.05666666666664,192.98666666666668,171.82,162.85,169.98,184.14,176.84,170.36,186.78,,,178.46,,,,,177.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.53,,,,240.77666666666667,,,,,,,,,,,196.95,,,,,,,,,,,,,L5
2008-10-29 21:56:36.227,,,,,218.6,195.62,184.01,212.26,190.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.06,,,,227.32,,,,,,,,,,,,,,,,,,,,,,,,L5
2009-02-02 21:58:34.187,,,,,222.57999999999998,194.91,187.865,211.89499999999998,190.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.55,,,,230.16,,,,,,,,,,,166.2,,,,,,,,,,,,,L5
