dates,satname,nzd0315-0000,nzd0315-0001,nzd0315-0002,nzd0315-0003,nzd0315-0004,nzd0315-0005,nzd0315-0006,nzd0315-0029,nzd0315-0030,nzd0315-0031,nzd0315-0032,nzd0315-0033,nzd0315-0034,nzd0315-0035,nzd0315-0036,nzd0315-0037,nzd0315-0038,nzd0315-0039,nzd0315-0040,nzd0315-0041,nzd0315-0042,nzd0315-0044,nzd0315-0045,nzd0315-0046,nzd0315-0047,nzd0315-0048,nzd0315-0049,nzd0315-0050,nzd0315-0051,nzd0315-0052,nzd0315-0053,nzd0315-0054,nzd0315-0055,nzd0315-0056,nzd0315-0057,nzd0315-0058,nzd0315-0059,nzd0315-0060,nzd0315-0061,nzd0315-0062,nzd0315-0063,nzd0315-0064,nzd0315-0065,nzd0315-0066,nzd0315-0068,nzd0315-0069,nzd0315-0070,nzd0315-0071,nzd0315-0072,nzd0315-0073,nzd0315-0074,nzd0315-0075,nzd0315-0076,nzd0315-0077,nzd0315-0078,nzd0315-0079,nzd0315-0080,nzd0315-0081,nzd0315-0082,nzd0315-0086,nzd0315-0087,nzd0315-0088,nzd0315-0089,nzd0315-0091,nzd0315-0092,nzd0315-0093,nzd0315-0094,nzd0315-0095,nzd0315-0096,nzd0315-0097,nzd0315-0098,nzd0315-0099,nzd0315-0100,nzd0315-0101,nzd0315-0102,nzd0315-0103,nzd0315-0104,nzd0315-0107,nzd0315-0108,nzd0315-0109,nzd0315-0110,nzd0315-0111,nzd0315-0112,nzd0315-0113,nzd0315-0114,nzd0315-0115,nzd0315-0116,nzd0315-0117,nzd0315-0118,nzd0315-0119,nzd0315-0120,nzd0315-0121,nzd0315-0122,nzd0315-0123,nzd0315-0124,nzd0315-0125,nzd0315-0126,nzd0315-0127,nzd0315-0128,nzd0315-0129,nzd0315-0130,nzd0315-0131,nzd0315-0132,nzd0315-0133,nzd0315-0134,nzd0315-0135,nzd0315-0136,nzd0315-0137,nzd0315-0138,nzd0315-0139,nzd0315-0140,nzd0315-0141,nzd0315-0142,nzd0315-0143,nzd0315-0144,nzd0315-0145,nzd0315-0146,nzd0315-0147,nzd0315-0148,nzd0315-0149,nzd0315-0150,nzd0315-0151,nzd0315-0152,nzd0315-0153,nzd0315-0154,nzd0315-0155,nzd0315-0156,nzd0315-0172,nzd0315-0173,nzd0315-0174,nzd0315-0175,nzd0315-0176,nzd0315-0177,nzd0315-0178,nzd0315-0179,nzd0315-0180,nzd0315-0181,nzd0315-0182,nzd0315-0183,nzd0315-0184,nzd0315-0185,nzd0315-0186,nzd0315-0241,nzd0315-0242,nzd0315-0243,nzd0315-0244,nzd0315-0245,nzd0315-0246,nzd0315-0247,nzd0315-0248,nzd0315-0249,nzd0315-0250,nzd0315-0251,nzd0315-0252,nzd0315-0253,nzd0315-0254,nzd0315-0255,nzd0315-0256,nzd0315-0257,nzd0315-0258,nzd0315-0259,nzd0315-0260,nzd0315-0007,nzd0315-0008,nzd0315-0009,nzd0315-0010,nzd0315-0011,nzd0315-0012,nzd0315-0013,nzd0315-0014,nzd0315-0015,nzd0315-0016,nzd0315-0017,nzd0315-0018,nzd0315-0019,nzd0315-0020,nzd0315-0021,nzd0315-0022,nzd0315-0023,nzd0315-0024,nzd0315-0025,nzd0315-0026,nzd0315-0027,nzd0315-0028,nzd0315-0043,nzd0315-0067,nzd0315-0083,nzd0315-0084,nzd0315-0085,nzd0315-0090,nzd0315-0105,nzd0315-0106,nzd0315-0157,nzd0315-0158,nzd0315-0159,nzd0315-0160,nzd0315-0161,nzd0315-0162,nzd0315-0163,nzd0315-0164,nzd0315-0165,nzd0315-0166,nzd0315-0167,nzd0315-0168,nzd0315-0169,nzd0315-0170,nzd0315-0171,nzd0315-0187,nzd0315-0188,nzd0315-0189,nzd0315-0190,nzd0315-0191,nzd0315-0192,nzd0315-0193,nzd0315-0194,nzd0315-0195,nzd0315-0196,nzd0315-0197,nzd0315-0198,nzd0315-0199,nzd0315-0200,nzd0315-0201,nzd0315-0202,nzd0315-0203,nzd0315-0204,nzd0315-0205,nzd0315-0206,nzd0315-0207,nzd0315-0208,nzd0315-0209,nzd0315-0210,nzd0315-0211,nzd0315-0212,nzd0315-0213,nzd0315-0214,nzd0315-0215,nzd0315-0216,nzd0315-0217,nzd0315-0218,nzd0315-0219,nzd0315-0220,nzd0315-0221,nzd0315-0222,nzd0315-0223,nzd0315-0224,nzd0315-0225,nzd0315-0226,nzd0315-0227,nzd0315-0228,nzd0315-0229,nzd0315-0230,nzd0315-0231,nzd0315-0232,nzd0315-0233,nzd0315-0234,nzd0315-0235,nzd0315-0236,nzd0315-0237,nzd0315-0238,nzd0315-0239,nzd0315-0240,nzd0315-0261,nzd0315-0262
1999-08-28 21:53:35.950000,L7,197.01,203.37,264.11,295.64,259.08,252.42,216.42,172.30,218.17,261.81,245.65,265.22,243.57,257.28,260.29,424.85,204.16,453.55,497.67,442.32,523.98,464.35,473.79,458.63,539.40,360.40,375.86,553.62,238.75,195.93,274.30,341.68,323.18,454.88,471.01,493.86,256.47,243.83,295.30,318.54,304.89,377.89,349.31,381.69,324.68,542.83,397.46,358.48,315.58,498.73,191.82,206.65,210.00,211.68,208.83,507.88,526.07,529.71,200.91,239.63,296.02,339.51,302.49,392.70,205.78,336.24,510.93,468.47,417.12,515.28,313.70,306.88,457.28,380.93,547.70,437.81,498.91,415.39,191.75,321.75,385.51,390.26,377.94,523.07,204.30,541.65,203.93,219.61,204.44,209.56,208.34,249.42,243.73,231.63,214.56,213.86,210.05,212.92,208.10,211.29,223.32,222.00,222.77,219.32,215.92,188.57,192.16,202.81,197.17,207.54,189.44,198.13,207.12,215.57,191.53,202.41,190.88,190.01,205.74,204.18,208.39,215.96,215.37,183.34,182.15,178.06,179.81,187.86,205.56,210.17,204.15,189.42,200.05,210.29,195.49,214.19,187.98,186.56,207.59,197.47,183.88,180.58,172.85,183.17,184.79,188.50,204.42,200.62,223.36,226.86,219.90,175.87,183.07,189.82,198.58,207.76,201.88,181.76,183.37,186.89,182.21,187.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-16 21:53:32.114000,L7,,545.92,510.43,504.96,489.92,458.60,451.68,463.71,492.52,474.54,480.66,551.79,535.34,538.74,541.71,529.47,523.55,507.96,524.89,494.50,511.90,521.16,523.59,499.04,519.35,515.71,495.03,499.44,541.09,454.90,448.91,494.96,490.60,487.73,489.21,505.52,505.27,501.40,494.73,492.33,491.44,529.90,255.62,481.37,540.22,496.05,553.82,287.55,263.67,268.35,278.74,266.60,543.18,544.51,493.01,554.80,545.82,269.29,523.18,527.53,538.55,533.56,547.54,290.81,294.06,303.80,309.31,304.37,300.80,310.01,298.17,314.43,297.93,293.96,295.13,303.59,284.94,282.08,285.69,279.07,290.11,276.88,282.68,277.84,276.89,302.14,278.41,286.50,289.43,289.10,288.84,287.92,291.59,294.01,287.37,284.95,286.82,299.83,302.52,282.83,274.58,519.44,516.27,512.70,501.29,495.99,504.85,510.52,507.69,511.23,517.18,521.89,526.04,284.17,279.44,283.32,285.38,290.17,303.60,306.90,307.58,304.76,302.37,295.97,290.42,271.65,273.28,298.62,298.51,296.69,301.68,291.58,298.92,305.38,305.43,309.33,310.00,297.02,303.38,295.29,300.99,285.14,303.24,299.43,299.16,303.62,303.27,303.29,305.30,295.72,290.37,275.08,260.95,254.66,250.20,241.94,239.49,224.84,216.18,201.39,194.78,189.65,480.47,524.38,514.71,515.59,495.79,506.54,493.78,495.26,503.56,504.79,497.86,516.76,510.68,529.34,507.63,516.63,528.34,513.70,533.61,558.43,482.06,477.24,518.06,527.90,518.39,510.60,522.20,249.78,282.44,291.77,276.24,273.11,272.80,265.69,236.17,265.82,261.12,280.81,274.87,276.20,282.23,276.15,284.65,288.14,288.61,289.38,286.97,281.33,288.62,281.67,282.91,286.54,278.94,282.39,276.77,285.29,287.04,295.47,284.04,291.54,299.11,302.40,298.85,299.02,301.55,294.81,296.11,286.85,293.32,287.69,289.25,287.38,281.35,281.41,274.45,284.45,268.17,275.46,278.33,269.28,288.24,273.67,276.27,280.47,291.22,280.97,279.22,281.79,288.98,285.15,287.52,287.19,276.73,281.61,293.18,293.42,295.41,305.24,304.72,185.83,180.15
1999-12-09 21:59:45.569000,L7,248.89,200.60,310.86,322.80,342.90,333.25,342.53,378.93,365.32,369.84,373.37,365.28,408.87,415.01,377.87,363.88,359.42,369.71,366.65,367.69,362.32,346.00,337.82,336.34,331.97,335.15,317.54,322.75,333.77,324.88,325.33,328.99,331.59,330.91,329.14,334.73,325.90,342.05,326.69,353.30,338.66,311.10,316.05,320.72,344.29,335.00,331.93,330.33,314.77,317.72,324.64,325.49,312.34,297.21,307.87,323.11,330.28,338.84,338.27,310.89,302.19,262.82,299.93,334.32,341.93,381.76,384.76,359.20,355.93,368.68,369.74,366.06,373.44,371.48,354.21,333.97,328.44,336.24,332.40,324.67,324.43,313.57,319.19,313.10,319.73,319.20,320.62,316.08,310.46,318.40,321.65,340.76,338.83,329.80,325.72,317.47,350.47,322.72,311.00,316.54,323.97,309.86,322.23,306.34,307.77,308.23,302.09,297.10,319.87,324.14,330.45,322.59,329.44,342.34,344.92,353.66,352.58,359.72,363.49,362.41,358.56,366.48,355.06,348.93,338.84,337.21,344.03,400.94,396.43,405.66,406.46,397.10,394.86,398.11,400.60,400.55,392.40,375.75,394.31,405.14,392.78,357.74,336.43,340.43,374.89,360.49,390.96,400.91,370.73,378.88,369.53,364.82,305.50,327.74,305.67,286.80,272.95,264.04,257.50,245.20,235.25,213.99,340.67,337.43,324.19,356.53,337.81,311.22,305.73,307.19,316.51,325.09,336.13,326.42,330.64,330.80,341.31,350.16,352.98,354.58,349.22,349.26,354.54,360.91,358.60,342.85,315.01,316.02,308.66,328.36,349.63,348.26,328.57,324.02,331.45,357.50,349.86,329.44,350.87,362.73,386.38,393.67,387.67,393.23,392.69,399.36,391.42,356.82,349.25,332.67,323.31,333.32,363.31,376.00,395.41,396.62,407.52,394.92,393.22,386.28,399.82,393.50,383.64,345.84,347.15,347.96,343.50,350.26,350.98,341.33,348.16,375.88,384.64,397.29,374.48,387.04,371.62,376.86,386.78,366.98,372.02,341.71,354.73,332.79,324.53,311.45,320.11,310.89,307.19,324.26,341.18,345.29,352.57,358.86,361.92,350.80,348.75,327.45,318.13,322.63,334.88,210.35,205.27
1999-12-25 21:59:40.109000,L7,,,,,244.62,261.95,281.23,303.93,311.51,308.60,305.90,308.14,291.38,222.13,295.58,300.00,276.76,257.63,256.34,279.27,291.25,301.81,301.68,288.58,369.23,374.99,309.86,309.65,292.26,202.17,176.27,,,202.89,257.04,278.18,268.13,265.75,266.19,255.67,253.27,246.88,246.95,246.06,242.23,244.65,250.61,248.59,258.26,256.34,258.35,261.38,255.46,266.96,255.18,252.76,265.68,258.87,269.41,266.68,244.06,186.14,,222.69,256.35,265.77,252.32,267.77,321.97,377.55,424.59,455.22,464.82,,366.76,349.55,261.56,290.22,547.41,472.12,431.06,,,308.84,314.51,241.23,246.84,,509.63,200.47,429.55,311.93,472.69,499.05,476.59,540.84,515.72,495.51,,,,,,,,,,,186.85,558.03,,,492.73,262.53,183.01,255.28,397.34,441.28,352.11,497.30,365.94,466.09,,273.24,184.81,,,493.35,446.41,455.64,411.12,399.42,417.69,470.74,431.49,280.41,368.22,485.47,,539.81,448.22,431.40,390.23,335.08,406.81,411.86,305.93,296.92,308.90,298.65,292.94,290.87,277.19,265.44,258.63,245.16,209.19,226.94,214.67,205.25,199.92,183.55,286.95,287.75,283.74,278.53,267.67,269.38,260.09,257.84,259.15,261.67,269.12,274.15,281.17,280.98,286.56,292.00,288.26,291.77,286.19,293.23,297.98,296.75,295.02,239.53,258.00,268.83,271.14,177.13,369.45,239.65,,190.82,453.27,534.31,501.79,332.07,363.37,293.18,295.89,291.44,313.42,,470.26,249.53,522.22,456.09,479.33,516.78,260.48,507.10,236.25,,,,,,,539.41,491.52,436.83,335.51,320.60,245.34,240.83,223.53,194.99,480.11,,,,,228.43,269.69,354.75,347.40,350.80,509.99,499.90,235.24,411.91,478.42,252.68,300.78,319.39,316.17,386.34,372.50,420.31,338.86,237.26,231.44,180.41,167.82,,257.45,365.68,386.32,402.36,400.60,,
2000-01-19 21:53:25.812000,L7,325.11,413.38,417.15,344.81,365.35,421.56,388.74,413.75,410.11,402.60,510.34,474.87,466.68,464.74,416.00,375.19,372.19,407.91,394.69,410.99,373.25,394.99,382.51,377.52,366.04,358.67,340.37,358.34,339.22,343.82,359.73,338.85,358.46,341.18,480.68,408.09,,,,,,384.98,348.65,315.79,321.83,308.60,318.05,312.40,335.55,324.17,327.59,320.29,325.42,315.86,357.55,334.57,325.75,338.12,354.28,314.94,323.55,324.37,332.08,362.58,386.54,391.24,392.51,370.44,356.88,365.75,370.97,357.13,351.51,351.98,353.31,366.69,379.07,379.73,387.29,369.74,387.98,371.42,336.06,362.75,364.48,356.62,368.25,384.98,374.35,364.02,376.00,335.72,329.05,337.60,352.69,348.23,353.78,343.11,329.00,334.99,351.38,354.37,353.49,371.54,335.02,347.63,355.76,346.75,345.16,362.51,362.13,380.97,358.08,353.29,344.96,359.48,370.75,381.45,384.19,395.21,401.27,405.08,394.23,386.77,377.54,352.10,361.83,353.35,352.51,343.67,348.83,371.58,381.74,360.17,353.50,344.79,377.74,354.50,360.34,356.61,396.69,404.00,368.03,334.02,359.20,370.17,339.36,351.89,355.60,361.78,341.97,328.25,315.04,294.15,287.38,265.11,256.18,256.57,238.89,229.24,236.85,216.02,377.90,362.04,356.12,345.52,347.85,341.15,346.86,338.45,390.75,399.64,367.23,359.66,349.91,372.17,377.53,431.52,461.47,474.75,397.21,404.90,399.73,411.08,379.47,546.44,369.71,325.85,324.91,341.67,367.16,357.25,360.30,379.02,380.01,362.92,334.54,352.42,333.52,329.43,347.70,360.54,333.48,343.05,357.43,350.78,338.31,404.32,381.20,342.55,341.59,346.24,345.01,357.33,395.00,364.70,335.76,326.51,347.34,339.14,368.71,366.03,362.68,336.14,345.51,354.55,370.84,381.37,377.53,364.24,347.06,330.83,318.55,327.54,367.35,382.51,345.88,317.47,319.32,306.95,340.61,331.67,334.43,320.77,327.64,313.43,334.01,359.87,336.69,326.43,360.83,356.96,341.00,356.07,332.31,323.14,326.11,323.06,370.39,336.34,319.32,228.68,212.28
2000-01-26 21:59:38.265000,L7,,238.71,222.84,234.56,215.72,268.53,255.68,283.30,287.43,285.12,295.34,286.97,268.80,254.26,291.58,286.68,242.35,243.15,260.92,272.69,269.58,269.70,272.45,268.50,262.34,265.59,260.02,260.65,262.12,253.00,250.96,252.11,251.21,248.04,252.12,246.73,243.44,244.26,238.29,241.63,240.71,230.01,234.38,231.44,231.63,226.67,227.93,234.64,234.85,243.40,244.00,241.01,244.42,240.33,237.84,233.30,238.06,236.46,216.46,239.49,226.29,184.42,,277.61,262.82,270.20,274.32,270.18,275.26,276.09,276.50,265.66,264.55,269.85,265.93,262.25,260.60,253.95,251.11,248.80,252.13,253.08,253.23,249.19,254.17,254.17,255.26,260.80,257.49,256.82,257.01,259.27,264.57,264.36,264.19,267.56,260.58,257.99,251.94,253.67,250.62,245.00,239.04,243.57,241.75,240.43,229.60,235.94,244.57,254.27,251.85,263.01,255.98,261.93,256.08,252.52,253.12,254.29,285.90,280.67,309.32,295.70,280.78,280.74,264.03,280.17,264.32,280.55,268.70,274.82,278.05,274.83,291.70,289.84,294.41,289.32,281.82,273.40,287.41,286.01,280.22,267.02,313.45,290.77,301.15,320.69,293.22,301.71,288.06,283.08,278.59,267.26,252.39,241.69,235.11,227.84,220.10,211.90,212.78,204.82,219.59,209.07,275.63,274.53,274.30,269.74,256.39,250.32,246.09,241.17,239.94,251.34,247.74,254.77,261.09,262.74,270.95,266.20,272.11,267.34,277.67,270.49,276.05,278.75,271.65,225.93,236.79,231.03,243.99,255.01,263.90,257.21,258.03,284.73,242.54,270.46,232.20,249.59,259.15,266.14,244.68,245.05,245.00,249.33,254.63,253.07,256.98,273.15,271.87,285.18,281.43,299.21,266.49,262.70,275.58,279.67,260.28,263.15,258.82,267.39,277.86,278.41,279.67,275.43,272.32,277.46,280.69,273.68,273.88,265.52,264.59,270.59,258.64,270.00,263.03,263.94,259.25,263.42,265.30,258.38,253.34,248.09,274.61,259.01,296.22,291.15,285.71,291.08,300.56,310.72,304.70,305.51,311.44,308.32,302.07,259.83,265.77,277.36,281.08,287.51,289.47,205.05,187.03
2000-02-27 21:59:28.435000,L7,331.24,377.06,288.39,274.71,216.13,234.82,260.36,228.83,276.06,278.25,285.21,505.96,530.91,536.55,522.48,517.54,522.63,529.00,256.44,267.44,263.81,238.68,262.40,255.52,244.34,247.61,228.76,225.82,229.72,212.57,222.94,230.07,220.46,498.99,476.58,474.06,491.93,224.52,226.71,206.55,218.46,223.46,199.56,227.63,218.28,213.19,215.90,193.71,203.89,462.43,477.44,478.10,448.73,220.76,221.89,222.12,228.33,216.62,187.99,471.48,471.20,475.64,489.58,489.55,498.58,253.00,242.83,246.99,255.54,225.62,178.67,,,256.42,244.05,242.24,208.12,234.03,230.85,239.06,233.56,243.13,246.68,215.40,236.39,243.35,234.08,243.52,233.48,247.18,243.43,232.37,245.53,239.65,250.30,239.16,244.84,241.93,237.69,237.37,236.05,227.71,219.47,220.00,192.03,204.08,188.37,206.08,197.66,228.31,208.94,239.55,247.84,247.98,246.62,252.95,220.22,257.24,241.15,277.25,272.17,,,,551.48,546.85,528.99,233.74,246.83,238.55,244.81,230.03,235.55,245.28,259.45,254.13,256.73,255.98,254.82,256.68,247.59,244.47,,,,193.42,198.69,180.37,262.40,261.46,276.34,,303.73,301.73,283.74,260.21,,,,,,,273.22,282.22,279.10,270.97,266.92,255.50,250.71,244.35,247.39,246.72,249.92,258.56,254.91,259.14,261.45,260.93,267.14,265.14,270.97,257.24,192.61,199.26,265.30,219.76,,,477.57,501.34,207.91,218.13,513.24,508.93,504.83,512.55,176.35,205.59,217.69,217.05,225.68,230.72,226.70,232.36,236.63,231.46,,192.72,,,,,199.20,231.86,221.11,202.51,187.41,169.50,220.47,217.94,184.52,177.39,227.48,,187.01,218.54,221.61,229.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-14 21:59:23.204000,L7,325.97,354.87,338.17,329.49,327.79,332.31,334.51,347.80,352.99,350.24,352.97,352.76,320.29,354.59,352.63,349.85,351.24,343.31,336.74,339.84,348.68,327.14,335.19,329.01,330.46,321.99,319.20,319.15,326.50,324.86,311.22,310.98,316.35,313.17,313.51,314.88,307.47,303.41,309.33,304.65,299.93,301.71,300.61,298.58,295.55,297.56,292.22,294.87,274.06,296.12,296.33,298.75,310.32,302.24,311.44,307.28,304.31,305.31,312.75,323.52,326.49,252.13,330.57,337.46,352.88,352.57,342.23,341.77,339.39,335.13,343.04,333.91,327.27,329.44,322.64,323.19,325.11,316.09,320.59,326.60,317.07,312.62,318.43,318.67,392.55,392.36,397.02,394.11,386.22,324.20,322.76,321.90,336.38,329.08,341.75,329.21,340.78,334.49,322.65,321.35,328.25,308.78,315.86,304.86,305.00,304.64,300.78,312.05,314.23,324.49,337.40,325.16,328.08,329.15,331.69,345.71,355.66,357.07,361.79,351.81,359.45,359.87,345.64,348.74,340.95,335.03,336.87,337.38,344.56,339.61,342.49,335.94,345.69,345.84,352.88,337.00,336.97,353.02,358.74,351.78,346.91,344.56,315.56,320.75,327.78,323.11,326.35,338.68,357.13,362.18,353.91,315.15,285.33,280.73,275.07,271.76,250.18,233.53,227.33,216.28,207.03,201.03,331.76,337.09,335.33,331.15,320.38,303.29,299.02,288.16,298.11,311.36,304.67,318.18,315.70,323.70,331.24,337.33,338.67,335.89,332.16,329.14,339.96,346.55,333.44,301.39,329.20,319.50,313.32,335.65,321.52,323.18,334.89,338.73,328.28,326.50,330.63,313.62,314.94,321.09,335.35,334.07,336.61,328.03,340.10,335.76,340.63,340.47,336.94,330.09,326.43,324.55,327.19,320.59,324.95,317.84,328.83,325.24,326.82,327.66,326.38,331.61,329.05,325.57,335.91,333.31,327.57,328.71,328.38,331.87,334.70,326.71,318.49,320.44,321.52,315.05,319.39,314.92,319.08,314.20,309.57,308.77,393.92,423.53,434.96,315.45,318.66,320.73,309.18,319.04,312.11,307.42,311.35,319.34,317.83,315.12,312.00,314.54,318.32,322.10,323.39,193.38,183.94
2000-05-01 21:59:06.644000,L7,,,452.85,439.23,279.22,469.35,431.72,364.78,374.48,423.69,442.03,435.66,452.27,408.98,426.16,444.50,436.67,436.33,433.41,277.00,276.97,242.37,,,234.94,177.97,409.16,402.55,379.86,236.85,194.02,171.89,,,,,232.63,233.26,226.30,240.47,469.38,412.41,356.00,266.50,503.59,551.63,,,,,,389.73,345.69,372.72,385.89,261.82,233.04,231.63,223.12,409.83,402.47,406.22,217.71,247.93,248.25,264.61,275.29,262.39,278.18,269.61,270.42,265.69,267.28,263.02,260.02,259.11,256.32,254.47,254.20,247.12,248.34,250.71,252.35,244.36,252.13,254.06,251.42,254.72,254.35,256.35,254.97,262.81,257.83,265.72,263.93,265.48,261.03,250.87,247.50,247.66,249.34,243.38,241.04,240.76,235.97,228.02,229.16,236.67,235.56,249.05,242.73,253.33,253.62,253.97,258.85,267.19,257.47,275.51,260.86,280.34,273.82,285.24,274.24,267.55,266.72,249.52,401.16,348.06,353.02,352.91,269.10,435.13,423.12,438.00,280.91,276.55,467.34,382.85,401.15,426.09,445.66,380.73,376.08,386.14,374.00,396.83,348.02,353.02,360.26,373.21,282.24,412.01,296.00,257.77,298.81,284.71,210.98,218.53,198.27,186.22,188.40,178.55,442.20,463.04,352.22,382.67,405.05,501.62,328.08,359.51,387.45,323.13,472.66,460.38,361.88,390.65,274.54,430.53,418.68,414.19,343.24,396.74,358.53,316.59,275.03,462.03,189.74,405.42,404.33,301.99,260.80,259.06,391.08,337.66,237.83,224.47,200.17,305.70,311.83,326.27,375.41,371.45,251.03,260.66,269.26,263.81,257.29,269.20,256.07,338.07,295.28,313.49,383.06,398.44,404.22,404.67,401.49,410.55,386.73,417.06,360.23,338.41,344.82,418.53,310.60,417.48,425.57,378.93,374.64,367.51,352.47,345.27,387.80,343.52,370.90,324.34,313.50,272.53,309.71,314.62,347.03,382.17,391.80,309.86,308.06,285.01,403.13,409.95,409.29,393.03,398.81,363.19,318.86,311.92,238.73,384.79,359.08,334.60,333.05,400.35,391.61,,
2000-05-26 21:52:36.566000,L7,,272.95,277.80,301.18,514.98,495.34,486.98,468.54,471.45,479.07,477.88,484.25,479.49,529.45,507.52,530.93,515.50,511.80,543.79,465.62,468.64,301.71,474.78,475.05,460.68,453.00,489.50,462.28,449.06,465.43,443.67,267.48,267.93,428.45,466.84,273.37,434.52,428.16,428.72,428.90,455.31,421.80,425.53,256.99,272.75,258.79,271.50,259.76,264.21,264.84,274.71,262.00,258.50,408.09,397.53,424.59,428.09,438.44,276.47,277.67,291.86,,189.81,302.26,312.68,312.88,309.74,309.29,325.31,315.25,303.73,297.90,293.30,295.64,286.55,297.77,288.98,295.83,301.69,292.33,279.32,268.04,271.73,276.94,289.24,288.27,288.45,294.62,277.93,301.23,286.73,293.42,307.51,292.51,300.13,289.50,290.65,281.48,282.12,273.93,279.87,397.44,439.26,444.98,405.33,261.28,250.95,253.56,270.41,267.45,285.88,297.54,293.97,302.58,311.47,302.44,293.72,300.94,312.52,285.67,315.03,308.96,303.47,315.45,304.86,294.86,300.58,305.29,308.56,309.79,301.99,305.95,313.75,313.62,312.02,324.17,318.08,317.25,319.25,323.85,315.15,307.39,296.95,300.26,306.58,305.95,311.72,327.49,353.65,335.82,332.82,292.68,267.59,261.41,258.40,246.48,234.63,223.38,220.92,212.46,202.53,195.63,488.25,503.77,418.42,470.89,457.05,458.89,437.73,272.37,266.92,275.64,274.83,454.17,471.34,462.39,452.07,472.78,293.20,428.63,440.32,436.49,453.81,466.78,305.39,255.44,279.29,280.82,283.85,298.59,288.18,288.83,281.15,308.53,276.82,281.72,254.03,264.23,280.40,259.26,281.10,285.53,293.35,293.79,300.67,304.36,293.53,314.97,298.36,283.94,293.52,281.96,286.07,288.16,277.51,285.94,289.43,291.31,298.36,283.67,299.26,298.71,303.17,294.40,301.06,306.47,306.85,306.99,305.06,303.71,300.80,296.20,306.23,289.52,292.66,291.03,281.17,285.86,282.04,285.72,292.30,274.07,287.67,288.47,270.85,281.65,288.80,275.74,288.88,276.95,281.39,284.69,278.93,291.21,283.24,286.95,286.28,287.28,286.31,288.33,292.30,183.83,176.48
