dates,nzd0319-0000,nzd0319-0001,nzd0319-0002,nzd0319-0003,nzd0319-0004,nzd0319-0005,nzd0319-0006,nzd0319-0007,nzd0319-0008,nzd0319-0009,nzd0319-0010,nzd0319-0011,nzd0319-0012,nzd0319-0013,nzd0319-0014,nzd0319-0015,nzd0319-0016,nzd0319-0017,nzd0319-0018,nzd0319-0019,nzd0319-0020,nzd0319-0021,nzd0319-0022,nzd0319-0023,nzd0319-0024,nzd0319-0025,nzd0319-0026,nzd0319-0027,nzd0319-0028,nzd0319-0029,nzd0319-0030,nzd0319-0031,nzd0319-0032,nzd0319-0033,nzd0319-0034,nzd0319-0035,nzd0319-0036,nzd0319-0037,nzd0319-0038,satname
1999-08-17 22:12:02.089,,,309.44,,,,,,,,,,,,,363.86,,,,,,,,,,,,,,,,,,307.02,,,,324.12,,L7
1999-08-26 22:05:56.841,,,309.44,,,271.31,267.88,317.95,293.17,312.6,299.03,254.89,267.59,,,363.86,,,242.68,312.11,,,,,,330.72,349.47,338.75,345.39,,,,,307.44,202.6,,,307.76,,L7
1999-09-27 22:06:00.877,,,309.44,,,257.63,266.375,307.9,290.45500000000004,299.67,291.1,251.16,260.90999999999997,,,363.86,,,247.755,304.565,,,,,,317.39,347.385,340.94,330.22,,193.21,,,307.44,199.405,,,307.76,,L7
1999-11-21 22:12:00.068,,,309.44,,,257.63,266.375,307.9,290.45500000000004,299.67,291.1,251.16,260.90999999999997,,,363.86,,,247.755,304.565,,,,,,317.39,347.385,340.94,330.22,,195.065,,,316.98,199.405,,,307.76,,L7
1999-11-30 22:05:47.159,,,308.6,,411.75,257.63,266.375,307.9,290.45500000000004,299.67,291.1,251.16,260.90999999999997,,,357.19,,,247.755,304.565,406.23,403.34,,391.85,401.56,317.39,357.34999999999997,340.94,330.22,413.35,195.065,,,316.98,199.405,,,307.76,,L7
1999-12-16 22:05:57.846,,407.84,332.89000000000004,,398.72,257.63,266.375,307.9,290.45500000000004,299.67,291.1,251.16,260.90999999999997,,,376.71999999999997,430.84,423.41,247.755,304.565,406.355,406.01,418.33,402.32000000000005,407.43,317.39,357.34999999999997,340.94,330.22,414.535,195.065,,,316.98,199.405,459.77,,307.76,,L7
2000-02-25 22:11:49.490,,400.11,355.01666666666665,,398.72,245.865,277.235,297.85,287.74,286.74,283.17,249.64,260.27,262.74,,399.57,430.16499999999996,433.33500000000004,252.83,297.02,416.68666666666667,418.5333333333333,425.02,402.32000000000005,415.05,304.06,361.28999999999996,343.13,315.05,414.535,226.77666666666664,329.01,335.11,337.995,196.21,458.65,310.89,302.15,292.21,L7
2000-03-05 22:05:36.285,,400.11,355.01666666666665,,398.72,241.89666666666668,285.77333333333337,307.415,288.67,285.735,276.49,244.83,257.49,258.4,,399.57,430.16499999999996,433.33500000000004,252.83,308.91499999999996,416.68666666666667,418.5333333333333,425.02,402.32000000000005,415.05,310.59000000000003,354.78666666666663,343.13,315.05,414.535,249.85750000000002,326.525,319.69,337.995,215.4,458.65,310.89,302.15,292.21,L7
2000-03-12 22:11:45.772,,400.11,351.48749999999995,358.37,398.5366666666667,241.89666666666668,285.77333333333337,307.415,288.67,285.735,288.16333333333336,244.83,257.49,258.4,,399.57,430.16499999999996,433.33500000000004,252.83,324.91,416.68666666666667,418.5333333333333,425.02,402.32000000000005,415.05,310.59000000000003,354.78666666666663,343.13,315.05,414.535,249.85750000000002,326.525,319.69,337.995,215.4,458.65,310.89,302.15,292.21,L7
2000-03-21 22:05:37.143,,400.11,351.48749999999995,358.37,398.5366666666667,241.89666666666668,284.0675,301.37,287.53333333333336,284.0933333333333,286.12,247.685,262.0125,259.4766666666667,,399.57,430.16499999999996,433.33500000000004,252.83,324.91,416.68666666666667,418.5333333333333,425.02,402.32000000000005,415.05,310.34,352.0575,348.91499999999996,328.84000000000003,414.535,249.85750000000002,321.5133333333333,311.3,337.995,225.63,458.65,304.515,292.255,292.21,L7
