dates,satname,nzd0321-0000,nzd0321-0001,nzd0321-0002,nzd0321-0003,nzd0321-0004,nzd0321-0005,nzd0321-0006,nzd0321-0092,nzd0321-0093,nzd0321-0094,nzd0321-0095,nzd0321-0096,nzd0321-0097,nzd0321-0098,nzd0321-0267,nzd0321-0268,nzd0321-0269,nzd0321-0270,nzd0321-0271,nzd0321-0272,nzd0321-0273,nzd0321-0274,nzd0321-0275,nzd0321-0276,nzd0321-0277,nzd0321-0278,nzd0321-0279,nzd0321-0280,nzd0321-0281,nzd0321-0282,nzd0321-0283,nzd0321-0284,nzd0321-0285,nzd0321-0286,nzd0321-0287,nzd0321-0288,nzd0321-0289,nzd0321-0290,nzd0321-0291,nzd0321-0292,nzd0321-0293,nzd0321-0294,nzd0321-0295,nzd0321-0296,nzd0321-0297,nzd0321-0298,nzd0321-0299,nzd0321-0315,nzd0321-0316,nzd0321-0317,nzd0321-0318,nzd0321-0319,nzd0321-0320,nzd0321-0321,nzd0321-0322,nzd0321-0323,nzd0321-0324,nzd0321-0325,nzd0321-0326,nzd0321-0327,nzd0321-0328,nzd0321-0329,nzd0321-0330,nzd0321-0331,nzd0321-0332,nzd0321-0349,nzd0321-0350,nzd0321-0351,nzd0321-0352,nzd0321-0353,nzd0321-0354,nzd0321-0355,nzd0321-0356,nzd0321-0357,nzd0321-0358,nzd0321-0359,nzd0321-0360,nzd0321-0361,nzd0321-0362,nzd0321-0038,nzd0321-0039,nzd0321-0040,nzd0321-0041,nzd0321-0042,nzd0321-0043,nzd0321-0044,nzd0321-0045,nzd0321-0046,nzd0321-0047,nzd0321-0048,nzd0321-0049,nzd0321-0050,nzd0321-0051,nzd0321-0052,nzd0321-0053,nzd0321-0054,nzd0321-0055,nzd0321-0056,nzd0321-0057,nzd0321-0058,nzd0321-0059,nzd0321-0060,nzd0321-0061,nzd0321-0062,nzd0321-0063,nzd0321-0064,nzd0321-0065,nzd0321-0066,nzd0321-0067,nzd0321-0073,nzd0321-0074,nzd0321-0075,nzd0321-0076,nzd0321-0077,nzd0321-0078,nzd0321-0079,nzd0321-0080,nzd0321-0086,nzd0321-0087,nzd0321-0088,nzd0321-0089,nzd0321-0090,nzd0321-0091,nzd0321-0099,nzd0321-0100,nzd0321-0101,nzd0321-0102,nzd0321-0103,nzd0321-0104,nzd0321-0105,nzd0321-0106,nzd0321-0107,nzd0321-0111,nzd0321-0112,nzd0321-0113,nzd0321-0114,nzd0321-0115,nzd0321-0116,nzd0321-0117,nzd0321-0118,nzd0321-0119,nzd0321-0120,nzd0321-0121,nzd0321-0122,nzd0321-0123,nzd0321-0133,nzd0321-0134,nzd0321-0135,nzd0321-0136,nzd0321-0137,nzd0321-0138,nzd0321-0161,nzd0321-0162,nzd0321-0163,nzd0321-0164,nzd0321-0165,nzd0321-0166,nzd0321-0172,nzd0321-0173,nzd0321-0174,nzd0321-0175,nzd0321-0176,nzd0321-0177,nzd0321-0178,nzd0321-0179,nzd0321-0180,nzd0321-0181,nzd0321-0182,nzd0321-0183,nzd0321-0184,nzd0321-0185,nzd0321-0186,nzd0321-0187,nzd0321-0188,nzd0321-0189,nzd0321-0190,nzd0321-0191,nzd0321-0192,nzd0321-0193,nzd0321-0222,nzd0321-0223,nzd0321-0224,nzd0321-0225,nzd0321-0226,nzd0321-0227,nzd0321-0228,nzd0321-0229,nzd0321-0230,nzd0321-0231,nzd0321-0232,nzd0321-0233,nzd0321-0234,nzd0321-0235,nzd0321-0236,nzd0321-0237,nzd0321-0238,nzd0321-0239,nzd0321-0240,nzd0321-0241,nzd0321-0242,nzd0321-0243,nzd0321-0244,nzd0321-0245,nzd0321-0246,nzd0321-0247,nzd0321-0248,nzd0321-0249,nzd0321-0250,nzd0321-0300,nzd0321-0301,nzd0321-0302,nzd0321-0303,nzd0321-0304,nzd0321-0305,nzd0321-0306,nzd0321-0307,nzd0321-0308,nzd0321-0333,nzd0321-0334,nzd0321-0335,nzd0321-0131,nzd0321-0132,nzd0321-0144,nzd0321-0145,nzd0321-0146,nzd0321-0147,nzd0321-0148,nzd0321-0152,nzd0321-0153,nzd0321-0154,nzd0321-0155,nzd0321-0156,nzd0321-0157,nzd0321-0158,nzd0321-0159,nzd0321-0160,nzd0321-0309,nzd0321-0310,nzd0321-0311,nzd0321-0124,nzd0321-0125,nzd0321-0126,nzd0321-0127,nzd0321-0128,nzd0321-0314,nzd0321-0339,nzd0321-0340,nzd0321-0341,nzd0321-0342,nzd0321-0343,nzd0321-0344,nzd0321-0345,nzd0321-0346,nzd0321-0347,nzd0321-0348,nzd0321-0068,nzd0321-0069,nzd0321-0070,nzd0321-0071,nzd0321-0072,nzd0321-0081,nzd0321-0082,nzd0321-0083,nzd0321-0084,nzd0321-0085,nzd0321-0139,nzd0321-0140,nzd0321-0141,nzd0321-0142,nzd0321-0143,nzd0321-0149,nzd0321-0150,nzd0321-0151,nzd0321-0167,nzd0321-0168,nzd0321-0169,nzd0321-0194,nzd0321-0195,nzd0321-0196,nzd0321-0197,nzd0321-0198,nzd0321-0199,nzd0321-0200,nzd0321-0212,nzd0321-0213,nzd0321-0214,nzd0321-0215,nzd0321-0216,nzd0321-0217,nzd0321-0218,nzd0321-0219,nzd0321-0220,nzd0321-0221,nzd0321-0108,nzd0321-0109,nzd0321-0110,nzd0321-0129,nzd0321-0130,nzd0321-0201,nzd0321-0202,nzd0321-0264,nzd0321-0265,nzd0321-0266,nzd0321-0257,nzd0321-0258,nzd0321-0259,nzd0321-0260,nzd0321-0261,nzd0321-0262,nzd0321-0263,nzd0321-0336,nzd0321-0337,nzd0321-0338,nzd0321-0170,nzd0321-0171,nzd0321-0203,nzd0321-0204,nzd0321-0205,nzd0321-0206,nzd0321-0207,nzd0321-0211,nzd0321-0252,nzd0321-0253,nzd0321-0254,nzd0321-0255,nzd0321-0256,nzd0321-0251,nzd0321-0035,nzd0321-0036,nzd0321-0037,nzd0321-0008,nzd0321-0009,nzd0321-0010,nzd0321-0011,nzd0321-0031,nzd0321-0032,nzd0321-0033,nzd0321-0034,nzd0321-0208,nzd0321-0209,nzd0321-0210,nzd0321-0023,nzd0321-0024,nzd0321-0007,nzd0321-0018,nzd0321-0019,nzd0321-0020,nzd0321-0021,nzd0321-0022,nzd0321-0029,nzd0321-0030,nzd0321-0012,nzd0321-0013,nzd0321-0017,nzd0321-0312,nzd0321-0014,nzd0321-0015,nzd0321-0313,nzd0321-0016,nzd0321-0025,nzd0321-0026,nzd0321-0027,nzd0321-0028
1999-08-28 21:53:35.950000,L7,119.01,125.11,126.80,138.27,146.14,163.11,152.98,293.13,282.48,303.46,309.55,309.94,296.30,278.67,362.62,341.79,338.82,345.60,329.99,346.68,337.37,332.09,327.83,328.45,322.56,353.04,314.79,343.66,352.11,350.94,324.14,345.63,331.70,336.67,334.72,340.06,351.21,343.54,343.72,330.10,346.62,364.35,343.98,360.22,348.96,341.72,333.42,394.71,383.69,370.75,371.87,361.83,365.95,349.06,366.33,355.25,343.77,365.60,334.19,320.30,338.06,345.41,331.92,295.42,285.22,387.78,372.61,352.04,356.48,331.52,306.36,323.43,338.24,349.19,349.15,350.97,371.41,392.86,381.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-29 21:53:40.155000,L7,,,,,,,,382.25,375.90,372.84,,,,328.36,345.93,361.47,375.34,357.80,340.77,331.77,319.58,,350.03,348.47,384.20,373.84,356.96,349.24,,,382.28,396.63,398.06,415.03,376.72,383.19,366.13,373.15,373.33,348.44,387.27,391.93,392.34,447.79,449.82,403.73,396.97,,,446.67,434.03,413.04,402.51,401.22,373.23,367.70,373.98,366.07,355.05,380.33,379.71,396.55,372.92,366.28,363.59,345.81,334.82,349.53,281.69,367.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.31,324.39,335.42,340.83,325.12,,,,,372.03,354.39,362.67,383.05,372.34,302.91,375.33,392.20,396.13,370.48,370.38,369.56,376.23,364.93,316.99,357.08,347.90,357.66,352.69,330.45,283.10,282.43,355.30,340.31,374.03,375.54,364.23,377.02,363.65,356.71,358.51,348.32,333.69,362.23,379.32,354.58,371.41,369.13,364.40,362.66,364.38,336.95,,310.20,304.20,311.23,316.57,299.34,314.41,289.91,300.09,286.16,268.56,299.09,385.31,373.43,348.63,352.60,300.70,288.90,288.70,293.23,,,,340.85,336.96,343.89,373.27,365.93,350.58,350.80,,398.52,364.77,391.23,370.30,369.63,378.17,351.47,355.85,398.92,,349.70,319.20,321.66,330.65,332.35,348.63,356.20,331.36,324.18,349.35,347.88,392.44,414.69,411.88,407.38,342.26,351.55,,,,354.94,351.88,347.87,,,312.37,357.63,351.00,360.58,355.29,,,,,,,,,364.99,,,,371.09,294.46,325.28,356.79,308.79,,344.21,292.67,269.10,332.97,,,257.64,261.92,351.24,338.24,342.57,340.85,343.69,339.76,339.39,373.26,375.02,384.20,384.16,,,361.85,378.47,380.53,360.67,345.99,347.33,349.14,,,,,,,,,,,354.90,340.29,338.46,376.17,334.51,373.77,361.38,337.14,395.90,365.37,293.77,343.12,350.58,364.04,,,,388.37,374.08,337.55,,,,,,321.43,371.55,343.47,367.28,354.98,,311.65,304.60,350.63,329.00,392.77,398.60,307.78,,,,,,,,,,,,,,,,,,365.02,345.14,325.13,,,,,,,,,,,,,,,,,,,,,,
1999-11-16 21:53:32.114000,L7,85.95,85.21,79.06,92.76,103.72,114.92,107.36,343.45,379.40,379.29,,376.87,355.76,339.23,,395.37,410.74,385.42,373.35,392.87,354.76,341.99,324.83,339.06,384.26,382.81,386.18,367.41,384.50,325.43,363.04,383.16,366.92,370.48,349.91,414.89,378.76,391.17,345.67,406.42,355.40,392.53,407.46,400.62,397.60,380.54,424.22,,,,,,,,,384.11,390.26,380.30,355.53,353.75,356.81,330.39,342.98,352.23,355.07,,,,,,,,,,,,,,,322.57,350.82,330.86,310.76,338.39,317.05,319.59,321.84,308.22,307.36,300.96,299.61,317.41,326.75,325.44,322.57,332.00,338.49,334.80,367.70,351.60,365.33,355.47,356.92,370.92,374.30,354.89,361.39,374.63,419.68,425.10,394.92,391.82,389.49,397.25,387.28,403.79,409.62,338.91,341.70,354.79,355.26,339.86,313.62,335.32,301.96,348.07,331.44,342.46,336.31,328.66,294.18,287.39,345.84,291.06,264.70,298.16,300.20,321.93,288.39,283.91,300.39,331.71,326.47,323.55,266.49,394.86,318.87,314.33,296.80,283.37,287.19,403.61,331.27,399.54,357.94,357.83,365.93,395.57,343.57,321.20,303.88,305.17,288.44,369.36,317.20,291.88,302.56,303.35,302.20,354.30,311.06,347.68,327.24,314.74,301.81,342.24,291.93,312.82,326.24,311.49,300.91,299.57,287.43,362.99,355.25,377.81,307.44,324.65,312.79,329.50,319.70,320.35,296.92,287.34,291.55,354.10,353.78,347.77,332.91,313.06,315.91,304.65,302.68,347.12,327.76,349.99,323.23,337.38,414.86,411.97,406.94,411.84,415.58,409.28,423.90,420.20,417.01,355.35,361.68,371.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 21:59:45.569000,L7,63.91,65.54,66.15,83.94,97.86,112.67,103.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.12,347.99,314.65,269.52,304.55,284.59,,,,,,,,,,,,,,,,326.49,377.03,361.70,347.10,373.61,,363.49,357.56,318.34,345.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.23,292.11,329.54,311.59,290.54,315.19,271.94,349.44,337.87,356.38,359.63,328.31,352.18,368.34,349.73,354.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-25 21:59:40.109000,L7,112.25,113.19,110.70,117.71,128.93,139.72,133.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.04,276.42,278.21,281.27,296.16,290.94,296.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.44,,,,,,,,,,,,,,,,,,,,139.53,107.56,26.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19 21:53:25.812000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.37,377.99,325.69,,320.07,312.47,315.26,295.90,297.50,279.48,286.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.05,310.16,,,,327.21,286.79,,,,,,,,,,,,,,,,,405.55,348.63,340.27,294.94,327.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.11,352.60,331.97,347.94,,,,,,,,,300.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.42,319.92,309.70,334.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.77,302.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26 21:59:38.265000,L7,92.03,89.34,86.35,93.36,111.37,124.09,118.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.38,270.77,270.98,283.73,280.95,292.03,302.70,300.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.87,286.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.83,,,,,,,,,,,,,,,,,,,,256.79,106.88,56.26,299.75,329.71,298.08,333.13,359.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-14 21:59:23.204000,L7,129.86,118.34,104.36,112.14,122.97,132.18,134.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.90,328.52,322.60,317.76,315.51,312.76,303.45,296.17,300.02,292.22,284.09,274.64,286.10,272.52,266.01,261.34,,,289.67,297.22,299.94,297.79,304.94,305.30,304.53,308.64,313.47,309.17,316.77,317.67,320.54,324.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.50,249.88,251.74,255.45,258.18,260.21,262.24,267.62,272.41,275.64,271.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:06.644000,L7,343.60,305.09,276.74,277.42,292.35,283.91,233.22,,,,,,,,,,,,,,,388.95,366.40,386.77,365.10,335.38,361.87,,,,,,,,,428.99,431.10,436.57,443.82,409.18,454.86,,,,457.80,427.54,439.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.95,336.33,307.46,349.49,347.38,378.36,349.78,351.27,373.81,366.15,317.04,347.20,348.10,342.18,365.66,368.17,387.91,379.43,369.92,397.64,366.70,361.88,370.16,399.58,366.38,373.74,368.98,353.48,394.37,403.28,384.12,382.50,405.64,391.84,379.87,383.65,384.71,419.72,415.95,412.13,407.26,,,,,,,,,,,,,,,,,,,,334.34,366.60,355.99,356.97,355.17,312.22,360.79,364.94,356.81,353.44,344.00,332.99,328.99,328.17,339.03,346.98,346.57,351.79,,,,359.25,321.59,322.35,295.36,305.02,298.39,309.68,310.42,323.34,305.77,284.77,304.92,311.82,312.84,299.06,288.85,307.31,307.64,341.46,375.22,384.01,372.40,372.45,361.83,,,381.89,363.27,385.07,385.00,373.40,349.59,360.63,,,,,,,,,,,,,,,,436.01,429.95,431.31,452.10,,,,,,,,,370.10,348.23,334.53,336.02,334.44,319.09,319.04,301.25,310.21,330.91,348.30,341.29,339.75,314.99,345.86,336.42,,,,293.13,321.43,352.72,,,,,,,,,,,,,,411.27,383.64,389.00,387.27,396.11,411.67,407.00,388.66,404.23,415.36,348.80,381.95,352.69,364.35,337.94,303.79,315.91,317.87,379.80,388.08,382.36,331.02,346.28,322.03,336.95,311.73,310.86,320.09,422.58,362.86,376.97,348.57,351.35,345.01,368.07,343.13,361.65,364.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-17 21:58:55.442000,L7,57.49,58.05,87.11,116.48,104.86,115.06,144.55,306.33,315.19,327.55,327.20,320.84,328.05,300.04,375.75,321.04,328.91,305.19,,,,,,,,,,,,,,,,352.52,393.99,330.40,364.69,369.00,389.01,385.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.99,397.87,377.61,369.53,379.44,384.73,331.24,325.23,356.28,323.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.17,315.57,321.07,340.35,376.39,347.32,373.74,313.16,306.09,304.24,351.70,269.74,379.45,308.22,277.37,269.37,278.39,278.08,292.22,280.91,289.67,270.11,309.55,326.62,284.32,273.70,270.59,289.03,293.37,292.71,300.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.99,290.04,342.92,354.51,282.21,,,371.90,317.25,311.73,319.26,304.92,261.98,311.41,,,,,,,,,,,,,,,,,,334.62,307.44,249.36,295.69,,300.76,,,,,,,,,,,,,,,,,303.80,,320.22,321.19,309.69,,,,,,,281.39,351.79,343.62,,,,,,,,335.15,324.30,320.89,307.00,,284.67,318.44,299.22,315.84,297.05,,,,,,,,,,,,336.28,309.47,,,,,,,,,,,280.29,264.19,296.52,303.50,282.29,347.92,312.41,421.90,408.83,396.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
