dates,satname,nzd0325-0000,nzd0325-0001,nzd0325-0002,nzd0325-0003,nzd0325-0004,nzd0325-0005,nzd0325-0006,nzd0325-0010,nzd0325-0011,nzd0325-0012,nzd0325-0013,nzd0325-0014,nzd0325-0017,nzd0325-0018,nzd0325-0019,nzd0325-0020,nzd0325-0021,nzd0325-0022,nzd0325-0023,nzd0325-0024,nzd0325-0028,nzd0325-0029,nzd0325-0030,nzd0325-0031,nzd0325-0032,nzd0325-0033,nzd0325-0034,nzd0325-0035,nzd0325-0036,nzd0325-0037,nzd0325-0038,nzd0325-0039,nzd0325-0040,nzd0325-0041,nzd0325-0042,nzd0325-0049,nzd0325-0050,nzd0325-0052,nzd0325-0053,nzd0325-0054,nzd0325-0055,nzd0325-0056,nzd0325-0057,nzd0325-0058,nzd0325-0059,nzd0325-0060,nzd0325-0061,nzd0325-0068,nzd0325-0069,nzd0325-0070,nzd0325-0071,nzd0325-0072,nzd0325-0073,nzd0325-0074,nzd0325-0079,nzd0325-0080,nzd0325-0081,nzd0325-0082,nzd0325-0083,nzd0325-0084,nzd0325-0085,nzd0325-0086,nzd0325-0087,nzd0325-0088,nzd0325-0089,nzd0325-0090,nzd0325-0091,nzd0325-0092,nzd0325-0093,nzd0325-0094,nzd0325-0095,nzd0325-0096,nzd0325-0007,nzd0325-0008,nzd0325-0009,nzd0325-0015,nzd0325-0016,nzd0325-0025,nzd0325-0026,nzd0325-0027,nzd0325-0043,nzd0325-0044,nzd0325-0045,nzd0325-0046,nzd0325-0047,nzd0325-0048,nzd0325-0051,nzd0325-0062,nzd0325-0063,nzd0325-0064,nzd0325-0065,nzd0325-0066,nzd0325-0067,nzd0325-0075,nzd0325-0076,nzd0325-0077,nzd0325-0078
1999-08-28 21:53:59.920000,L7,220.80,269.37,274.30,234.94,245.71,249.87,280.59,212.35,215.98,186.78,210.79,288.95,244.77,242.26,275.32,223.55,293.81,284.97,274.23,209.29,264.16,283.70,267.43,261.87,240.17,276.32,267.04,278.62,288.03,270.81,287.65,273.34,284.72,286.48,275.04,201.09,201.26,238.18,173.74,239.30,225.38,217.59,218.61,209.78,206.13,207.48,205.04,181.00,188.45,179.06,176.31,175.54,189.68,165.18,174.56,194.56,205.01,207.03,215.60,224.62,212.63,228.84,242.95,222.68,247.32,204.18,247.79,245.59,250.60,255.14,254.76,257.57,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-29 21:54:04.102000,L7,457.64,440.24,436.98,436.22,435.78,435.78,426.65,431.51,450.41,479.40,449.43,487.94,457.37,469.22,443.15,445.70,441.00,444.78,452.74,439.43,454.23,450.86,467.39,445.25,441.76,449.72,428.90,424.65,451.74,437.39,439.00,440.22,436.82,415.98,418.91,384.42,376.35,368.99,362.61,379.76,366.69,358.67,349.24,344.03,345.16,362.43,339.11,362.32,395.13,402.50,384.89,418.53,414.99,404.43,430.93,437.89,444.64,443.31,423.86,454.33,476.31,417.94,412.36,410.96,404.00,444.85,443.59,468.10,442.68,467.09,519.86,385.29,426.25,449.28,437.33,453.78,472.29,439.91,465.28,466.62,407.77,427.08,396.15,393.27,427.72,390.44,376.35,362.95,333.78,336.75,335.89,365.27,385.68,396.81,387.57,372.06,378.42
1999-11-16 21:53:32.114000,L7,516.36,500.98,495.30,501.81,496.60,490.52,483.44,483.06,474.97,507.88,523.49,488.17,487.74,482.41,496.34,489.67,474.34,489.72,484.61,476.65,469.73,470.55,469.13,474.70,465.52,469.32,468.06,491.88,475.59,484.57,499.73,486.57,465.08,477.16,466.31,428.10,416.72,406.50,394.94,379.75,353.20,371.63,354.97,348.50,336.81,351.14,337.88,402.82,329.00,344.43,406.38,412.72,396.12,391.20,449.01,368.72,450.93,358.75,407.32,418.59,412.08,391.04,378.86,375.98,374.82,382.67,407.05,415.15,414.41,430.42,428.54,453.00,467.85,455.47,498.50,472.07,478.71,470.07,478.74,473.48,476.19,467.12,439.32,447.08,432.97,429.03,415.01,344.85,348.31,344.02,343.37,319.94,383.65,347.83,330.68,305.67,313.07
1999-12-09 21:59:45.569000,L7,,,443.51,547.49,306.06,305.18,226.13,,,,,,315.20,318.07,307.30,329.75,218.62,250.89,309.58,280.12,302.77,307.32,312.93,315.94,310.86,316.17,316.56,311.43,321.42,323.28,325.27,319.95,307.97,310.44,304.27,286.79,279.70,263.28,257.40,258.31,256.95,248.10,245.90,238.47,232.22,231.59,224.48,198.54,205.82,210.62,212.13,215.02,220.01,212.68,202.55,210.88,217.75,226.10,225.86,234.91,238.42,244.17,251.76,256.02,256.17,259.82,260.52,261.90,263.85,267.35,269.05,265.66,317.37,320.40,218.77,317.60,313.79,252.64,290.02,296.75,308.09,307.47,300.96,302.52,298.83,289.00,272.81,217.69,,196.20,189.87,185.12,195.02,215.37,195.47,182.88,189.24
1999-12-25 21:59:40.109000,L7,349.19,353.26,361.21,343.70,344.77,538.05,,410.82,458.90,,436.32,423.10,486.45,537.32,468.44,421.13,396.80,354.91,358.82,337.15,339.24,349.44,351.16,357.58,348.46,342.32,328.52,336.10,343.44,377.29,354.58,356.01,348.26,335.41,329.46,542.30,193.73,283.44,483.80,428.61,447.90,,428.83,504.14,410.06,509.79,512.17,197.75,195.25,204.71,211.65,221.61,220.03,242.63,201.07,213.20,223.13,221.15,224.06,242.35,252.25,541.79,451.34,,,235.29,433.07,366.17,487.77,452.32,386.97,241.14,,,530.84,425.73,432.09,296.99,323.48,333.02,320.73,318.43,496.26,429.76,404.84,,423.33,473.35,342.90,252.55,198.80,187.54,195.33,229.72,213.48,177.40,175.28
2000-01-19 21:53:25.812000,L7,292.54,295.96,286.44,306.38,295.42,309.98,278.49,301.68,299.60,278.33,308.21,289.58,267.18,251.95,291.72,286.94,202.84,227.09,181.24,214.06,291.95,288.17,257.05,259.15,303.70,318.67,270.20,317.13,323.51,307.46,309.91,295.01,262.27,285.22,269.03,,270.91,248.69,,235.71,216.79,224.65,206.94,209.38,182.10,,,,,,,,,,,,,,,,,,227.60,234.01,246.73,,234.13,222.86,232.12,,,,303.67,302.99,278.25,219.98,201.16,197.14,262.23,236.55,288.98,253.82,281.50,253.69,223.49,282.04,262.31,,,,,,,,,,
2000-01-26 21:59:38.265000,L7,342.91,340.29,341.26,342.28,339.38,341.27,339.14,354.38,350.91,352.41,388.11,487.72,489.79,517.51,437.23,374.77,485.42,323.85,417.66,442.91,362.72,412.41,,,,,,,,,373.63,357.76,383.67,406.97,336.64,319.46,320.75,299.92,294.57,291.69,279.90,275.01,276.74,266.73,266.43,261.55,260.37,213.54,243.24,255.87,256.65,242.21,244.73,239.14,222.74,229.18,234.13,252.11,237.61,243.67,254.91,252.90,259.13,270.23,268.87,268.65,288.12,271.66,273.97,281.91,284.94,278.18,335.58,339.10,345.84,326.64,347.06,474.42,492.16,494.91,338.56,332.08,333.97,334.19,329.45,330.78,308.47,256.14,199.67,233.48,234.00,205.64,237.16,270.26,227.39,212.21,221.88
2000-03-14 21:59:23.204000,L7,271.54,286.35,282.79,223.15,288.79,282.23,281.59,300.05,288.71,279.41,299.00,293.34,223.86,250.37,278.32,220.30,300.91,298.80,195.43,209.19,264.26,241.08,252.90,246.91,284.86,308.05,271.71,290.17,286.38,314.68,309.24,291.35,286.07,290.25,261.87,,,,,202.73,208.30,213.76,208.35,207.40,,,,,,,,,,,,,,,,,,,,,,,,202.02,232.52,183.53,,,208.27,239.25,298.07,301.29,289.58,200.98,249.81,217.87,291.66,217.74,,,,,,,,,,,,,,,
2000-03-30 21:59:21.444000,L7,223.61,273.30,277.53,219.82,218.93,246.65,239.89,,,,,288.72,237.21,241.74,274.40,194.74,192.86,284.63,252.27,,254.24,233.34,234.22,,228.16,278.45,255.82,278.86,272.95,293.47,306.55,257.52,271.99,283.70,262.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.61,,,266.62,247.33,,,,281.36,,,,,,,,,,,,,,,,
2000-05-01 21:59:06.644000,L7,,,,218.35,240.16,226.63,210.73,,,190.95,198.85,281.93,,,,,,,,,,,,,229.03,246.69,203.30,244.15,214.11,290.19,281.21,295.11,272.46,268.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.95,241.27,243.33,246.13,,,,,,,,,,,,,,,,,,,,,,,,,
