dates,nzd0325-0000,nzd0325-0001,nzd0325-0002,nzd0325-0003,nzd0325-0004,nzd0325-0005,nzd0325-0006,nzd0325-0010,nzd0325-0011,nzd0325-0012,nzd0325-0013,nzd0325-0014,nzd0325-0018,nzd0325-0019,nzd0325-0020,nzd0325-0021,nzd0325-0022,nzd0325-0032,nzd0325-0033,nzd0325-0034,nzd0325-0035,nzd0325-0036,nzd0325-0037,nzd0325-0038,nzd0325-0039,nzd0325-0040,nzd0325-0041,nzd0325-0042,nzd0325-0054,nzd0325-0055,nzd0325-0056,nzd0325-0057,nzd0325-0058,nzd0325-0059,nzd0325-0060,nzd0325-0079,nzd0325-0080,nzd0325-0081,nzd0325-0082,nzd0325-0083,nzd0325-0084,nzd0325-0085,nzd0325-0086,nzd0325-0087,nzd0325-0088,nzd0325-0089,nzd0325-0090,nzd0325-0091,nzd0325-0092,nzd0325-0093,nzd0325-0094,nzd0325-0095,nzd0325-0096,nzd0325-0007,nzd0325-0008,nzd0325-0009,nzd0325-0015,nzd0325-0016,nzd0325-0017,nzd0325-0023,nzd0325-0024,nzd0325-0025,nzd0325-0026,nzd0325-0027,nzd0325-0028,nzd0325-0029,nzd0325-0030,nzd0325-0031,nzd0325-0043,nzd0325-0044,nzd0325-0045,nzd0325-0046,nzd0325-0047,nzd0325-0048,nzd0325-0049,nzd0325-0050,nzd0325-0051,nzd0325-0052,nzd0325-0053,nzd0325-0061,nzd0325-0062,nzd0325-0063,nzd0325-0064,nzd0325-0065,nzd0325-0066,nzd0325-0067,nzd0325-0068,nzd0325-0069,nzd0325-0070,nzd0325-0071,nzd0325-0072,nzd0325-0073,nzd0325-0074,nzd0325-0075,nzd0325-0076,nzd0325-0077,nzd0325-0078
2000-03-14 21:59:23+00:00,271.54,286.35,282.79,,288.79,282.23,281.59,300.05,288.71,279.41,299.0,293.34,250.37,278.32,,300.91,298.8,284.86,308.05,271.71,290.17,286.38,314.68,309.24,291.35,286.07,290.25,261.87,202.73,208.3,213.76,208.35,207.4,,,,,,,,,,,,,,,,,,,,,,,298.07,301.29,289.58,,,209.19,200.98,249.81,,264.26,,,246.91,291.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:21+00:00,274.345,287.62,287.665,,271.36,283.34000000000003,283.66499999999996,300.19,292.485,278.79,295.87,296.88,253.91,283.76,,301.015,304.21000000000004,278.435,307.95500000000004,272.205,290.70000000000005,299.495,311.225,313.28999999999996,300.265,289.92499999999995,293.71500000000003,268.175,212.39499999999998,213.745,220.015,212.725,210.095,199.49,,,,,,,,,,,,,,,,,,,,,280.9,291.92499999999995,304.44,292.29499999999996,,283.94,210.925,208.185,261.11,273.25,280.28999999999996,,,230.33499999999998,292.28,,,,,,199.12,211.24,,,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:06+00:00,252.97333333333333,282.3866666666667,281.3933333333334,241.69,262.69,276.38,280.75,288.84,289.01,278.79,279.25,293.47333333333336,248.78,272.63,231.86,301.015,294.58,263.56333333333333,297.1566666666667,268.0,287.02000000000004,296.9533333333333,307.51,305.77,300.06333333333333,291.67,288.19,268.175,212.39499999999998,213.745,220.015,212.725,210.095,199.49,,175.35,195.23,200.47,203.88,206.62,220.17,223.18,222.53,237.62,242.25,248.97,,242.08,219.26,254.82,250.38,254.84,254.87,,280.9,291.92499999999995,304.44,292.29499999999996,182.4,284.96500000000003,210.925,208.185,261.11,273.25,280.28999999999996,231.07,,222.6833333333333,289.9266666666667,,,,,,203.10000000000002,216.625,,,,,,,,,,172.4,176.24,181.74,191.11,187.9,178.89,189.05,170.12,,,,
2000-05-17 21:58:55+00:00,243.605,271.185,284.7425,234.14499999999998,256.97,267.9575,279.63,288.84,293.365,278.79,260.05,293.47333333333336,246.6925,270.8675,216.62,301.015,288.915,254.935,293.3075,268.0,279.88,296.9533333333333,307.51,297.9875,292.89250000000004,291.67,288.19,268.175,212.39499999999998,213.745,214.63,216.29999999999998,208.18999999999997,200.76,,173.935,191.55,198.45999999999998,203.075,211.47500000000002,222.615,220.445,226.95999999999998,235.99,245.73000000000002,246.405,,247.09,230.595,255.29,249.14499999999998,247.45,256.94,,280.9,291.92499999999995,304.44,292.29499999999996,194.815,282.37333333333333,212.74,208.185,261.11,273.25,280.28999999999996,231.07,,222.6833333333333,289.9266666666667,,,,,,203.10000000000002,216.625,,,,,,,,,,172.4,176.24,181.74,191.11,187.9,178.89,189.05,170.12,,,,
2000-06-18 21:58:39+00:00,235.85999999999999,265.288,284.038,234.14499999999998,255.372,266.586,277.776,284.06,289.832,278.79,250.628,290.7375,246.6925,270.8675,216.62,301.015,288.915,249.31799999999998,290.262,262.91249999999997,280.558,292.7175,307.51,296.354,281.894,285.81,288.19,268.175,212.39499999999998,213.745,214.63,216.29999999999998,208.18999999999997,200.76,,175.11,195.26999999999998,201.03666666666666,206.36666666666667,212.09333333333333,221.99333333333334,222.10666666666668,228.83666666666667,237.17333333333332,246.98666666666668,245.5,239.5,245.76999999999998,235.54333333333332,253.98000000000002,249.14499999999998,247.45,256.94,222.02,280.9,291.92499999999995,304.44,292.29499999999996,194.815,282.37333333333333,212.74,208.185,261.11,273.25,280.28999999999996,231.07,,222.6833333333333,289.9266666666667,,,,,,203.10000000000002,216.625,,,,,,,,,,170.425,172.79000000000002,177.79500000000002,182.7,183.175,179.31,184.03,170.12,,,,
2000-08-05 21:57:56+00:00,233.56833333333336,260.455,282.42333333333335,231.38333333333333,254.53666666666666,264.64166666666665,276.8283333333333,284.06,289.625,274.65333333333336,244.76666666666665,289.386,248.23600000000002,272.592,216.62,295.9066666666667,286.096,245.48666666666668,290.445,262.702,278.8966666666667,294.746,303.3975,294.9066666666667,281.894,285.81,287.02,268.175,212.39499999999998,213.745,214.63,216.29999999999998,208.18999999999997,200.76,,177.7225,197.005,203.995,209.06,214.29250000000002,224.5,223.57750000000001,229.63,237.8925,248.41,247.53,246.45999999999998,246.6825,239.1825,254.47,252.42666666666665,253.42666666666665,258.63666666666666,237.41000000000003,280.9,290.74666666666667,304.44,292.29499999999996,194.815,283.34749999999997,212.74,208.185,259.69,266.65,275.79,230.3,,222.6833333333333,287.82,,,,,,203.10000000000002,216.625,,,,,,,,,,170.57000000000002,178.14666666666668,181.13333333333333,187.76999999999998,187.95333333333335,180.61666666666665,188.68999999999997,169.765,,,,
2000-11-25 21:57:10+00:00,213.49500000000006,238.995,277.7850000000001,225.86,249.67000000000002,258.01,271.225,269.72,282.145,266.38,214.19999999999996,283.255,254.41,279.49,,285.69,274.82,226.59000000000003,284.72,254.75500000000002,276.93000000000006,291.435,291.06,288.745,237.9,268.23,283.51,,,,,,,,,181.51,202.45999999999998,209.53000000000003,215.04500000000002,217.11,226.385,226.71000000000004,232.3,239.79500000000002,251.08999999999997,248.655,264.41,265.81333333333333,267.3066666666667,253.65,286.43,265.38,262.03,237.41000000000003,,288.39,,,,286.27,,,256.85,260.05,266.79,229.53,,,281.5,,,,,,,,,,,298.22,293.42,,283.42,,,169.65500000000003,179.10000000000002,180.82999999999998,186.09999999999997,187.98000000000002,181.47999999999996,188.50999999999996,169.41,,,,
2000-12-04 21:51:22+00:00,213.49500000000006,238.995,277.7850000000001,225.86,249.67000000000002,258.01,271.225,269.72,282.145,266.38,214.19999999999996,283.255,254.41,279.49,,285.69,274.82,226.59000000000003,284.72,254.75500000000002,276.93000000000006,291.435,291.06,288.745,237.9,268.23,283.51,,,,,,,,,181.51,202.45999999999998,209.53000000000003,215.04500000000002,217.11,226.385,226.71000000000004,232.3,239.79500000000002,251.08999999999997,248.655,282.6925,284.65999999999997,286.9975,253.65,307.50333333333333,265.38,262.03,237.41000000000003,,288.39,,,,286.27,,,256.85,260.05,266.79,229.53,,,281.5,,,,,,,,,,,298.22,293.42,,283.42,,,169.65500000000003,179.10000000000002,180.82999999999998,186.09999999999997,187.98000000000002,181.47999999999996,188.50999999999996,169.41,,,,
2001-01-05 21:51:28+00:00,222.11,236.29,274.35,225.86,250.36,254.92,272.09,,288.59,266.38,215.46,283.98,254.41,279.49,,292.555,274.82,226.33,295.735,267.59000000000003,284.465,307.93,299.66999999999996,300.4,287.78,293.61,288.78999999999996,277.86,215.17,218.11,229.35,227.49,204.86,200.56,,190.425,208.97500000000002,213.54000000000002,215.785,215.915,227.23000000000002,227.99,230.765,239.27,252.07,250.575,297.09,298.5033333333333,300.84999999999997,255.94,307.50333333333333,265.38,262.03,252.8,,288.39,,,,286.27,,,256.85,260.05,266.79,229.53,,261.39,290.15,261.88,279.96,253.86,247.13,273.77,217.94,224.12,253.51,248.48,,298.22,293.42,,283.42,,,176.18,190.73000000000002,187.725,197.245,197.51,183.23,198.01,169.41,,,,
2001-01-21 21:51:34+00:00,222.11,236.29,274.35,225.86,250.36,254.92,272.09,,288.59,266.38,215.46,283.98,254.41,279.49,,292.555,274.82,226.33,295.735,267.59000000000003,284.465,307.93,299.66999999999996,300.4,287.78,293.61,288.78999999999996,277.86,215.17,218.11,229.35,227.49,204.86,200.56,,190.425,208.97500000000002,213.54000000000002,215.785,215.915,227.23000000000002,227.99,230.765,239.27,252.07,250.575,297.09,298.5033333333333,300.84999999999997,255.94,307.50333333333333,265.38,262.03,252.8,,288.39,,,,286.27,,,256.85,260.05,266.79,229.53,,261.39,290.15,261.88,279.96,253.86,247.13,273.77,217.94,224.12,253.51,248.48,,299.665,289.595,,284.855,,,176.18,190.73000000000002,187.725,197.245,197.51,183.23,198.01,169.41,303.73,,,
