dates,nzd0328-0000,nzd0328-0001,nzd0328-0002,nzd0328-0003,nzd0328-0004,nzd0328-0005,nzd0328-0006,nzd0328-0007,nzd0328-0008,nzd0328-0009,nzd0328-0010,nzd0328-0011,nzd0328-0012,nzd0328-0013,nzd0328-0014,nzd0328-0015,nzd0328-0016,nzd0328-0017,nzd0328-0018,nzd0328-0019,nzd0328-0020,nzd0328-0021,nzd0328-0022,nzd0328-0023,nzd0328-0024,nzd0328-0025,nzd0328-0026,nzd0328-0027,nzd0328-0028,nzd0328-0029,nzd0328-0030,nzd0328-0031,satname
1999-11-21 22:12:00.068,,,486.44,481.14,452.93,420.07,431.3,,,,,,,,,,,,,,,,,,,,,,,499.15,,,L7
1999-12-16 22:05:57.846,,,486.375,466.4,452.635,404.29499999999996,420.67,400.32,,,,265.97,,,,273.0,,283.7,,330.35,296.34,,280.8,,270.82,266.73,,,,500.25,529.92,,L7
2000-09-20 22:09:39.085,,,,,,,,,,,,248.49,,,,,,,,313.2,285.73,,246.68,216.32,246.56,249.44,188.73,224.69,226.85,,,,L7
2001-01-03 22:03:24.303,,,,,,,,,,,,248.49,,,,,,,,313.2,285.73,,246.68,210.39999999999998,238.445,249.44,198.62,220.285,226.85,,,,L7
2001-01-03 22:03:48.276,,,,,,,,,,,,248.49,,,,258.75,,270.02,,313.2,285.73,,246.68,210.51999999999998,236.4466666666667,249.44,203.29,222.79666666666665,244.26,,,,L7
2001-01-10 22:09:39.742,,,522.72,,424.52,,,435.41,,,,248.49,,,,258.75,,270.02,,313.2,285.73,,246.68,210.51999999999998,236.4466666666667,249.44,203.29,222.79666666666665,244.26,511.83,515.44,,L7
2001-02-20 22:03:24.667,294.61,,522.72,,424.52,,,435.41,,,,248.49,,,,258.75,,270.02,,315.03999999999996,285.73,,246.68,222.9125,240.1725,249.36,198.89249999999998,222.3725,250.01666666666665,511.83,515.44,,L7
2001-09-23 22:07:39.040,300.31,,,,,,,,,259.39,239.35,252.86,257.06,,,,,,,319.09,289.59,266.66,256.29,261.09,259.0,255.95,194.08,228.44,263.5,,,,L7
2001-11-03 22:01:22.838,304.31,302.98,,,,,,,284.71,267.78,255.805,259.82500000000005,264.40999999999997,274.59,,275.78,,291.91,,326.05499999999995,295.32,277.975,270.525,273.9,267.4,264.78,194.08,228.44,272.36,,,265.99,L7
2001-11-03 22:01:46.660,304.31,302.98,,,,,,,284.71,267.78,255.805,259.82500000000005,264.40999999999997,274.59,,275.78,,291.91,,326.05499999999995,295.32,277.975,270.525,273.9,267.4,264.78,195.67000000000002,228.64499999999998,266.54333333333335,,,265.99,L7
