dates,satname,nzd0330-0000,nzd0330-0001,nzd0330-0002,nzd0330-0003,nzd0330-0004,nzd0330-0008,nzd0330-0009,nzd0330-0010,nzd0330-0011,nzd0330-0012,nzd0330-0013,nzd0330-0014,nzd0330-0015,nzd0330-0016,nzd0330-0017,nzd0330-0018,nzd0330-0020,nzd0330-0021,nzd0330-0022,nzd0330-0023,nzd0330-0024,nzd0330-0025,nzd0330-0026,nzd0330-0027,nzd0330-0028,nzd0330-0029,nzd0330-0030,nzd0330-0031,nzd0330-0032,nzd0330-0033,nzd0330-0034,nzd0330-0035,nzd0330-0036,nzd0330-0037,nzd0330-0038,nzd0330-0039,nzd0330-0040,nzd0330-0041,nzd0330-0042,nzd0330-0043,nzd0330-0044,nzd0330-0045,nzd0330-0046,nzd0330-0047,nzd0330-0048,nzd0330-0049,nzd0330-0050,nzd0330-0051,nzd0330-0052,nzd0330-0053,nzd0330-0054,nzd0330-0055,nzd0330-0056,nzd0330-0057,nzd0330-0058,nzd0330-0059,nzd0330-0060,nzd0330-0061,nzd0330-0062,nzd0330-0019,nzd0330-0005,nzd0330-0006,nzd0330-0007
1999-08-21 21:47:44.927000,L7,336.38,326.61,313.25,360.95,367.75,289.77,392.00,351.36,346.10,322.78,330.32,336.26,345.93,317.08,316.14,303.84,328.00,331.91,327.55,358.08,358.68,357.89,355.14,356.26,341.52,344.92,334.42,346.72,338.93,330.11,345.74,351.26,345.60,355.66,354.29,358.96,339.80,359.69,357.31,370.52,345.20,346.80,336.06,335.14,328.24,344.15,351.86,356.99,348.48,356.92,367.60,361.84,358.36,351.84,348.53,348.26,348.74,354.02,349.65,,,,
1999-08-28 21:53:35.950000,L7,,,,,,297.84,328.49,353.75,352.50,319.38,330.01,303.72,295.95,282.38,272.53,284.15,294.80,298.79,355.59,352.51,351.13,338.37,349.82,354.49,351.26,353.60,332.74,317.71,331.96,327.46,330.53,337.35,337.09,353.31,351.45,360.67,,,,,,,380.44,327.66,344.64,344.34,353.43,370.17,382.79,351.79,369.15,362.88,358.38,359.66,345.20,345.61,346.95,352.51,348.74,316.27,,,
1999-09-22 21:47:48.716000,L7,355.72,377.68,373.24,372.50,,345.41,339.60,360.29,368.73,364.54,358.28,350.41,356.85,367.91,372.22,307.70,377.06,372.05,,,,,,,,,,337.97,341.46,352.64,342.85,347.38,345.01,357.07,355.79,355.09,346.14,353.22,362.18,359.72,352.55,350.99,347.28,341.92,342.52,359.94,372.87,392.72,367.32,391.15,378.22,370.16,372.58,376.66,368.74,366.00,373.91,370.21,365.18,355.26,,,
1999-10-24 21:47:44.121000,L7,377.16,386.99,383.20,382.22,381.94,344.22,349.12,377.27,373.67,339.40,329.93,323.12,367.93,367.32,339.32,339.82,,,,,,,,,,,,,,,,,344.04,350.17,366.25,363.01,356.27,355.97,372.51,367.37,360.78,362.11,358.97,363.18,349.63,,,,,,,,,,,,,,,336.48,386.71,340.94,340.44
1999-11-16 21:53:32.114000,L7,,315.90,363.88,355.62,357.81,351.61,357.63,344.56,367.16,348.04,347.86,347.26,342.90,349.99,349.02,350.49,349.38,350.87,343.85,322.21,308.18,315.90,315.30,319.31,311.77,309.20,381.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.76,366.69,364.64,322.50
2000-01-12 21:47:42.353000,L7,323.70,309.78,291.62,322.16,323.17,,,,319.07,293.94,290.69,292.44,292.87,292.99,290.68,292.53,300.76,309.94,304.62,311.82,302.13,307.53,311.00,312.86,299.67,303.75,322.12,303.93,312.35,309.50,309.68,308.26,313.65,326.43,320.83,320.47,324.39,339.13,331.82,340.57,340.19,351.07,307.97,311.86,314.98,328.41,338.29,341.73,325.81,339.70,353.10,356.52,353.27,327.45,328.95,349.55,353.71,358.30,347.15,302.32,,,
2000-01-19 21:53:25.812000,L7,,,,,,345.48,348.96,,339.33,338.34,329.82,330.33,335.26,336.62,,337.86,344.27,343.55,,,,,,,,,,,,371.18,360.12,354.78,348.88,351.40,358.42,358.28,352.30,357.47,375.63,378.75,363.15,365.48,363.61,368.53,355.75,395.24,,,,,,,,,,,,,,336.48,361.68,345.71,358.50
2000-04-17 21:47:08.557000,L7,,,377.48,377.81,386.49,375.35,383.96,371.52,370.73,,,,,,,,,352.83,348.46,341.82,344.04,343.05,349.14,356.63,352.13,365.07,355.41,348.44,354.33,354.16,352.15,352.43,351.20,347.20,360.26,356.43,350.71,356.32,365.78,363.41,365.30,354.75,353.55,335.68,340.06,359.46,359.42,364.98,351.30,372.05,383.21,377.36,374.72,373.81,370.67,367.58,367.52,362.68,356.44,,396.63,381.33,364.79
2000-05-03 21:47:07.085000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.25,363.80,352.55,366.05,372.26,363.47,349.01,388.99,,,,,,,,,376.07,389.56,368.93,374.80,388.22,379.02,377.07,384.48,376.28,384.87,396.51,387.50,379.18,,396.24,395.70,
2000-05-19 21:46:55.786000,L7,315.35,343.47,359.72,,,,,370.30,369.51,375.52,362.53,,,,,,,,,,,,339.13,336.07,349.97,370.99,,,,,,,,,,257.49,323.79,344.71,352.44,360.33,360.57,361.42,342.24,338.67,332.09,341.99,347.43,355.17,346.27,362.62,372.38,368.37,366.31,366.84,370.39,366.30,366.91,364.94,354.74,,,,
