dates,nzd0335-0000,nzd0335-0002,nzd0335-0003,nzd0335-0004,nzd0335-0005,nzd0335-0011,nzd0335-0012,nzd0335-0013,nzd0335-0014,nzd0335-0016,nzd0335-0001,nzd0335-0015,nzd0335-0006,nzd0335-0007,nzd0335-0008,nzd0335-0009,nzd0335-0010,satname
1999-11-21 22:12:00.068,,,,269.61,269.5,,,,,,,,,,,,,L7
2001-01-10 22:09:39.742,,291.65,,231.02,259.54,,,,,268.4,,,,,,,,L7
2001-11-03 22:01:22.838,,282.92,204.97,267.45,,,,,,246.69,,,,,,,,L7
2001-11-03 22:01:46.660,,279.08000000000004,223.065,267.45,,,,,,246.69,,,,,,,,L7
2001-12-21 22:02:05.831,330.41,289.82666666666665,250.95666666666668,285.37,,,,,,246.69,313.74,,283.72,303.6,,,,L7
2002-01-29 22:07:57.272,324.895,290.4175,259.575,282.78333333333336,279.25,278.02,254.88,260.94,188.22,258.005,305.735,192.74,272.83000000000004,284.775,261.38,,,L7
2003-08-29 21:50:14.179,,,,,,249.45,259.37,,,,,,,271.14,266.98,251.09,248.82,L5
2003-09-05 21:56:31.676,,,,,,249.45,259.37,,,,,,,253.94,241.91500000000002,235.57999999999998,239.385,L5
2003-10-16 21:50:55.996,,,,,238.28,242.785,252.615,241.85,,,,,218.28,249.12333333333333,237.52666666666667,229.09666666666666,238.25,L5
2003-10-16 21:51:19.969,,,,,239.39,241.46333333333334,251.91,243.005,,,,,220.69,247.655,236.6625,226.9825,238.445,L5
2003-12-03 21:51:55.424,,,,,237.36,240.4975,249.72750000000002,243.23333333333335,183.7,,,176.81,219.53333333333333,246.044,235.138,229.244,238.94400000000002,L5
2004-01-04 21:51:46.048,,,253.37,254.36,242.0475,238.414,247.68400000000003,241.3275,186.39,211.26,,182.865,225.16,248.67999999999998,235.9,229.73666666666668,237.3183333333333,L5
2004-01-04 21:52:10.021,,,253.37,250.715,243.60399999999998,236.09833333333333,244.365,241.3275,186.39,211.26,,182.865,227.47799999999998,249.69285714285715,234.93714285714285,228.99428571428572,235.50142857142856,L5
2005-02-14 22:05:45.214,257.09,,,,237.17,219.07,239.41,236.37,,,,,209.81,235.09,229.52,216.39,225.83,L5
2005-02-23 22:00:07.370,257.09,,,242.53,244.18,221.825,240.04500000000002,236.37,,,,,219.805,244.20499999999998,237.685,224.26999999999998,228.655,L5
2005-03-11 21:59:55.791,257.09,,,242.53,244.18,223.97333333333336,240.04500000000002,236.37,,,,,219.805,245.97333333333333,239.53,225.80666666666664,230.16333333333333,L5
2005-03-11 22:00:19.764,257.09,,,242.53,244.18,217.8725,240.04500000000002,236.37,,,,,219.805,245.97333333333333,239.84,225.13,230.095,L5
2005-03-18 22:06:10.424,257.09,,,242.53,244.18,217.8725,240.04500000000002,236.37,,,,,219.805,246.54,236.32,221.17799999999997,226.93200000000002,L5
2005-09-10 22:07:19.674,,,,211.57,250.97,239.36,244.74,,,,,,235.07,253.03500000000003,236.66000000000003,221.79500000000002,228.805,L5
2005-09-19 22:01:08.704,,,,228.02499999999998,250.54000000000002,240.825,244.22,245.96,,,,,237.615,257.675,252.64,238.57999999999998,242.89,L5
2005-09-19 22:01:32.820,,,,228.02499999999998,245.88666666666668,240.825,244.22,245.96,,,,,232.76999999999998,252.10333333333335,247.56000000000003,231.50666666666666,238.80666666666664,L5
2005-11-22 22:01:34.747,,238.45,236.05,229.16,242.84,239.4766666666667,244.6,240.79000000000002,182.24,203.27,,184.02,234.0975,252.35750000000002,247.7775,232.77,239.0675,L5
2005-11-22 22:01:58.720,,236.54,233.375,227.82,240.464,238.0775,244.0825,238.37333333333333,179.70499999999998,203.27,,175.93,234.262,252.102,247.48000000000002,233.12399999999997,238.92199999999997,L5
2006-02-10 22:03:27.081,,236.54,233.375,232.62600000000003,242.335,235.192,243.304,237.515,179.70499999999998,203.27,,175.93,234.51166666666666,252.07000000000002,247.725,233.35,238.36833333333334,L5
2006-09-22 22:07:18.800,,,,,236.28,220.58,,,,,,,218.56,238.17,226.35,217.95,223.8,L5
2006-10-24 22:07:14.438,,,253.07,242.62,239.775,221.815,230.91,233.08,,,,,224.10500000000002,242.045,231.64499999999998,220.325,225.255,L5
2006-10-24 22:07:38.411,,,253.98,243.995,241.9766666666667,222.97000000000003,234.64499999999998,233.955,,,,,226.8166666666667,244.60999999999999,234.46333333333334,222.08333333333334,226.15,L5
2006-10-31 22:13:29.135,261.71,243.35,251.7833333333333,246.16,246.815,225.60250000000002,237.46333333333334,236.6866666666667,185.44,227.61,,219.81,232.475,249.7275,240.125,229.4975,232.43,L5
2007-02-04 22:14:09.375,261.71,243.35,263.61,246.16,256.488,225.60250000000002,248.57999999999998,236.6866666666667,221.565,245.74,,244.36,232.475,260.438,251.24,237.85999999999999,239.26999999999998,L5
2007-02-13 22:08:23.117,261.71,243.35,263.61,245.9075,254.84,224.152,248.57999999999998,236.6866666666667,221.565,245.74,,244.36,232.44,256.52666666666664,246.99,233.97833333333332,237.37833333333333,L5
2007-10-02 22:12:06.896,,,,222.15,238.24,238.46,247.19,236.98,,,,,228.18,235.36,233.43,231.43,242.32,L5
2008-10-29 21:57:00.343,,,,,250.21,217.05,209.95,241.9,,,,,226.05,228.94,224.93,219.63,224.04,L5
2009-01-24 22:04:30.805,257.77,,,233.27,243.09,227.715,225.17,236.32999999999998,,,,,225.925,235.85500000000002,236.0,228.075,231.71499999999997,L5
2009-02-02 21:58:58.159,257.77,,,233.27,241.41,227.715,225.17,236.32999999999998,,,,,226.24666666666667,235.47,232.90666666666667,224.31000000000003,231.75,L5
2010-02-21 22:03:56.549,,,,224.55,244.77,238.72,249.16,245.73,,,,,227.61,243.15,234.1,239.15,235.19,L5
2010-10-03 22:03:04.727,,,283.34,267.01,285.15,,,242.31,228.41,242.53,,230.12,274.74,273.23,281.3,275.9,,L5
2010-10-10 22:09:11.852,,,283.34,255.135,266.315,242.96,251.1,244.625,228.41,242.53,,230.12,255.02,258.71000000000004,261.535,258.565,242.66,L5
2011-01-07 22:03:20.155,,235.24,266.96,251.72333333333333,259.74333333333334,238.0,249.73000000000002,245.09,208.77499999999998,230.26999999999998,,215.47500000000002,248.13666666666668,255.32333333333335,254.40333333333334,250.2733333333333,236.365,L5
2011-01-23 22:02:56.734,,235.24,266.96,250.0625,255.95499999999998,235.70333333333335,246.1,242.6875,200.55999999999997,224.07333333333335,,211.62666666666667,241.85000000000002,252.47,249.94,246.0925,233.68666666666664,L5
2011-02-15 22:09:10.419,,235.24,266.96,250.0625,255.95499999999998,234.51,246.62,242.6875,200.55999999999997,224.07333333333335,,211.62666666666667,241.85000000000002,252.47,249.248,244.56799999999998,234.425,L5
2011-03-12 22:02:55.330,,235.24,266.96,250.0625,253.738,232.82200000000003,245.564,241.76999999999998,200.55999999999997,224.07333333333335,,211.62666666666667,239.02800000000002,249.98000000000002,247.26666666666665,241.08333333333334,233.27399999999997,L5
2011-03-28 22:02:50.009,,235.24,266.96,250.0625,253.48833333333334,232.82200000000003,243.405,241.76999999999998,200.55999999999997,224.07333333333335,,211.62666666666667,236.58833333333334,249.37,245.91428571428574,239.5142857142857,232.5,L5
2013-09-16 22:21:09.463,306.97,,283.96,278.14,281.48,269.96,274.75,275.34,178.59,256.06,295.08,195.28,260.22,277.21,272.11,266.55,261.0,L8
2013-10-18 22:21:01.576,306.97,219.01,275.78,271.275,273.425,265.395,259.65999999999997,262.59499999999997,176.3,249.335,295.08,189.20999999999998,255.65000000000003,266.49,264.02,259.04,253.845,L8
2013-10-27 22:14:43.714,315.73,262.85,285.0933333333333,281.47333333333336,283.5566666666667,275.24666666666667,274.76666666666665,262.59499999999997,213.73333333333335,260.08666666666664,301.995,189.20999999999998,266.91333333333336,252.47666666666666,255.63333333333335,266.31,264.5366666666667,L8
2013-11-03 22:20:56.205,315.73,262.85,285.0933333333333,281.47333333333336,282.855,276.235,276.29,257.1133333333333,213.73333333333335,260.08666666666664,301.995,189.20999999999998,256.5625,254.275,255.63333333333335,265.21500000000003,265.7675,L8
2013-11-19 22:20:49.563,312.46333333333337,271.37,284.43,281.19,282.356,274.474,271.716,258.6975,225.6125,258.81,296.2966666666667,189.20999999999998,257.088,257.91400000000004,258.5975,264.93,264.1,L8
2013-12-14 22:14:33.459,315.6675,280.7625,288.644,286.93600000000004,286.2083333333333,277.95666666666665,271.716,267.152,238.962,263.154,299.9675,189.20999999999998,262.615,265.73,258.5975,269.2083333333333,267.77,L8
2013-12-14 22:14:57.422,317.604,286.358,291.495,290.715,288.9742857142857,280.48857142857145,271.716,272.84999999999997,247.95000000000002,266.0733333333333,302.17600000000004,189.20999999999998,266.62857142857143,271.3342857142857,267.69,272.3228571428572,270.39,L8
2013-12-21 22:20:39.177,312.29833333333335,285.35833333333335,289.65142857142854,288.29714285714283,287.03000000000003,278.08625,265.07666666666665,269.62285714285713,237.99,263.01714285714286,296.3333333333333,193.80666666666664,265.325,270.875,266.92,270.42625,267.87125000000003,L8
2014-02-07 22:20:09.196,311.06857142857143,284.55857142857144,288.42125,286.2625,285.75888888888886,276.37333333333333,262.7114285714286,267.7075,230.23875,263.01714285714286,294.21999999999997,194.78,264.3833333333333,270.4366666666667,266.67,269.49,266.3744444444444,L8
2014-02-16 22:13:50.683,311.06857142857143,279.87375000000003,287.6677777777778,286.2625,285.028,275.01599999999996,261.39,267.0055555555556,224.76666666666668,260.73,294.21999999999997,195.302,263.678,270.336,267.08625,268.457,265.275,L8
2014-02-16 22:14:14.638,311.06857142857143,280.05555555555554,287.173,285.0655555555556,284.5681818181818,274.0881818181818,262.1622222222222,267.265,220.83499999999998,260.73,294.21999999999997,196.215,263.20272727272726,270.4981818181818,267.48777777777775,267.91818181818184,264.4836363636364,L8
2014-02-23 22:19:56.208,311.06857142857143,280.05555555555554,287.173,282.942,282.9175,271.7316666666666,262.1622222222222,264.25363636363636,216.53545454545454,260.73,294.21999999999997,193.86999999999998,261.90500000000003,269.12916666666666,265.148,266.4016666666667,263.3475,L8
2014-05-14 22:18:44.733,309.204,286.99625,288.235,283.74125,283.0211111111111,269.5577777777778,254.66333333333333,266.93125,217.58624999999998,261.11600000000004,294.99666666666667,195.73399999999998,264.00333333333333,277.18222222222226,270.03,267.0488888888889,262.5877777777778,L8
2014-07-26 22:12:55.043,303.69,277.37999999999994,283.40000000000003,274.0675,276.47400000000005,261.254,260.67,254.85750000000002,178.98999999999995,244.72,297.985,193.9175,255.93599999999998,270.295,266.1116666666667,260.98,256.678,L8
2014-08-27 22:13:05.288,,301.17,289.43,278.305,279.175,266.12,269.82,,,,314.43,,257.525,275.99333333333334,271.1033333333334,264.81666666666666,261.645,L8
2014-08-27 22:13:29.246,,301.17,289.43,278.305,274.81333333333333,266.12,269.82,,,,314.43,,252.29666666666665,271.8675,271.1033333333334,264.81666666666666,261.645,L8
2014-09-28 22:13:08.778,294.82,288.905,283.88,276.3833333333334,274.2,264.97,267.06333333333333,266.06,181.36,246.54,314.43,192.24,253.31,270.912,269.84250000000003,264.3125,259.8533333333333,L8
2014-09-28 22:13:32.732,294.82,288.905,283.88,272.8875,272.614,261.4375,263.22249999999997,262.33000000000004,181.36,246.54,314.43,192.24,252.41199999999998,269.615,267.994,262.394,257.66999999999996,L8
2014-10-14 22:13:14.573,294.82,285.43,280.34666666666664,272.27200000000005,272.18666666666667,261.41999999999996,260.32,259.44666666666666,181.36,246.54,314.43,192.24,252.64333333333335,267.7185714285714,266.555,262.16,256.89,L8
2014-10-14 22:13:38.532,294.82,282.78,277.255,270.8833333333333,271.44428571428574,260.47499999999997,256.75666666666666,257.4075,181.36,246.54,314.43,192.24,252.4114285714286,265.925,265.1614285714286,261.1842857142857,255.4383333333333,L8
2014-10-21 22:19:25.564,294.82,281.502,277.236,271.13142857142856,271.99625000000003,260.5657142857143,256.1942857142857,258.17600000000004,177.29000000000002,242.755,314.43,187.28500000000003,252.92000000000002,265.5111111111111,264.73375000000004,260.52625,254.95428571428573,L8
2014-11-06 22:19:25.282,294.82,281.502,277.236,271.13142857142856,271.99625000000003,260.5657142857143,256.1942857142857,258.17600000000004,177.29000000000002,242.755,325.985,187.28500000000003,252.92000000000002,265.5111111111111,264.73375000000004,260.52625,254.95428571428573,L8
2014-12-01 22:13:12.181,294.82,276.596,274.346,269.2371428571428,270.32500000000005,258.9942857142857,250.69571428571427,257.565,177.40666666666667,242.755,337.54,188.78,252.53375,263.51444444444445,262.6825,258.84000000000003,252.9414285714286,L8
2014-12-01 22:13:36.144,294.82,276.9833333333333,274.4316666666667,269.7125,270.51,259.2075,248.78,257.18571428571425,178.5825,242.755,337.54,189.835,253.14,263.702,262.46000000000004,258.69666666666666,252.97375000000002,L8
2015-01-09 22:19:14.700,293.99,277.9971428571429,275.35857142857145,270.34222222222223,270.94300000000004,259.70222222222225,249.40555555555557,257.49,178.708,245.79666666666665,309.805,191.156,253.75500000000002,264.36818181818177,262.76,259.113,253.13111111111115,L8
2015-01-25 22:19:08.635,291.70666666666665,277.4675,275.63875,270.364,270.9318181818182,259.835,247.873,257.19777777777773,178.21833333333333,245.28,293.93,191.62,253.94636363636363,263.08636363636367,261.8,257.88500000000005,252.478,L8
2015-02-10 22:19:02.830,291.70666666666665,277.11555555555555,275.40666666666664,270.2172727272727,270.68583333333333,259.82363636363635,246.50272727272724,256.331,178.41428571428574,245.28,293.93,191.93571428571428,253.91166666666666,263.08750000000003,261.5990909090909,257.5245454545455,252.18454545454549,L8
2015-02-19 22:12:49.582,294.98,278.31399999999996,276.12399999999997,270.17333333333335,271.3615384615385,259.8625,244.19500000000002,256.331,178.41428571428574,245.28,293.93,191.93571428571428,254.21076923076922,263.26846153846157,261.8275,257.045,251.8375,L8
2015-02-19 22:13:13.545,296.942,278.31399999999996,276.7190909090909,266.8523076923077,271.9307142857143,259.8469230769231,242.27846153846153,256.331,178.41428571428574,245.28,293.93,191.93571428571428,254.47,263.40857142857146,261.9423076923077,256.63076923076926,251.55615384615385,L8
2015-02-26 22:18:58.832,296.942,278.31399999999996,275.81166666666667,266.39153846153846,271.7176923076923,259.6625,240.30499999999998,256.331,178.41428571428574,245.28,293.93,191.93571428571428,255.15384615384616,263.36692307692306,261.4753846153846,254.2769230769231,251.09416666666667,L8
2015-03-23 22:12:32.997,296.942,278.31399999999996,275.81166666666667,265.8857142857143,271.42214285714283,258.42615384615385,241.48999999999998,255.59636363636363,178.41428571428574,245.28,293.93,191.93571428571428,254.51214285714286,263.30428571428575,261.23285714285714,253.84500000000003,250.72384615384618,L8
2015-03-23 22:12:56.955,298.14000000000004,278.31399999999996,275.0053846153846,265.65333333333336,271.22266666666667,257.7092857142857,242.6892857142857,255.17499999999998,178.41428571428574,245.28,293.93,191.93571428571428,254.0606666666667,263.3113333333333,261.12399999999997,253.65800000000002,250.57357142857146,L8
2015-03-30 22:18:37.685,294.2866666666667,278.5,274.72833333333335,264.9978571428572,271.0864285714286,256.59076923076924,241.52615384615382,253.744,177.92333333333332,244.86,293.93,191.885,253.8242857142857,262.53499999999997,260.44142857142856,252.01642857142855,249.21384615384613,L8
2015-04-15 22:18:34.670,294.2866666666667,279.02714285714285,276.21909090909094,264.7584615384616,271.4838461538462,256.6275,242.94416666666666,254.05874999999997,177.92333333333332,244.86,293.93,191.885,253.8830769230769,263.84230769230766,260.8523076923077,251.15615384615387,249.39000000000001,L8
2015-10-24 22:19:16.646,304.3,280.71,280.6,272.51,269.04,262.95,249.29,258.24,176.9,250.22,280.37,205.21,256.86,261.84,258.44,254.69,248.57,L8
2015-12-20 22:13:09.373,303.125,284.515,281.135,274.625,274.75,265.11,254.185,260.24,176.9,251.22,282.275,208.22,258.38,266.67499999999995,264.63,258.555,252.39,L8
2015-12-20 22:13:33.327,303.43666666666667,285.9066666666667,281.41333333333336,275.62,276.73,266.1133333333333,256.3933333333333,261.2733333333333,176.9,251.75,283.27666666666664,209.75333333333333,259.09,268.53,266.78,259.98,253.91333333333333,L8
2015-12-27 22:19:19.236,303.76,285.5175,281.4775,275.4825,275.57,266.4275,259.1175,262.0225,176.9,252.475,283.15,218.5425,259.615,268.4625,267.6125,260.7025,254.265,L8
2016-01-05 22:13:05.152,304.024,286.154,281.60600000000005,275.59000000000003,276.584,266.14,257.238,260.75,179.03,252.61399999999998,282.906,216.98600000000002,259.514,268.712,268.306,261.04200000000003,254.63400000000001,L8
2016-01-05 22:13:29.107,304.2316666666666,286.6716666666667,281.73833333333334,275.7633333333333,277.3483333333333,266.265,255.91,259.99333333333334,180.47,252.73333333333335,282.8,216.035,259.57,268.99,268.82666666666665,261.3333333333333,255.01,L8
2016-02-06 22:13:01.784,304.2316666666666,286.6716666666667,281.73833333333334,275.7633333333333,275.6257142857143,262.69714285714286,254.69142857142856,258.6485714285714,180.47,252.73333333333335,282.8,216.035,258.3071428571429,268.48285714285714,267.1457142857143,257.46,253.57142857142858,L8
2016-02-06 22:13:25.747,304.2316666666666,286.6716666666667,277.19428571428574,274.13142857142856,274.85625,261.59625,254.4425,258.40375,180.47,252.73333333333335,282.8,216.035,258.04,268.3825,266.3925,256.6375,253.03625,L8
2016-02-13 22:19:08.559,305.01714285714286,287.26,278.40875,275.8425,275.9166666666667,261.59625,254.4425,258.40375,180.47,252.73333333333335,284.21714285714285,216.035,259.3644444444445,269.9622222222222,267.38111111111107,257.27666666666664,253.03625,L8
