dates,satname,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043,nzd0343-0013
1999-08-21 21:47:44.927000,L7,296.01,275.11,271.89,271.69,255.20,287.21,270.90,289.04,318.90,313.18,322.10,314.82,290.64,316.18,324.57,315.45,306.70,310.52,321.53,332.30,341.21,369.02,335.22,315.25,288.63,316.44,307.61,312.06,301.55,328.10,299.04,296.18,307.69,330.79,330.24,300.59,306.16,313.21,308.41,318.81,318.53,317.87,324.22,
1999-08-28 21:53:35.950000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.46,223.14,233.36,252.92,260.35,266.48,258.25,240.75,266.58,262.96,271.13,274.93,274.63,
1999-08-28 21:53:59.920000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.23,257.79,254.71,257.82,238.83,264.58,260.76,269.82,271.96,270.63,
1999-09-22 21:47:48.716000,L7,344.83,326.00,318.60,320.51,325.24,317.04,330.43,346.44,372.84,356.88,358.59,351.86,281.32,350.01,355.49,343.19,336.74,338.68,343.37,338.87,341.30,335.77,336.26,335.17,335.37,317.72,333.55,346.20,345.17,352.69,337.27,320.37,336.60,341.40,340.55,324.87,325.63,325.19,324.10,326.71,319.14,324.97,334.09,351.42
1999-09-29 21:53:40.155000,L7,,,,,,,,,,,,,,,,,285.09,293.09,297.06,284.06,280.94,279.58,285.81,266.09,269.14,275.14,284.86,279.33,271.89,278.98,275.62,275.76,296.11,309.51,309.89,297.54,278.33,284.51,290.20,300.72,296.25,299.81,307.26,
1999-10-24 21:47:44.121000,L7,347.70,328.45,321.89,329.83,330.53,331.34,339.81,357.35,378.39,370.22,366.45,367.44,349.03,351.98,350.16,345.30,337.65,333.81,337.60,340.93,341.29,334.79,335.15,338.73,332.31,324.31,335.80,341.28,344.70,352.18,333.80,327.63,332.34,341.89,346.12,326.51,325.46,325.45,,,,,,359.06
1999-12-11 21:47:48.967000,L7,342.63,326.50,317.91,325.77,332.36,,,387.23,409.91,394.58,360.18,361.54,287.06,,,,,344.39,339.26,352.40,335.29,336.81,360.11,355.46,340.08,323.31,342.00,,,,,,,,,,,,,,,,,
2000-01-12 21:47:42.353000,L7,,,,,,,,,,,,,,295.28,305.16,288.96,293.46,316.36,312.58,294.55,288.38,297.79,298.97,271.47,283.81,300.77,314.99,302.80,286.51,330.73,314.03,290.70,313.16,322.21,331.14,320.00,288.09,298.68,300.55,310.92,312.05,302.67,312.47,
2000-01-19 21:53:25.812000,L7,368.04,347.58,341.91,338.37,340.23,350.23,358.56,383.52,403.46,388.00,385.19,378.96,375.86,383.07,387.25,371.80,356.60,347.94,342.67,343.67,340.52,337.17,334.07,339.86,332.29,325.85,343.37,351.75,355.08,359.98,349.16,342.07,337.94,346.46,342.99,334.33,327.89,329.05,351.01,329.21,323.96,325.37,328.64,379.46
2000-01-19 21:53:49.771000,L7,,,,,,,,,412.21,392.20,389.89,384.04,380.65,386.43,,376.07,360.78,350.94,346.93,346.71,345.27,340.65,337.83,341.25,336.76,328.98,346.36,355.32,359.20,363.84,354.77,349.23,340.32,349.64,345.83,338.97,331.81,333.09,,,,,,382.75
