dates,satname,nzd0345-0000,nzd0345-0001,nzd0345-0002,nzd0345-0003,nzd0345-0004,nzd0345-0005,nzd0345-0006,nzd0345-0007,nzd0345-0008,nzd0345-0009,nzd0345-0010,nzd0345-0011,nzd0345-0012,nzd0345-0013,nzd0345-0014,nzd0345-0015,nzd0345-0016,nzd0345-0017,nzd0345-0018,nzd0345-0019,nzd0345-0020,nzd0345-0021,nzd0345-0022,nzd0345-0023,nzd0345-0024,nzd0345-0025,nzd0345-0026,nzd0345-0027,nzd0345-0028,nzd0345-0029,nzd0345-0030,nzd0345-0031,nzd0345-0032,nzd0345-0033,nzd0345-0034,nzd0345-0035,nzd0345-0036,nzd0345-0037,nzd0345-0038,nzd0345-0039,nzd0345-0040,nzd0345-0041,nzd0345-0042,nzd0345-0043,nzd0345-0044,nzd0345-0045,nzd0345-0046,nzd0345-0047,nzd0345-0048,nzd0345-0049,nzd0345-0050,nzd0345-0051,nzd0345-0052,nzd0345-0053,nzd0345-0054,nzd0345-0055,nzd0345-0056,nzd0345-0057,nzd0345-0058,nzd0345-0059,nzd0345-0060,nzd0345-0061,nzd0345-0062,nzd0345-0063,nzd0345-0064,nzd0345-0065,nzd0345-0066,nzd0345-0067,nzd0345-0068,nzd0345-0069,nzd0345-0070,nzd0345-0071,nzd0345-0072,nzd0345-0073,nzd0345-0074,nzd0345-0075,nzd0345-0076,nzd0345-0077,nzd0345-0078,nzd0345-0079,nzd0345-0080,nzd0345-0081,nzd0345-0082,nzd0345-0083,nzd0345-0084,nzd0345-0085,nzd0345-0086,nzd0345-0087,nzd0345-0088,nzd0345-0089,nzd0345-0090,nzd0345-0091,nzd0345-0092,nzd0345-0093,nzd0345-0094,nzd0345-0095,nzd0345-0096,nzd0345-0097,nzd0345-0098,nzd0345-0099,nzd0345-0100,nzd0345-0101,nzd0345-0102,nzd0345-0103,nzd0345-0104,nzd0345-0105,nzd0345-0106,nzd0345-0107,nzd0345-0108,nzd0345-0109,nzd0345-0110,nzd0345-0111,nzd0345-0112,nzd0345-0113,nzd0345-0114,nzd0345-0115,nzd0345-0116,nzd0345-0117,nzd0345-0118,nzd0345-0119,nzd0345-0120,nzd0345-0121,nzd0345-0122,nzd0345-0123,nzd0345-0124,nzd0345-0125,nzd0345-0126,nzd0345-0127,nzd0345-0128,nzd0345-0129,nzd0345-0130,nzd0345-0131,nzd0345-0132,nzd0345-0133,nzd0345-0134,nzd0345-0135,nzd0345-0136,nzd0345-0137,nzd0345-0138,nzd0345-0139,nzd0345-0140,nzd0345-0141,nzd0345-0142,nzd0345-0143,nzd0345-0144,nzd0345-0145,nzd0345-0146,nzd0345-0147,nzd0345-0148,nzd0345-0149,nzd0345-0150,nzd0345-0151,nzd0345-0152,nzd0345-0153,nzd0345-0154,nzd0345-0155,nzd0345-0156,nzd0345-0157,nzd0345-0158,nzd0345-0159,nzd0345-0160,nzd0345-0161,nzd0345-0162,nzd0345-0163,nzd0345-0164,nzd0345-0165,nzd0345-0166,nzd0345-0167,nzd0345-0168,nzd0345-0169,nzd0345-0170,nzd0345-0171,nzd0345-0172,nzd0345-0173,nzd0345-0174,nzd0345-0175,nzd0345-0176,nzd0345-0177,nzd0345-0178,nzd0345-0179,nzd0345-0180,nzd0345-0181,nzd0345-0182,nzd0345-0183,nzd0345-0184,nzd0345-0185,nzd0345-0186,nzd0345-0187,nzd0345-0188,nzd0345-0189,nzd0345-0190,nzd0345-0191,nzd0345-0192,nzd0345-0193,nzd0345-0194,nzd0345-0195,nzd0345-0196,nzd0345-0197,nzd0345-0198,nzd0345-0199,nzd0345-0200,nzd0345-0201,nzd0345-0202,nzd0345-0203,nzd0345-0204,nzd0345-0205,nzd0345-0206,nzd0345-0207,nzd0345-0208,nzd0345-0209,nzd0345-0210,nzd0345-0211,nzd0345-0212,nzd0345-0213,nzd0345-0214,nzd0345-0215,nzd0345-0216,nzd0345-0217,nzd0345-0218,nzd0345-0219,nzd0345-0220,nzd0345-0221,nzd0345-0222,nzd0345-0223,nzd0345-0224,nzd0345-0225,nzd0345-0226,nzd0345-0227,nzd0345-0228,nzd0345-0229,nzd0345-0230,nzd0345-0240,nzd0345-0241,nzd0345-0231,nzd0345-0242,nzd0345-0232,nzd0345-0233,nzd0345-0234,nzd0345-0235,nzd0345-0236,nzd0345-0237,nzd0345-0238,nzd0345-0239
1999-08-17 22:12:02.089000,L7,269.51,277.95,263.44,273.06,256.94,459.01,452.75,208.30,202.07,188.38,171.41,179.31,188.64,187.11,370.22,375.35,391.91,415.36,416.73,404.36,374.52,372.07,344.73,268.95,375.42,376.89,367.46,347.95,438.60,385.74,346.05,359.26,322.10,343.63,329.48,332.36,341.40,300.18,298.53,283.99,301.63,333.96,331.94,328.77,337.86,320.82,305.04,356.32,352.64,381.29,353.93,345.15,352.66,356.75,326.13,320.66,328.63,340.19,319.34,313.49,358.75,360.29,444.39,383.27,384.28,376.82,363.24,360.50,357.26,327.25,258.86,280.49,264.80,249.67,254.04,267.28,289.98,300.63,299.93,310.35,308.54,339.45,351.87,361.93,347.21,300.97,303.48,342.27,383.60,390.97,404.62,389.29,298.78,301.19,299.74,300.58,282.95,262.24,257.30,251.14,265.71,269.74,264.35,263.49,247.02,283.61,292.45,288.20,333.63,320.12,329.09,335.49,291.57,291.06,279.98,264.82,264.11,283.43,300.50,319.74,343.56,329.65,362.56,337.57,502.62,509.97,502.93,462.17,468.30,455.21,454.05,443.56,351.68,377.68,246.82,246.98,244.29,241.35,432.41,204.66,254.39,259.17,477.00,477.51,425.54,471.05,496.22,273.31,249.78,266.57,289.90,289.80,358.29,246.64,301.22,226.93,202.41,184.89,324.69,382.95,336.14,397.79,369.70,342.20,376.62,380.99,208.29,209.09,388.79,270.00,275.44,256.62,227.06,241.70,229.58,235.32,229.39,234.30,233.23,216.65,226.58,231.30,246.50,257.99,262.68,260.20,262.29,279.68,271.46,255.19,241.24,213.94,196.97,236.44,226.67,255.40,245.79,206.91,185.94,321.38,334.74,251.95,333.32,332.38,204.99,284.36,286.68,282.49,243.34,279.70,250.58,206.54,204.12,279.81,295.53,309.16,237.68,202.44,218.12,193.79,186.43,451.98,303.33,268.37,345.24,184.24,252.48,233.49,258.07,258.08,259.89,334.09,407.88,,,,,,,,,,
1999-08-26 22:06:20.800000,L7,,,,,,,,,,,,,,,,,,,,,233.61,215.88,222.82,202.31,446.36,432.24,435.49,539.95,404.35,266.60,308.96,381.45,431.19,403.15,457.65,482.14,472.65,544.65,,,,,,,405.53,361.72,407.58,406.34,360.97,385.87,326.61,348.10,464.96,544.94,326.60,395.89,490.09,350.22,316.52,318.32,305.02,257.67,287.76,325.19,402.86,409.00,282.61,466.13,483.30,426.00,468.88,556.38,468.48,523.80,548.60,408.14,376.97,499.80,306.74,366.09,331.49,485.59,,,,,,,,448.35,281.55,454.87,486.29,,,,,,,197.65,188.57,201.42,192.04,216.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-13 22:06:24.714000,L7,302.35,335.60,522.83,487.03,446.65,478.98,461.91,469.11,549.60,441.15,275.43,354.47,278.94,293.86,339.89,501.27,494.10,502.88,449.05,431.57,230.46,217.37,205.40,202.19,196.11,179.17,175.51,169.37,391.24,403.77,357.16,367.36,375.06,295.00,,269.29,238.92,227.92,223.28,206.25,222.88,284.13,280.22,226.12,251.53,264.08,245.90,291.04,,256.01,266.92,235.28,378.26,404.94,394.57,283.92,290.04,180.64,235.07,500.98,481.76,468.26,270.08,263.71,234.64,260.52,261.88,266.77,,502.42,510.40,446.72,450.59,430.01,313.51,336.01,318.99,297.45,229.28,490.39,485.17,482.15,189.70,190.69,190.96,185.14,488.89,455.38,537.86,464.20,214.32,302.50,300.64,280.57,279.92,275.30,276.55,310.97,308.50,317.22,309.47,311.61,321.68,322.27,319.68,339.43,308.03,302.44,303.32,302.36,267.12,260.54,284.09,258.52,386.90,400.57,189.70,212.15,235.48,245.65,212.84,176.77,262.26,260.87,258.47,261.00,275.59,279.40,188.07,206.69,459.90,220.52,449.91,,,478.56,238.43,241.52,236.21,483.74,413.19,440.34,421.52,359.32,460.39,471.76,473.39,409.53,396.70,,387.16,418.63,359.94,413.42,378.60,422.52,397.85,375.11,,445.07,408.89,401.41,441.39,381.20,452.85,404.18,,,179.07,195.72,204.07,195.06,201.79,210.84,198.46,195.50,200.01,419.33,382.01,434.26,393.88,391.68,448.06,406.90,322.55,403.30,382.22,381.42,456.27,468.05,238.77,,,179.77,544.90,395.49,188.51,203.98,190.39,417.02,360.54,178.12,505.09,328.36,300.71,209.29,309.53,337.11,162.90,320.63,285.09,258.57,,,,,325.52,285.70,295.59,288.58,255.96,,,,,,,,,,403.38,,248.05,233.74,257.38,,,,,,,,
1999-11-21 22:12:00.068000,L7,286.73,290.50,293.89,203.75,,,261.98,233.17,219.76,219.53,301.25,246.07,221.51,190.65,163.52,,,243.68,189.35,178.68,188.35,184.32,178.05,192.67,266.66,292.44,240.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.38,198.44,171.80,185.93,182.42,215.07,197.95,186.88,187.64,200.68,210.09,214.04,218.09,232.49,233.82,,,248.88,265.85,271.36,260.84,196.81,245.06,204.72,247.75,252.54,278.48,208.41,222.21,307.13,289.83,269.40,246.59,215.67,328.59,315.35,340.52,291.67,242.43,214.82,214.14,,,193.25,197.74,197.53,200.36,182.45,198.94,192.71,213.81,198.79,178.64,185.01,192.76,203.71,209.06,183.92,192.69,183.33,193.34,216.80,206.07,284.11,237.01,245.54,236.06,248.02,244.68,254.43,259.58,255.69,239.65,212.38,210.13,257.15,273.03,247.45,237.07,232.85,233.77,221.31,215.69,216.41,204.28,229.80,225.50,,,,202.32,231.20,230.64,209.61,199.64,206.47,239.49,239.76,202.00,200.52,257.63,224.02,208.22,192.65,204.40,205.38,208.74,196.19,179.33,176.14,212.03,323.53,236.47,222.12,183.63,197.47,269.05,184.51,184.62,183.90,188.87,189.20,212.55,260.61,184.36,190.57,190.03,196.22,203.64,196.24,200.17,205.99,191.78,196.79,199.17,202.04,196.59,189.08,194.27,206.17,233.83,198.34,221.28,212.73,191.64,199.31,212.33,226.64,188.56,204.36,210.51,225.35,201.88,189.49,190.30,205.92,197.50,200.22,203.17,201.64,196.30,192.59,191.51,185.39,182.55,183.59,204.95,209.36,207.17,196.81,203.04,195.92,201.88,,183.95,188.52,188.81,,,186.03,,186.76,181.17,194.40,202.86,,,,
1999-12-07 22:12:05.865000,L7,463.27,426.74,476.76,481.83,410.69,410.40,405.42,424.28,405.36,405.72,423.46,431.42,438.18,417.20,291.32,280.33,356.63,518.19,533.85,409.17,240.32,256.91,176.78,264.76,322.18,338.34,210.78,192.47,196.06,181.31,,182.17,314.41,212.12,252.57,238.26,189.36,188.10,186.60,220.56,281.51,233.18,251.13,305.16,293.29,257.58,276.36,276.46,249.53,245.54,182.83,217.75,229.11,249.82,265.05,310.53,,,274.45,268.14,259.63,279.58,315.71,405.80,217.03,425.22,353.21,249.03,272.22,468.46,338.05,477.10,499.64,220.22,251.35,181.62,213.14,217.98,232.83,281.64,309.63,296.67,349.02,377.23,406.88,216.79,215.69,257.20,389.72,364.51,365.17,216.07,210.55,339.37,329.55,327.33,242.71,,181.16,216.38,320.09,298.13,179.79,260.48,256.80,274.05,302.71,329.56,211.82,321.49,323.40,341.42,368.74,351.07,356.15,367.35,383.02,365.82,357.77,360.02,202.92,319.85,332.18,338.58,518.82,516.73,330.87,199.26,351.42,365.80,227.04,349.91,369.34,336.25,347.63,354.74,340.24,341.87,365.54,354.26,375.01,353.32,251.40,192.26,432.43,245.99,343.36,,200.39,242.06,250.01,297.39,443.34,211.96,272.95,330.28,333.30,342.72,327.02,271.21,249.61,269.54,296.74,298.61,301.84,269.22,275.13,350.19,366.55,175.20,370.73,424.60,459.69,386.57,301.02,276.57,259.16,260.10,249.33,309.93,216.12,233.51,230.53,306.82,367.16,334.22,297.68,270.92,273.32,264.79,368.64,392.50,169.89,294.31,289.49,286.63,171.72,379.91,293.34,295.89,217.27,234.99,248.50,230.43,206.76,261.97,229.99,310.66,311.42,252.77,227.47,209.96,290.89,304.16,269.93,318.54,324.72,180.97,241.03,304.00,290.46,207.25,230.86,216.69,402.52,424.97,394.40,240.05,331.24,266.87,240.97,249.78,304.99,193.28,265.77,194.92,214.00,214.79,200.46,192.02,213.83,246.31,311.44
1999-12-16 22:06:21.817000,L7,506.32,511.75,510.78,531.10,311.13,334.77,371.26,364.56,505.88,446.48,,,,,,,,,,,,,,,,253.47,238.68,406.41,442.55,426.13,435.66,431.36,435.23,296.07,269.13,288.92,281.68,266.57,275.16,289.19,299.41,301.88,289.96,282.39,304.48,301.76,307.78,302.86,289.70,291.52,258.13,244.73,394.74,266.65,286.41,289.78,295.33,304.83,,,,273.05,217.88,266.89,263.14,288.35,302.11,477.00,482.04,,182.97,187.87,331.07,329.09,314.15,310.07,319.64,330.65,342.93,345.22,392.44,377.35,381.73,342.26,383.81,241.06,244.42,419.66,351.18,396.10,369.61,338.49,317.67,307.91,296.80,311.78,298.70,290.74,271.25,314.84,325.66,312.76,302.85,309.49,306.08,327.16,331.34,339.00,333.63,329.80,334.61,286.53,335.03,250.85,311.28,290.43,342.64,310.44,355.76,351.55,373.82,358.26,351.52,353.15,361.56,364.60,335.42,341.51,330.31,342.04,321.97,347.79,342.77,223.86,334.58,325.03,315.31,318.55,306.03,311.29,312.66,310.99,264.02,305.23,296.64,455.19,444.09,456.97,446.95,400.62,405.59,239.32,270.52,260.89,245.34,241.06,295.74,295.43,308.58,291.52,263.08,259.19,275.10,322.12,293.30,280.52,282.20,223.75,226.07,237.29,275.17,,305.01,257.18,304.20,259.81,268.47,286.56,293.30,286.87,286.34,267.93,,337.96,264.07,294.62,,286.42,260.26,262.36,243.66,266.68,291.29,240.85,220.44,211.32,205.93,200.63,232.41,219.26,364.75,316.78,355.88,367.24,360.18,231.80,204.93,211.16,195.60,201.24,196.26,181.72,,,329.31,353.91,367.57,297.73,263.49,345.87,362.89,377.34,387.33,281.31,293.99,290.63,342.39,329.98,324.77,321.32,313.38,178.53,308.50,267.81,,,,,,,,309.68,371.61
2000-01-17 22:06:11.705000,L7,,,455.89,478.21,490.71,482.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.12,440.09,427.09,390.98,455.32,485.35,360.85,403.37,550.72,402.79,222.12,229.22,237.41,239.18,262.42,239.15,253.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.39,245.50,283.56,,,,,,529.61,439.69,426.64,335.36,337.36,280.17,283.91,282.49,251.77,243.43,208.28,442.83,384.49,417.49,386.10,180.24,179.33,534.80,476.73,451.22,530.47,447.64,394.42,517.60,369.77,180.58,231.39,403.30,385.88,492.53,265.42,257.62,264.26,257.57,502.07,,474.56,518.18,189.10,183.32,426.99,293.62,268.30,215.34,202.97,,,,,329.50,470.55,,193.93,215.90,238.82,250.09,242.31,208.05,265.51,417.00,321.39,376.94,322.37,257.95,247.92,,373.16,480.69,311.94,332.24,375.41,352.93,451.94,532.66,470.94,459.34,,,,,,,,496.05,304.68,370.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-18 22:06:05.064000,L7,218.72,222.27,273.58,199.90,196.60,,,,,,,,,,,,,,,,,,,,,,236.15,197.06,182.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.14,259.01,256.20,236.15,245.09,201.55,204.67,199.38,202.68,216.98,218.62,210.37,280.07,225.63,290.32,250.58,280.84,267.25,254.93,257.46,241.23,238.91,237.30,239.36,220.77,257.28,226.34,203.91,239.66,237.00,250.04,189.30,187.99,193.31,199.10,205.97,207.63,204.71,232.14,,255.34,178.68,224.42,223.62,220.79,210.65,215.72,220.28,230.85,238.29,240.46,258.96,224.46,288.52,266.00,273.60,256.72,278.13,241.48,250.20,232.55,264.99,233.95,236.63,249.83,212.09,223.70,214.23,208.01,205.78,207.07,253.31,427.45,424.64,520.54,,,,,,,,,,,,,,,351.79,517.52,491.72,224.20,221.88,231.15,240.60,252.66,178.80,188.12,185.67,276.42,216.68,183.22,,184.08,235.60,284.18,425.76,433.90,333.61,262.69,187.97,,,,,177.83,199.54,186.06,240.56,225.13,238.28,204.34,204.27,188.73,274.70,251.07,182.70,182.89,182.06,187.26,185.04,,,,,,,,,,,,,,,,,,,,206.49,223.32,211.36,182.32,184.34,189.26,209.42,222.99,207.96,252.31,199.85,204.25,210.75,209.99,189.88,199.40,,,179.30,,186.26,180.89,191.23,220.75,198.89,226.83,228.47,210.22
2000-02-25 22:11:49.490000,L7,249.55,250.50,275.42,288.86,223.33,431.40,350.99,523.18,435.00,415.39,411.03,406.45,426.33,515.14,453.67,430.82,485.95,471.15,461.73,403.39,281.70,394.06,398.01,350.94,340.99,283.29,316.98,304.34,204.88,207.89,221.72,259.34,230.37,230.32,247.52,181.43,190.64,204.82,207.23,210.25,229.11,227.11,226.85,255.11,262.13,281.23,277.09,270.77,288.10,311.76,355.94,310.12,304.05,294.56,301.49,292.35,272.69,283.10,284.09,332.95,295.39,359.08,301.74,312.28,307.67,324.13,254.98,351.20,350.52,336.21,255.76,243.69,242.74,259.37,358.32,288.01,289.37,302.14,314.29,302.93,394.16,415.45,398.20,433.37,405.90,394.73,390.20,351.69,358.35,376.92,400.58,241.52,238.13,248.79,293.23,370.55,359.98,373.60,378.67,362.85,353.18,360.73,365.29,365.70,366.12,369.85,388.08,352.48,402.31,385.89,405.28,395.06,402.00,355.09,349.96,346.89,365.39,398.70,365.04,371.16,382.41,302.48,310.68,305.49,367.66,392.78,355.59,358.39,359.40,381.50,367.37,349.55,341.86,327.86,323.75,325.93,353.12,271.14,235.15,335.81,303.09,305.09,352.10,248.24,255.63,261.47,257.95,313.32,336.35,329.91,333.86,348.76,373.78,340.97,319.27,326.44,317.20,324.90,215.21,222.76,191.35,223.10,231.16,227.79,236.02,232.17,229.16,228.21,190.23,285.29,321.22,305.02,304.54,287.38,313.97,293.40,324.68,289.79,291.45,,322.64,324.01,323.07,324.13,317.68,275.94,408.29,304.72,293.74,292.74,297.09,287.84,304.72,273.22,246.50,258.02,266.78,255.01,247.36,257.82,253.67,242.00,232.24,243.49,250.79,245.36,253.65,248.48,302.01,204.23,260.10,227.52,223.05,222.67,221.75,294.94,242.99,231.61,372.37,329.88,274.20,279.59,256.98,184.05,178.27,208.82,207.22,212.29,245.60,199.37,,262.69,,,,,,,,,,304.46,288.18
2000-02-25 22:12:13.451000,L7,,,535.73,509.74,494.58,540.56,526.99,481.29,262.84,241.50,195.98,,,,377.65,435.06,435.17,472.16,421.35,,353.65,398.31,385.00,353.47,345.48,,,173.34,189.35,206.76,221.84,232.88,,213.78,247.12,240.12,236.05,262.20,263.56,261.64,293.52,279.90,288.27,321.58,333.61,341.97,334.88,328.39,341.47,,,366.93,362.59,357.71,355.28,347.59,337.82,334.41,230.03,227.82,,,,,,,,,,,,,,355.32,360.06,369.45,355.58,366.46,367.77,376.75,379.59,178.81,183.09,184.42,191.29,199.44,189.33,186.94,358.42,367.56,365.00,360.67,,370.68,371.68,326.81,,360.13,356.84,361.26,357.78,352.93,174.25,184.25,219.78,224.38,245.34,197.24,194.74,212.17,211.51,212.30,233.42,229.33,227.91,219.45,307.39,324.10,253.66,341.18,232.28,233.95,336.58,336.61,358.12,215.75,219.75,354.27,358.22,370.24,373.05,348.51,310.25,332.98,323.10,284.48,205.16,205.30,220.86,211.54,206.19,224.48,225.97,215.46,336.19,198.21,202.40,203.75,208.48,215.67,205.10,216.41,197.72,201.56,234.59,261.45,297.63,315.36,289.83,304.10,308.93,308.75,308.36,303.78,294.51,253.79,305.87,287.90,287.93,286.53,253.34,310.76,302.80,287.49,288.19,258.20,296.91,295.40,,,,316.35,314.53,327.18,276.46,275.58,297.52,303.42,298.60,293.31,298.90,292.83,256.14,275.00,251.98,256.26,265.59,257.25,243.92,251.81,248.67,,,,236.90,234.85,244.51,201.35,201.27,207.70,257.23,220.17,218.43,226.16,,,238.60,227.91,252.17,293.16,237.86,221.15,212.60,182.43,177.89,207.21,205.64,210.13,225.98,197.05,,,,,,,,,,,,,
