dates,nzd0345-0000,nzd0345-0001,nzd0345-0002,nzd0345-0003,nzd0345-0004,nzd0345-0005,nzd0345-0006,nzd0345-0007,nzd0345-0008,nzd0345-0009,nzd0345-0010,nzd0345-0011,nzd0345-0012,nzd0345-0013,nzd0345-0014,nzd0345-0015,nzd0345-0016,nzd0345-0017,nzd0345-0018,nzd0345-0019,nzd0345-0020,nzd0345-0021,nzd0345-0022,nzd0345-0023,nzd0345-0024,nzd0345-0025,nzd0345-0026,nzd0345-0027,nzd0345-0028,nzd0345-0029,nzd0345-0030,nzd0345-0031,nzd0345-0032,nzd0345-0033,nzd0345-0034,nzd0345-0035,nzd0345-0036,nzd0345-0037,nzd0345-0038,nzd0345-0039,nzd0345-0040,nzd0345-0041,nzd0345-0042,nzd0345-0043,nzd0345-0044,nzd0345-0045,nzd0345-0046,nzd0345-0047,nzd0345-0048,nzd0345-0049,nzd0345-0050,nzd0345-0051,nzd0345-0052,nzd0345-0053,nzd0345-0054,nzd0345-0055,nzd0345-0056,nzd0345-0057,nzd0345-0058,nzd0345-0059,nzd0345-0060,nzd0345-0061,nzd0345-0062,nzd0345-0063,nzd0345-0064,nzd0345-0065,nzd0345-0066,nzd0345-0067,nzd0345-0068,nzd0345-0069,nzd0345-0070,nzd0345-0071,nzd0345-0072,nzd0345-0073,nzd0345-0074,nzd0345-0075,nzd0345-0076,nzd0345-0077,nzd0345-0078,nzd0345-0079,nzd0345-0080,nzd0345-0081,nzd0345-0082,nzd0345-0083,nzd0345-0084,nzd0345-0085,nzd0345-0086,nzd0345-0087,nzd0345-0088,nzd0345-0089,nzd0345-0090,nzd0345-0091,nzd0345-0092,nzd0345-0093,nzd0345-0094,nzd0345-0095,nzd0345-0096,nzd0345-0097,nzd0345-0098,nzd0345-0099,nzd0345-0100,nzd0345-0101,nzd0345-0102,nzd0345-0103,nzd0345-0104,nzd0345-0105,nzd0345-0106,nzd0345-0107,nzd0345-0108,nzd0345-0109,nzd0345-0110,nzd0345-0111,nzd0345-0112,nzd0345-0113,nzd0345-0114,nzd0345-0115,nzd0345-0116,nzd0345-0117,nzd0345-0118,nzd0345-0119,nzd0345-0120,nzd0345-0121,nzd0345-0122,nzd0345-0123,nzd0345-0124,nzd0345-0125,nzd0345-0126,nzd0345-0127,nzd0345-0128,nzd0345-0129,nzd0345-0130,nzd0345-0131,nzd0345-0132,nzd0345-0133,nzd0345-0134,nzd0345-0135,nzd0345-0136,nzd0345-0137,nzd0345-0138,nzd0345-0139,nzd0345-0140,nzd0345-0141,nzd0345-0142,nzd0345-0143,nzd0345-0144,nzd0345-0145,nzd0345-0146,nzd0345-0147,nzd0345-0148,nzd0345-0149,nzd0345-0150,nzd0345-0151,nzd0345-0152,nzd0345-0153,nzd0345-0154,nzd0345-0155,nzd0345-0156,nzd0345-0157,nzd0345-0158,nzd0345-0159,nzd0345-0160,nzd0345-0161,nzd0345-0162,nzd0345-0163,nzd0345-0164,nzd0345-0165,nzd0345-0166,nzd0345-0167,nzd0345-0168,nzd0345-0169,nzd0345-0170,nzd0345-0171,nzd0345-0172,nzd0345-0173,nzd0345-0174,nzd0345-0175,nzd0345-0176,nzd0345-0177,nzd0345-0178,nzd0345-0179,nzd0345-0180,nzd0345-0181,nzd0345-0182,nzd0345-0183,nzd0345-0184,nzd0345-0185,nzd0345-0186,nzd0345-0187,nzd0345-0188,nzd0345-0189,nzd0345-0190,nzd0345-0191,nzd0345-0192,nzd0345-0193,nzd0345-0194,nzd0345-0195,nzd0345-0196,nzd0345-0197,nzd0345-0198,nzd0345-0199,nzd0345-0200,nzd0345-0201,nzd0345-0202,nzd0345-0203,nzd0345-0204,nzd0345-0205,nzd0345-0206,nzd0345-0207,nzd0345-0208,nzd0345-0209,nzd0345-0210,nzd0345-0211,nzd0345-0212,nzd0345-0213,nzd0345-0214,nzd0345-0215,nzd0345-0216,nzd0345-0217,nzd0345-0218,nzd0345-0219,nzd0345-0220,nzd0345-0221,nzd0345-0222,nzd0345-0223,nzd0345-0224,nzd0345-0225,nzd0345-0226,nzd0345-0227,nzd0345-0228,nzd0345-0229,nzd0345-0230,nzd0345-0240,nzd0345-0241,nzd0345-0231,nzd0345-0242,nzd0345-0232,nzd0345-0233,nzd0345-0234,nzd0345-0235,nzd0345-0236,nzd0345-0237,nzd0345-0238,nzd0345-0239,satname
1999-10-13 22:06:24+00:00,,,,,,,,,,,,,,,,,,,,,,217.37,205.4,,,,,169.37,,,,,,295.0,,269.29,,227.92,,,,284.13,280.22,,,264.08,,291.04,,256.01,266.92,235.28,,,,283.92,290.04,,,,,,,263.71,234.64,260.52,,266.77,,,,,,,313.51,336.01,318.99,297.45,,,,,,,,,,,,,,,300.64,280.57,279.92,275.3,276.55,310.97,308.5,317.22,309.47,311.61,321.68,322.27,319.68,339.43,308.03,302.44,303.32,302.36,,260.54,,258.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.22,,,,238.77,,,,,,188.51,203.98,,,360.54,,,328.36,,209.29,,,162.9,,,,,,,,,285.7,295.59,,,,,,,,,,,,,,,233.74,,,,,,,,,,L7
1999-12-16 22:06:21+00:00,,,,,,,,,,,,,,,,,,,,,,217.37,205.4,,,253.47,238.68,169.37,,,,,,295.53499999999997,269.13,279.105,,247.245,,,,293.005,285.09000000000003,282.39,,282.91999999999996,307.78,296.95000000000005,289.7,273.765,262.525,240.005,,266.65,286.41,286.85,292.685,304.83,,,,,,265.29999999999995,248.89,274.435,,266.77,,,182.97,187.87,,,313.83,323.03999999999996,319.315,314.04999999999995,,,,,,,,,,,,,,,309.155,294.24,288.36,293.53999999999996,287.625,300.855,289.875,316.03,317.56500000000005,312.185,312.265,315.88,312.88,333.295,319.68499999999995,320.72,318.475,316.08000000000004,,273.53499999999997,,254.685,,290.43,,310.44,,,,,,,,,,,,,,,,223.86,,,315.31,,,311.29,312.66,310.99,,,,,,,,,,,,,,,295.74,295.43,,,263.08,,,,,,,223.75,226.07,,,,305.01,257.18,304.2,259.81,,286.56,293.3,286.87,286.34,,,337.96,,294.62,382.22,,,262.36,241.215,,,,,,197.22,202.305,232.41,219.26,362.645,,,347.8,,220.54500000000002,204.93,211.16,179.25,201.24,,181.72,,,,,,291.71500000000003,279.53999999999996,,,,,,,,,,,,,,,250.775,,,,,,,,,,L7
2000-02-18 22:06:05+00:00,218.72,222.27,273.58,,196.6,,,,,,,,,,,,,,,,,217.37,205.4,,,253.47,237.41500000000002,183.215,,,,,,295.53499999999997,269.13,279.105,,247.245,,,,293.005,285.09000000000003,282.39,,282.91999999999996,307.78,296.95000000000005,289.7,273.765,262.525,240.005,,266.65,286.41,286.85,292.685,304.83,,,,,,265.29999999999995,248.89,269.29333333333335,256.2,251.45999999999998,,,193.82,193.625,,,313.83,323.03999999999996,306.23333333333335,314.04999999999995,290.32,,,,,,,,,,,,,,309.155,294.24,288.36,293.53999999999996,287.625,300.855,289.875,316.03,317.56500000000005,312.185,312.265,315.88,312.88,333.295,319.68499999999995,320.72,318.475,316.08000000000004,,273.53499999999997,,249.22,,274.695,,299.48,,,,278.13,,,,,,,,,,,,214.82,,,315.31,,,311.29,312.66,310.99,,,,,,,,,,,,,,,295.74,295.43,,,257.87,,,,,,,223.75,226.07,,,,305.01,257.18,304.2,259.81,,286.56,293.3,286.87,286.34,,,337.96,,294.62,382.22,,,268.53,244.5,,,,,,197.22,202.305,232.41,219.26,362.645,,,347.8,,220.54500000000002,204.93,211.16,179.25,201.24,,181.72,,,,,,291.71500000000003,279.53999999999996,,,,222.99,207.96,,199.85,204.25,210.75,209.99,189.88,,,,250.775,,,,,,,226.83,,,L7
2000-02-25 22:11:49+00:00,234.135,236.385,274.5,,209.965,,,,,,,,,,,,,,,,,217.37,205.4,350.94,340.99,268.38,237.41500000000002,183.215,,207.89,221.72,,230.37,295.53499999999997,258.325,279.105,,247.245,,,229.11,293.005,285.09000000000003,268.75,262.13,282.3566666666666,292.43499999999995,288.22333333333336,288.9,286.43,262.525,263.37666666666667,,280.605,293.95000000000005,288.68333333333334,286.02,293.96500000000003,,332.95,,359.08,301.74,265.29999999999995,248.89,269.29333333333335,255.58999999999997,251.45999999999998,,,214.46666666666667,210.31333333333336,242.74,,313.83,311.3633333333333,302.0175,310.08,302.305,,,,,,,,,,,376.92,400.58,,309.155,294.24,289.98333333333335,319.21,287.625,300.855,289.875,331.6366666666667,329.43666666666667,328.3666666666667,329.94,332.4866666666667,312.88,345.48,319.68499999999995,331.3066666666667,318.475,316.08000000000004,,273.53499999999997,,249.22,,274.695,,299.48,365.04,371.16,382.41,290.305,,,,392.78,355.59,358.39,,,367.37,349.55,,214.82,323.75,325.93,334.21500000000003,,,323.55,307.875,308.03999999999996,352.1,,,,,,336.35,,333.86,348.76,,340.97,,326.44,306.47,310.16499999999996,,,257.87,,,,,,,225.98000000000002,208.14999999999998,,321.22,305.02,304.775,272.28,309.08500000000004,276.605,324.68,286.56,293.3,286.87,286.34,,,337.96,,294.62,382.22,304.72,293.74,276.59999999999997,244.5,,,,,,197.22,219.87333333333333,239.885,238.54,326.32,,,347.8,,220.54500000000002,204.93,229.82,179.25,202.735,,181.72,,,,,,291.71500000000003,279.53999999999996,,,279.59,239.985,196.005,,204.33499999999998,205.735,211.51999999999998,227.79500000000002,194.625,,262.69,,250.775,,,,,,,226.83,304.46,,L7
2000-03-12 22:11:45+00:00,234.135,236.385,274.5,,209.965,,,,,,,,,,,,,,300.17,,,217.37,205.4,336.135,340.99,268.38,237.41500000000002,183.215,,200.21499999999997,217.59,,230.37,295.53499999999997,252.38,279.105,235.17,247.02999999999997,254.58,262.48,224.255,286.62,285.09000000000003,271.41,275.565,289.2,292.43499999999995,291.83500000000004,288.9,286.43,262.525,284.15999999999997,,294.6566666666667,293.95000000000005,288.68333333333334,286.02,293.96500000000003,,332.95,,359.08,301.74,255.15333333333334,247.60666666666665,261.515,243.53666666666666,240.37666666666667,,,223.1125,219.38,244.71,,313.83,311.3633333333333,302.0175,310.08,302.305,,,191.29,197.32,196.53,185.5,192.82,189.86,,,363.735,397.345,,309.155,294.24,289.98333333333335,325.87,287.625,300.855,289.875,342.2075,340.065,334.825,335.81,337.8225,312.88,351.6075,319.68499999999995,344.52,318.475,316.08000000000004,,273.53499999999997,,247.7275,,270.06,,299.48,365.04,371.16,382.41,290.305,,,,403.98,355.59,358.39,,,367.37,361.28499999999997,,214.82,323.75,341.35,343.65333333333336,,361.83,333.56,307.98,319.06333333333333,360.185,373.15,,,,,336.35,,333.86,361.805,,340.97,,326.44,306.47,316.64,,,257.87,,,,,327.63,338.47,225.98000000000002,208.14999999999998,332.89,322.225,317.495,310.50333333333333,288.34666666666664,315.56,290.0333333333333,326.73,299.005,296.73,294.0,301.26,314.25,,356.185,322.09,310.235,380.38,304.72,293.74,276.59999999999997,244.5,,,,,357.89,197.22,219.87333333333333,239.885,238.54,313.9325,271.31,253.89,310.53000000000003,250.95,229.56000000000003,212.445,229.14,186.0233333333333,197.61333333333334,207.41,200.285,220.69,,226.53,,,291.71500000000003,279.53999999999996,,,270.5,239.985,196.005,,222.13666666666666,205.735,211.51999999999998,227.79500000000002,194.625,283.19,254.76,,260.93333333333334,,,,266.33,,,236.205,302.025,,L7
2000-03-21 22:06:01+00:00,234.135,254.3033333333333,276.68333333333334,,209.965,,,,,,,,,,,,,,300.17,,,217.37,205.4,336.135,340.99,268.38,237.41500000000002,183.215,,200.21499999999997,217.59,,230.37,295.53499999999997,252.38,279.105,235.17,247.02999999999997,254.58,262.48,224.255,286.62,285.09000000000003,271.41,275.565,289.2,292.43499999999995,291.83500000000004,288.9,286.43,262.525,284.15999999999997,,294.6566666666667,293.95000000000005,288.68333333333334,286.02,293.96500000000003,,332.95,,359.08,298.97,255.15333333333334,252.42,261.515,243.53666666666666,240.37666666666667,,,223.1125,219.38,244.71,,313.83,311.3633333333333,302.0175,310.08,302.305,,,204.75,207.155,202.725,182.88,183.17000000000002,183.38,,,363.735,397.345,,309.155,294.24,289.98333333333335,325.87,287.625,304.3433333333333,289.875,342.2075,340.065,334.825,335.81,337.8225,312.88,351.6075,319.68499999999995,344.52,318.475,316.08000000000004,,273.53499999999997,,247.7275,,270.06,,299.48,365.04,371.16,382.41,290.305,372.92,360.89,357.13,403.98,355.59,358.39,,,367.37,361.28499999999997,,214.82,323.75,341.35,343.65333333333336,,361.83,333.56,307.98,319.06333333333333,360.185,373.15,,,,,336.35,,333.86,361.805,,340.97,,326.44,306.47,316.64,,,257.87,,,,,333.78499999999997,338.47,225.98000000000002,208.14999999999998,332.89,322.225,317.495,310.50333333333333,288.34666666666664,315.56,290.0333333333333,326.73,299.005,296.73,294.0,301.26,314.25,,356.185,322.09,310.235,380.38,304.72,293.74,276.59999999999997,244.5,,,,,357.89,197.22,219.87333333333333,239.885,238.54,313.9325,271.31,253.89,310.53000000000003,250.95,229.56000000000003,212.445,229.14,186.0233333333333,197.61333333333334,207.41,200.285,220.69,,226.53,,,291.71500000000003,279.53999999999996,,,270.5,239.985,196.005,,222.13666666666666,205.735,211.51999999999998,227.79500000000002,194.625,283.19,254.76,,260.93333333333334,,,,266.33,,,236.205,302.025,,L7
2000-08-19 22:10:38+00:00,249.55,270.32,278.235,,223.33,,,,,,,,,,,,,266.52,296.985,,,246.69,243.15,336.135,322.07500000000005,283.29,,,,200.21499999999997,217.59,,234.375,,245.65333333333334,251.88,244.76,253.35999999999996,254.65,255.25,229.25666666666666,279.34000000000003,,265.92,275.565,295.48,277.09,286.72,288.1,311.76,282.05,328.31499999999994,,312.4533333333333,297.28,297.63,266.95,283.1,,338.505,,357.96500000000003,298.97,234.86,255.95,238.18,237.205,218.21,,350.22,252.40500000000003,245.135,244.71,327.97,321.23,307.17499999999995,289.37,302.14,314.29,,385.12,204.75,207.155,202.725,182.88,183.17000000000002,183.38,,,363.735,392.34666666666664,370.48,346.75,,316.805,362.8233333333333,,311.32,,365.37000000000006,353.75,353.9466666666667,359.76000000000005,359.765,,358.4266666666667,329.05,368.31999999999994,,,,,351.87,243.25,332.69,260.79,,,372.48,380.91,391.155,302.48,379.08000000000004,371.745,368.395,403.98,355.855,357.21,,335.74,361.345,352.3033333333333,,,329.68,341.35,346.98,,359.29499999999996,351.8933333333334,305.64,335.66,351.68333333333334,360.89,,,,,337.24,,323.8,361.805,,322.56500000000005,,341.38,328.15,317.54333333333335,314.55,289.14,,,,,,333.78499999999997,328.08000000000004,228.21,249.61999999999998,314.79999999999995,325.84666666666664,321.92,307.74,305.8633333333333,316.7833333333333,295.7366666666667,319.41333333333336,299.28999999999996,297.045,295.495,318.815,309.08500000000004,306.27,355.265,327.66999999999996,325.85,339.475,299.005,297.89,299.565,,,,,,367.16499999999996,,255.01,247.36,257.82,276.94,278.155,260.91999999999996,240.78,248.92,246.885,226.335,239.78333333333333,210.57,205.71333333333334,214.54,230.935,230.47,,244.755,,340.7,,,,324.28,279.2033333333333,256.98,184.05,,248.37666666666664,207.22,212.29,245.6,199.37,284.77,254.76,234.58,292.49,,328.68,308.34,269.385,,,229.005,302.025,,L7
2000-09-13 22:04:02+00:00,,290.14,281.05,,,,,,,,,,,,,,,266.52,293.8,,,246.69,243.15,,303.16,,,,,,,,238.38,,248.95,251.88,254.35,260.12,254.72,248.02,239.26,284.83,,,,,,,,,282.05,,,320.04,293.07,302.91,261.21,,,344.06,,356.85,296.2,,266.86,,,,,350.22,,,,327.97,321.23,326.34,,,,,385.12,218.21,216.99,208.92,180.26,173.52,176.9,,,,382.35,370.48,346.75,,340.38,372.07,,311.32,,359.34,336.12,346.91,360.57,,,335.44,329.05,,,,,,351.87,,332.69,,,,379.92,390.66,399.9,,379.08000000000004,371.745,368.395,,356.12,356.03,,335.74,355.32,334.34,,,335.61,,325.29,,356.76,373.045,,360.78,334.68,348.63,,,,,338.13,,313.74,,,304.16,,356.32,336.31,298.14,332.82500000000005,297.875,,,,,,339.94,317.69,,309.01,296.71,333.09,330.77,296.72,309.73,307.87,276.92,304.78,287.13,293.93,289.86,321.45,303.92,306.27,336.12,333.25,,300.41,293.29,302.04,306.39,,,,,,376.44,,,,,300.38,285.0,267.95,245.57,246.89,246.18,232.71,243.09,221.57,225.54,221.67,243.02,240.25,,262.98,,340.7,,,,324.28,296.61,,,,278.57,,,,,286.35,,234.58,303.73,,328.68,308.34,272.44,,,212.43,,,L7
2000-09-20 22:10:03+00:00,,,,,,,,,,,,,,,,,,264.725,281.815,267.59,,246.69,243.15,,303.16,,,,,,,,238.38,,248.95,251.88,254.35,260.12,254.72,252.945,246.735,266.68,265.1,,,,,,,,282.05,,,320.04,293.07,302.91,261.21,,,344.06,,356.85,,,302.66,,,,,350.22,,,,320.775,315.75,322.635,289.24,294.56,288.14,,385.12,,,,,,,,,,382.35,370.48,346.75,,340.38,372.07,,,,353.03,330.105,333.155,360.57,,,335.44,329.05,,,303.35,,312.35,333.575,,321.135,,,,379.92,390.66,399.9,,385.24,382.6,379.66,,356.12,356.03,,335.74,355.32,334.34,,,335.61,,325.29,,356.76,373.045,,360.78,334.68,348.63,,,,,338.13,,313.74,,,304.16,,356.32,336.31,298.14,332.82500000000005,297.875,,,,,,,317.69,,309.01,296.71,333.09,330.77,296.72,309.73,307.87,276.92,304.78,287.13,293.93,289.86,309.355,301.93,295.69,336.12,333.25,291.39,294.33500000000004,280.505,302.04,306.39,237.48,,,,,376.44,,228.24,,,300.38,285.0,267.95,245.57,246.89,246.18,232.71,243.09,221.57,225.54,221.67,243.02,240.25,,262.98,,340.7,,,,324.28,296.61,,,,278.57,,,,,286.35,,234.58,303.73,,328.68,308.34,272.44,,,212.43,270.77,,L7
2000-12-18 22:03:49+00:00,,323.61,262.84,,,,,,,,,,,,,,,264.725,284.84666666666664,249.745,,238.905,243.15,302.72,308.71500000000003,247.81,,,,,,,238.38,,248.95,251.88,254.35,260.12,254.72,252.945,246.735,266.68,265.1,,321.63,327.58,,342.54,,336.51,282.05,306.98,319.34,317.57500000000005,304.5,301.71000000000004,261.21,,,340.18,,356.85,,,302.66,,,,,355.035,,,,320.775,315.75,322.635,289.24,294.56,288.14,,402.39,,,,,,,,,,391.07000000000005,374.1,364.35,344.68,337.855,355.845,337.37,,,352.02666666666664,335.35999999999996,336.87333333333333,356.685,346.68,,335.44,329.05,,,303.35,,312.35,333.575,,321.135,,,,379.92,390.66,399.9,,390.145,382.6,379.66,,356.12,356.03,,346.505,355.32,334.34,,,341.885,368.88,325.29,,367.61,377.2633333333333,,356.91999999999996,335.26,348.63,,,,,338.13,,313.74,,,304.16,,356.32,336.31,298.14,332.82500000000005,297.875,,,,,,,317.69,,319.565,296.71,339.605,330.77,296.72,309.73,307.87,276.92,304.78,287.13,293.93,289.86,309.355,305.25666666666666,295.69,336.12,333.25,291.39,294.33500000000004,280.505,302.04,306.39,237.48,,,,,376.44,,228.24,,,300.38,285.0,267.95,245.57,246.89,246.18,232.71,243.09,221.57,225.54,221.67,243.02,240.25,,262.98,,340.03499999999997,,,,341.04999999999995,309.545,,,,320.745,,,,,286.35,,234.58,284.01,,327.03999999999996,309.99,290.885,,,212.43,270.77,,L7
