dates,satname,nzd0347-0000,nzd0347-0001,nzd0347-0002,nzd0347-0003,nzd0347-0004,nzd0347-0005,nzd0347-0006,nzd0347-0007,nzd0347-0062,nzd0347-0063,nzd0347-0064,nzd0347-0065,nzd0347-0013,nzd0347-0014,nzd0347-0015,nzd0347-0016,nzd0347-0017,nzd0347-0018,nzd0347-0019,nzd0347-0020,nzd0347-0021,nzd0347-0022,nzd0347-0023,nzd0347-0024,nzd0347-0025,nzd0347-0026,nzd0347-0027,nzd0347-0028,nzd0347-0029,nzd0347-0067,nzd0347-0068,nzd0347-0069,nzd0347-0070,nzd0347-0008,nzd0347-0009,nzd0347-0010,nzd0347-0011,nzd0347-0012,nzd0347-0030,nzd0347-0031,nzd0347-0032,nzd0347-0033,nzd0347-0034,nzd0347-0035,nzd0347-0046,nzd0347-0047,nzd0347-0048,nzd0347-0049,nzd0347-0050,nzd0347-0051,nzd0347-0052,nzd0347-0053,nzd0347-0054,nzd0347-0066,nzd0347-0038,nzd0347-0039,nzd0347-0040,nzd0347-0041,nzd0347-0042,nzd0347-0043,nzd0347-0044,nzd0347-0045,nzd0347-0055,nzd0347-0056,nzd0347-0036,nzd0347-0037,nzd0347-0057,nzd0347-0058,nzd0347-0059,nzd0347-0060,nzd0347-0061
1999-08-28 21:53:59.920000,L7,,,,,,,,,,,,,,,362.08,348.26,360.31,377.54,379.64,376.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-29 21:54:04.102000,L7,391.01,383.70,369.76,361.87,376.37,372.04,376.50,371.78,330.03,299.71,320.77,340.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-26 21:53:00.524000,L7,389.37,377.36,365.83,373.13,372.73,368.50,373.99,373.52,,,,,371.18,356.34,347.13,336.35,349.79,358.02,366.75,361.30,400.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-13 21:52:31.712000,L7,384.46,380.02,362.90,374.48,371.37,370.99,371.19,383.13,,,,,,367.11,358.42,353.81,363.37,366.47,369.00,366.89,393.93,389.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-29 21:52:14.316000,L7,,,,,,,,,,,,,,,363.61,356.24,364.88,385.24,379.07,378.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-14 21:52:08.182000,L7,,,,,,,,,,,,,375.89,370.22,354.25,354.30,360.11,376.39,369.84,366.08,387.18,394.54,398.99,380.41,412.30,396.65,392.71,,,,,,,,,,,,408.42,401.84,372.13,366.93,365.51,316.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-04 21:51:22.024000,L7,,,,,,,,,,,,,,,361.99,346.15,364.25,375.53,375.05,376.93,395.44,399.22,,,,,,,,,,,,,,,,,394.73,412.84,378.13,371.63,379.31,350.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-06 21:51:26.449000,L7,,,,,,,,,,,,,,,,,,,,378.05,365.28,359.05,333.58,318.10,324.26,334.84,347.58,358.20,363.75,,,,,,,,,,385.67,398.46,379.53,383.15,,,376.63,381.98,372.62,383.26,375.57,371.67,366.53,,,,,,,389.36,381.24,387.01,386.66,379.95,,,,,,,,,
2001-04-27 21:51:07.792000,L7,387.80,383.70,362.37,372.20,370.70,371.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-13 21:50:57.045000,L7,,,,,,,,,,,,,373.82,358.39,357.36,335.20,334.03,337.36,349.29,358.58,400.43,385.21,,,,,,388.05,387.06,,,,,,,,,,383.76,392.01,362.85,354.16,377.96,264.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-14 21:50:38.006000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.57,372.47,359.63,377.66,304.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-18 21:49:29.215000,L7,,,,,,,,,336.84,332.56,338.77,351.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-25 21:49:59.822000,L7,,,,,,,,,,,,,343.21,317.97,287.95,288.65,319.94,345.32,367.99,367.91,,,,,,,,,,,,,,,,,,374.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-29 21:49:51.205000,L7,,,264.36,296.44,321.90,331.98,332.00,337.08,,,,,,,,,,,,,309.21,315.81,328.88,324.30,337.27,344.70,351.15,347.72,356.71,,,,,322.27,292.37,,,,373.69,371.12,353.47,333.87,271.49,,,,,,,,,,,,330.10,377.94,373.01,377.84,372.32,358.53,375.39,,,,,379.51,,,,,
2002-07-19 21:49:21.346000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.42,399.53,384.48,369.45,362.21,296.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-20 21:49:10.402000,L7,,,,,,,,,,,,,,,362.65,346.07,349.85,384.10,375.55,374.15,364.12,407.85,,,,,,,,,,,,,,,,,,414.20,383.15,369.55,367.86,323.70,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-23 21:48:51.087000,L7,388.10,383.75,356.30,373.60,,,,,,,,,,360.74,354.70,349.70,363.30,370.23,372.20,367.54,384.46,395.63,393.79,392.01,389.50,388.30,391.20,393.42,387.52,382.29,359.81,372.21,368.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-26 21:49:23.939000,L7,372.79,371.14,347.65,366.66,365.62,361.09,354.40,366.54,,,,402.06,353.95,329.60,332.33,315.23,321.73,334.18,337.05,339.62,349.71,366.78,362.20,346.03,364.66,377.71,378.77,378.91,363.55,379.42,361.45,369.20,366.21,376.85,377.68,381.13,354.78,362.84,379.30,388.30,359.87,361.14,361.66,254.16,362.43,362.13,358.77,383.25,376.82,380.76,386.31,384.98,382.21,380.96,,,,,,,,,,,,,,,,,
2003-05-03 21:49:49.056000,L7,,,,,,,,,,,,,,,,345.93,378.03,376.47,380.44,360.90,403.56,,,,,,,,,,,,,,,,,,,,388.56,381.66,377.97,281.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-18 21:39:00.182000,L5,383.53,374.34,354.46,363.16,373.46,361.64,364.52,369.08,,,,,364.96,346.46,346.39,338.81,330.76,346.68,350.07,352.79,356.96,383.20,380.06,363.78,389.40,381.11,382.47,378.37,387.43,,,,,374.38,374.97,373.49,372.11,371.30,398.82,410.00,375.00,377.46,357.83,268.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-19 21:39:26.321000,L5,373.09,379.60,348.74,371.74,374.31,365.69,364.18,370.37,,,,,355.34,337.99,335.88,324.38,327.45,345.71,345.94,345.35,353.11,384.77,383.78,373.32,388.98,384.60,379.28,385.64,388.48,,,,,375.68,365.74,358.60,356.00,357.53,396.80,402.66,370.70,363.23,355.99,253.27,,,,,,,,,,,385.55,386.46,385.12,389.36,382.53,375.01,378.34,388.89,,,,,,,,,
2004-01-22 21:39:52.321000,L5,,,,,,,,,,,,,,367.03,365.24,349.59,354.01,369.63,373.91,374.32,392.60,397.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-25 21:37:25.800000,L5,343.34,338.53,312.30,301.95,,,,,,,,,290.19,259.60,277.44,300.14,302.74,314.63,326.11,322.99,,,,,,,,342.47,348.76,,,,,,,256.24,334.22,309.90,346.98,377.09,340.46,336.11,300.79,,,,,375.13,372.87,382.36,381.79,380.47,373.38,,,,,,,,,,371.21,360.16,,,,,,,
2004-10-20 21:45:40.625000,L5,,,,,,,,,,,,,,,,364.14,364.46,374.19,377.85,382.99,392.56,402.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-17 21:41:01.708000,L5,,,,,,,,344.72,,,,,339.93,321.09,308.67,309.75,,,,,,,,,,,,,355.29,,,,,346.11,342.96,349.09,341.25,347.20,369.78,377.13,355.93,348.19,305.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-09 21:47:31.401000,L5,,,,,,,,,,,,,,362.27,357.10,341.81,357.29,370.08,377.13,370.44,390.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-13 21:47:59.531000,L5,,,,,330.93,300.63,310.87,306.99,,,,,,,,,,,,,,,,,351.26,358.68,374.33,349.96,368.02,,,,,290.71,335.24,331.39,330.94,,372.37,392.53,370.03,341.22,304.80,246.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-30 21:48:14.979000,L5,362.79,344.20,293.94,299.74,304.92,343.09,353.79,364.17,,,,,365.36,346.06,342.78,332.95,343.92,349.18,356.31,359.72,378.23,381.18,388.29,372.64,382.73,385.82,386.52,379.01,378.70,,,,,374.27,376.19,372.24,370.61,370.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
