dates,nzd0348-0000,nzd0348-0001,nzd0348-0002,nzd0348-0003,nzd0348-0004,nzd0348-0005,nzd0348-0006,nzd0348-0007,nzd0348-0008,nzd0348-0009,nzd0348-0010,nzd0348-0011,nzd0348-0012,nzd0348-0013,nzd0348-0014,nzd0348-0015,nzd0348-0016,nzd0348-0017,nzd0348-0018,nzd0348-0019,nzd0348-0020,nzd0348-0021,nzd0348-0022,nzd0348-0023,nzd0348-0024,nzd0348-0025,nzd0348-0026,nzd0348-0027,nzd0348-0028,nzd0348-0029,nzd0348-0030,satname
1999-09-29 21:54:04.102,358.42,354.72,346.39,346.76,336.77,352.89,361.81,358.79,357.26,365.29,366.97,,,,,,,367.45,352.38,377.41,382.11,373.85,350.89,,334.45,,,355.41,335.39,315.27,310.13,L7
2000-01-19 21:53:49.771,362.78,358.875,351.275,347.51,339.645,357.405,366.79499999999996,360.895,362.19,364.235,364.26,365.58,,,188.06,,318.08,361.01,360.655,378.495,383.07,376.71500000000003,356.405,,316.02,,298.98,361.735,348.7,326.955,313.105,L7
2000-05-26 21:53:00.524,356.63,350.275,342.33500000000004,335.235,342.52,361.92,371.78,351.28499999999997,351.82,352.85,347.505,358.52,,,179.315,,334.73,350.02,368.93,376.585,376.72,370.07,355.4,,317.53,,316.28499999999997,368.06,346.505,338.64,316.08,L7
2000-07-13 21:52:31.712,356.63,350.275,342.33500000000004,335.235,355.78999999999996,378.21500000000003,381.54999999999995,351.28499999999997,351.82,362.98,347.505,358.52,385.69,388.64,179.315,388.75,353.81,350.02,381.13,384.99,384.8766666666667,378.2166666666667,362.6666666666667,359.01,332.09999999999997,379.03,316.28499999999997,377.53,346.505,352.15,316.08,L7
2000-07-29 21:52:14.316,346.12,337.52,328.51,322.21,384.64,401.015,399.4,339.57,336.52,374.0666666666666,333.46,351.46,391.675,392.53,170.57,391.70500000000004,379.6000000000001,345.47,395.45,393.52666666666664,394.34,386.16333333333336,370.82,365.385,356.1833333333334,376.465,333.59,390.74,331.0,365.08500000000004,,L7
2000-08-14 21:52:08.182,346.12,337.52,328.51,322.21,384.64,401.015,399.4,339.57,336.52,374.0666666666666,333.23,347.635,391.675,392.53,170.57,391.70500000000004,379.6000000000001,345.47,395.45,393.52666666666664,394.34,386.16333333333336,370.82,365.385,356.1833333333334,376.465,333.59,390.74,331.0,365.08500000000004,,L7
2000-12-04 21:51:22.024,,348.86,345.15,342.3,384.64,401.015,399.4,353.06,352.54,379.8066666666667,346.595,353.655,381.8,392.53,171.95,391.70500000000004,385.07,358.22,395.45,393.7,406.80499999999995,398.965,381.7900000000001,365.385,365.5400000000001,376.465,320.67,390.74,328.79,365.08500000000004,318.36,L7
2001-02-06 21:51:26.449,390.84,371.42,367.345,342.3,392.5,405.72,398.61,371.21000000000004,370.875,376.06,361.1433333333334,366.84999999999997,376.365,388.97,171.95,394.41,382.865,358.22,399.39,390.0,417.45,414.66,,,,,320.67,431.52,328.79,,318.36,L7
2001-04-11 21:51:09.983,385.86,372.5733333333333,369.42333333333335,343.03499999999997,392.5,405.72,398.61,364.08,370.875,376.06,375.21500000000003,378.37,366.01,369.015,171.95,394.41,382.865,358.15,399.39,390.0,417.45,414.66,,,,,320.67,431.52,320.015,,318.36,L7
2001-04-27 21:51:07.792,388.6333333333334,376.785,374.03,343.03499999999997,401.34000000000003,411.67,407.435,364.08,390.09999999999997,386.93333333333334,375.21500000000003,378.37,368.77750000000003,376.3833333333334,171.95,400.525,397.3833333333334,358.15,399.39,390.0,407.25,414.66,407.06,400.33,381.14,397.83,320.67,409.095,320.015,369.27,337.76,L7
2001-05-13 21:50:57.045,388.6333333333334,376.785,374.03,336.5733333333333,401.34000000000003,411.67,407.435,360.545,390.09999999999997,386.93333333333334,375.21500000000003,378.37,368.77750000000003,372.695,171.95,400.525,397.3833333333334,358.15,399.39,390.0,407.25,414.66,407.06,400.33,381.14,397.83,320.67,384.2033333333334,317.2966666666667,335.56,337.76,L7
2001-06-14 21:50:38.006,388.6333333333334,386.0933333333334,383.6566666666666,333.6433333333334,401.34000000000003,411.67,407.435,361.39250000000004,408.88,400.53,370.53999999999996,373.70500000000004,369.4275,370.82399999999996,,400.525,398.66333333333336,355.62,399.39,394.46,400.27,394.01,407.06,400.33,381.14,374.075,347.53,378.81,322.28333333333336,333.17333333333335,357.16,L7
2001-09-18 21:49:29.215,390.8500000000001,388.0833333333333,385.8733333333333,347.645,399.84000000000003,411.94,409.98,363.2675,413.315,404.105,377.99,354.17,362.3433333333333,366.28749999999997,,406.64,397.6433333333334,367.57666666666665,393.05,391.0,394.93,387.905,415.005,400.33,381.14,373.0133333333333,366.68499999999995,367.4725,335.45750000000004,338.815,357.29,L7
2001-10-04 21:49:17.977,389.355,386.9325,384.53,354.158,393.15000000000003,406.39000000000004,405.5,368.4,408.7866666666667,400.37999999999994,382.8233333333333,371.435,367.1975,371.134,387.74,396.585,394.7625,372.83500000000004,390.65,391.32666666666665,395.8775,391.66,403.47333333333336,384.96,377.105,374.3875,374.5666666666666,372.546,344.444,341.43600000000004,355.91333333333336,L7
2002-02-25 21:49:59.822,394.78999999999996,395.09666666666664,395.33666666666664,394.3999999999999,384.635,410.0366666666667,406.43,397.45,400.3500000000001,398.71,403.9866666666667,388.7,381.76,390.52,387.74,386.53,390.5,390.05000000000007,390.65,409.02333333333337,400.07500000000005,400.81,398.83,375.28,369.865,373.2633333333333,395.71999999999997,389.505,377.68499999999995,353.83000000000004,367.32,L7
2002-07-19 21:49:21.346,393.16499999999996,393.385,395.78499999999997,398.465,388.25,417.37,410.385,400.935,408.87,403.565,410.11,400.03,392.62,399.48,406.57,,396.37,400.79,401.54,423.065,405.79,398.44,386.71000000000004,375.0,368.24,367.59000000000003,393.57,390.97,401.05,374.21,376.365,L7
2002-08-20 21:49:10.402,390.58,391.47333333333336,392.32,393.84,392.265,415.19,405.8933333333334,396.3866666666667,401.4266666666667,396.1033333333333,402.67333333333335,392.34,388.02,390.81,394.525,384.44,389.58500000000004,393.655,394.745,413.81333333333333,403.28,396.03,382.55333333333334,373.2733333333333,367.33,370.0366666666667,385.5233333333333,395.37,385.70000000000005,363.35,376.21000000000004,L7
2002-10-23 21:48:51.087,384.865,386.28000000000003,383.82000000000005,384.09000000000003,392.265,408.505,399.31500000000005,391.30000000000007,400.52,392.31999999999994,396.845,392.34,388.02,390.81,394.525,384.44,389.58500000000004,393.655,394.745,414.2866666666667,411.96000000000004,409.42333333333335,389.9266666666667,381.4166666666667,383.2333333333333,384.79333333333335,372.78999999999996,395.37,385.70000000000005,363.35,368.62500000000006,L7
2002-12-10 21:49:17.131,388.6366666666667,389.87999999999994,387.44000000000005,386.21000000000004,395.2633333333333,409.3533333333333,401.6566666666667,397.40333333333336,407.5466666666667,392.31999999999994,402.46000000000004,396.28,390.7733333333333,392.98,393.4166666666667,390.125,389.66333333333336,393.95666666666665,396.21000000000004,411.6575,410.34000000000003,407.98,389.545,380.195,381.53999999999996,385.90250000000003,372.78999999999996,395.37,393.42,363.35,372.68,L7
2002-12-26 21:49:23.939,388.6366666666667,389.87999999999994,387.44000000000005,386.21000000000004,395.2633333333333,409.3533333333333,401.6566666666667,397.40333333333336,407.5466666666667,384.32666666666665,392.7925,396.28,390.7733333333333,392.98,393.4166666666667,390.125,388.0125,393.95666666666665,396.21000000000004,402.402,410.34000000000003,404.04200000000003,384.454,380.246,383.812,385.90250000000003,372.78999999999996,387.02,388.2225,355.0533333333333,362.7825,L7
2003-01-27 21:49:33.029,393.8733333333334,392.74333333333334,388.82666666666665,388.34,398.77,410.93999999999994,401.625,402.71333333333337,408.5466666666667,381.2,390.525,395.7,390.54333333333335,390.6166666666666,388.6000000000001,391.6366666666667,388.405,397.82,394.5566666666667,400.622,412.90500000000003,404.31,385.616,383.05,387.31,392.94000000000005,369.43,385.04499999999996,383.9466666666667,345.4749999999999,362.3175,L7
2003-05-03 21:49:49.056,398.105,395.2900000000001,390.54499999999996,403.09,416.705,411.05,425.375,417.8066666666667,426.0133333333333,395.77,401.845,401.22499999999997,394.105,405.6766666666667,403.18,402.5566666666667,395.32,413.69000000000005,397.86,402.6875,417.1133333333334,404.9425,385.7925,378.49,387.59666666666664,390.665,,370.32,391.4433333333333,360.685,363.3325,L7
2003-07-30 21:37:45.389,397.96,393.83,388.91,407.01,405.78499999999997,399.68,421.19000000000005,411.015,412.2,405.855,412.205,392.0,384.83,407.45,408.36,400.22,398.335,410.06,384.71,415.08000000000004,415.435,411.49,390.105,358.29,372.87,375.805,364.03,372.96,379.99,366.43,364.745,L5
2003-10-18 21:39:00.182,396.005,392.2,387.08000000000004,402.74666666666667,400.66,402.995,414.5933333333333,405.9633333333333,407.4266666666667,403.23333333333335,407.31333333333333,389.815,382.78,398.41,400.15000000000003,394.33666666666664,393.4266666666667,402.1166666666666,389.33,411.3,411.12000000000006,408.55,387.97333333333336,363.315,369.0933333333333,371.48,364.05999999999995,370.575,374.34666666666664,357.99,355.7,L5
2003-11-19 21:39:26.321,401.28,396.5833333333333,393.0733333333333,394.42333333333335,390.1366666666667,406.5833333333333,402.6499999999999,388.4866666666667,389.07,391.2966666666666,393.2133333333333,389.7833333333333,383.81666666666666,384.39000000000004,392.59999999999997,391.06333333333333,393.39000000000004,393.00666666666666,399.06666666666666,404.93333333333334,408.95000000000005,403.4666666666667,382.3433333333333,362.97333333333336,357.53999999999996,362.7633333333333,364.78666666666663,376.1166666666666,367.3666666666666,352.71,354.1933333333333,L5
2004-01-22 21:39:52.321,405.8075,401.0025,396.6275,395.58250000000004,393.635,408.95,403.8775,392.1775,387.40749999999997,390.3575,392.1925,390.08500000000004,383.545,384.51,390.72249999999997,392.855,395.08,395.4975,401.21500000000003,406.455,410.665,405.3575,382.89,361.51,356.5125,360.615,364.27,378.33,368.0975,353.355,354.74,L5
2004-02-23 21:40:02.028,410.8775,403.3933333333334,399.2,399.05,403.0,415.5,411.63,399.5375,394.76250000000005,391.5366666666667,398.885,394.6,388.9825,385.91,393.0525,395.61249999999995,402.70500000000004,400.71750000000003,411.49,416.0225,415.28249999999997,410.325,388.91749999999996,368.445,365.0725,365.8275,373.545,380.11999999999995,368.4166666666667,354.49000000000007,354.8975,L5
2004-09-18 21:44:58.764,395.81,392.06,385.33,388.98,379.99,400.11,396.0,386.24,381.44,385.48,380.29,378.73,380.34,375.95,379.11,378.37,381.35,387.33,388.94,394.64,397.61,393.93,373.48,355.4,343.94,347.4,,371.03,363.05,346.36,338.33,L5
2004-10-20 21:45:40.625,413.24,407.01,403.62,405.475,402.375,419.07,417.35,413.06,408.69,405.595,401.345,400.295,396.17499999999995,390.45,395.155,395.46500000000003,394.155,398.79999999999995,396.635,416.64,410.505,406.96000000000004,387.645,379.54999999999995,361.63,367.87,383.4,383.78,367.39,349.96000000000004,349.025,L5
2005-02-09 21:47:31.401,422.5333333333333,419.94,417.73,419.47333333333336,420.19,432.56333333333333,428.6066666666666,418.95,408.42333333333335,409.51666666666665,410.8433333333333,412.47333333333336,413.6333333333334,395.06333333333333,404.58,407.6133333333334,408.7866666666667,398.79999999999995,406.98333333333335,420.32,414.43333333333334,409.29333333333335,394.0133333333333,382.5933333333333,364.17,374.75666666666666,383.4,398.8066666666667,369.81666666666666,349.96000000000004,349.025,L5
2005-03-13 21:47:59.531,423.42,419.9,418.3825,418.63250000000005,420.1275,431.5075,428.5675,420.3825,414.64,407.9325,412.73249999999996,416.935,413.4875,401.225,405.2825,405.7275,408.5675,403.0433333333333,408.225,417.5325,413.73,409.6925,391.8325,379.79499999999996,364.4625,370.54999999999995,374.685,396.2,370.15250000000003,349.96000000000004,351.1966666666667,L5
2005-04-30 21:48:14.979,433.6,432.78999999999996,433.145,431.7900000000001,439.94,452.06333333333333,446.5133333333333,427.49666666666667,422.47,418.1466666666667,424.1199999999999,432.8733333333333,430.80000000000007,412.00000000000006,415.4100000000001,415.99,419.8,409.33,416.3966666666667,416.75333333333333,417.95666666666665,412.28666666666663,392.3333333333333,381.3233333333333,367.49,370.76,374.405,408.4433333333333,379.1933333333334,367.27,357.485,L5
2005-06-01 21:48:30.637,422.1033333333333,419.48,419.4266666666667,416.32666666666665,426.3125,438.375,432.585,417.495,413.6275,409.92499999999995,411.94,422.325,415.49666666666667,403.6166666666666,407.3333333333333,406.76666666666665,411.77750000000003,403.83666666666664,410.5075,411.0325,411.9825,406.97749999999996,386.8,374.185,363.2175,365.99,368.02666666666664,398.105,375.855,357.03,353.2166666666667,L5
2005-08-20 21:49:06.970,411.66,405.0366666666667,401.5933333333333,400.0533333333333,412.1225,424.925,420.765,408.145,409.6175,403.58000000000004,401.0433333333333,412.6725,398.5933333333333,399.74666666666667,398.23,395.31333333333333,400.79249999999996,403.5,402.49249999999995,404.94,406.14,405.2175,382.5,367.34999999999997,363.98,358.77,368.2725,386.85749999999996,376.27750000000003,356.56666666666666,355.64750000000004,L5
2005-10-07 21:49:06.876,411.2966666666667,402.9466666666667,398.59666666666664,398.6333333333334,411.2875,425.05,419.65999999999997,403.55499999999995,401.655,404.175,394.83,404.8925,393.93,392.21000000000004,394.93666666666667,392.47,398.055,401.5,401.88250000000005,405.9275,406.87,404.355,382.31500000000005,367.5,361.95500000000004,358.4825,367.3175,384.71999999999997,375.4025,355.3125,353.3125,L5
2005-11-08 21:49:16.532,408.045,400.43,396.2925,396.4275,397.495,408.28,403.9625,393.6475,389.0475,390.7275,392.2525,392.82,390.51,389.14,390.9225,389.745,390.945,396.7575,395.8075,401.555,401.84,400.3425,378.83500000000004,357.86249999999995,354.3075,352.03999999999996,357.85,372.0875,365.59499999999997,346.4175,348.6175,L5
2006-01-27 21:51:10.462,411.0233333333333,402.9533333333333,397.7266666666667,400.1033333333333,401.51666666666665,411.93666666666667,408.34999999999997,395.7,389.6966666666667,405.05000000000007,393.81,405.25750000000005,404.09,401.12250000000006,399.5075,401.3425,392.0233333333333,398.06,396.7966666666667,404.1166666666666,404.43333333333334,403.44,381.71333333333337,359.55999999999995,365.12750000000005,362.4725,358.71000000000004,391.2675,375.9325,346.29333333333335,349.93,L5
2006-02-28 21:51:52.186,412.92333333333335,406.59999999999997,400.90000000000003,401.49,405.57666666666665,416.59666666666664,410.99666666666667,399.8633333333334,393.17,408.63750000000005,395.82,406.64,405.69,403.675,401.3725,402.0275,392.97333333333336,397.04333333333335,398.0733333333333,404.1333333333334,407.50666666666666,402.72666666666663,379.6666666666667,361.06666666666666,362.76,364.22249999999997,359.03000000000003,397.1975,376.47749999999996,351.8666666666666,347.3966666666667,L5
2006-07-22 21:54:10.491,409.62,406.67,397.94500000000005,396.45,398.71000000000004,410.24,403.75,400.35,395.98,413.1666666666667,395.61,412.8233333333333,410.40000000000003,408.84,407.75666666666666,408.84,396.815,398.7,397.33,402.36,404.47,400.15999999999997,379.99,363.89,371.0466666666666,372.1833333333334,366.41,409.4166666666667,386.8,362.755,355.49,L5
